,symbol,date,open,high,low,close,volume,marketCap
0,HPAY,"Oct 20, 2021",$0.0004,$0.0004002,$0.0002999,$0.0003999,$887,$0
1,HPAY,"Oct 19, 2021",$0.0003,$0.0005001,$0.0001999,$0.0004,"$3,272",$0
2,HPAY,"Oct 18, 2021",$0.0002001,$0.0004002,$0.0001999,$0.0003,"$1,786",$0
3,HPAY,"Oct 17, 2021",$0.0003,$0.0004001,$0.0001999,$0.0002001,"$1,301",$0
4,HPAY,"Oct 16, 2021",$0.0001998,$0.0004001,$0.0001998,$0.0003,"$3,195",$0
5,HPAY,"Oct 15, 2021",$0.0003,$0.0003001,$0.00009993,$0.0001998,"$4,471",$0
6,HPAY,"Oct 14, 2021",$0.0003,$0.0003001,$0.0002,$0.0003,$501,$0
7,HPAY,"Oct 13, 2021",$0.0004,$0.0004003,$0.0001999,$0.0003,"$1,676",$0
8,HPAY,"Oct 12, 2021",$0.0003002,$0.0004003,$0.0002,$0.0004,$504,$0
9,HPAY,"Oct 11, 2021",$0.0003003,$0.0004004,$0.0002001,$0.0003002,"$1,629",$0
10,HPAY,"Oct 10, 2021",$0.0003,$0.0004003,$0.0002999,$0.0003003,$217,$0
11,HPAY,"Oct 09, 2021",$0.0004,$0.0004001,$0.0003,$0.0003,$905,$0
12,HPAY,"Oct 08, 2021",$0.0003001,$0.0004002,$0.0003,$0.0004,$318,$0
13,HPAY,"Oct 07, 2021",$0.0003001,$0.0004005,$0.0002999,$0.0003001,$146,$0
14,HPAY,"Oct 06, 2021",$0.0004002,$0.0004005,$0.0002999,$0.0003001,$238,$0
15,HPAY,"Oct 05, 2021",$0.0003999,$0.0005005,$0.0002999,$0.0004002,"$1,430",$0
16,HPAY,"Oct 04, 2021",$0.0004001,$0.0005003,$0.0003,$0.0003999,"$2,916",$0
17,HPAY,"Oct 03, 2021",$0.0005001,$0.0006003,$0.0003999,$0.0004001,"$3,108",$0
18,HPAY,"Oct 02, 2021",$0.0002,$0.0006003,$0.0002,$0.0005002,"$2,765",$0
19,HPAY,"Oct 01, 2021",$0.0004001,$0.0004001,$0.0002,$0.0002,$783,$0
20,HPAY,"Sep 30, 2021",$0.0004001,$0.0004002,$0.0003,$0.0004001,$65,$0
21,HPAY,"Sep 29, 2021",$0.0004001,$0.0004003,$0.0003001,$0.0004001,$445,$0
22,HPAY,"Sep 28, 2021",$0.0003002,$0.0004003,$0.0003,$0.0004002,$453,$0
23,HPAY,"Sep 27, 2021",$0.0003002,$0.0004005,$0.0003,$0.0003002,$576,$0
24,HPAY,"Sep 26, 2021",$0.0003003,$0.0004005,$0.0002002,$0.0003002,$914,$0
25,HPAY,"Sep 25, 2021",$0.0003002,$0.0004007,$0.0003001,$0.0003003,$313,$0
26,HPAY,"Sep 24, 2021",$0.0004002,$0.0004006,$0.0002002,$0.0003003,$461,$0
27,HPAY,"Sep 23, 2021",$0.0004,$0.0004005,$0.0003002,$0.0004002,$585,$0
28,HPAY,"Sep 22, 2021",$0.0004,$0.0004004,$0.0003001,$0.0004,$297,$0
29,HPAY,"Sep 21, 2021",$0.0004,$0.0004002,$0.0002999,$0.0004,$305,$0
30,HPAY,"Sep 20, 2021",$0.0004002,$0.0004002,$0.0003,$0.0004,$45,$0
31,HPAY,"Sep 19, 2021",$0.0003998,$0.0004007,$0.0002999,$0.0004001,$193,$0
32,HPAY,"Sep 18, 2021",$0.0004998,$0.0005004,$0.0002998,$0.0003998,"$1,693",$0
33,HPAY,"Sep 17, 2021",$0.0005002,$0.0005005,$0.0004,$0.0004998,"$2,935",$0
34,HPAY,"Sep 16, 2021",$0.0006003,$0.0006003,$0.0004001,$0.0005002,"$2,825",$0
35,HPAY,"Sep 15, 2021",$0.0008004,$0.0008007,$0.0005001,$0.0006002,"$3,849",$0
36,HPAY,"Sep 14, 2021",$0.0007002,$0.001001,$0.0007001,$0.0008004,$949,$0
37,HPAY,"Sep 13, 2021",$0.0008997,$0.0009007,$0.0007001,$0.0007002,$863,$0
38,HPAY,"Sep 12, 2021",$0.001001,$0.001101,$0.0006001,$0.0008997,"$3,151",$0
39,HPAY,"Sep 11, 2021",$0.0011,$0.0012,$0.0008999,$0.001001,"$3,160",$0
40,HPAY,"Sep 10, 2021",$0.0009001,$0.0029,$0.0005,$0.0011,"$12,702",$0
41,HPAY,"Sep 09, 2021",$0.0004001,$0.001,$0.0004,$0.0009001,"$2,343",$0
42,HPAY,"Sep 08, 2021",$0.0004002,$0.0004003,$0.0003001,$0.0004001,$160,$0
43,HPAY,"Sep 07, 2021",$0.0004999,$0.0005006,$0.0003002,$0.0004003,$369,$0
44,HPAY,"Sep 06, 2021",$0.0005001,$0.0005004,$0.0003999,$0.0004999,$251,$0
45,HPAY,"Sep 05, 2021",$0.0005002,$0.0006004,$0.0005001,$0.0005002,$411,$0
46,HPAY,"Sep 04, 2021",$0.0006001,$0.0006005,$0.0004002,$0.0005003,$942,$0
47,HPAY,"Sep 03, 2021",$0.0006002,$0.0007004,$0.0004001,$0.0006001,"$1,808",$0
48,HPAY,"Sep 02, 2021",$0.0006002,$0.0011,$0.0004,$0.0006002,$977,$0
49,HPAY,"Sep 01, 2021",$0.0006003,$0.0006005,$0.0005001,$0.0006002,$754,$0
50,HPAY,"Aug 31, 2021",$0.0006003,$0.0008006,$0.0005001,$0.0006004,"$1,540",$0
51,HPAY,"Aug 30, 2021",$0.002003,$0.002202,$0.0005001,$0.0006004,"$6,724",$0
52,HPAY,"Aug 29, 2021",$0.006404,$0.006504,$0.001101,$0.002002,"$4,467",$0
53,HPAY,"Aug 28, 2021",$0.006002,$0.007407,$0.004401,$0.006404,"$2,153",$0
54,HPAY,"Aug 27, 2021",$0.006903,$0.1001,$0.005102,$0.006003,"$2,790",$0
55,HPAY,"Aug 26, 2021",$0.0101,$0.0102,$0.005102,$0.006903,"$2,656",$0
56,HPAY,"Aug 25, 2021",$0.0111,$0.0111,$0.008002,$0.0101,"$3,822",$0
57,HPAY,"Aug 24, 2021",$0.01461,$0.01461,$0.009102,$0.0111,"$6,023",$0
58,HPAY,"Aug 23, 2021",$0.01101,$0.01461,$0.008102,$0.01461,"$11,796",$0
59,HPAY,"Aug 22, 2021",$0.01001,$0.01162,$0.007503,$0.01101,"$6,286",$0
60,HPAY,"Aug 21, 2021",$0.007305,$0.0105,$0.007001,$0.01001,"$7,381",$0
61,HPAY,"Aug 20, 2021",$0.008251,$0.008254,$0.005103,$0.007304,"$6,211",$0
62,HPAY,"Aug 19, 2021",$0.007404,$0.01074,$0.006902,$0.008251,"$4,867",$0
63,HPAY,"Aug 18, 2021",$0.007402,$0.007904,$0.007301,$0.007404,"$3,917",$0
64,HPAY,"Aug 17, 2021",$0.008003,$0.008005,$0.0073,$0.007402,"$5,036",$0
65,HPAY,"Aug 16, 2021",$0.007405,$0.008005,$0.007399,$0.008003,"$1,304",$0
66,HPAY,"Aug 15, 2021",$0.007104,$0.008909,$0.007102,$0.007405,"$4,022",$0
67,HPAY,"Aug 14, 2021",$0.007802,$0.009606,$0.005403,$0.007105,"$6,903",$0
68,HPAY,"Aug 13, 2021",$0.01071,$0.01081,$0.006001,$0.007801,"$5,414",$0
69,HPAY,"Aug 12, 2021",$0.005603,$0.01101,$0.005204,$0.01071,"$5,540",$0
70,HPAY,"Aug 11, 2021",$0.0102,$0.0103,$0.005102,$0.005603,"$3,114",$0
71,HPAY,"Aug 10, 2021",$0.007601,$0.1,$0.007601,$0.0102,"$2,765",$0
72,HPAY,"Aug 09, 2021",$0.0113,$0.0113,$0.007001,$0.007601,"$4,055",$0
73,HPAY,"Aug 08, 2021",$0.009104,$0.0113,$0.009103,$0.0113,"$4,725",$0
74,HPAY,"Aug 07, 2021",$0.01171,$0.01172,$0.008504,$0.009105,"$2,855",$0
75,HPAY,"Aug 06, 2021",$0.0119,$0.01431,$0.009905,$0.01171,"$2,081",$0
76,HPAY,"Aug 05, 2021",$0.0189,$0.0193,$0.009004,$0.0119,"$5,260",$0
77,HPAY,"Aug 04, 2021",$0.01801,$0.0198,$0.013,$0.0189,"$3,461",$0
78,HPAY,"Aug 03, 2021",$0.01381,$0.02291,$0.009004,$0.01801,"$5,571",$0
79,HPAY,"Aug 02, 2021",$0.01301,$0.01441,$0.013,$0.01381,"$7,182",$0
