symbol,date,open,high,low,close,volume,marketCap
HPB,"Oct 22, 2021",$0.1404,$0.1648,$0.1394,$0.1508,"$2,032,845","$11,015,317"
HPB,"Oct 21, 2021",$0.1339,$0.1408,$0.1309,$0.1404,"$857,183","$10,260,018"
HPB,"Oct 20, 2021",$0.1338,$0.1418,$0.1258,$0.1339,"$1,096,777","$9,781,052"
HPB,"Oct 19, 2021",$0.1391,$0.1398,$0.1324,$0.1338,"$887,488","$9,775,432"
HPB,"Oct 18, 2021",$0.1315,$0.1406,$0.1301,$0.1391,"$963,194","$10,161,184"
HPB,"Oct 17, 2021",$0.1347,$0.1367,$0.1313,$0.1315,"$758,728","$9,606,272"
HPB,"Oct 16, 2021",$0.1365,$0.1375,$0.131,$0.1347,"$584,055","$9,839,743"
HPB,"Oct 15, 2021",$0.1355,$0.1381,$0.1315,$0.1365,"$605,919","$9,974,130"
HPB,"Oct 14, 2021",$0.131,$0.137,$0.1298,$0.1355,"$738,325","$9,902,352"
HPB,"Oct 13, 2021",$0.1275,$0.1323,$0.1252,$0.131,"$787,097","$9,575,788"
HPB,"Oct 12, 2021",$0.1345,$0.1359,$0.1269,$0.1275,"$891,801","$9,313,937"
HPB,"Oct 11, 2021",$0.1366,$0.1415,$0.1338,$0.1345,"$1,016,984","$9,824,301"
HPB,"Oct 10, 2021",$0.138,$0.1387,$0.1341,$0.1366,"$621,432","$9,978,073"
HPB,"Oct 09, 2021",$0.1364,$0.1395,$0.1338,$0.138,"$521,876","$10,083,456"
HPB,"Oct 08, 2021",$0.14,$0.1418,$0.1346,$0.1364,"$513,825","$9,964,672"
HPB,"Oct 07, 2021",$0.1407,$0.1409,$0.1351,$0.14,"$490,078","$10,229,527"
HPB,"Oct 06, 2021",$0.1375,$0.1425,$0.1368,$0.1407,"$614,240","$10,284,295"
HPB,"Oct 05, 2021",$0.1406,$0.1411,$0.1369,$0.1375,"$760,878","$10,047,528"
HPB,"Oct 04, 2021",$0.1424,$0.1431,$0.1388,$0.1406,"$483,972","$10,275,879"
HPB,"Oct 03, 2021",$0.1445,$0.1448,$0.1373,$0.1424,"$675,431","$10,407,267"
HPB,"Oct 02, 2021",$0.1415,$0.151,$0.1378,$0.1445,"$815,237","$10,559,724"
HPB,"Oct 01, 2021",$0.1314,$0.145,$0.13,$0.1415,"$995,379","$10,337,151"
HPB,"Sep 30, 2021",$0.1303,$0.1331,$0.128,$0.1314,"$494,312","$9,597,971"
