symbol,date,open,high,low,close,volume,marketCap
IBFK,"Oct 22, 2021",$1.23,$1.39,$1.23,$1.34,$0,"$806,814"
IBFK,"Oct 21, 2021",$1.29,$1.31,$1.21,$1.23,$0,"$739,531"
IBFK,"Oct 20, 2021",$1.31,$1.35,$1.26,$1.29,$0,"$773,053"
IBFK,"Oct 19, 2021",$1.30,$1.38,$1.20,$1.31,$0,"$784,948"
IBFK,"Oct 18, 2021",$1.29,$1.37,$1.24,$1.30,$0,"$781,874"
IBFK,"Oct 17, 2021",$1.40,$1.43,$1.28,$1.29,$0,"$778,372"
IBFK,"Oct 16, 2021",$1.44,$1.44,$1.35,$1.40,$0,"$844,409"
IBFK,"Oct 15, 2021",$1.48,$1.50,$1.34,$1.44,$0,"$866,319"
IBFK,"Oct 14, 2021",$1.44,$1.52,$1.31,$1.48,$0,"$890,344"
IBFK,"Oct 13, 2021",$1.39,$1.47,$1.34,$1.44,$0,"$865,197"
IBFK,"Oct 12, 2021",$1.31,$1.50,$1.22,$1.39,$0,"$835,500"
IBFK,"Oct 11, 2021",$1.36,$1.45,$1.26,$1.31,$0,"$788,476"
IBFK,"Oct 10, 2021",$1.59,$1.61,$1.27,$1.37,$0,"$820,845"
IBFK,"Oct 09, 2021",$1.51,$1.83,$1.47,$1.58,$0,"$951,128"
IBFK,"Oct 08, 2021",$1.58,$1.70,$1.48,$1.50,$0,"$904,040"
IBFK,"Oct 07, 2021",$1.53,$1.82,$1.47,$1.59,$0,"$955,373"
IBFK,"Oct 06, 2021",$1.73,$1.88,$1.30,$1.53,$0,"$920,106"
IBFK,"Oct 05, 2021",$1.66,$2.04,$1.61,$1.73,$0,"$1,038,004"
IBFK,"Oct 04, 2021",$1.70,$2.10,$1.54,$1.66,$0,"$997,483"
IBFK,"Oct 03, 2021",$1.45,$1.96,$1.41,$1.71,$0,"$1,025,300"
IBFK,"Oct 02, 2021",$1.55,$1.76,$1.42,$1.46,$0,"$875,145"
IBFK,"Oct 01, 2021",$1.37,$1.63,$1.35,$1.55,$0,"$933,499"
IBFK,"Sep 30, 2021",$1.43,$1.52,$1.34,$1.37,$0,"$826,020"
IBFK,"Sep 29, 2021",$1.45,$1.58,$1.41,$1.43,$0,"$861,230"
IBFK,"Sep 28, 2021",$1.47,$1.62,$1.45,$1.45,$0,"$869,085"
IBFK,"Sep 27, 2021",$1.36,$1.67,$1.33,$1.47,$0,"$884,681"
IBFK,"Sep 26, 2021",$1.36,$1.43,$1.28,$1.36,$0,"$816,084"
IBFK,"Sep 25, 2021",$1.44,$1.52,$1.34,$1.36,$0,"$819,947"
IBFK,"Sep 24, 2021",$1.45,$1.56,$1.29,$1.44,$0,"$864,374"
IBFK,"Sep 23, 2021",$1.48,$1.57,$1.39,$1.46,$0,"$874,950"
IBFK,"Sep 22, 2021",$1.42,$1.64,$1.32,$1.48,$0,"$887,905"
IBFK,"Sep 21, 2021",$1.52,$1.59,$1.36,$1.41,$0,"$848,653"
IBFK,"Sep 20, 2021",$1.83,$1.84,$0,$1.53,$0,"$917,259"
IBFK,"Sep 19, 2021",$1.82,$2.04,$1.71,$1.83,$0,"$1,100,003"
IBFK,"Sep 18, 2021",$1.80,$1.90,$1.72,$1.82,$0,"$1,091,518"
IBFK,"Sep 17, 2021",$1.77,$2.05,$1.54,$1.80,$0,"$1,083,426"
IBFK,"Sep 16, 2021",$1.38,$2.44,$1.35,$1.77,$0,"$1,065,279"
IBFK,"Sep 15, 2021",$1.29,$1.54,$1.28,$1.38,$0,"$828,125"
IBFK,"Sep 14, 2021",$1.28,$1.45,$1.21,$1.29,$0,"$776,135"
IBFK,"Sep 13, 2021",$1.36,$1.37,$1.20,$1.28,$0,"$769,273"
IBFK,"Sep 12, 2021",$1.38,$1.43,$1.26,$1.36,$0,"$817,851"
IBFK,"Sep 11, 2021",$1.34,$1.50,$1.32,$1.38,$0,"$828,588"
IBFK,"Sep 10, 2021",$1.29,$1.58,$1.27,$1.34,$0,"$806,930"
IBFK,"Sep 09, 2021",$1.31,$1.41,$1.20,$1.29,$0,"$772,694"
IBFK,"Sep 08, 2021",$1.31,$1.38,$1.19,$1.31,$0,"$790,108"
IBFK,"Sep 07, 2021",$1.68,$1.68,$1.12,$1.31,$0,"$790,516"
IBFK,"Sep 06, 2021",$1.69,$1.72,$1.50,$1.68,$0,"$1,008,273"
IBFK,"Sep 05, 2021",$1.57,$1.70,$1.52,$1.69,$0,"$1,016,390"
IBFK,"Sep 04, 2021",$1.55,$1.64,$1.50,$1.57,$0,"$943,809"
IBFK,"Sep 03, 2021",$1.52,$1.61,$1.47,$1.55,$0,"$931,386"
IBFK,"Sep 02, 2021",$1.47,$1.65,$1.41,$1.52,$0,"$914,114"
IBFK,"Sep 01, 2021",$1.45,$1.67,$1.34,$1.47,$0,"$885,853"
IBFK,"Aug 31, 2021",$1.42,$1.60,$1.39,$1.45,$0,"$293,110"
IBFK,"Aug 30, 2021",$1.56,$1.74,$1.36,$1.42,$0,"$286,383"
IBFK,"Aug 29, 2021",$1.47,$1.69,$1.36,$1.57,$0,"$317,592"
IBFK,"Aug 28, 2021",$1.53,$1.57,$1.44,$1.47,$0,"$297,254"
IBFK,"Aug 27, 2021",$1.50,$1.61,$1.40,$1.53,$0,"$308,417"
IBFK,"Aug 26, 2021",$1.67,$1.68,$1.44,$1.49,$0,"$302,131"
IBFK,"Aug 25, 2021",$1.74,$1.82,$1.57,$1.67,$0,"$337,627"
IBFK,"Aug 24, 2021",$1.80,$1.94,$1.59,$1.74,$0,"$351,671"
IBFK,"Aug 23, 2021",$1.77,$1.96,$1.57,$1.79,$0,"$362,419"
IBFK,"Aug 22, 2021",$1.87,$2.04,$1.73,$1.77,$0,"$358,507"
IBFK,"Aug 21, 2021",$1.76,$2.03,$1.72,$1.88,$0,"$379,916"
IBFK,"Aug 20, 2021",$1.77,$1.92,$1.72,$1.76,$0,"$355,660"
IBFK,"Aug 19, 2021",$1.74,$1.89,$1.66,$1.77,$0,"$357,304"
IBFK,"Aug 18, 2021",$1.75,$1.99,$1.63,$1.75,$0,"$353,938"
IBFK,"Aug 17, 2021",$1.94,$2.05,$1.67,$1.75,$0,"$353,743"
IBFK,"Aug 16, 2021",$2.02,$2.13,$1.83,$1.94,$0,"$392,339"
IBFK,"Aug 15, 2021",$2.04,$2.32,$1.89,$2.02,$0,"$407,656"
IBFK,"Aug 14, 2021",$2.41,$2.45,$1.94,$2.03,$0,"$411,091"
IBFK,"Aug 13, 2021",$2.10,$2.74,$1.90,$2.42,$0,"$488,669"
IBFK,"Aug 12, 2021",$2.11,$2.45,$1.78,$2.10,$0,"$425,366"
IBFK,"Aug 11, 2021",$2.16,$2.36,$2.08,$2.12,$0,"$427,880"
IBFK,"Aug 10, 2021",$2.11,$2.37,$2.09,$2.16,$0,"$435,955"
IBFK,"Aug 09, 2021",$1.97,$2.52,$1.89,$2.11,$0,"$426,765"
IBFK,"Aug 08, 2021",$2.01,$2.39,$1.85,$1.97,$0,"$397,417"
IBFK,"Aug 07, 2021",$2.08,$2.18,$1.93,$2.02,$0,"$408,296"
IBFK,"Aug 06, 2021",$2.02,$2.14,$1.85,$2.08,$0,"$419,881"
IBFK,"Aug 05, 2021",$2.11,$2.25,$1.91,$2.02,$0,"$408,927"
IBFK,"Aug 04, 2021",$1.98,$2.23,$1.87,$2.11,$0,"$426,200"
IBFK,"Aug 03, 2021",$1.94,$2.02,$1.79,$1.98,$0,"$400,857"
IBFK,"Aug 02, 2021",$1.97,$2.12,$1.88,$1.94,$0,"$392,233"
IBFK,"Aug 01, 2021",$1.95,$2.14,$1.93,$1.97,$0,"$397,578"
IBFK,"Jul 31, 2021",$1.94,$2.02,$1.89,$1.96,$0,"$396,054"
IBFK,"Jul 30, 2021",$1.88,$2.03,$1.80,$1.94,$0,"$391,130"
IBFK,"Jul 29, 2021",$1.89,$1.93,$1.77,$1.88,$0,"$380,051"
IBFK,"Jul 28, 2021",$1.83,$1.91,$1.75,$1.89,$0,"$382,059"
IBFK,"Jul 27, 2021",$1.81,$1.92,$1.68,$1.83,$0,"$369,535"
IBFK,"Jul 26, 2021",$1.86,$2.01,$1.75,$1.81,$0,"$365,776"
IBFK,"Jul 25, 2021",$1.87,$1.91,$1.73,$1.86,$0,"$376,797"
IBFK,"Jul 24, 2021",$1.81,$2.06,$1.79,$1.87,$0,"$378,570"
IBFK,"Jul 23, 2021",$1.80,$1.89,$1.71,$1.81,$0,"$366,411"
IBFK,"Jul 22, 2021",$1.78,$1.84,$1.72,$1.80,$0,"$364,489"
IBFK,"Jul 21, 2021",$1.64,$1.83,$1.60,$1.78,$0,"$358,922"
IBFK,"Jul 20, 2021",$1.81,$1.83,$1.59,$1.64,$0,"$331,780"
IBFK,"Jul 19, 2021",$1.87,$1.89,$1.69,$1.81,$0,"$366,228"
IBFK,"Jul 18, 2021",$1.84,$1.91,$1.76,$1.87,$0,"$377,219"
IBFK,"Jul 17, 2021",$1.81,$1.87,$1.76,$1.83,$0,"$370,766"
IBFK,"Jul 16, 2021",$1.94,$2.01,$1.77,$1.82,$0,"$366,847"
IBFK,"Jul 15, 2021",$1.94,$2.19,$1.89,$1.94,$0,"$392,082"
IBFK,"Jul 14, 2021",$1.83,$1.96,$1.66,$1.93,$0,"$390,696"
IBFK,"Jul 13, 2021",$1.88,$1.95,$1.71,$1.82,$0,"$368,815"
IBFK,"Jul 12, 2021",$1.85,$1.97,$1.64,$1.88,$0,"$380,379"
IBFK,"Jul 11, 2021",$1.79,$1.92,$1.75,$1.85,$0,"$373,361"
IBFK,"Jul 10, 2021",$1.81,$1.89,$1.74,$1.79,$0,"$361,904"
IBFK,"Jul 09, 2021",$1.81,$1.84,$1.68,$1.82,$0,"$368,578"
IBFK,"Jul 08, 2021",$1.94,$2.12,$1.76,$1.82,$0,"$366,854"
IBFK,"Jul 07, 2021",$1.99,$2.27,$1.91,$1.93,$0,"$390,769"
IBFK,"Jul 06, 2021",$1.94,$2.08,$1.91,$1.99,$0,"$402,838"
IBFK,"Jul 05, 2021",$2.10,$2.10,$1.92,$1.95,$0,"$394,273"
IBFK,"Jul 04, 2021",$2.02,$2.15,$1.98,$2.10,$0,"$423,792"
IBFK,"Jul 03, 2021",$2.06,$2.09,$1.99,$2.02,$0,"$407,661"
IBFK,"Jul 02, 2021",$1.98,$2.06,$1.88,$2.06,$0,"$415,635"
IBFK,"Jul 01, 2021",$2.14,$2.17,$1.78,$1.97,$0,"$398,630"
IBFK,"Jun 30, 2021",$2.24,$2.26,$1.90,$2.14,$0,"$431,983"
IBFK,"Jun 29, 2021",$2.15,$2.38,$2.14,$2.24,$0,"$453,407"
IBFK,"Jun 28, 2021",$2.07,$2.29,$2.03,$2.15,$0,"$434,620"
IBFK,"Jun 27, 2021",$2.11,$2.21,$1.91,$2.07,$0,"$417,830"
IBFK,"Jun 26, 2021",$2.10,$2.18,$1.99,$2.11,$0,"$426,230"
IBFK,"Jun 25, 2021",$2.32,$2.41,$1.97,$2.10,$0,"$425,041"
IBFK,"Jun 24, 2021",$2.08,$2.37,$1.97,$2.32,$0,"$469,557"
IBFK,"Jun 23, 2021",$1.89,$2.19,$1.81,$2.08,$0,"$420,554"
IBFK,"Jun 22, 2021",$1.87,$2.21,$1.56,$1.89,$0,"$381,496"
IBFK,"Jun 21, 2021",$2.49,$2.50,$1.84,$1.86,$0,"$376,604"
IBFK,"Jun 20, 2021",$2.43,$2.60,$2.30,$2.50,$0,"$504,355"
IBFK,"Jun 19, 2021",$2.40,$2.62,$2.32,$2.42,$0,"$489,561"
IBFK,"Jun 18, 2021",$2.61,$2.74,$2.28,$2.40,$0,"$484,769"
IBFK,"Jun 17, 2021",$2.63,$3.03,$2.30,$2.60,$0,"$526,083"
IBFK,"Jun 16, 2021",$2.80,$3.12,$2.57,$2.63,$0,"$532,537"
IBFK,"Jun 15, 2021",$2.58,$3.06,$2.50,$2.63,$1,"$530,813"
IBFK,"Jun 14, 2021",$2.65,$2.76,$2.47,$2.66,$1,"$537,928"
IBFK,"Jun 13, 2021",$2.54,$2.83,$2.36,$2.66,$0,"$536,779"
IBFK,"Jun 12, 2021",$2.61,$3.03,$2.29,$2.54,$0,"$513,689"
IBFK,"Jun 11, 2021",$2.39,$3.00,$2.24,$2.61,$0,"$527,337"
IBFK,"Jun 10, 2021",$2.07,$2.42,$1.97,$2.39,$0,"$482,453"
IBFK,"Jun 09, 2021",$1.98,$2.30,$1.75,$2.06,$0,"$416,987"
IBFK,"Jun 08, 2021",$2.05,$2.10,$1.77,$1.98,$0,"$400,358"
IBFK,"Jun 07, 2021",$2.34,$2.43,$2.04,$2.06,$0,"$415,802"
IBFK,"Jun 06, 2021",$2.29,$2.37,$2.25,$2.34,$0,"$473,910"
