symbol,date,open,high,low,close,volume,marketCap
ICH,"Oct 22, 2021",$0.388,$0.3882,$0.3879,$0.3879,$0,$0
ICH,"Oct 21, 2021",$0.388,$0.3882,$0.3878,$0.388,$0,$0
ICH,"Oct 20, 2021",$0.388,$0.3883,$0.3878,$0.3879,$0,$0
ICH,"Oct 19, 2021",$0.388,$0.3882,$0.3878,$0.388,$0,$0
ICH,"Oct 18, 2021",$0.3881,$0.3882,$0.3877,$0.388,$0,$0
ICH,"Oct 17, 2021",$0.388,$0.3883,$0.3878,$0.3881,$0,$0
ICH,"Oct 16, 2021",$0.3877,$0.3881,$0.3876,$0.388,$0,$0
ICH,"Oct 15, 2021",$0.388,$0.3882,$0.3876,$0.3877,$0,$0
ICH,"Oct 14, 2021",$0.388,$0.3881,$0.3879,$0.388,$0,$0
ICH,"Oct 13, 2021",$0.388,$0.3883,$0.3878,$0.3881,$0,$0
ICH,"Oct 12, 2021",$0.3883,$0.3884,$0.388,$0.388,$0,$0
ICH,"Oct 11, 2021",$0.3884,$0.3884,$0.3879,$0.3882,$0,$0
ICH,"Oct 10, 2021",$0.388,$0.3884,$0.3878,$0.3884,$0,$0
ICH,"Oct 09, 2021",$0.388,$0.3882,$0.388,$0.3881,$0,$0
ICH,"Oct 08, 2021",$0.3881,$0.3882,$0.3879,$0.388,$0,$0
ICH,"Oct 07, 2021",$0.3881,$0.3884,$0.3878,$0.3881,$0,$0
ICH,"Oct 06, 2021",$0.3882,$0.3885,$0.3877,$0.3882,$0,$0
ICH,"Oct 05, 2021",$0.3879,$0.3884,$0.3878,$0.3882,$0,$0
ICH,"Oct 04, 2021",$0.3881,$0.3882,$0.3878,$0.388,$0,$0
ICH,"Oct 03, 2021",$0.3881,$0.3882,$0.3879,$0.3881,$0,$0
ICH,"Oct 02, 2021",$0.3881,$0.3882,$0.388,$0.3882,$0,$0
ICH,"Oct 01, 2021",$0.3881,$0.3882,$0.3879,$0.388,$0,$0
ICH,"Sep 30, 2021",$0.3881,$0.3882,$0.3878,$0.3881,$0,$0
ICH,"Sep 29, 2021",$0.3881,$0.3883,$0.3879,$0.3881,$0,$0
ICH,"Sep 28, 2021",$0.3882,$0.3883,$0.388,$0.3881,$0,$0
ICH,"Sep 27, 2021",$0.3883,$0.3885,$0.388,$0.3882,$0,$0
ICH,"Sep 26, 2021",$0.3884,$0.3885,$0.3882,$0.3883,$0,$0
ICH,"Sep 25, 2021",$0.3883,$0.3887,$0.3881,$0.3884,$0,$0
ICH,"Sep 24, 2021",$0.1901,$0.3886,$0.19,$0.3883,$22,$0
ICH,"Sep 23, 2021",$0.19,$0.1903,$0.19,$0.1901,$0,$0
ICH,"Sep 22, 2021",$0.2,$0.2001,$0.19,$0.19,$10,$0
ICH,"Sep 21, 2021",$0.2,$0.2001,$0.2,$0.2,$0,$0
ICH,"Sep 20, 2021",$0.2001,$0.2001,$0.2,$0.2,$0,$0
ICH,"Sep 19, 2021",$0.1999,$0.2004,$0.1996,$0.2001,$0,$0
ICH,"Sep 18, 2021",$0.1999,$0.2002,$0.1998,$0.1999,$0,$0
ICH,"Sep 17, 2021",$0.2001,$0.2002,$0.1999,$0.1999,$0,$0
ICH,"Sep 16, 2021",$0.2001,$0.2001,$0.2,$0.2001,$0,$0
ICH,"Sep 15, 2021",$0.2001,$0.2002,$0.2,$0.2001,$0,$0
ICH,"Sep 14, 2021",$0.2,$0.2002,$0.2,$0.2001,$0,$0
ICH,"Sep 13, 2021",$0.1999,$0.2001,$0.1999,$0.2001,$0,$0
ICH,"Sep 12, 2021",$0.2002,$0.2002,$0.1999,$0.1999,$0,$0
ICH,"Sep 11, 2021",$0.2001,$0.2002,$0.1999,$0.2002,$0,$0
ICH,"Sep 10, 2021",$0.2,$0.2001,$0.2,$0.2001,$0,$0
ICH,"Sep 09, 2021",$0.2001,$0.2005,$0.2,$0.2,$0,$0
ICH,"Sep 08, 2021",$0.2001,$0.2001,$0.2,$0.2001,$0,$0
ICH,"Sep 07, 2021",$0.2,$0.2003,$0.1999,$0.2001,$0,$0
ICH,"Sep 06, 2021",$0.2001,$0.2002,$0.1999,$0.2,$0,$0
ICH,"Sep 05, 2021",$0.2001,$0.2001,$0.2,$0.2001,$0,$0
ICH,"Sep 04, 2021",$0.2,$0.2002,$0.2,$0.2001,$0,$0
ICH,"Sep 03, 2021",$0.2001,$0.2001,$0.2,$0.2,$0,$0
ICH,"Sep 02, 2021",$0.2001,$0.2001,$0.2,$0.2001,$0,$0
ICH,"Sep 01, 2021",$0.2001,$0.2002,$0.2,$0.2001,$0,$0
ICH,"Aug 31, 2021",$0.2001,$0.2002,$0.2,$0.2001,$0,$0
ICH,"Aug 30, 2021",$0.2002,$0.2003,$0.2,$0.2001,$0,$0
ICH,"Aug 29, 2021",$0.2001,$0.2003,$0.2,$0.2002,$0,$0
ICH,"Aug 28, 2021",$0.2001,$0.2003,$0.2,$0.2001,$0,$0
ICH,"Aug 27, 2021",$0.2001,$0.2002,$0.2,$0.2001,$0,$0
ICH,"Aug 26, 2021",$0.2001,$0.2001,$0.2,$0.2001,$0,$0
ICH,"Aug 25, 2021",$0.2001,$0.2001,$0.2,$0.2001,$0,$0
ICH,"Aug 24, 2021",$0.2002,$0.2002,$0.2,$0.2001,$0,$0
ICH,"Aug 23, 2021",$0.2002,$0.2002,$0.2,$0.2002,$0,$0
ICH,"Aug 22, 2021",$0.2001,$0.2004,$0.2,$0.2002,$0,$0
ICH,"Aug 21, 2021",$0.2001,$0.2002,$0.2,$0.2001,$0,$0
