symbol,date,open,high,low,close,volume,marketCap
ID,"Oct 22, 2021",$0.344,$0.3479,$0.3226,$0.327,"$103,071","$38,163,951"
ID,"Oct 21, 2021",$0.369,$0.374,$0.3345,$0.3442,"$480,597","$40,168,046"
ID,"Oct 20, 2021",$0.3143,$0.3773,$0.307,$0.3693,"$732,536","$43,099,187"
ID,"Oct 19, 2021",$0.3288,$0.3297,$0.3097,$0.3155,"$258,910","$36,817,233"
ID,"Oct 18, 2021",$0.3321,$0.3389,$0.3256,$0.3288,"$134,168","$38,365,811"
ID,"Oct 17, 2021",$0.3442,$0.3457,$0.3252,$0.3322,"$188,099","$38,762,042"
ID,"Oct 16, 2021",$0.3709,$0.3711,$0.3427,$0.3442,"$288,714","$40,170,757"
ID,"Oct 15, 2021",$0.3455,$0.3858,$0.345,$0.37,"$270,042","$43,176,365"
ID,"Oct 14, 2021",$0.3385,$0.3559,$0.3354,$0.3457,"$455,407","$40,348,341"
ID,"Oct 13, 2021",$0.3018,$0.3386,$0.2852,$0.3382,"$543,554","$39,473,310"
ID,"Oct 12, 2021",$0.3414,$0.3417,$0.2907,$0.3017,"$513,767","$35,212,892"
ID,"Oct 11, 2021",$0.3618,$0.3708,$0.3211,$0.3418,"$450,400","$39,889,962"
ID,"Oct 10, 2021",$0.3909,$0.4067,$0.3613,$0.3614,"$440,606","$42,169,683"
ID,"Oct 09, 2021",$0.4007,$0.4031,$0.3845,$0.3912,"$271,362","$45,652,225"
ID,"Oct 08, 2021",$0.4084,$0.4311,$0.4005,$0.4008,"$371,801","$46,774,217"
ID,"Oct 07, 2021",$0.4396,$0.4396,$0.3666,$0.4088,"$1,054,623","$47,710,085"
ID,"Oct 06, 2021",$0.4048,$0.449,$0.3846,$0.4396,"$553,654","$51,300,284"
ID,"Oct 05, 2021",$0.3027,$0.4432,$0.2893,$0.4054,"$1,978,798","$47,311,807"
ID,"Oct 04, 2021",$0.3151,$0.3161,$0.2981,$0.3027,"$317,361","$35,320,099"
ID,"Oct 03, 2021",$0.3248,$0.3285,$0.306,$0.315,"$217,179","$36,760,758"
ID,"Oct 02, 2021",$0.3598,$0.3599,$0.3246,$0.3253,"$260,026","$37,957,237"
ID,"Oct 01, 2021",$0.3647,$0.3677,$0.3347,$0.3598,"$556,391","$41,990,388"
ID,"Sep 30, 2021",$0.2457,$0.3706,$0.2447,$0.3647,"$1,108,309","$42,559,412"
ID,"Sep 29, 2021",$0.2417,$0.2533,$0.2409,$0.2458,"$71,102","$28,690,601"
ID,"Sep 28, 2021",$0.2451,$0.2495,$0.2378,$0.2419,"$56,305","$28,228,175"
ID,"Sep 27, 2021",$0.2607,$0.271,$0.2449,$0.2449,"$80,563","$28,581,390"
ID,"Sep 26, 2021",$0.2633,$0.2728,$0.2456,$0.2609,"$94,344","$30,442,938"
ID,"Sep 25, 2021",$0.2807,$0.2821,$0.2524,$0.2633,"$209,165","$30,732,927"
ID,"Sep 24, 2021",$0.2892,$0.2955,$0.2641,$0.2806,"$294,809","$32,746,054"
ID,"Sep 23, 2021",$0.2493,$0.2933,$0.2458,$0.2891,"$412,396","$33,733,409"
ID,"Sep 22, 2021",$0.2239,$0.2566,$0.2239,$0.2491,"$490,913","$29,073,902"
ID,"Sep 21, 2021",$0.2401,$0.2545,$0.217,$0.2239,"$195,757","$26,128,778"
ID,"Sep 20, 2021",$0.2874,$0.2874,$0.2392,$0.2403,"$132,611","$28,045,100"
ID,"Sep 19, 2021",$0.3012,$0.314,$0.2845,$0.2874,"$327,058","$33,542,924"
ID,"Sep 18, 2021",$0.2681,$0.3012,$0.2645,$0.3011,"$305,223","$35,136,681"
ID,"Sep 17, 2021",$0.3292,$0.3385,$0.2406,$0.2679,"$1,441,814","$31,265,170"
ID,"Sep 16, 2021",$0.3462,$0.3495,$0.3226,$0.3294,"$274,877","$38,438,699"
ID,"Sep 15, 2021",$0.3318,$0.3477,$0.3257,$0.3459,"$165,309","$40,370,077"
ID,"Sep 14, 2021",$0.3429,$0.3457,$0.3168,$0.3318,"$296,874","$38,717,652"
ID,"Sep 13, 2021",$0.3378,$0.3446,$0.3188,$0.342,"$164,688","$39,914,674"
ID,"Sep 12, 2021",$0.3462,$0.3546,$0.3297,$0.3378,"$212,490","$39,425,752"
ID,"Sep 11, 2021",$0.3214,$0.3536,$0.3214,$0.3462,"$220,465","$40,404,788"
ID,"Sep 10, 2021",$0.3567,$0.3675,$0.318,$0.3213,"$188,466","$37,497,225"
ID,"Sep 09, 2021",$0.2901,$0.365,$0.2545,$0.3567,"$1,028,718","$41,626,609"
ID,"Sep 08, 2021",$0.248,$0.2913,$0.2349,$0.2826,"$280,375","$32,984,518"
ID,"Sep 07, 2021",$0.2941,$0.3038,$0.2264,$0.2478,"$480,474","$28,916,636"
ID,"Sep 06, 2021",$0.3095,$0.3099,$0.2801,$0.2942,"$396,900","$34,330,969"
ID,"Sep 05, 2021",$0.3214,$0.3277,$0.3058,$0.3094,"$367,532","$36,104,584"
ID,"Sep 04, 2021",$0.3376,$0.3434,$0.3197,$0.3213,"$127,470","$37,497,486"
ID,"Sep 03, 2021",$0.3639,$0.3643,$0.3354,$0.3377,"$385,887","$39,407,209"
ID,"Sep 02, 2021",$0.3641,$0.3656,$0.352,$0.364,"$178,093","$42,476,890"
ID,"Sep 01, 2021",$0.3477,$0.364,$0.3303,$0.364,"$261,630","$42,482,240"
ID,"Aug 31, 2021",$0.3561,$0.3586,$0.3279,$0.3478,"$356,201","$40,585,095"
ID,"Aug 30, 2021",$0.3738,$0.374,$0.3425,$0.3561,"$361,811","$41,556,400"
ID,"Aug 29, 2021",$0.3471,$0.3962,$0.3318,$0.3742,"$614,035","$43,666,674"
ID,"Aug 28, 2021",$0.3849,$0.3987,$0.3389,$0.3471,"$571,219","$40,501,266"
ID,"Aug 27, 2021",$0.3484,$0.4227,$0.3403,$0.3848,"$822,779","$44,905,930"
ID,"Aug 26, 2021",$0.3668,$0.3898,$0.3435,$0.3483,"$402,984","$40,642,823"
ID,"Aug 25, 2021",$0.3766,$0.3776,$0.3439,$0.3664,"$610,652","$42,754,440"
ID,"Aug 24, 2021",$0.403,$0.415,$0.3726,$0.3759,"$558,236","$43,870,625"
ID,"Aug 23, 2021",$0.4047,$0.4285,$0.3904,$0.4029,"$531,000","$47,022,113"
ID,"Aug 22, 2021",$0.4089,$0.4428,$0.3835,$0.4046,"$769,287","$47,216,671"
ID,"Aug 21, 2021",$0.506,$0.5073,$0.3922,$0.409,"$1,054,592","$47,725,605"
ID,"Aug 20, 2021",$0.4999,$0.5184,$0.4922,$0.5058,"$611,534","$59,027,391"
ID,"Aug 19, 2021",$0.5012,$0.5051,$0.4496,$0.4994,"$636,711","$58,279,267"
ID,"Aug 18, 2021",$0.5105,$0.5332,$0.484,$0.5013,"$386,573","$58,502,048"
ID,"Aug 17, 2021",$0.525,$0.6022,$0.5089,$0.5109,"$694,486","$59,624,399"
ID,"Aug 16, 2021",$0.4981,$0.5614,$0.489,$0.525,"$1,168,042","$61,268,378"
ID,"Aug 15, 2021",$0.5167,$0.5277,$0.4787,$0.4979,"$255,107","$58,099,788"
ID,"Aug 14, 2021",$0.4957,$0.5434,$0.4785,$0.5166,"$583,156","$60,282,944"
ID,"Aug 13, 2021",$0.4864,$0.5459,$0.4812,$0.4959,"$1,373,358","$57,867,084"
ID,"Aug 12, 2021",$0.5125,$0.5342,$0.4663,$0.4871,"$453,253","$56,841,728"
ID,"Aug 11, 2021",$0.5382,$0.6251,$0.5114,$0.5124,"$1,595,395","$59,798,376"
ID,"Aug 10, 2021",$0.4563,$0.5736,$0.4424,$0.538,"$1,693,624","$62,785,166"
