,symbol,date,open,high,low,close,volume,marketCap
0,IDK,"Oct 19, 2021",$0.07078,$0.07114,$0.07076,$0.07092,"$640,866",$0
1,IDK,"Oct 18, 2021",$0.07098,$0.07114,$0.07063,$0.07078,"$474,840",$0
2,IDK,"Oct 17, 2021",$0.0711,$0.07117,$0.07098,$0.07098,"$510,265",$0
3,IDK,"Oct 16, 2021",$0.07103,$0.0711,$0.07103,$0.0711,"$892,281",$0
4,IDK,"Oct 15, 2021",$0.07114,$0.07133,$0.07083,$0.07103,"$597,416",$0
5,IDK,"Oct 14, 2021",$0.07047,$0.07117,$0.07028,$0.07114,"$584,533",$0
6,IDK,"Oct 13, 2021",$0.07031,$0.07048,$0.07004,$0.07047,"$705,742",$0
7,IDK,"Oct 12, 2021",$0.07041,$0.07055,$0.0702,$0.07031,"$747,658",$0
8,IDK,"Oct 11, 2021",$0.07024,$0.0705,$0.07024,$0.07041,"$459,746",$0
9,IDK,"Oct 10, 2021",$0.07007,$0.07024,$0.07007,$0.07024,"$140,242",$0
10,IDK,"Oct 09, 2021",$0.07007,$0.07014,$0.07,$0.07007,"$377,328",$0
11,IDK,"Oct 08, 2021",$0.07041,$0.07059,$0.07,$0.07007,"$291,597",$0
12,IDK,"Oct 07, 2021",$0.07026,$0.07054,$0.07004,$0.07041,"$319,323",$0
13,IDK,"Oct 06, 2021",$0.07032,$0.07037,$0.06976,$0.07026,"$367,699",$0
14,IDK,"Oct 05, 2021",$0.07009,$0.07033,$0.07,$0.07032,"$520,928",$0
15,IDK,"Oct 04, 2021",$0.06982,$0.07024,$0.06982,$0.07009,"$495,499",$0
16,IDK,"Oct 03, 2021",$0.06989,$0.06991,$0.06982,$0.06982,"$922,542",$0
17,IDK,"Oct 02, 2021",$0.06989,$0.06996,$0.06982,$0.06989,"$1,415,130",$0
18,IDK,"Oct 01, 2021",$0.06979,$0.07012,$0.06971,$0.06989,"$650,288",$0
19,IDK,"Sep 30, 2021",$0.06968,$0.07011,$0.06948,$0.06979,"$377,536",$0
20,IDK,"Sep 29, 2021",$0.06966,$0.07007,$0.06923,$0.06966,"$1,381,961",$0
21,IDK,"Sep 28, 2021",$0.06898,$0.07011,$0.06844,$0.06963,"$1,697,622",$0
22,IDK,"Sep 27, 2021",$0.06995,$0.07037,$0.06897,$0.06897,"$1,041,739",$0
23,IDK,"Sep 26, 2021",$0.06981,$0.07012,$0.06931,$0.06986,"$1,277,941",$0
24,IDK,"Sep 25, 2021",$0.06998,$0.0701,$0.06954,$0.06981,"$1,720,192",$0
25,IDK,"Sep 24, 2021",$0.07024,$0.07031,$0.06926,$0.06995,"$1,490,596",$0
26,IDK,"Sep 23, 2021",$0.07006,$0.07044,$0.06941,$0.07024,"$1,524,175",$0
27,IDK,"Sep 22, 2021",$0.06952,$0.07037,$0.06917,$0.07003,"$1,386,419",$0
28,IDK,"Sep 21, 2021",$0.06923,$0.07002,$0.06754,$0.0694,"$1,302,309",$0
29,IDK,"Sep 20, 2021",$0.06951,$0.06985,$0.06848,$0.06928,"$1,207,232",$0
30,IDK,"Sep 19, 2021",$0.06978,$0.06995,$0.06886,$0.06953,"$923,687",$0
31,IDK,"Sep 18, 2021",$0.06975,$0.07008,$0.06954,$0.06975,"$1,150,478",$0
32,IDK,"Sep 17, 2021",$0.07003,$0.07036,$0.06941,$0.06972,"$1,185,695",$0
33,IDK,"Sep 16, 2021",$0.07039,$0.07075,$0.06961,$0.07002,"$1,223,938",$0
34,IDK,"Sep 15, 2021",$0.07015,$0.07039,$0.06959,$0.07024,"$1,065,422",$0
35,IDK,"Sep 14, 2021",$0.06944,$0.07021,$0.06916,$0.07012,"$1,079,723",$0
36,IDK,"Sep 13, 2021",$0.07012,$0.0702,$0.06885,$0.06946,"$1,400,225",$0
37,IDK,"Sep 12, 2021",$0.06991,$0.07017,$0.06905,$0.07012,"$1,600,710",$0
38,IDK,"Sep 11, 2021",$0.06985,$0.07007,$0.06886,$0.0699,"$1,980,504",$0
39,IDK,"Sep 10, 2021",$0.06945,$0.07025,$0.06886,$0.06984,"$2,353,518",$0
40,IDK,"Sep 09, 2021",$0.0692,$0.07006,$0.06858,$0.06945,"$1,305,612",$0
41,IDK,"Sep 08, 2021",$0.06922,$0.07004,$0.06797,$0.06963,"$1,628,348",$0
42,IDK,"Sep 07, 2021",$0.06998,$0.07029,$0.06386,$0.06849,"$1,690,299",$0
43,IDK,"Sep 06, 2021",$0.07016,$0.07034,$0.06966,$0.06999,"$1,510,173",$0
44,IDK,"Sep 05, 2021",$0.07012,$0.07034,$0.06999,$0.07014,"$1,956,028",$0
45,IDK,"Sep 04, 2021",$0.07019,$0.07026,$0.06998,$0.07011,"$2,785,541",$0
46,IDK,"Sep 03, 2021",$0.0702,$0.07065,$0.06986,$0.07017,"$1,818,226",$0
47,IDK,"Sep 02, 2021",$0.07033,$0.07051,$0.06986,$0.0702,"$1,571,981",$0
48,IDK,"Sep 01, 2021",$0.06969,$0.07037,$0.06931,$0.07022,"$1,417,479",$0
