symbol,date,open,high,low,close,volume,marketCap
INNBC,"Oct 29, 2021",$0.0000006331,$0.0000009088,$0.0000005729,$0.0000006562,$167,"$248,708"
INNBC,"Oct 28, 2021",$0.0000005496,$0.00000076,$0.0000005415,$0.000000633,$85,"$238,003"
INNBC,"Oct 27, 2021",$0.0000005686,$0.0000005689,$0.0000004955,$0.0000005496,$197,"$206,653"
INNBC,"Oct 26, 2021",$0.000000591,$0.000001013,$0.0000005204,$0.0000005686,$535,"$209,815"
INNBC,"Oct 25, 2021",$0.0000005995,$0.0000008214,$0.0000005747,$0.000000591,$90,"$218,071"
INNBC,"Oct 24, 2021",$0.0000006027,$0.0000006064,$0.0000005583,$0.0000005996,$149,"$221,237"
INNBC,"Oct 23, 2021",$0.0000006434,$0.0000008215,$0.0000006022,$0.0000006027,$202,"$222,389"
INNBC,"Oct 22, 2021",$0.000000665,$0.0000009373,$0.0000006271,$0.0000006434,$379,"$235,463"
INNBC,"Oct 21, 2021",$0.0000006649,$0.0000006889,$0.0000006016,$0.000000665,$287,"$243,380"
INNBC,"Oct 20, 2021",$0.0000006961,$0.0000007005,$0.0000006478,$0.0000006648,$170,"$243,313"
INNBC,"Oct 19, 2021",$0.0000006999,$0.0000007313,$0.0000006514,$0.0000006961,$263,"$252,684"
INNBC,"Oct 18, 2021",$0.0000007505,$0.0000007509,$0.0000006197,$0.0000006999,$112,"$254,054"
INNBC,"Oct 17, 2021",$0.0000007927,$0.0000007927,$0.0000007078,$0.0000007505,$27,"$270,167"
INNBC,"Oct 16, 2021",$0.0000007397,$0.0000008197,$0.0000006681,$0.0000007927,$222,"$275,459"
INNBC,"Oct 15, 2021",$0.0000007144,$0.0000009745,$0.0000006396,$0.0000007397,$53,"$257,053"
INNBC,"Oct 14, 2021",$0.0000006315,$0.0000008199,$0.0000006201,$0.0000007145,$674,"$248,265"
INNBC,"Oct 13, 2021",$0.0000006394,$0.0000006455,$0.0000006043,$0.0000006314,$66,"$219,421"
INNBC,"Oct 12, 2021",$0.000000585,$0.000000713,$0.0000005618,$0.0000006393,$135,"$222,149"
INNBC,"Oct 11, 2021",$0.0000007364,$0.0000007371,$0.0000002575,$0.0000005848,$348,"$203,215"
INNBC,"Oct 10, 2021",$0.0000007407,$0.0000007409,$0.0000007018,$0.0000007365,$7,"$254,070"
INNBC,"Oct 09, 2021",$0.0000006987,$0.0000008204,$0.0000006899,$0.0000007408,$12,"$253,713"
INNBC,"Oct 08, 2021",$0.0000007446,$0.0000007959,$0.0000006706,$0.0000006986,$223,"$239,265"
INNBC,"Oct 07, 2021",$0.0000007166,$0.0000007515,$0.0000007038,$0.0000007445,$130,"$251,273"
INNBC,"Oct 06, 2021",$0.0000008912,$0.0000009124,$0.000000617,$0.0000007169,$144,"$241,935"
