,symbol,date,open,high,low,close,volume,marketCap
0,INST,"Oct 20, 2021",$4.48,$4.92,$4.21,$4.83,"$225,331",$0
1,INST,"Oct 19, 2021",$4.16,$4.68,$4.05,$4.48,"$200,698",$0
2,INST,"Oct 18, 2021",$4.56,$4.77,$4.10,$4.16,"$479,247",$0
3,INST,"Oct 17, 2021",$4.56,$4.96,$4.47,$4.56,"$218,479",$0
4,INST,"Oct 16, 2021",$4.27,$4.99,$4.26,$4.56,"$295,949",$0
5,INST,"Oct 15, 2021",$4.42,$5.01,$4.25,$4.27,"$564,394",$0
6,INST,"Oct 14, 2021",$4.29,$4.78,$4.22,$4.42,"$246,549",$0
7,INST,"Oct 13, 2021",$4.13,$4.53,$4.01,$4.29,"$254,716",$0
8,INST,"Oct 12, 2021",$4.07,$4.28,$3.89,$4.13,"$300,713",$0
9,INST,"Oct 11, 2021",$4.19,$4.52,$3.74,$4.07,"$633,594",$0
10,INST,"Oct 10, 2021",$4.41,$4.43,$4.06,$4.19,"$439,104",$0
11,INST,"Oct 09, 2021",$4.45,$4.65,$4.24,$4.41,"$1,256,852",$0
12,INST,"Oct 08, 2021",$4.35,$4.63,$4.25,$4.45,"$1,287,025",$0
13,INST,"Oct 07, 2021",$4.24,$4.67,$4.02,$4.35,"$503,692",$0
14,INST,"Oct 06, 2021",$4.44,$4.47,$4.21,$4.24,"$607,419",$0
15,INST,"Oct 05, 2021",$4.27,$5.10,$4.02,$4.44,"$1,453,249",$0
16,INST,"Oct 04, 2021",$4.76,$4.86,$4.06,$4.27,"$1,066,296",$0
17,INST,"Oct 03, 2021",$4.81,$4.91,$4.60,$4.76,"$1,014,453",$0
18,INST,"Oct 02, 2021",$4.83,$4.92,$4.54,$4.81,"$563,193",$0
19,INST,"Oct 01, 2021",$4.30,$5.01,$4.27,$4.83,"$385,021",$0
20,INST,"Sep 30, 2021",$4.15,$4.39,$4.05,$4.30,"$554,148",$0
21,INST,"Sep 29, 2021",$4.40,$4.62,$4.03,$4.15,"$385,551",$0
22,INST,"Sep 28, 2021",$4.82,$5.09,$4.30,$4.40,"$560,148",$0
23,INST,"Sep 27, 2021",$4.84,$4.94,$4.55,$4.82,"$346,647",$0
24,INST,"Sep 26, 2021",$4.37,$5.40,$4.04,$4.84,"$243,887",$0
25,INST,"Sep 25, 2021",$4.67,$4.74,$4.34,$4.37,"$781,348",$0
26,INST,"Sep 24, 2021",$5.53,$5.59,$4.49,$4.67,"$560,742",$0
27,INST,"Sep 23, 2021",$5.00,$5.62,$4.79,$5.53,"$152,146",$0
28,INST,"Sep 22, 2021",$4.28,$5.10,$4.28,$5.00,"$313,529",$0
29,INST,"Sep 21, 2021",$4.83,$5.06,$4.28,$4.28,"$749,829",$0
30,INST,"Sep 20, 2021",$5.52,$5.55,$4.84,$4.84,"$1,208,527",$0
31,INST,"Sep 19, 2021",$5.73,$6.01,$5.43,$5.52,"$901,648",$0
32,INST,"Sep 18, 2021",$6.28,$6.33,$5.73,$5.73,"$1,148,385",$0
33,INST,"Sep 17, 2021",$7.15,$7.20,$6.26,$6.28,"$1,585,184",$0
34,INST,"Sep 16, 2021",$6.95,$7.20,$6.62,$7.15,"$2,697,625",$0
35,INST,"Sep 15, 2021",$6.85,$7.19,$6.32,$6.95,"$981,270",$0
36,INST,"Sep 14, 2021",$5.82,$6.90,$5.73,$6.85,"$1,674,510",$0
37,INST,"Sep 13, 2021",$6.95,$6.97,$5.33,$5.82,"$1,932,578",$0
38,INST,"Sep 12, 2021",$6.62,$7.21,$6.62,$6.95,"$604,526",$0
39,INST,"Sep 11, 2021",$6.70,$6.84,$6.36,$6.62,"$1,086,482",$0
40,INST,"Sep 10, 2021",$7.11,$7.74,$6.66,$6.70,"$588,420",$0
41,INST,"Sep 09, 2021",$7.29,$7.68,$7.08,$7.11,"$1,213,294",$0
