symbol,date,open,high,low,close,volume,marketCap
INVE,"Oct 29, 2021",$0.002397,$0.002397,$0.001704,$0.001704,$124,"$217,929"
INVE,"Oct 28, 2021",$0.001906,$0.002997,$0.001802,$0.002397,$226,"$306,562"
INVE,"Oct 27, 2021",$0.001365,$0.004003,$0.001364,$0.001907,$884,"$243,835"
INVE,"Oct 26, 2021",$0.001197,$0.005598,$0.001197,$0.001365,"$1,324","$174,615"
INVE,"Oct 25, 2021",$0.0012,$0.0012,$0.001109,$0.001197,$14,"$153,132"
INVE,"Oct 24, 2021",$0.001723,$0.00173,$0.001,$0.0012,$210,"$153,515"
INVE,"Oct 23, 2021",$0.001729,$0.00173,$0.001563,$0.001723,$8,"$220,420"
INVE,"Oct 22, 2021",$0.001756,$0.001756,$0.001563,$0.001729,$44,"$221,096"
INVE,"Oct 21, 2021",$0.001983,$0.001983,$0.001755,$0.001756,$7,"$224,549"
INVE,"Oct 20, 2021",$0.002197,$0.002199,$0.001982,$0.001983,$5,"$253,577"
INVE,"Oct 19, 2021",$0.002199,$0.002199,$0.002196,$0.002197,$0,"$281,010"
INVE,"Oct 18, 2021",$0.0023,$0.0023,$0.001563,$0.002199,$153,"$281,250"
INVE,"Oct 17, 2021",$0.001509,$0.002499,$0.001509,$0.0023,$49,"$294,108"
INVE,"Oct 16, 2021",$0.0024,$0.0027,$0.001506,$0.001509,$128,"$193,002"
INVE,"Oct 15, 2021",$0.001261,$0.005,$0.00126,$0.0024,"$1,426","$306,934"
INVE,"Oct 14, 2021",$0.001215,$0.001261,$0.001215,$0.001261,$1,"$161,279"
INVE,"Oct 13, 2021",$0.00183,$0.001831,$0.001171,$0.001215,$4,"$155,410"
INVE,"Oct 12, 2021",$0.001139,$0.001832,$0.001138,$0.00183,$8,"$234,039"
INVE,"Oct 11, 2021",$0.001832,$0.001832,$0.001133,$0.001139,$13,"$145,633"
INVE,"Oct 10, 2021",$0.00182,$0.001832,$0.001112,$0.001832,$29,"$234,259"
INVE,"Oct 09, 2021",$0.001831,$0.001832,$0.00182,$0.00182,$13,"$232,801"
INVE,"Oct 08, 2021",$0.001832,$0.00281,$0.001831,$0.001831,$4,"$234,185"
INVE,"Oct 07, 2021",$0.00194,$0.001941,$0.00183,$0.001832,$0,"$234,254"
INVE,"Oct 06, 2021",$0.001941,$0.001941,$0.001938,$0.00194,$2,"$248,088"
INVE,"Oct 05, 2021",$0.00194,$0.001942,$0.001901,$0.001941,$7,"$248,229"
INVE,"Oct 04, 2021",$0.00228,$0.002281,$0.001939,$0.00194,$2,"$248,081"
INVE,"Oct 03, 2021",$0.002739,$0.002787,$0.00228,$0.002281,$51,"$291,669"
INVE,"Oct 02, 2021",$0.002695,$0.002777,$0.002671,$0.00274,$0,"$350,411"
INVE,"Oct 01, 2021",$0.00195,$0.002707,$0.00195,$0.002696,$0,"$344,808"
INVE,"Sep 30, 2021",$0.002281,$0.002684,$0.001949,$0.00195,$52,"$249,433"
INVE,"Sep 29, 2021",$0.00243,$0.002462,$0.002279,$0.002281,$10,"$291,688"
INVE,"Sep 28, 2021",$0.001941,$0.00247,$0.00194,$0.002428,$0,"$310,471"
INVE,"Sep 27, 2021",$0.001981,$0.001982,$0.00194,$0.001941,$67,"$248,239"
INVE,"Sep 26, 2021",$0.002393,$0.002808,$0.001981,$0.001981,$0,"$253,418"
INVE,"Sep 25, 2021",$0.001952,$0.002393,$0.001941,$0.002393,$46,"$305,987"
INVE,"Sep 24, 2021",$0.002232,$0.003303,$0.001941,$0.001952,$188,"$249,613"
INVE,"Sep 23, 2021",$0.00194,$0.002234,$0.00194,$0.002232,$1,"$285,468"
INVE,"Sep 22, 2021",$0.002231,$0.002233,$0.00194,$0.00194,$29,"$248,126"
INVE,"Sep 21, 2021",$0.001961,$0.002231,$0.001961,$0.002231,$2,"$285,353"
INVE,"Sep 20, 2021",$0.002415,$0.002469,$0.001942,$0.001961,$12,"$250,811"
INVE,"Sep 19, 2021",$0.002476,$0.006114,$0.002415,$0.002415,$3,"$308,835"
INVE,"Sep 18, 2021",$0.002101,$0.00248,$0.001939,$0.002476,$38,"$316,634"
INVE,"Sep 17, 2021",$0.002094,$0.002492,$0.002094,$0.002101,$11,"$268,727"
INVE,"Sep 16, 2021",$0.001941,$0.006278,$0.001941,$0.002094,$10,"$267,771"
INVE,"Sep 15, 2021",$0.001943,$0.001944,$0.00194,$0.001941,$2,"$248,194"
INVE,"Sep 14, 2021",$0.0025,$0.002502,$0.001943,$0.001943,$4,"$248,506"
INVE,"Sep 13, 2021",$0.001932,$0.0025,$0.00193,$0.0025,$13,"$319,716"
INVE,"Sep 12, 2021",$0.001934,$0.002501,$0.001932,$0.001932,$6,"$247,126"
INVE,"Sep 11, 2021",$0.001961,$0.002492,$0.001932,$0.001934,$13,"$247,351"
INVE,"Sep 10, 2021",$0.002476,$0.002491,$0.00196,$0.001961,$3,"$250,734"
INVE,"Sep 09, 2021",$0.002699,$0.002699,$0.001956,$0.002476,$73,"$316,711"
INVE,"Sep 08, 2021",$0.002003,$0.003501,$0.001951,$0.002699,$149,"$345,158"
INVE,"Sep 07, 2021",$0.001891,$0.006006,$0.00189,$0.002003,$535,"$256,214"
INVE,"Sep 06, 2021",$0.00189,$0.002431,$0.001889,$0.001891,$107,"$241,806"
INVE,"Sep 05, 2021",$0.001892,$0.006659,$0.00189,$0.001891,$28,"$241,791"
INVE,"Sep 04, 2021",$0.00192,$0.001921,$0.001892,$0.001892,$9,"$241,978"
