symbol,date,open,high,low,close,volume,marketCap
KAVA,"Oct 29, 2021",$5.54,$5.71,$5.50,$5.67,"$107,397,586","$518,229,418"
KAVA,"Oct 28, 2021",$5.30,$5.58,$5.26,$5.53,"$111,357,794","$505,728,611"
KAVA,"Oct 27, 2021",$5.92,$6.00,$5.03,$5.26,"$124,057,279","$481,362,161"
KAVA,"Oct 26, 2021",$5.78,$6.18,$5.77,$5.93,"$110,968,662","$542,246,937"
KAVA,"Oct 25, 2021",$5.65,$5.79,$5.62,$5.78,"$100,695,928","$528,815,685"
KAVA,"Oct 24, 2021",$5.80,$5.87,$5.53,$5.65,"$97,374,818","$517,105,815"
KAVA,"Oct 23, 2021",$5.73,$5.94,$5.68,$5.80,"$121,421,114","$530,232,399"
KAVA,"Oct 22, 2021",$5.64,$5.95,$5.64,$5.73,"$125,760,599","$523,965,661"
KAVA,"Oct 21, 2021",$5.73,$5.87,$5.57,$5.64,"$118,479,307","$515,523,907"
KAVA,"Oct 20, 2021",$5.48,$5.85,$5.43,$5.72,"$121,334,382","$523,076,233"
KAVA,"Oct 19, 2021",$5.42,$5.53,$5.37,$5.49,"$121,743,504","$501,643,302"
KAVA,"Oct 18, 2021",$5.53,$5.72,$5.39,$5.42,"$112,511,210","$495,316,754"
KAVA,"Oct 17, 2021",$5.71,$5.82,$5.35,$5.53,"$107,143,108","$505,942,106"
KAVA,"Oct 16, 2021",$5.73,$5.89,$5.67,$5.70,"$102,279,006","$521,290,055"
KAVA,"Oct 15, 2021",$6.03,$6.03,$5.69,$5.72,"$123,340,654","$523,037,616"
KAVA,"Oct 14, 2021",$5.96,$6.23,$5.91,$6.01,"$106,121,411","$550,001,441"
KAVA,"Oct 13, 2021",$5.79,$5.97,$5.69,$5.96,"$110,415,922","$545,107,975"
KAVA,"Oct 12, 2021",$6.07,$6.07,$5.54,$5.80,"$114,329,384","$530,389,200"
KAVA,"Oct 11, 2021",$6.18,$6.41,$5.90,$6.07,"$111,822,552","$555,099,263"
KAVA,"Oct 10, 2021",$6.74,$6.74,$6.16,$6.19,"$112,654,419","$566,007,154"
KAVA,"Oct 09, 2021",$6.57,$6.85,$6.40,$6.74,"$139,586,333","$615,894,531"
KAVA,"Oct 08, 2021",$6.50,$6.67,$6.27,$6.58,"$125,025,696","$602,060,372"
KAVA,"Oct 07, 2021",$6.34,$6.58,$6.12,$6.49,"$121,289,336","$593,917,992"
KAVA,"Oct 06, 2021",$6.40,$6.48,$6.02,$6.34,"$67,358,448","$579,601,304"
KAVA,"Oct 05, 2021",$6.23,$6.43,$6.12,$6.40,"$62,932,531","$585,484,449"
KAVA,"Oct 04, 2021",$6.53,$6.58,$6.01,$6.23,"$100,069,233","$569,737,897"
KAVA,"Oct 03, 2021",$6.05,$6.64,$5.93,$6.55,"$151,814,503","$599,032,792"
KAVA,"Oct 02, 2021",$5.83,$6.50,$5.68,$6.06,"$133,933,825","$554,490,854"
KAVA,"Oct 01, 2021",$5.39,$5.88,$5.37,$5.83,"$127,369,617","$533,488,255"
KAVA,"Sep 30, 2021",$5.08,$5.52,$5.06,$5.39,"$145,948,367","$492,521,556"
KAVA,"Sep 29, 2021",$5.13,$5.40,$4.98,$5.09,"$145,365,340","$465,078,001"
KAVA,"Sep 28, 2021",$5.55,$5.57,$5.11,$5.12,"$139,933,992","$468,379,227"
KAVA,"Sep 27, 2021",$5.65,$6.08,$5.56,$5.56,"$153,734,818","$508,765,036"
KAVA,"Sep 26, 2021",$5.91,$5.92,$5.32,$5.63,"$161,075,604","$515,262,351"
KAVA,"Sep 25, 2021",$6.35,$6.35,$5.78,$5.90,"$141,013,547","$539,826,043"
KAVA,"Sep 24, 2021",$6.05,$6.49,$5.44,$6.36,"$260,725,904","$581,263,526"
KAVA,"Sep 23, 2021",$5.50,$6.07,$5.34,$6.05,"$153,208,947","$553,056,917"
KAVA,"Sep 22, 2021",$4.67,$5.61,$4.56,$5.50,"$216,321,829","$503,148,406"
KAVA,"Sep 21, 2021",$5.12,$5.32,$4.60,$4.66,"$119,960,035","$426,490,248"
KAVA,"Sep 20, 2021",$6.01,$6.01,$4.97,$5.09,"$135,427,744","$465,571,435"
KAVA,"Sep 19, 2021",$6.27,$6.32,$5.92,$6.01,"$104,377,175","$549,159,814"
KAVA,"Sep 18, 2021",$6.13,$6.37,$6.07,$6.28,"$111,830,337","$574,020,359"
KAVA,"Sep 17, 2021",$6.40,$6.62,$6.02,$6.12,"$145,928,488","$560,031,906"
KAVA,"Sep 16, 2021",$6.47,$6.51,$6.20,$6.40,"$59,783,193","$585,313,811"
KAVA,"Sep 15, 2021",$6.39,$6.59,$6.22,$6.48,"$53,545,623","$592,455,294"
KAVA,"Sep 14, 2021",$6.28,$6.38,$6.09,$6.38,"$57,077,491","$583,391,262"
KAVA,"Sep 13, 2021",$6.84,$6.87,$5.91,$6.28,"$101,345,826","$573,999,239"
KAVA,"Sep 12, 2021",$6.30,$6.84,$6.29,$6.81,"$87,460,183","$622,704,251"
KAVA,"Sep 11, 2021",$6.34,$6.50,$6.17,$6.29,"$61,308,884","$575,402,613"
KAVA,"Sep 10, 2021",$6.74,$7.13,$6.07,$6.35,"$120,239,001","$580,376,569"
KAVA,"Sep 09, 2021",$6.10,$9.19,$6.04,$6.74,"$146,328,806","$616,721,960"
KAVA,"Sep 08, 2021",$6.14,$6.36,$5.43,$6.22,"$118,451,537","$568,971,456"
KAVA,"Sep 07, 2021",$7.81,$7.89,$5.40,$6.14,"$187,702,198","$561,604,766"
KAVA,"Sep 06, 2021",$7.99,$8.12,$7.44,$7.81,"$125,334,615","$714,343,190"
KAVA,"Sep 05, 2021",$8.06,$8.06,$7.84,$7.99,"$101,506,229","$730,523,170"
KAVA,"Sep 04, 2021",$8.06,$8.18,$7.88,$8.07,"$126,952,838","$737,912,805"
KAVA,"Sep 03, 2021",$8.13,$8.16,$7.94,$8.06,"$147,441,508","$737,342,071"
KAVA,"Sep 02, 2021",$8.18,$8.36,$7.93,$8.16,"$197,619,443","$746,405,935"
KAVA,"Sep 01, 2021",$7.57,$8.19,$7.41,$8.19,"$243,761,701","$748,568,240"
KAVA,"Aug 31, 2021",$7.80,$8.29,$7.41,$7.60,"$268,151,108","$694,566,119"
KAVA,"Aug 30, 2021",$8.39,$9.18,$7.67,$7.77,"$436,224,506","$710,342,437"
KAVA,"Aug 29, 2021",$8.68,$8.70,$7.97,$8.40,"$221,607,312","$683,902,350"
KAVA,"Aug 28, 2021",$8.16,$8.66,$7.83,$8.66,"$199,484,262","$705,076,922"
KAVA,"Aug 27, 2021",$7.64,$8.16,$7.23,$8.15,"$277,705,365","$663,827,635"
KAVA,"Aug 26, 2021",$8.09,$8.10,$7.44,$7.58,"$146,950,292","$617,445,129"
