symbol,date,open,high,low,close,volume,marketCap
KEK,"Oct 22, 2021",$0.06875,$0.07068,$0.06668,$0.06884,"$103,619",$0
KEK,"Oct 21, 2021",$0.07037,$0.0803,$0.06756,$0.06883,"$255,814",$0
KEK,"Oct 20, 2021",$0.06487,$0.07049,$0.06385,$0.07049,"$68,718",$0
KEK,"Oct 19, 2021",$0.06463,$0.06699,$0.0641,$0.06518,"$105,972",$0
KEK,"Oct 18, 2021",$0.0663,$0.0671,$0.06393,$0.06462,"$24,018",$0
KEK,"Oct 17, 2021",$0.06584,$0.06734,$0.06422,$0.06624,"$11,114",$0
KEK,"Oct 16, 2021",$0.0658,$0.06635,$0.06371,$0.06584,"$34,286",$0
KEK,"Oct 15, 2021",$0.06512,$0.06906,$0.06139,$0.06571,"$140,567",$0
KEK,"Oct 14, 2021",$0.06022,$0.06719,$0.06017,$0.0652,"$62,472",$0
KEK,"Oct 13, 2021",$0.06245,$0.06283,$0.05795,$0.06018,"$36,612",$0
KEK,"Oct 12, 2021",$0.06907,$0.06913,$0.06102,$0.06243,"$40,210",$0
KEK,"Oct 11, 2021",$0.06528,$0.06945,$0.06482,$0.06911,"$24,921",$0
KEK,"Oct 10, 2021",$0.06799,$0.06863,$0.06529,$0.06534,"$7,380",$0
KEK,"Oct 09, 2021",$0.06735,$0.07075,$0.06613,$0.06807,"$118,439",$0
KEK,"Oct 08, 2021",$0.06266,$0.06814,$0.06199,$0.06738,"$49,371",$0
KEK,"Oct 07, 2021",$0.05831,$0.06386,$0.05747,$0.06274,"$57,253",$0
KEK,"Oct 06, 2021",$0.05545,$0.05864,$0.05141,$0.05827,"$13,485",$0
KEK,"Oct 05, 2021",$0.05297,$0.05585,$0.05248,$0.05554,"$4,552",$0
KEK,"Oct 04, 2021",$0.05535,$0.05624,$0.05269,$0.05295,"$26,263",$0
KEK,"Oct 03, 2021",$0.05176,$0.05681,$0.05128,$0.05532,"$33,812",$0
KEK,"Oct 02, 2021",$0.04783,$0.0527,$0.04752,$0.05183,"$20,015",$0
KEK,"Oct 01, 2021",$0.043,$0.04812,$0.0425,$0.04783,"$14,196",$0
KEK,"Sep 30, 2021",$0.04268,$0.04377,$0.04257,$0.043,"$16,328",$0
KEK,"Sep 29, 2021",$0.04167,$0.04627,$0.04165,$0.04272,"$59,581",$0
KEK,"Sep 28, 2021",$0.04612,$0.04655,$0.04164,$0.04172,"$17,316",$0
KEK,"Sep 27, 2021",$0.04263,$0.04776,$0.04219,$0.04612,"$51,969",$0
KEK,"Sep 26, 2021",$0.04259,$0.04437,$0.03996,$0.04266,"$11,263",$0
KEK,"Sep 25, 2021",$0.04245,$0.04396,$0.04187,$0.04259,"$26,764",$0
KEK,"Sep 24, 2021",$0.04642,$0.04654,$0.04032,$0.04244,"$12,722",$0
KEK,"Sep 23, 2021",$0.05048,$0.05118,$0.04486,$0.04642,"$49,911",$0
KEK,"Sep 22, 2021",$0.04302,$0.05095,$0.04302,$0.05046,"$77,240",$0
KEK,"Sep 21, 2021",$0.04911,$0.05092,$0.04252,$0.04302,"$18,259",$0
KEK,"Sep 20, 2021",$0.05627,$0.05636,$0.04888,$0.04911,"$8,871",$0
KEK,"Sep 19, 2021",$0.05209,$0.05818,$0.04995,$0.05627,"$271,726",$0
KEK,"Sep 18, 2021",$0.05118,$0.05403,$0.05081,$0.05207,"$9,607",$0
KEK,"Sep 17, 2021",$0.05555,$0.05582,$0.05061,$0.05115,"$13,379",$0
KEK,"Sep 16, 2021",$0.05865,$0.05889,$0.05469,$0.05559,"$20,402",$0
KEK,"Sep 15, 2021",$0.05344,$0.0617,$0.05332,$0.05863,"$106,416",$0
KEK,"Sep 14, 2021",$0.05391,$0.0549,$0.05306,$0.05343,"$17,340",$0
KEK,"Sep 13, 2021",$0.06161,$0.06209,$0.0528,$0.0539,"$71,640",$0
KEK,"Sep 12, 2021",$0.0601,$0.06336,$0.05881,$0.06162,"$20,643",$0
KEK,"Sep 11, 2021",$0.05966,$0.06167,$0.05898,$0.06011,"$25,347",$0
KEK,"Sep 10, 2021",$0.06675,$0.06821,$0.059,$0.05965,"$25,670",$0
KEK,"Sep 09, 2021",$0.06468,$0.07355,$0.06208,$0.06676,"$97,388",$0
KEK,"Sep 08, 2021",$0.06123,$0.06695,$0.05907,$0.06358,"$94,805",$0
KEK,"Sep 07, 2021",$0.07082,$0.07989,$0.06033,$0.06118,"$424,532",$0
KEK,"Sep 06, 2021",$0.05332,$0.07112,$0.05317,$0.07084,"$254,048",$0
KEK,"Sep 05, 2021",$0.04733,$0.05348,$0.04702,$0.05332,"$34,228",$0
KEK,"Sep 04, 2021",$0.04681,$0.04932,$0.04614,$0.04736,"$33,487",$0
KEK,"Sep 03, 2021",$0.04576,$0.04689,$0.04413,$0.0468,"$17,535",$0
KEK,"Sep 02, 2021",$0.04701,$0.04709,$0.04489,$0.04577,"$30,768",$0
KEK,"Sep 01, 2021",$0.04097,$0.04708,$0.04055,$0.04701,"$47,360",$0
KEK,"Aug 31, 2021",$0.04671,$0.04934,$0.04098,$0.04098,"$76,562",$0
KEK,"Aug 30, 2021",$0.03576,$0.04849,$0.03532,$0.04674,"$168,968",$0
KEK,"Aug 29, 2021",$0.0359,$0.03641,$0.03453,$0.03579,"$12,267",$0
KEK,"Aug 28, 2021",$0.03574,$0.03622,$0.03533,$0.03586,"$9,983",$0
KEK,"Aug 27, 2021",$0.03437,$0.03587,$0.03388,$0.03573,"$2,863",$0
KEK,"Aug 26, 2021",$0.03688,$0.03713,$0.03411,$0.03431,"$18,100",$0
KEK,"Aug 25, 2021",$0.03632,$0.03717,$0.03557,$0.03685,"$4,051",$0
KEK,"Aug 24, 2021",$0.03883,$0.04007,$0.03586,$0.03632,"$33,540",$0
KEK,"Aug 23, 2021",$0.03502,$0.03935,$0.03497,$0.03883,"$52,957",$0
KEK,"Aug 22, 2021",$0.03454,$0.03528,$0.03402,$0.03501,"$5,087",$0
KEK,"Aug 21, 2021",$0.0345,$0.03487,$0.03386,$0.03455,"$11,497",$0
KEK,"Aug 20, 2021",$0.03386,$0.03549,$0.03386,$0.03448,"$9,238",$0
KEK,"Aug 19, 2021",$0.03258,$0.03402,$0.03185,$0.03382,"$16,413",$0
KEK,"Aug 18, 2021",$0.03151,$0.03368,$0.03126,$0.03258,"$14,346",$0
KEK,"Aug 17, 2021",$0.03348,$0.03476,$0.03133,$0.03154,"$7,777",$0
KEK,"Aug 16, 2021",$0.03472,$0.03527,$0.03342,$0.03347,"$9,484",$0
KEK,"Aug 15, 2021",$0.03436,$0.03475,$0.03281,$0.03469,"$1,124",$0
KEK,"Aug 14, 2021",$0.03432,$0.03498,$0.03382,$0.03434,"$4,899",$0
KEK,"Aug 13, 2021",$0.03182,$0.03457,$0.03177,$0.03433,"$14,084",$0
KEK,"Aug 12, 2021",$0.03345,$0.03422,$0.03129,$0.03186,"$6,579",$0
KEK,"Aug 11, 2021",$0.03318,$0.03445,$0.03309,$0.03342,"$9,982",$0
KEK,"Aug 10, 2021",$0.0341,$0.03507,$0.03297,$0.03317,"$13,027",$0
KEK,"Aug 09, 2021",$0.03256,$0.03429,$0.03147,$0.03408,$0,$0
KEK,"Aug 08, 2021",$0.03599,$0.03626,$0.03203,$0.03258,"$16,702",$0
KEK,"Aug 07, 2021",$0.03705,$0.04032,$0.035,$0.03602,"$43,768",$0
KEK,"Aug 06, 2021",$0.0383,$0.0388,$0.03697,$0.03705,"$23,482",$0
KEK,"Aug 05, 2021",$0.03722,$0.03837,$0.03516,$0.0383,"$1,834",$0
KEK,"Aug 04, 2021",$0.0378,$0.03961,$0.03634,$0.03721,"$35,378",$0
KEK,"Aug 03, 2021",$0.03903,$0.03923,$0.0368,$0.03781,"$2,484",$0
KEK,"Aug 02, 2021",$0.03849,$0.03974,$0.03773,$0.03901,"$3,713",$0
KEK,"Aug 01, 2021",$0.03773,$0.04006,$0.03753,$0.03847,"$1,005",$0
KEK,"Jul 31, 2021",$0.03666,$0.03792,$0.03602,$0.03775,$0,$0
