,symbol,date,open,high,low,close,volume,marketCap
0,KING,"Oct 19, 2021",$0.3526,$0.408,$0.3317,$0.3832,"$1,067,309",$0
1,KING,"Oct 18, 2021",$0.3565,$0.3865,$0.3218,$0.3526,"$849,009",$0
2,KING,"Oct 17, 2021",$0.2967,$0.3566,$0.2855,$0.3565,"$388,897",$0
3,KING,"Oct 16, 2021",$0.2983,$0.306,$0.2876,$0.2967,"$416,729",$0
4,KING,"Oct 15, 2021",$0.2681,$0.3218,$0.2496,$0.2983,"$662,409",$0
5,KING,"Oct 14, 2021",$0.3296,$0.3351,$0.2639,$0.2681,"$826,113",$0
6,KING,"Oct 13, 2021",$0.3823,$0.3862,$0.3034,$0.3295,"$1,280,794",$0
7,KING,"Oct 12, 2021",$0.4156,$0.478,$0.3508,$0.3823,"$1,266,224",$0
8,KING,"Oct 11, 2021",$0.4394,$0.4592,$0.3724,$0.4156,"$1,326,901",$0
9,KING,"Oct 10, 2021",$0.4917,$0.5603,$0.4265,$0.4394,"$1,604,234",$0
10,KING,"Oct 09, 2021",$0.3348,$0.5163,$0.3331,$0.4917,"$1,020,758",$0
11,KING,"Oct 08, 2021",$0.3292,$0.3657,$0.3105,$0.3349,"$729,360",$0
12,KING,"Oct 07, 2021",$0.3536,$0.3594,$0.3148,$0.3292,"$1,172,373",$0
13,KING,"Oct 06, 2021",$0.3183,$0.3795,$0.3092,$0.3536,"$2,565,737",$0
14,KING,"Oct 05, 2021",$0.4819,$0.5109,$0.2976,$0.3183,"$4,474,340",$0
15,KING,"Oct 04, 2021",$0.6197,$0.666,$0.4601,$0.4819,"$13,022,446",$0
16,KING,"Oct 03, 2021",$0.5968,$0.95,$0.5254,$0.6196,"$20,752,545",$0
17,KING,"Oct 02, 2021",$0.3613,$0.6796,$0.3572,$0.5967,"$10,509,731",$0
