,symbol,date,open,high,low,close,volume,marketCap
0,KP2R,"Oct 20, 2021",$0.2094,$0.225,$0.2032,$0.22,"$33,954",$0
1,KP2R,"Oct 19, 2021",$0.2624,$0.2624,$0.1979,$0.2094,"$29,446",$0
2,KP2R,"Oct 18, 2021",$0.1808,$0.2783,$0.1659,$0.2624,"$51,993",$0
3,KP2R,"Oct 17, 2021",$0.1762,$0.1821,$0.1721,$0.1809,$131,$0
4,KP2R,"Oct 16, 2021",$0.1777,$0.1823,$0.1751,$0.1763,$12,$0
5,KP2R,"Oct 15, 2021",$0.1514,$0.1787,$0.1494,$0.1778,$54,$0
6,KP2R,"Oct 14, 2021",$0.1442,$0.1528,$0.1436,$0.1515,$5,$0
7,KP2R,"Oct 13, 2021",$0.1502,$0.153,$0.1419,$0.1442,$0,$0
8,KP2R,"Oct 12, 2021",$0.1454,$0.1523,$0.1416,$0.1502,$0,$0
9,KP2R,"Oct 11, 2021",$0.1507,$0.1528,$0.1424,$0.1453,$37,$0
10,KP2R,"Oct 10, 2021",$0.1788,$0.2186,$0.04258,$0.1509,$759,$0
11,KP2R,"Oct 09, 2021",$0.3956,$0.3991,$0.1787,$0.1788,$13,$0
12,KP2R,"Oct 08, 2021",$0.4987,$0.5026,$0.3574,$0.3954,"$19,802",$0
13,KP2R,"Oct 07, 2021",$0.2829,$0.4991,$0.2314,$0.4987,"$34,450",$0
14,KP2R,"Oct 06, 2021",$0.1443,$0.2898,$0.1438,$0.2832,"$45,702",$0
15,KP2R,"Oct 05, 2021",$0.4631,$0.769,$0.1438,$0.1443,"$17,578",$0
16,KP2R,"Oct 04, 2021",$0.5504,$0.7655,$0.1724,$0.4632,"$36,230",$0
17,KP2R,"Oct 03, 2021",$0.7428,$0.7501,$0.239,$0.5501,"$30,648",$0
18,KP2R,"Oct 02, 2021",$0.7243,$0.7588,$0.7139,$0.7431,"$18,879",$0
19,KP2R,"Oct 01, 2021",$0.6574,$0.7292,$0.6523,$0.7248,"$37,852",$0
20,KP2R,"Sep 30, 2021",$0.6248,$0.6731,$0.6225,$0.6575,"$44,044",$0
21,KP2R,"Sep 29, 2021",$0.5053,$0.6298,$0.5028,$0.6241,"$44,627",$0
22,KP2R,"Sep 28, 2021",$0.6837,$0.7091,$0.4521,$0.5044,"$31,350",$0
23,KP2R,"Sep 27, 2021",$0.9064,$0.9064,$0.6833,$0.6833,"$21,543",$0
24,KP2R,"Sep 26, 2021",$0.5822,$0.9276,$0.5324,$0.9071,"$42,660",$0
25,KP2R,"Sep 25, 2021",$0.5687,$0.5903,$0.5476,$0.5826,"$22,179",$0
26,KP2R,"Sep 24, 2021",$0.6122,$0.6261,$0.5391,$0.5688,"$34,199",$0
27,KP2R,"Sep 23, 2021",$0.5971,$0.6311,$0.5894,$0.6122,"$29,671",$0
28,KP2R,"Sep 22, 2021",$0.5501,$0.6132,$0.5318,$0.5971,"$31,752",$0
