symbol,date,open,high,low,close,volume,marketCap
KTS,"Oct 22, 2021",$0.01699,$0.01722,$0.006619,$0.006677,$73,"$4,827"
KTS,"Oct 21, 2021",$0.009239,$0.02655,$0.008997,$0.01699,$251,"$12,285"
KTS,"Oct 20, 2021",$0.008997,$0.00937,$0.008269,$0.00924,$8,"$6,680"
KTS,"Oct 19, 2021",$0.006352,$0.009021,$0.006171,$0.008996,$14,"$6,503"
KTS,"Oct 18, 2021",$0.008257,$0.008964,$0.006328,$0.006351,$117,"$4,591"
KTS,"Oct 17, 2021",$0.00707,$0.0199,$0.006495,$0.008259,$336,"$5,971"
KTS,"Oct 16, 2021",$0.008623,$0.009317,$0.006991,$0.007069,$195,"$5,110"
KTS,"Oct 15, 2021",$0.01755,$0.01926,$0.008534,$0.008628,$1,"$6,237"
KTS,"Oct 14, 2021",$0.01577,$0.01768,$0.007974,$0.01756,$547,"$12,691"
KTS,"Oct 13, 2021",$0.008967,$0.01585,$0.008791,$0.01577,$337,"$11,402"
KTS,"Oct 12, 2021",$0.009772,$0.009797,$0.008716,$0.00897,$11,"$6,484"
KTS,"Oct 11, 2021",$0.008763,$0.01093,$0.008723,$0.009769,$5,"$7,062"
KTS,"Oct 10, 2021",$0.006378,$0.009024,$0.005934,$0.00877,$39,"$6,340"
KTS,"Oct 09, 2021",$0.004591,$0.00661,$0.004571,$0.006377,$646,"$4,610"
KTS,"Oct 08, 2021",$0.01985,$0.0206,$0.004577,$0.004589,$275,"$3,318"
KTS,"Oct 07, 2021",$0.01052,$0.02017,$0.0103,$0.01985,$54,"$14,352"
KTS,"Oct 06, 2021",$0.009788,$0.01056,$0.009593,$0.01053,$1,"$7,609"
KTS,"Oct 05, 2021",$0.01324,$0.0275,$0.009507,$0.009783,$29,"$7,072"
KTS,"Oct 04, 2021",$0.01727,$0.0173,$0.01269,$0.01324,$995,"$9,574"
KTS,"Oct 03, 2021",$0.008111,$0.04591,$0.008017,$0.01727,$65,"$12,485"
KTS,"Oct 02, 2021",$0.00818,$0.008208,$0.008069,$0.008114,$6,"$5,866"
KTS,"Oct 01, 2021",$0.007444,$0.008234,$0.007364,$0.008184,$6,"$5,916"
KTS,"Sep 30, 2021",$0.01521,$0.01616,$0.007343,$0.007442,$1,"$5,380"
KTS,"Sep 29, 2021",$0.01497,$0.01555,$0.008016,$0.0152,$99,"$10,986"
KTS,"Sep 28, 2021",$0.008447,$0.01532,$0.007862,$0.01495,$48,"$10,805"
KTS,"Sep 27, 2021",$0.01037,$0.01064,$0.007379,$0.008447,$56,"$6,107"
KTS,"Sep 26, 2021",$0.008106,$0.01054,$0.007353,$0.01038,$29,"$7,501"
KTS,"Sep 25, 2021",$0.008568,$0.008592,$0.008055,$0.008106,$48,"$5,860"
KTS,"Sep 24, 2021",$0.00853,$0.01015,$0.007993,$0.008568,$34,"$6,194"
KTS,"Sep 23, 2021",$0.009833,$0.0106,$0.00826,$0.00853,$25,"$6,166"
KTS,"Sep 22, 2021",$0.01228,$0.01549,$0.008377,$0.009836,$0,"$7,110"
KTS,"Sep 21, 2021",$0.00814,$0.01379,$0.007689,$0.01224,$129,"$8,846"
KTS,"Sep 20, 2021",$0.009452,$0.009466,$0.008094,$0.008147,$38,"$5,889"
KTS,"Sep 19, 2021",$0.009656,$0.01147,$0.009384,$0.009454,$92,"$6,835"
KTS,"Sep 18, 2021",$0.009454,$0.009758,$0.009417,$0.009649,$23,"$6,976"
KTS,"Sep 17, 2021",$0.009557,$0.009632,$0.009367,$0.009446,$26,"$6,828"
KTS,"Sep 16, 2021",$0.009635,$0.009697,$0.009416,$0.009556,$2,"$6,908"
KTS,"Sep 15, 2021",$0.008006,$0.01192,$0.007951,$0.009635,$120,"$6,965"
KTS,"Sep 14, 2021",$0.008527,$0.01039,$0.00767,$0.008003,$12,"$5,785"
KTS,"Sep 13, 2021",$0.007831,$0.008786,$0.007411,$0.008528,$34,"$6,165"
KTS,"Sep 12, 2021",$0.008136,$0.009046,$0.007649,$0.007837,$110,"$5,665"
KTS,"Sep 11, 2021",$0.008079,$0.008734,$0.008067,$0.008133,$0,"$5,879"
KTS,"Sep 10, 2021",$0.01021,$0.01023,$0.007982,$0.008077,$89,"$5,839"
KTS,"Sep 09, 2021",$0.009323,$0.01114,$0.008783,$0.0102,$24,"$7,376"
KTS,"Sep 08, 2021",$0.0103,$0.01101,$0.009427,$0.009459,$44,"$6,838"
KTS,"Sep 07, 2021",$0.01335,$0.01436,$0.008657,$0.0103,$164,"$7,446"
KTS,"Sep 06, 2021",$0.01086,$0.01375,$0.01059,$0.01335,$108,"$9,650"
