symbol,date,open,high,low,close,volume,marketCap
LDFI,"Oct 29, 2021",$0.0004566,$0.0005052,$0.0004107,$0.0004572,"$53,578","$2,234,912"
LDFI,"Oct 28, 2021",$0.0005201,$0.0005673,$0.0004492,$0.0004567,"$55,295","$2,232,375"
LDFI,"Oct 27, 2021",$0.0006997,$0.0007133,$0.0005131,$0.0005202,"$98,473","$2,542,431"
LDFI,"Oct 26, 2021",$0.0004152,$0.0007012,$0.0004148,$0.0007001,"$93,098","$3,421,970"
LDFI,"Oct 25, 2021",$0.0003315,$0.0004322,$0.0003315,$0.0004153,"$29,845","$2,029,823"
LDFI,"Oct 24, 2021",$0.0002969,$0.0003373,$0.0002969,$0.0003314,$0,"$1,619,918"
LDFI,"Oct 23, 2021",$0.0002913,$0.0002974,$0.0002891,$0.0002971,$0,"$1,451,927"
LDFI,"Oct 22, 2021",$0.0002631,$0.0003154,$0.0002631,$0.0002913,$0,"$1,423,946"
LDFI,"Oct 21, 2021",$0.0002788,$0.0002812,$0.0002613,$0.0002634,$0,"$1,287,389"
LDFI,"Oct 20, 2021",$0.0002709,$0.0002836,$0.0002688,$0.0002786,$0,"$1,361,503"
LDFI,"Oct 19, 2021",$0.0002692,$0.0002766,$0.000268,$0.0002708,$0,"$1,323,513"
LDFI,"Oct 18, 2021",$0.0002614,$0.0002696,$0.0002605,$0.0002691,$0,"$1,315,123"
LDFI,"Oct 17, 2021",$0.0002545,$0.0002638,$0.0002515,$0.0002614,"$10,422","$1,277,810"
LDFI,"Oct 16, 2021",$0.0002689,$0.0002791,$0.000245,$0.0002548,"$26,551","$1,245,175"
LDFI,"Oct 15, 2021",$0.0002592,$0.0002695,$0.0002266,$0.000269,"$34,575","$1,314,721"
LDFI,"Oct 14, 2021",$0.000281,$0.0002835,$0.0002422,$0.0002592,"$24,028","$1,267,072"
LDFI,"Oct 13, 2021",$0.0002535,$0.0002813,$0.000252,$0.0002808,"$11,097","$1,372,600"
LDFI,"Oct 12, 2021",$0.0002336,$0.0002548,$0.0002168,$0.0002531,"$9,989","$1,237,210"
LDFI,"Oct 11, 2021",$0.0002483,$0.0002591,$0.0002279,$0.0002338,"$7,442","$1,142,903"
LDFI,"Oct 10, 2021",$0.0002592,$0.0002626,$0.0002479,$0.0002487,"$7,577","$1,215,451"
LDFI,"Oct 09, 2021",$0.0002336,$0.0002641,$0.0002332,$0.0002591,"$27,417","$1,266,374"
LDFI,"Oct 08, 2021",$0.0002642,$0.0002659,$0.0001922,$0.0002336,"$38,163","$1,141,656"
LDFI,"Oct 07, 2021",$0.0003129,$0.0003176,$0.0002538,$0.0002642,"$21,668","$1,291,326"
LDFI,"Oct 06, 2021",$0.0003181,$0.0003182,$0.0002999,$0.0003127,"$9,707","$1,528,293"
LDFI,"Oct 05, 2021",$0.0003113,$0.0003302,$0.0003031,$0.0003181,"$11,770","$1,554,846"
LDFI,"Oct 04, 2021",$0.0003408,$0.000341,$0.0003027,$0.0003112,"$7,330","$1,521,294"
LDFI,"Oct 03, 2021",$0.0003408,$0.0003489,$0.0003372,$0.0003409,"$5,989","$1,666,420"
LDFI,"Oct 02, 2021",$0.0003282,$0.0003503,$0.0003199,$0.0003406,"$6,703","$1,664,818"
LDFI,"Oct 01, 2021",$0.0003187,$0.0003327,$0.0003145,$0.0003281,"$10,927","$1,603,595"
LDFI,"Sep 30, 2021",$0.0002772,$0.000321,$0.0002763,$0.0003186,"$13,119","$1,557,181"
LDFI,"Sep 29, 2021",$0.000289,$0.0003171,$0.0002736,$0.0002773,"$7,962","$1,355,548"
LDFI,"Sep 28, 2021",$0.0002793,$0.0002942,$0.0002781,$0.0002893,$0,"$1,413,836"
LDFI,"Sep 27, 2021",$0.0002886,$0.0003022,$0.0002791,$0.0002793,"$12,402","$1,365,162"
LDFI,"Sep 26, 2021",$0.0003038,$0.0003038,$0.0002586,$0.0002885,"$12,104","$1,409,985"
LDFI,"Sep 25, 2021",$0.0003074,$0.000312,$0.0002988,$0.000304,$0,"$1,485,846"
LDFI,"Sep 24, 2021",$0.0003315,$0.0003326,$0.0002907,$0.0003072,"$4,544","$1,501,350"
LDFI,"Sep 23, 2021",$0.0003412,$0.0003484,$0.0003235,$0.0003316,"$7,089","$1,620,924"
LDFI,"Sep 22, 2021",$0.0003136,$0.0003475,$0.0003128,$0.000341,"$6,546","$1,666,937"
LDFI,"Sep 21, 2021",$0.0003326,$0.0003391,$0.0003129,$0.0003137,"$29,949","$1,533,496"
LDFI,"Sep 20, 2021",$0.0002937,$0.0003996,$0.0002603,$0.0003331,"$52,043","$1,627,968"
LDFI,"Sep 19, 2021",$0.0003651,$0.0003741,$0.00025,$0.0002945,"$38,066","$1,439,608"
LDFI,"Sep 18, 2021",$0.000303,$0.0003717,$0.0003021,$0.0003651,"$18,869","$1,784,409"
LDFI,"Sep 17, 2021",$0.0003391,$0.0003408,$0.0002949,$0.0003032,"$12,568","$1,481,808"
LDFI,"Sep 16, 2021",$0.0003525,$0.0003594,$0.0003381,$0.0003389,"$29,002","$1,656,613"
LDFI,"Sep 15, 2021",$0.0003713,$0.0003754,$0.0002869,$0.0003524,"$33,441","$1,722,612"
LDFI,"Sep 14, 2021",$0.0003861,$0.0003913,$0.0003559,$0.0003715,"$13,834","$1,815,940"
LDFI,"Sep 13, 2021",$0.00042,$0.0004248,$0.0003802,$0.0003862,"$14,310","$1,887,647"
