symbol,date,open,high,low,close,volume,marketCap
LIMEX,"Oct 22, 2021",$0.001985,$0.002091,$0.0018,$0.001918,"$2,345",$0
LIMEX,"Oct 21, 2021",$0.002105,$0.00211,$0.001903,$0.001985,"$1,637",$0
LIMEX,"Oct 20, 2021",$0.001705,$0.002304,$0.001705,$0.002105,"$8,286",$0
LIMEX,"Oct 19, 2021",$0.00211,$0.002111,$0.001698,$0.001705,"$7,092",$0
LIMEX,"Oct 18, 2021",$0.002049,$0.002132,$0.0019,$0.002111,"$7,946",$0
LIMEX,"Oct 17, 2021",$0.002288,$0.002407,$0.00202,$0.002049,"$3,458",$0
LIMEX,"Oct 16, 2021",$0.002395,$0.002395,$0.002062,$0.002288,"$2,171",$0
LIMEX,"Oct 15, 2021",$0.00235,$0.002534,$0.00201,$0.002395,"$7,746",$0
LIMEX,"Oct 14, 2021",$0.002598,$0.002897,$0.002343,$0.00235,"$7,121",$0
LIMEX,"Oct 13, 2021",$0.001881,$0.002782,$0.00188,$0.002598,"$11,077",$0
LIMEX,"Oct 12, 2021",$0.001915,$0.002045,$0.0018,$0.001881,"$1,509",$0
LIMEX,"Oct 11, 2021",$0.002002,$0.002193,$0.001908,$0.001915,"$2,717",$0
LIMEX,"Oct 10, 2021",$0.002301,$0.002301,$0.002002,$0.002002,"$2,278",$0
LIMEX,"Oct 09, 2021",$0.001801,$0.002397,$0.001801,$0.002301,"$2,329",$0
LIMEX,"Oct 08, 2021",$0.002167,$0.002179,$0.001795,$0.001801,"$3,376",$0
LIMEX,"Oct 07, 2021",$0.002224,$0.00225,$0.002001,$0.002167,"$5,958",$0
LIMEX,"Oct 06, 2021",$0.002297,$0.002529,$0.002224,$0.002225,"$9,002",$0
LIMEX,"Oct 05, 2021",$0.002994,$0.003393,$0.002089,$0.002297,"$33,644",$0
LIMEX,"Oct 04, 2021",$0.001239,$0.004454,$0.001239,$0.002994,"$82,736",$0
LIMEX,"Oct 03, 2021",$0.001321,$0.001348,$0.001222,$0.001239,"$3,399",$0
LIMEX,"Oct 02, 2021",$0.001364,$0.00148,$0.001202,$0.001321,"$6,482",$0
