,symbol,date,open,high,low,close,volume,marketCap
0,LND,"Oct 19, 2021",$0.012,$0.01243,$0.005836,$0.01241,"$1,191","$9,782,163"
1,LND,"Oct 18, 2021",$0.01045,$0.01571,$0.01044,$0.012,"$1,884","$9,458,650"
2,LND,"Oct 17, 2021",$0.01047,$0.01057,$0.0102,$0.01044,$0,"$8,231,175"
3,LND,"Oct 16, 2021",$0.008539,$0.01064,$0.008539,$0.01047,$0,"$8,252,643"
4,LND,"Oct 15, 2021",$0.009086,$0.009466,$0.008539,$0.008539,"$16,760","$6,732,649"
5,LND,"Oct 14, 2021",$0.01369,$0.01454,$0.009085,$0.009091,$311,"$7,167,692"
6,LND,"Oct 13, 2021",$0.007369,$0.01369,$0.007211,$0.01368,$0,"$10,785,563"
7,LND,"Oct 12, 2021",$0.01125,$0.01125,$0.003068,$0.007371,"$3,615","$5,812,212"
8,LND,"Oct 11, 2021",$0.007938,$0.01364,$0.007845,$0.01124,$38,"$8,863,491"
9,LND,"Oct 10, 2021",$0.0117,$0.01171,$0.006566,$0.007946,"$4,020","$6,262,300"
10,LND,"Oct 09, 2021",$0.01119,$0.0118,$0.01113,$0.01172,$0,"$9,233,556"
11,LND,"Oct 08, 2021",$0.01321,$0.0135,$0.009047,$0.01119,"$1,181","$8,815,330"
12,LND,"Oct 07, 2021",$0.01241,$0.01343,$0.01095,$0.0132,$11,"$10,400,802"
13,LND,"Oct 06, 2021",$0.01395,$0.01449,$0.01111,$0.01242,"$14,055","$9,780,074"
14,LND,"Oct 05, 2021",$0.01647,$0.01665,$0.01377,$0.01396,"$28,197","$10,988,652"
15,LND,"Oct 04, 2021",$0.01473,$0.0167,$0.01296,$0.01647,"$28,213","$12,964,223"
16,LND,"Oct 03, 2021",$0.01371,$0.02403,$0.01354,$0.01472,"$50,352","$11,589,463"
17,LND,"Oct 02, 2021",$0.01363,$0.01555,$0.01144,$0.01372,"$19,134","$10,798,748"
18,LND,"Oct 01, 2021",$0.007968,$0.01665,$0.007914,$0.01363,"$18,698","$10,731,970"
19,LND,"Sep 30, 2021",$0.009153,$0.009758,$0.007867,$0.007968,"$4,475","$6,272,140"
20,LND,"Sep 29, 2021",$0.007676,$0.009803,$0.005504,$0.009143,"$11,519","$7,197,022"
