symbol,date,open,high,low,close,volume,marketCap
LOL,"Oct 29, 2021",$0.002037,$0.00233,$0,$0.002017,$185,$0
LOL,"Oct 28, 2021",$0.001871,$0.002039,$0.001855,$0.002036,$0,$0
LOL,"Oct 27, 2021",$0.002144,$0.002231,$0.001873,$0.001873,$0,$0
LOL,"Oct 26, 2021",$0.002008,$0.002284,$0.00199,$0.002144,$2,$0
LOL,"Oct 25, 2021",$0.0024,$0.002646,$0.001792,$0.002007,"$1,066",$0
LOL,"Oct 24, 2021",$0.002324,$0.002406,$0.002245,$0.0024,$312,$0
LOL,"Oct 23, 2021",$0.002465,$0.002516,$0.002133,$0.002323,$1,$0
LOL,"Oct 22, 2021",$0.002587,$0.002656,$0.002443,$0.002466,$96,$0
LOL,"Oct 21, 2021",$0.002652,$0.002825,$0.002578,$0.002589,$0,$0
LOL,"Oct 20, 2021",$0.002474,$0.002659,$0.002442,$0.002648,$37,$0
LOL,"Oct 19, 2021",$0.002346,$0.002478,$0,$0.002474,$471,$0
LOL,"Oct 18, 2021",$0.002401,$0.002504,$0.002308,$0.002347,$0,$0
LOL,"Oct 17, 2021",$0.002482,$0.002565,$0.00227,$0.002401,$34,$0
LOL,"Oct 16, 2021",$0.002688,$0.002691,$0.002318,$0.002483,$78,$0
LOL,"Oct 15, 2021",$0.002635,$0.002711,$0.0026,$0.00269,$630,$0
LOL,"Oct 14, 2021",$0.002521,$0.002664,$0.00251,$0.002636,$164,$0
LOL,"Oct 13, 2021",$0.002434,$0.002522,$0.002382,$0.002519,$0,$0
LOL,"Oct 12, 2021",$0.002482,$0.002483,$0.002385,$0.002435,$134,$0
LOL,"Oct 11, 2021",$0.002398,$0.002536,$0.00237,$0.00248,$0,$0
LOL,"Oct 10, 2021",$0.002499,$0.002522,$0.00239,$0.002401,$866,$0
LOL,"Oct 09, 2021",$0.002477,$0.002522,$0.002464,$0.0025,$62,$0
LOL,"Oct 08, 2021",$0.002501,$0.002568,$0.002466,$0.002476,$0,$0
LOL,"Oct 07, 2021",$0.002492,$0.002543,$0.002422,$0.002501,$13,$0
LOL,"Oct 06, 2021",$0.002474,$0.002524,$0.002339,$0.002495,$131,$0
LOL,"Oct 05, 2021",$0.002396,$0.002497,$0.002364,$0.002473,$575,$0
LOL,"Oct 04, 2021",$0.002434,$0.002439,$0.002335,$0.002397,$55,$0
LOL,"Oct 03, 2021",$0.002415,$0.002481,$0.002377,$0.002433,$0,$0
LOL,"Oct 02, 2021",$0.002335,$0.002473,$0.00231,$0.002416,$621,$0
LOL,"Oct 01, 2021",$0.002131,$0.002354,$0.002097,$0.002337,$355,$0
LOL,"Sep 30, 2021",$0.002071,$0.002211,$0.002058,$0.002132,$332,$0
LOL,"Sep 29, 2021",$0.001965,$0.002069,$0.001955,$0.002069,$52,$0
LOL,"Sep 28, 2021",$0.002054,$0.00208,$0.001955,$0.001962,"$1,672",$0
LOL,"Sep 27, 2021",$0.002131,$0.002208,$0.002053,$0.002053,"$3,331",$0
LOL,"Sep 26, 2021",$0.002036,$0.002168,$0.001913,$0.002133,"$2,572",$0
LOL,"Sep 25, 2021",$0.002061,$0.002093,$0.001965,$0.002038,"$2,951",$0
LOL,"Sep 24, 2021",$0.002294,$0.002297,$0.001912,$0.002061,"$3,059",$0
LOL,"Sep 23, 2021",$0.002161,$0.002295,$0.002118,$0.002295,"$1,081",$0
LOL,"Sep 22, 2021",$0.002075,$0.002163,$0.001962,$0.002159,"$1,761",$0
LOL,"Sep 21, 2021",$0.002474,$0.002593,$0.001922,$0.002067,$969,$0
LOL,"Sep 20, 2021",$0.002417,$0.002615,$0.002182,$0.002477,"$1,034",$0
LOL,"Sep 19, 2021",$0.002567,$0.002579,$0.002386,$0.002418,"$3,676",$0
LOL,"Sep 18, 2021",$0.002807,$0.002809,$0.0025,$0.002565,"$4,055",$0
LOL,"Sep 17, 2021",$0.002627,$0.003013,$0.002525,$0.002805,"$1,412",$0
LOL,"Sep 16, 2021",$0.003098,$0.003143,$0.002596,$0.002627,$157,$0
LOL,"Sep 15, 2021",$0.00297,$0.00309,$0.002888,$0.003085,$819,$0
LOL,"Sep 14, 2021",$0.002812,$0.00297,$0.002802,$0.002966,"$2,348",$0
LOL,"Sep 13, 2021",$0.002929,$0.002943,$0.002672,$0.002813,"$2,730",$0
LOL,"Sep 12, 2021",$0.002871,$0.002967,$0.002822,$0.002931,"$5,758",$0
LOL,"Sep 11, 2021",$0.002804,$0.002952,$0.002801,$0.00287,"$3,764",$0
LOL,"Sep 10, 2021",$0.002985,$0.003059,$0.002756,$0.002801,"$3,061",$0
LOL,"Sep 09, 2021",$0.002987,$0.00313,$0.002975,$0.002987,"$2,725",$0
LOL,"Sep 08, 2021",$0.002978,$0.003107,$0.002825,$0.003051,"$3,777",$0
LOL,"Sep 07, 2021",$0.00277,$0.003562,$0.002686,$0.002979,"$1,979",$0
LOL,"Sep 06, 2021",$0.002774,$0.004504,$0.002761,$0.002771,$469,$0
LOL,"Sep 05, 2021",$0.005002,$0.005013,$0.002582,$0.002774,"$1,766",$0
LOL,"Sep 04, 2021",$0.002363,$0.005368,$0.002331,$0.005004,"$4,414",$0
LOL,"Sep 03, 2021",$0.002223,$0.002389,$0.002179,$0.002364,"$3,680",$0
LOL,"Sep 02, 2021",$0.002259,$0.002259,$0.002184,$0.002225,"$2,778",$0
LOL,"Sep 01, 2021",$0.001768,$0.002252,$0.001745,$0.002252,"$4,877",$0
LOL,"Aug 31, 2021",$0.001748,$0.001832,$0.00171,$0.001768,"$2,250",$0
LOL,"Aug 30, 2021",$0.001775,$0.001824,$0.001726,$0.001747,"$2,683",$0
LOL,"Aug 29, 2021",$0.001895,$0.001917,$0.001756,$0.001774,"$2,259",$0
LOL,"Aug 28, 2021",$0.001926,$0.001941,$0.001867,$0.001895,"$3,008",$0
LOL,"Aug 27, 2021",$0.001839,$0.001941,$0.00183,$0.001926,"$2,897",$0
LOL,"Aug 26, 2021",$0.001909,$0.001924,$0.001812,$0.001841,"$2,954",$0
LOL,"Aug 25, 2021",$0.001872,$0.001923,$0.001815,$0.001909,"$2,781",$0
LOL,"Aug 24, 2021",$0.001832,$0.001905,$0.001813,$0.001874,"$2,190",$0
LOL,"Aug 23, 2021",$0.001744,$0.001855,$0.001744,$0.001832,"$2,311",$0
LOL,"Aug 22, 2021",$0.002307,$0.002328,$0.001728,$0.001745,"$2,986",$0
LOL,"Aug 21, 2021",$0.002455,$0.002464,$0.002273,$0.002307,"$3,474",$0
LOL,"Aug 20, 2021",$0.002374,$0.002456,$0.002371,$0.002456,"$2,274",$0
