symbol,date,open,high,low,close,volume,marketCap
LQT,"Oct 29, 2021",$0.1875,$0.194,$0.1491,$0.1612,"$56,903",$0
LQT,"Oct 28, 2021",$0.1748,$0.1963,$0.1367,$0.1875,"$89,311",$0
LQT,"Oct 27, 2021",$0.2037,$0.2079,$0.1481,$0.1749,"$66,410",$0
LQT,"Oct 26, 2021",$0.2304,$0.2325,$0.1985,$0.2038,"$29,787",$0
LQT,"Oct 25, 2021",$0.2165,$0.2365,$0.2062,$0.2304,"$22,282",$0
LQT,"Oct 24, 2021",$0.252,$0.2567,$0.2164,$0.2165,"$36,287",$0
LQT,"Oct 23, 2021",$0.2357,$0.2649,$0.2343,$0.2521,"$43,599",$0
LQT,"Oct 22, 2021",$0.2303,$0.2594,$0.2296,$0.2357,"$28,909",$0
LQT,"Oct 21, 2021",$0.2394,$0.2478,$0.2241,$0.2306,"$25,955",$0
LQT,"Oct 20, 2021",$0.2378,$0.2485,$0.2219,$0.2392,"$58,904",$0
LQT,"Oct 19, 2021",$0.2507,$0.2541,$0.2189,$0.2377,"$76,759",$0
LQT,"Oct 18, 2021",$0.2685,$0.2747,$0.2439,$0.2506,"$65,442",$0
LQT,"Oct 17, 2021",$0.2743,$0.2743,$0.2422,$0.2685,"$71,706",$0
LQT,"Oct 16, 2021",$0.2712,$0.3154,$0.2497,$0.2746,"$66,073",$0
LQT,"Oct 15, 2021",$0.3166,$0.3223,$0.2533,$0.2714,"$44,461",$0
LQT,"Oct 14, 2021",$0.3043,$0.3178,$0.2759,$0.3166,"$45,063",$0
LQT,"Oct 13, 2021",$0.294,$0.336,$0.2729,$0.3041,"$52,579",$0
LQT,"Oct 12, 2021",$0.2926,$0.3251,$0.2436,$0.2936,"$47,982",$0
LQT,"Oct 11, 2021",$0.271,$0.3066,$0.2692,$0.2929,"$37,722",$0
LQT,"Oct 10, 2021",$0.2723,$0.3103,$0.2665,$0.2714,"$86,448",$0
LQT,"Oct 09, 2021",$0.2465,$0.3639,$0.2378,$0.2722,"$85,516",$0
LQT,"Oct 08, 2021",$0.2631,$0.2647,$0.2335,$0.2464,"$36,580",$0
LQT,"Oct 07, 2021",$0.2929,$0.2931,$0.2367,$0.263,"$45,325",$0
LQT,"Oct 06, 2021",$0.2646,$0.3029,$0.2436,$0.2927,"$37,237",$0
LQT,"Oct 05, 2021",$0.2537,$0.2853,$0.2399,$0.2646,"$25,634",$0
LQT,"Oct 04, 2021",$0.2676,$0.273,$0.2518,$0.2536,"$36,276",$0
LQT,"Oct 03, 2021",$0.3071,$0.3308,$0.2507,$0.2676,"$36,224",$0
LQT,"Oct 02, 2021",$0.3184,$0.3254,$0.302,$0.3069,"$31,935",$0
LQT,"Oct 01, 2021",$0.2669,$0.3794,$0.2543,$0.3183,"$52,612",$0
LQT,"Sep 30, 2021",$0.2457,$0.28,$0.2432,$0.2668,"$38,471",$0
LQT,"Sep 29, 2021",$0.2467,$0.2762,$0.2429,$0.2459,"$19,098",$0
LQT,"Sep 28, 2021",$0.2582,$0.2619,$0.2462,$0.2469,"$24,305",$0
LQT,"Sep 27, 2021",$0.2601,$0.2827,$0.2485,$0.2582,"$42,599",$0
LQT,"Sep 26, 2021",$0.2907,$0.2984,$0.2482,$0.26,"$29,791",$0
LQT,"Sep 25, 2021",$0.299,$0.3044,$0.288,$0.2908,"$43,330",$0
LQT,"Sep 24, 2021",$0.3435,$0.3466,$0.2716,$0.2988,"$59,384",$0
LQT,"Sep 23, 2021",$0.4109,$0.4159,$0.3218,$0.3436,"$44,073",$0
LQT,"Sep 22, 2021",$0.3713,$0.4153,$0.3383,$0.4107,"$137,959",$0
LQT,"Sep 21, 2021",$0.2981,$0.4511,$0.2793,$0.3714,"$121,922",$0
LQT,"Sep 20, 2021",$0.3701,$0.3841,$0.2957,$0.2985,"$36,321",$0
LQT,"Sep 19, 2021",$0.3961,$0.3961,$0.3381,$0.3711,"$39,613",$0
LQT,"Sep 18, 2021",$0.4021,$0.4291,$0.3805,$0.3961,"$61,073",$0
LQT,"Sep 17, 2021",$0.4584,$0.4589,$0.359,$0.4023,"$94,871",$0
LQT,"Sep 16, 2021",$0.4762,$0.4923,$0.3781,$0.4581,"$91,096",$0
LQT,"Sep 15, 2021",$0.4596,$0.5029,$0.4026,$0.476,"$96,700",$0
LQT,"Sep 14, 2021",$0.493,$0.5263,$0.3458,$0.4599,"$109,299",$0
LQT,"Sep 13, 2021",$0.5568,$0.5587,$0.442,$0.4931,"$83,400",$0
LQT,"Sep 12, 2021",$0.5026,$0.5923,$0.4931,$0.5567,"$60,376",$0
LQT,"Sep 11, 2021",$0.5524,$0.5922,$0.4865,$0.5025,"$90,433",$0
LQT,"Sep 10, 2021",$0.6611,$0.6893,$0.5129,$0.5522,"$192,015",$0
LQT,"Sep 09, 2021",$0.4632,$0.7052,$0.4591,$0.6611,"$170,495",$0
LQT,"Sep 08, 2021",$0.4445,$0.4901,$0.363,$0.4704,"$158,358",$0
LQT,"Sep 07, 2021",$0.4804,$0.4994,$0.2475,$0.4443,"$160,604",$0
LQT,"Sep 06, 2021",$0.4969,$0.5294,$0.445,$0.4802,"$182,033",$0
LQT,"Sep 05, 2021",$0.6049,$0.6355,$0.4049,$0.4967,"$190,693",$0
LQT,"Sep 04, 2021",$0.6009,$0.6883,$0.5433,$0.6049,"$124,158",$0
LQT,"Sep 03, 2021",$0.4927,$0.6302,$0.4803,$0.599,"$100,519",$0
LQT,"Sep 02, 2021",$0.5655,$0.617,$0.4583,$0.4928,"$149,756",$0
LQT,"Sep 01, 2021",$0.6235,$0.6298,$0.4791,$0.5654,"$246,371",$0
LQT,"Aug 31, 2021",$0.7855,$0.7877,$0.5835,$0.6237,"$259,797",$0
LQT,"Aug 30, 2021",$0.8887,$0.9095,$0.728,$0.7854,"$343,145",$0
LQT,"Aug 29, 2021",$0.755,$0.9958,$0.7091,$0.8889,"$327,731",$0
LQT,"Aug 28, 2021",$0.9445,$0.9736,$0.7526,$0.755,"$436,144",$0
LQT,"Aug 27, 2021",$0.9498,$1.04,$0.7384,$0.944,"$923,317",$0
LQT,"Aug 26, 2021",$1.22,$1.35,$0.8285,$0.9509,"$2,089,973",$0
LQT,"Aug 25, 2021",$0.7076,$1.57,$0.6691,$1.22,"$2,076,837",$0
LQT,"Aug 24, 2021",$0.516,$0.7924,$0.4774,$0.712,"$671,085",$0
LQT,"Aug 23, 2021",$0.3794,$0.559,$0.3744,$0.5162,"$479,994",$0
LQT,"Aug 22, 2021",$0.2591,$0.5344,$0.2545,$0.3793,"$316,991",$0
LQT,"Aug 21, 2021",$0.2503,$0.3065,$0.2478,$0.2591,"$76,849",$0
LQT,"Aug 20, 2021",$0.2881,$0.3042,$0.215,$0.2501,"$48,556",$0
LQT,"Aug 19, 2021",$0.2247,$0.3139,$0.2221,$0.2876,"$36,196",$0
LQT,"Aug 18, 2021",$0.2735,$0.2743,$0.2145,$0.2252,"$30,809",$0
LQT,"Aug 17, 2021",$0.2563,$0.2907,$0.2463,$0.2732,"$83,338",$0
LQT,"Aug 16, 2021",$0.3406,$0.3451,$0.2552,$0.2564,"$81,054",$0
LQT,"Aug 15, 2021",$0.3516,$0.3801,$0.3375,$0.3399,"$16,995",$0
LQT,"Aug 14, 2021",$0.3568,$0.3639,$0.3469,$0.352,"$19,914",$0
LQT,"Aug 13, 2021",$0.3545,$0.3763,$0.3466,$0.3559,"$44,817",$0
LQT,"Aug 12, 2021",$0.2772,$0.4179,$0.2766,$0.3543,"$33,519",$0
LQT,"Aug 11, 2021",$0.2563,$0.2863,$0.2553,$0.2772,"$8,098",$0
LQT,"Aug 10, 2021",$0.243,$0.2588,$0.2398,$0.2564,$0,$0
LQT,"Aug 09, 2021",$0.2352,$0.2444,$0.231,$0.2431,$0,$0
LQT,"Aug 08, 2021",$0.2473,$0.251,$0.2331,$0.2354,"$7,798",$0
LQT,"Aug 07, 2021",$0.279,$0.291,$0.235,$0.2476,"$12,382",$0
LQT,"Aug 06, 2021",$0.2628,$0.2872,$0.262,$0.2787,"$11,633",$0
LQT,"Aug 05, 2021",$0.2174,$0.2667,$0.214,$0.263,"$8,523",$0
LQT,"Aug 04, 2021",$0.224,$0.2258,$0.2126,$0.2174,"$3,627",$0
LQT,"Aug 03, 2021",$0.2166,$0.2247,$0.2108,$0.2241,"$19,774",$0
LQT,"Aug 02, 2021",$0.2087,$0.2416,$0.2047,$0.2167,"$25,219",$0
LQT,"Aug 01, 2021",$0.2332,$0.2378,$0.2078,$0.2087,"$9,097",$0
LQT,"Jul 31, 2021",$0.221,$0.2351,$0.2203,$0.2332,"$13,290",$0
LQT,"Jul 30, 2021",$0.2451,$0.2601,$0.2163,$0.2207,"$15,257",$0
LQT,"Jul 29, 2021",$0.2426,$0.2642,$0.2371,$0.2451,"$10,304",$0
LQT,"Jul 28, 2021",$0.2455,$0.2517,$0.2285,$0.2421,"$17,087",$0
LQT,"Jul 27, 2021",$0.2407,$0.2498,$0.2345,$0.2448,"$40,072",$0
LQT,"Jul 26, 2021",$0.2287,$0.3282,$0.2147,$0.2408,"$45,086",$0
LQT,"Jul 25, 2021",$0.2605,$0.2606,$0.2165,$0.2282,"$28,151",$0
LQT,"Jul 24, 2021",$0.221,$0.2649,$0.2178,$0.2606,"$30,916",$0
LQT,"Jul 23, 2021",$0.2127,$0.2482,$0.2017,$0.2206,"$28,774",$0
LQT,"Jul 22, 2021",$0.2376,$0.2403,$0.2065,$0.2128,"$30,333",$0
LQT,"Jul 21, 2021",$0.2328,$0.3031,$0.232,$0.2376,"$52,866",$0
LQT,"Jul 20, 2021",$0.2641,$0.332,$0.2152,$0.2329,"$34,062",$0
LQT,"Jul 19, 2021",$0.3186,$0.3186,$0.2635,$0.2642,"$9,913",$0
LQT,"Jul 18, 2021",$0.3209,$0.3326,$0.3085,$0.3184,"$20,020",$0
LQT,"Jul 17, 2021",$0.3223,$0.3313,$0.2995,$0.3216,"$50,139",$0
LQT,"Jul 16, 2021",$0.3877,$0.393,$0.3211,$0.3224,"$52,879",$0
LQT,"Jul 15, 2021",$0.4214,$0.4744,$0.386,$0.3878,"$34,504",$0
LQT,"Jul 14, 2021",$0.5025,$0.5032,$0.4122,$0.4214,"$27,830",$0
LQT,"Jul 13, 2021",$0.5801,$0.585,$0.4866,$0.5024,"$32,185",$0
LQT,"Jul 12, 2021",$0.6795,$0.682,$0.5479,$0.5802,"$28,791",$0
LQT,"Jul 11, 2021",$0.6755,$0.6953,$0.6621,$0.6802,"$22,773",$0
LQT,"Jul 10, 2021",$0.6661,$0.6963,$0.6586,$0.6754,"$71,813",$0
LQT,"Jul 09, 2021",$0.6903,$0.7723,$0.6518,$0.6661,"$99,357",$0
LQT,"Jul 08, 2021",$0.7303,$0.7309,$0.6477,$0.6864,"$79,791",$0
LQT,"Jul 07, 2021",$0.7177,$0.7702,$0.6884,$0.7328,"$149,472",$0
LQT,"Jul 06, 2021",$0.6959,$0.7188,$0.586,$0.7183,"$206,328",$0
LQT,"Jul 05, 2021",$0.739,$0.7955,$0.6247,$0.6946,"$162,172",$0
LQT,"Jul 04, 2021",$0.6858,$0.8188,$0.6668,$0.7388,"$212,483",$0
LQT,"Jul 03, 2021",$0.4997,$0.7232,$0.4825,$0.6858,"$176,575",$0
LQT,"Jul 02, 2021",$0.4593,$0.5056,$0.444,$0.5023,"$90,676",$0
LQT,"Jul 01, 2021",$0.5115,$0.5191,$0.4036,$0.4599,"$79,520",$0
LQT,"Jun 30, 2021",$0.502,$0.5149,$0.4763,$0.5115,"$66,845",$0
LQT,"Jun 29, 2021",$0.5077,$0.525,$0.4477,$0.5017,"$46,053",$0
LQT,"Jun 28, 2021",$0.5414,$0.5452,$0.5011,$0.5074,"$28,048",$0
LQT,"Jun 27, 2021",$0.4496,$0.5413,$0.449,$0.5413,"$24,068",$0
LQT,"Jun 26, 2021",$0.4911,$0.5212,$0.4363,$0.4489,"$28,657",$0
LQT,"Jun 25, 2021",$0.544,$0.5776,$0.4616,$0.4913,"$109,667",$0
LQT,"Jun 24, 2021",$0.5638,$0.6424,$0.4995,$0.5432,"$636,785",$0
LQT,"Jun 23, 2021",$0.5037,$0.6763,$0.5037,$0.5475,"$1,162,008",$0
