,symbol,date,open,high,low,close,volume,marketCap
0,LSK,"Oct 19, 2021",$3.46,$3.47,$3.33,$3.36,"$9,951,449","$433,511,472"
1,LSK,"Oct 18, 2021",$3.37,$3.61,$3.28,$3.47,"$29,045,732","$447,154,399"
2,LSK,"Oct 17, 2021",$3.46,$3.57,$3.27,$3.37,"$13,505,101","$434,423,068"
3,LSK,"Oct 16, 2021",$3.47,$3.56,$3.43,$3.46,"$13,234,852","$445,631,169"
4,LSK,"Oct 15, 2021",$3.39,$3.52,$3.30,$3.47,"$33,020,307","$447,726,270"
5,LSK,"Oct 14, 2021",$3.28,$3.58,$3.26,$3.38,"$29,537,786","$436,001,664"
6,LSK,"Oct 13, 2021",$3.16,$3.33,$3.09,$3.28,"$24,814,858","$422,424,848"
7,LSK,"Oct 12, 2021",$3.29,$3.40,$3.01,$3.16,"$48,452,008","$407,096,950"
8,LSK,"Oct 11, 2021",$3.45,$3.46,$3.22,$3.28,"$20,671,463","$423,346,707"
9,LSK,"Oct 10, 2021",$3.54,$4.02,$3.42,$3.44,"$110,809,417","$443,742,441"
10,LSK,"Oct 09, 2021",$3.43,$3.58,$3.39,$3.55,"$24,823,568","$457,534,739"
11,LSK,"Oct 08, 2021",$3.51,$3.63,$3.42,$3.43,"$39,951,717","$442,171,414"
12,LSK,"Oct 07, 2021",$3.42,$3.62,$3.34,$3.51,"$39,435,102","$452,376,787"
13,LSK,"Oct 06, 2021",$3.49,$3.56,$3.30,$3.43,"$37,269,596","$441,929,175"
14,LSK,"Oct 05, 2021",$3.52,$3.55,$3.34,$3.50,"$37,915,281","$451,048,758"
15,LSK,"Oct 04, 2021",$3.25,$3.62,$3.25,$3.51,"$96,281,850","$452,767,471"
16,LSK,"Oct 03, 2021",$3.16,$3.32,$3.09,$3.24,"$18,624,765","$418,190,125"
17,LSK,"Oct 02, 2021",$3.18,$3.29,$3.13,$3.17,"$19,189,042","$408,853,425"
18,LSK,"Oct 01, 2021",$3.01,$3.23,$2.92,$3.18,"$33,809,960","$409,416,455"
19,LSK,"Sep 30, 2021",$2.71,$3.26,$2.69,$3.01,"$62,091,180","$388,270,471"
20,LSK,"Sep 29, 2021",$2.59,$2.99,$2.56,$2.71,"$15,569,119","$349,616,638"
21,LSK,"Sep 28, 2021",$2.68,$2.76,$2.58,$2.58,"$18,514,611","$332,605,864"
22,LSK,"Sep 27, 2021",$2.92,$2.98,$2.67,$2.68,"$26,032,895","$345,544,646"
23,LSK,"Sep 26, 2021",$3.07,$3.08,$2.81,$2.92,"$40,723,178","$376,737,271"
24,LSK,"Sep 25, 2021",$2.99,$3.18,$2.85,$2.93,"$140,021,272","$377,260,724"
25,LSK,"Sep 24, 2021",$3.19,$3.27,$2.83,$2.98,"$32,015,268","$384,215,029"
26,LSK,"Sep 23, 2021",$3.11,$3.20,$2.98,$3.19,"$32,201,867","$411,663,545"
27,LSK,"Sep 22, 2021",$2.76,$3.11,$2.73,$3.11,"$22,543,307","$400,402,269"
28,LSK,"Sep 21, 2021",$3.00,$3.21,$2.71,$2.76,"$20,607,373","$355,830,541"
29,LSK,"Sep 20, 2021",$3.77,$3.77,$2.94,$2.99,"$36,076,122","$385,154,707"
30,LSK,"Sep 19, 2021",$3.72,$3.95,$3.72,$3.77,"$53,606,577","$486,287,155"
31,LSK,"Sep 18, 2021",$3.55,$3.78,$3.52,$3.73,"$30,238,191","$480,669,224"
32,LSK,"Sep 17, 2021",$3.70,$3.70,$3.52,$3.55,"$13,949,609","$457,343,830"
33,LSK,"Sep 16, 2021",$3.80,$3.88,$3.60,$3.70,"$28,749,901","$476,551,676"
34,LSK,"Sep 15, 2021",$3.59,$3.82,$3.53,$3.81,"$16,973,972","$491,645,962"
35,LSK,"Sep 14, 2021",$3.46,$3.59,$3.40,$3.59,"$16,046,186","$462,381,028"
36,LSK,"Sep 13, 2021",$3.70,$3.74,$3.25,$3.46,"$25,035,328","$445,415,497"
37,LSK,"Sep 12, 2021",$3.56,$3.84,$3.47,$3.70,"$44,374,203","$477,176,725"
38,LSK,"Sep 11, 2021",$3.49,$3.99,$3.46,$3.56,"$32,690,081","$459,150,360"
39,LSK,"Sep 10, 2021",$3.60,$3.80,$3.40,$3.49,"$48,200,759","$449,336,664"
40,LSK,"Sep 09, 2021",$3.56,$3.82,$3.52,$3.60,"$31,978,371","$464,012,885"
