symbol,date,open,high,low,close,volume,marketCap
LSV,"Oct 22, 2021",$0.9314,$0.9402,$0.3619,$0.4607,$181,$0
LSV,"Oct 21, 2021",$0.2,$0.9436,$0.1893,$0.9316,$0,$0
LSV,"Oct 20, 2021",$0.1555,$0.5267,$0.1539,$0.2,$72,$0
LSV,"Oct 19, 2021",$0.2394,$0.5142,$0.1554,$0.1555,$74,$0
LSV,"Oct 18, 2021",$0.9293,$0.9448,$0.2359,$0.2394,$7,$0
LSV,"Oct 17, 2021",$0.2337,$0.9307,$0.2305,$0.9296,$0,$0
LSV,"Oct 16, 2021",$0.6204,$1.07,$0.2322,$0.2338,$18,$0
LSV,"Oct 15, 2021",$0.1702,$0.6628,$0.1689,$0.6206,"$2,673",$0
LSV,"Oct 14, 2021",$0.8148,$0.8293,$0.1692,$0.1703,$70,$0
LSV,"Oct 13, 2021",$0.7946,$0.8177,$0.772,$0.8149,$0,$0
LSV,"Oct 12, 2021",$0.814,$0.8149,$0.774,$0.7949,$0,$0
LSV,"Oct 11, 2021",$0.1501,$0.8188,$0.1494,$0.8137,$0,$0
LSV,"Oct 10, 2021",$0.7838,$0.7863,$0.1487,$0.1502,$22,$0
LSV,"Oct 09, 2021",$0.1473,$0.7905,$0.1467,$0.7837,$0,$0
LSV,"Oct 08, 2021",$0.1474,$0.1527,$0.1466,$0.1473,$4,$0
LSV,"Oct 07, 2021",$0.1838,$0.1896,$0.1471,$0.1474,$28,$0
LSV,"Oct 06, 2021",$0.1412,$0.7895,$0.1383,$0.1839,$18,$0
LSV,"Oct 05, 2021",$0.1115,$0.142,$0.1114,$0.1411,$47,$0
LSV,"Oct 04, 2021",$0.108,$0.7057,$0.1054,$0.1115,$10,$0
LSV,"Oct 03, 2021",$0.1107,$0.1208,$0.1068,$0.108,$18,$0
LSV,"Oct 02, 2021",$0.1954,$0.1957,$0.1103,$0.1107,$14,$0
LSV,"Oct 01, 2021",$0.3363,$0.3378,$0.1018,$0.1955,$38,$0
LSV,"Sep 30, 2021",$0.1326,$0.338,$0.1322,$0.3364,$22,$0
LSV,"Sep 29, 2021",$0.5903,$0.6114,$0.1225,$0.1325,$7,$0
LSV,"Sep 28, 2021",$0.6089,$0.6166,$0.5886,$0.5894,$0,$0
LSV,"Sep 27, 2021",$0.6247,$0.6414,$0.6084,$0.6089,$0,$0
LSV,"Sep 26, 2021",$0.6146,$0.6351,$0.5861,$0.6251,$0,$0
LSV,"Sep 25, 2021",$0.3185,$0.6162,$0.3129,$0.6146,$0,$0
LSV,"Sep 24, 2021",$0.2918,$0.3226,$0.2661,$0.3185,$17,$0
LSV,"Sep 23, 2021",$0.1233,$0.2921,$0.122,$0.2918,$49,$0
LSV,"Sep 22, 2021",$0.118,$0.1775,$0.1178,$0.1233,$37,$0
LSV,"Sep 21, 2021",$0.1838,$0.6692,$0.1154,$0.118,$41,$0
LSV,"Sep 20, 2021",$0.2344,$0.6979,$0.1827,$0.1839,$22,$0
LSV,"Sep 19, 2021",$0.2177,$0.2392,$0.215,$0.2345,$0,$0
LSV,"Sep 18, 2021",$0.1881,$0.2196,$0.1874,$0.2176,$37,$0
LSV,"Sep 17, 2021",$0.1911,$0.1979,$0.1823,$0.188,$6,$0
