,symbol,date,open,high,low,close,volume,marketCap
0,LTCU,"Oct 19, 2021",$0.004962,$0.005155,$0.00493,$0.00514,$0,"$5,301"
1,LTCU,"Oct 18, 2021",$0.004924,$0.005009,$0.004801,$0.004962,$0,"$5,117"
2,LTCU,"Oct 17, 2021",$0.004871,$0.004932,$0.004733,$0.004926,$0,"$5,080"
3,LTCU,"Oct 16, 2021",$0.004928,$0.004982,$0.004816,$0.004871,$0,"$5,023"
4,LTCU,"Oct 15, 2021",$0.004586,$0.005021,$0.004549,$0.00493,$0,"$5,085"
5,LTCU,"Oct 14, 2021",$0.004592,$0.004678,$0.004557,$0.004587,$0,"$4,730"
6,LTCU,"Oct 13, 2021",$0.004483,$0.004615,$0.00435,$0.004593,$0,"$4,737"
7,LTCU,"Oct 12, 2021",$0.004599,$0.00461,$0.004358,$0.004485,$0,"$4,625"
8,LTCU,"Oct 11, 2021",$0.004382,$0.004623,$0.004362,$0.004597,$0,"$4,741"
9,LTCU,"Oct 10, 2021",$0.004397,$0.004512,$0.004341,$0.004385,$0,"$4,522"
10,LTCU,"Oct 09, 2021",$0.004317,$0.004432,$0.004299,$0.004397,$0,"$4,534"
11,LTCU,"Oct 08, 2021",$0.004304,$0.004474,$0.004295,$0.004316,$0,"$4,451"
12,LTCU,"Oct 07, 2021",$0.004429,$0.004429,$0.004282,$0.004304,$0,"$4,439"
13,LTCU,"Oct 06, 2021",$0.003091,$0.004445,$0.003029,$0.004432,$0,"$4,570"
14,LTCU,"Oct 05, 2021",$0.003929,$0.003978,$0.002946,$0.003089,$0,"$3,186"
15,LTCU,"Oct 04, 2021",$0.003856,$0.003957,$0.003764,$0.003929,$0,"$4,052"
16,LTCU,"Oct 03, 2021",$0.003817,$0.00393,$0.003773,$0.003855,$0,"$3,976"
17,LTCU,"Oct 02, 2021",$0.003849,$0.003863,$0.003797,$0.003818,$0,"$3,938"
18,LTCU,"Oct 01, 2021",$0.003503,$0.003875,$0.003466,$0.003851,$0,"$3,972"
19,LTCU,"Sep 30, 2021",$0.003325,$0.003527,$0.003316,$0.003502,$0,"$3,612"
20,LTCU,"Sep 29, 2021",$0.003283,$0.003404,$0.003266,$0.003323,$0,"$3,427"
21,LTCU,"Sep 28, 2021",$0.003379,$0.003422,$0.003275,$0.003278,$0,"$3,381"
22,LTCU,"Sep 27, 2021",$0.003457,$0.003545,$0.003375,$0.003379,$0,"$3,485"
23,LTCU,"Sep 26, 2021",$0.003417,$0.003514,$0.003268,$0.003459,$0,"$3,567"
24,LTCU,"Sep 25, 2021",$0.003427,$0.00344,$0.003341,$0.003417,$0,"$3,524"
25,LTCU,"Sep 24, 2021",$0.00404,$0.004057,$0.003352,$0.003427,$0,"$3,534"
26,LTCU,"Sep 23, 2021",$0.003922,$0.004045,$0.00388,$0.004041,$0,"$4,167"
27,LTCU,"Sep 22, 2021",$0.003662,$0.003958,$0.003656,$0.003923,$0,"$4,045"
28,LTCU,"Sep 21, 2021",$0.003856,$0.003925,$0.003581,$0.00365,$0,"$3,764"
29,LTCU,"Sep 20, 2021",$0.004253,$0.00426,$0.003834,$0.003859,$0,"$3,980"
30,LTCU,"Sep 19, 2021",$0.002897,$0.004823,$0.002861,$0.004254,$0,"$4,388"
31,LTCU,"Sep 18, 2021",$0.002836,$0.002928,$0.002825,$0.002895,$0,"$2,985"
32,LTCU,"Sep 17, 2021",$0.004301,$0.004334,$0.00281,$0.002834,$0,"$2,922"
33,LTCU,"Sep 16, 2021",$0.004336,$0.004364,$0.004237,$0.0043,$0,"$4,435"
34,LTCU,"Sep 15, 2021",$0.004238,$0.004361,$0.00421,$0.004336,$0,"$4,471"
35,LTCU,"Sep 14, 2021",$0.004047,$0.00425,$0.004028,$0.004237,$0,"$4,369"
36,LTCU,"Sep 13, 2021",$0.004146,$0.004194,$0.003923,$0.004047,$0,"$4,174"
37,LTCU,"Sep 12, 2021",$0.003164,$0.004173,$0.003135,$0.004149,$0,"$4,279"
38,LTCU,"Sep 11, 2021",$0.003142,$0.003218,$0.003137,$0.003163,$0,"$3,262"
39,LTCU,"Sep 10, 2021",$0.003248,$0.003292,$0.003104,$0.003141,$0,"$3,239"
40,LTCU,"Sep 09, 2021",$0.003204,$0.003308,$0.003197,$0.003247,$0,"$3,349"
41,LTCU,"Sep 08, 2021",$0.003277,$0.003313,$0.003119,$0.003226,$0,"$3,327"
42,LTCU,"Sep 07, 2021",$0.003686,$0.0037,$0.00303,$0.003277,$0,"$3,380"
43,LTCU,"Sep 06, 2021",$0.003623,$0.003689,$0.003574,$0.003685,$0,"$3,801"
44,LTCU,"Sep 05, 2021",$0.003496,$0.003631,$0.003468,$0.003622,$0,"$3,736"
45,LTCU,"Sep 04, 2021",$0.003502,$0.003538,$0.003468,$0.003496,$0,"$3,606"
46,LTCU,"Sep 03, 2021",$0.003453,$0.003569,$0.003387,$0.003503,$0,"$3,612"
47,LTCU,"Sep 02, 2021",$0.003419,$0.003524,$0.003406,$0.003454,$0,"$3,562"
48,LTCU,"Sep 01, 2021",$0.003302,$0.003424,$0.003259,$0.00342,$0,"$3,527"
49,LTCU,"Aug 31, 2021",$0.003294,$0.003373,$0.003273,$0.0033,$0,"$3,403"
50,LTCU,"Aug 30, 2021",$0.003418,$0.003425,$0.003287,$0.003289,$0,"$3,392"
51,LTCU,"Aug 29, 2021",$0.003423,$0.003475,$0.003355,$0.003418,$0,"$3,525"
52,LTCU,"Aug 28, 2021",$0.003434,$0.00345,$0.003395,$0.003424,$0,"$3,531"
53,LTCU,"Aug 27, 2021",$0.003286,$0.003438,$0.003248,$0.003431,$0,"$3,539"
54,LTCU,"Aug 26, 2021",$0.003427,$0.003454,$0.003248,$0.003286,$0,"$3,389"
55,LTCU,"Aug 25, 2021",$0.003339,$0.003444,$0.003301,$0.003427,$0,"$3,535"
56,LTCU,"Aug 24, 2021",$0.003468,$0.003492,$0.003338,$0.003343,$0,"$3,448"
57,LTCU,"Aug 23, 2021",$0.003453,$0.003534,$0.003435,$0.003467,$0,"$3,576"
58,LTCU,"Aug 22, 2021",$0.003423,$0.003463,$0.003374,$0.003453,$0,"$3,561"
59,LTCU,"Aug 21, 2021",$0.003454,$0.00348,$0.003382,$0.003425,$0,"$3,532"
60,LTCU,"Aug 20, 2021",$0.00327,$0.003454,$0.003266,$0.003454,$0,"$3,562"
61,LTCU,"Aug 19, 2021",$0.003136,$0.003288,$0.00308,$0.003269,$0,"$3,372"
62,LTCU,"Aug 18, 2021",$0.004023,$0.004125,$0.003113,$0.003138,$0,"$3,236"
63,LTCU,"Aug 17, 2021",$0.00414,$0.004243,$0.004006,$0.004023,$0,"$4,149"
64,LTCU,"Aug 16, 2021",$0.004234,$0.00432,$0.004113,$0.004144,$0,"$4,274"
65,LTCU,"Aug 15, 2021",$0.004239,$0.004262,$0.004102,$0.004238,$0,"$4,371"
66,LTCU,"Aug 14, 2021",$0.002868,$0.004255,$0.002771,$0.004236,$0,"$4,369"
67,LTCU,"Aug 13, 2021",$0.002666,$0.00287,$0.002657,$0.00287,$0,"$2,960"
68,LTCU,"Aug 12, 2021",$0.002736,$0.002774,$0.002632,$0.002666,$0,"$2,749"
69,LTCU,"Aug 11, 2021",$0.002735,$0.002804,$0.002721,$0.002739,$0,"$2,825"
70,LTCU,"Aug 10, 2021",$0.004165,$0.004197,$0.002682,$0.002734,$0,"$2,819"
71,LTCU,"Aug 09, 2021",$0.003942,$0.004181,$0.003856,$0.004173,$0,"$4,304"
72,LTCU,"Aug 08, 2021",$0.00401,$0.004075,$0.0039,$0.003938,$0,"$4,061"
73,LTCU,"Aug 07, 2021",$0.003853,$0.004022,$0.003836,$0.004021,$0,"$4,147"
74,LTCU,"Aug 06, 2021",$0.003678,$0.003894,$0.003594,$0.00386,$0,"$3,981"
75,LTCU,"Aug 05, 2021",$0.003577,$0.003721,$0.003371,$0.003678,$0,"$3,794"
76,LTCU,"Aug 04, 2021",$0.003434,$0.003596,$0.003387,$0.003579,$0,"$3,691"
77,LTCU,"Aug 03, 2021",$0.003528,$0.003577,$0.0034,$0.003432,$0,"$3,540"
78,LTCU,"Aug 02, 2021",$0.003598,$0.003638,$0.003487,$0.003526,$0,"$3,636"
79,LTCU,"Aug 01, 2021",$0.003746,$0.003829,$0.003559,$0.003606,$0,"$3,719"
80,LTCU,"Jul 31, 2021",$0.003801,$0.003801,$0.0037,$0.003754,$0,"$3,871"
81,LTCU,"Jul 30, 2021",$0.003601,$0.003793,$0.003456,$0.003792,$0,"$3,910"
82,LTCU,"Jul 29, 2021",$0.0036,$0.003653,$0.003542,$0.003599,$0,"$3,712"
83,LTCU,"Jul 28, 2021",$0.004335,$0.004432,$0.003498,$0.003602,$0,"$3,714"
84,LTCU,"Jul 27, 2021",$0.004107,$0.004333,$0.004009,$0.004333,$0,"$4,469"
85,LTCU,"Jul 26, 2021",$0.003889,$0.004455,$0.003882,$0.004111,$0,"$4,240"
86,LTCU,"Jul 25, 2021",$0.003772,$0.00389,$0.003727,$0.003889,$0,"$4,010"
87,LTCU,"Jul 24, 2021",$0.003694,$0.003794,$0.003677,$0.00377,$0,"$3,888"
88,LTCU,"Jul 23, 2021",$0.003554,$0.003692,$0.003526,$0.003692,$0,"$3,807"
89,LTCU,"Jul 22, 2021",$0.003532,$0.003583,$0.003492,$0.003555,$0,"$3,667"
90,LTCU,"Jul 21, 2021",$0.003279,$0.003603,$0.003248,$0.003532,$0,"$3,642"
91,LTCU,"Jul 20, 2021",$0.00339,$0.003411,$0.00323,$0.003279,$0,"$3,382"
92,LTCU,"Jul 19, 2021",$0.003498,$0.003507,$0.003362,$0.00339,$0,"$3,496"
93,LTCU,"Jul 18, 2021",$0.003469,$0.003564,$0.003434,$0.003496,$0,"$3,606"
94,LTCU,"Jul 17, 2021",$0.003456,$0.003513,$0.003435,$0.003468,$0,"$3,576"
95,LTCU,"Jul 16, 2021",$0.003496,$0.003544,$0.003421,$0.003457,$0,"$3,565"
96,LTCU,"Jul 15, 2021",$0.00361,$0.003648,$0.003429,$0.003488,$0,"$3,597"
97,LTCU,"Jul 14, 2021",$0.003597,$0.003637,$0.00348,$0.00361,$0,"$3,723"
98,LTCU,"Jul 13, 2021",$0.003647,$0.003666,$0.003549,$0.003596,$0,"$3,709"
99,LTCU,"Jul 12, 2021",$0.003766,$0.003805,$0.003597,$0.003647,$0,"$3,762"
100,LTCU,"Jul 11, 2021",$0.003687,$0.003804,$0.003668,$0.003766,$0,"$3,884"
