,symbol,date,open,high,low,close,volume,marketCap
0,LTX,"Oct 19, 2021",$1.17,$1.20,$1.16,$1.17,"$760,399","$33,408,308"
1,LTX,"Oct 18, 2021",$1.20,$1.21,$1.17,$1.17,"$682,371","$33,654,618"
2,LTX,"Oct 17, 2021",$1.24,$1.25,$1.20,$1.20,"$950,051","$34,348,051"
3,LTX,"Oct 16, 2021",$1.26,$1.26,$1.23,$1.24,"$786,538","$35,468,086"
4,LTX,"Oct 15, 2021",$1.31,$1.31,$1.24,$1.25,"$1,607,797","$35,893,056"
5,LTX,"Oct 14, 2021",$1.38,$1.39,$1.30,$1.31,"$1,227,072","$37,615,133"
6,LTX,"Oct 13, 2021",$1.30,$1.41,$1.30,$1.38,"$1,868,026","$39,607,568"
7,LTX,"Oct 12, 2021",$1.24,$1.37,$1.24,$1.30,"$2,249,760","$37,165,198"
8,LTX,"Oct 11, 2021",$1.20,$1.25,$1.17,$1.24,"$1,484,243","$35,594,943"
9,LTX,"Oct 10, 2021",$1.36,$1.36,$1.19,$1.20,"$1,942,338","$34,370,390"
10,LTX,"Oct 09, 2021",$1.38,$1.42,$1.36,$1.36,"$1,084,123","$38,936,008"
11,LTX,"Oct 08, 2021",$1.52,$1.53,$1.38,$1.38,"$1,561,158","$39,648,628"
12,LTX,"Oct 07, 2021",$1.54,$1.55,$1.51,$1.52,"$889,753","$43,617,604"
13,LTX,"Oct 06, 2021",$1.64,$1.64,$1.53,$1.54,"$1,316,266","$44,241,922"
14,LTX,"Oct 05, 2021",$1.63,$1.67,$1.62,$1.64,"$1,072,693","$46,961,615"
15,LTX,"Oct 04, 2021",$1.57,$1.64,$1.50,$1.63,"$1,878,746","$46,683,866"
16,LTX,"Oct 03, 2021",$1.55,$1.62,$1.51,$1.57,"$3,464,705","$44,973,820"
17,LTX,"Oct 02, 2021",$1.79,$1.80,$1.54,$1.55,"$3,189,979","$44,512,576"
18,LTX,"Oct 01, 2021",$1.83,$1.92,$1.75,$1.79,"$3,761,032","$51,192,705"
19,LTX,"Sep 30, 2021",$1.96,$2.07,$1.70,$1.83,"$8,984,936","$52,574,371"
20,LTX,"Sep 29, 2021",$2.60,$2.66,$1.95,$1.96,"$7,899,544","$56,076,342"
21,LTX,"Sep 28, 2021",$2.69,$2.73,$2.54,$2.60,"$3,165,943","$74,489,329"
22,LTX,"Sep 27, 2021",$2.52,$2.78,$2.50,$2.69,"$3,346,247","$77,108,468"
23,LTX,"Sep 26, 2021",$2.42,$2.55,$2.33,$2.52,"$1,607,570","$72,143,139"
24,LTX,"Sep 25, 2021",$2.46,$2.47,$2.39,$2.42,"$1,682,864","$69,296,730"
25,LTX,"Sep 24, 2021",$2.49,$2.51,$2.21,$2.46,"$3,263,971","$70,547,199"
26,LTX,"Sep 23, 2021",$2.22,$2.50,$2.21,$2.49,"$2,410,834","$71,382,007"
27,LTX,"Sep 22, 2021",$1.99,$2.28,$1.98,$2.22,"$2,888,305","$63,549,320"
28,LTX,"Sep 21, 2021",$2.22,$2.29,$1.98,$1.99,"$3,955,736","$57,140,186"
29,LTX,"Sep 20, 2021",$2.61,$2.63,$2.21,$2.22,"$3,479,826","$63,549,014"
30,LTX,"Sep 19, 2021",$2.61,$2.63,$2.57,$2.61,"$1,515,836","$74,908,521"
31,LTX,"Sep 18, 2021",$2.55,$2.64,$2.45,$2.61,"$2,703,170","$74,660,952"
32,LTX,"Sep 17, 2021",$2.62,$2.65,$2.54,$2.55,"$1,560,047","$73,023,314"
33,LTX,"Sep 16, 2021",$2.61,$2.78,$2.57,$2.62,"$3,377,988","$75,114,020"
34,LTX,"Sep 15, 2021",$2.47,$2.64,$2.47,$2.61,"$2,238,613","$74,861,422"
35,LTX,"Sep 14, 2021",$2.40,$2.56,$2.37,$2.47,"$2,081,919","$70,797,652"
36,LTX,"Sep 13, 2021",$2.48,$2.51,$2.26,$2.40,"$2,515,199","$68,648,050"
37,LTX,"Sep 12, 2021",$2.06,$2.53,$2.06,$2.48,"$3,085,926","$71,070,608"
38,LTX,"Sep 11, 2021",$1.97,$2.17,$1.91,$2.06,"$1,976,839","$59,018,080"
39,LTX,"Sep 10, 2021",$2.15,$2.17,$1.92,$1.97,"$1,577,457","$56,340,020"
40,LTX,"Sep 09, 2021",$1.98,$2.17,$1.87,$2.15,"$2,401,182","$61,689,133"
41,LTX,"Sep 08, 2021",$1.98,$2.15,$1.88,$1.96,"$1,905,968","$56,210,924"
42,LTX,"Sep 07, 2021",$2.09,$2.09,$1.80,$1.98,"$2,686,877","$56,836,987"
43,LTX,"Sep 06, 2021",$2.16,$2.17,$1.94,$2.09,"$1,709,094","$59,875,495"
44,LTX,"Sep 05, 2021",$2.08,$2.21,$2.01,$2.16,"$1,476,293","$61,947,672"
45,LTX,"Sep 04, 2021",$1.80,$2.07,$1.78,$2.03,"$1,982,414","$58,025,845"
46,LTX,"Sep 03, 2021",$1.80,$1.88,$1.76,$1.80,"$1,627,251","$51,644,775"
47,LTX,"Sep 02, 2021",$1.89,$1.89,$1.74,$1.80,"$1,204,216","$51,479,952"
48,LTX,"Sep 01, 2021",$1.82,$1.94,$1.81,$1.89,"$1,306,155","$54,138,940"
49,LTX,"Aug 31, 2021",$1.73,$1.92,$1.71,$1.82,"$1,413,983","$52,036,635"
50,LTX,"Aug 30, 2021",$1.85,$1.87,$1.73,$1.73,"$1,798,381","$49,707,330"
51,LTX,"Aug 29, 2021",$1.96,$2.00,$1.82,$1.85,"$2,269,780","$52,902,928"
52,LTX,"Aug 28, 2021",$2.03,$2.15,$1.93,$1.95,"$2,153,716","$55,968,737"
53,LTX,"Aug 27, 2021",$2.03,$2.14,$1.94,$2.03,"$2,792,574","$58,289,438"
54,LTX,"Aug 26, 2021",$2.25,$2.31,$1.95,$2.03,"$4,922,295","$58,150,905"
55,LTX,"Aug 25, 2021",$1.84,$2.28,$1.84,$2.25,"$8,467,104","$64,373,075"
56,LTX,"Aug 24, 2021",$1.74,$1.98,$1.68,$1.84,"$9,184,801","$52,749,309"
57,LTX,"Aug 23, 2021",$1.37,$1.76,$1.37,$1.74,"$3,655,218","$49,757,173"
58,LTX,"Aug 22, 2021",$1.41,$1.43,$1.36,$1.37,"$872,457","$39,269,571"
59,LTX,"Aug 21, 2021",$1.40,$1.42,$1.38,$1.41,"$1,073,216","$40,470,259"
60,LTX,"Aug 20, 2021",$1.34,$1.45,$1.34,$1.40,"$2,281,408","$40,082,131"
61,LTX,"Aug 19, 2021",$1.30,$1.35,$1.22,$1.35,"$1,863,556","$38,614,347"
62,LTX,"Aug 18, 2021",$1.29,$1.34,$1.28,$1.31,"$867,065","$37,422,874"
63,LTX,"Aug 17, 2021",$1.31,$1.40,$1.28,$1.29,"$941,939","$36,973,084"
64,LTX,"Aug 16, 2021",$1.34,$1.42,$1.31,$1.31,"$1,393,284","$37,533,502"
65,LTX,"Aug 15, 2021",$1.36,$1.36,$1.29,$1.34,"$704,812","$38,388,526"
66,LTX,"Aug 14, 2021",$1.40,$1.40,$1.32,$1.35,"$784,646","$38,792,208"
67,LTX,"Aug 13, 2021",$1.29,$1.41,$1.28,$1.40,"$1,205,444","$40,215,725"
68,LTX,"Aug 12, 2021",$1.30,$1.31,$1.18,$1.29,"$1,308,671","$36,966,440"
69,LTX,"Aug 11, 2021",$1.32,$1.39,$1.29,$1.30,"$1,873,489","$37,240,952"
70,LTX,"Aug 10, 2021",$1.27,$1.32,$1.25,$1.32,"$1,137,060","$37,714,131"
71,LTX,"Aug 09, 2021",$1.20,$1.29,$1.14,$1.27,"$1,775,781","$36,497,639"
72,LTX,"Aug 08, 2021",$1.28,$1.31,$1.16,$1.20,"$1,580,176","$34,263,128"
73,LTX,"Aug 07, 2021",$1.36,$1.36,$1.25,$1.28,"$1,571,670","$36,695,891"
74,LTX,"Aug 06, 2021",$1.36,$1.37,$1.32,$1.36,"$1,504,964","$38,898,937"
75,LTX,"Aug 05, 2021",$1.40,$1.42,$1.32,$1.36,"$1,404,712","$39,097,662"
76,LTX,"Aug 04, 2021",$1.26,$1.46,$1.25,$1.40,"$1,522,485","$40,217,926"
77,LTX,"Aug 03, 2021",$1.31,$1.34,$1.23,$1.26,"$1,391,219","$36,054,570"
