symbol,date,open,high,low,close,volume,marketCap
Lelouch,"Oct 22, 2021",$0.006355,$0.009622,$0.006237,$0.009602,"$600,415",$0
Lelouch,"Oct 21, 2021",$0.00718,$0.00782,$0.005708,$0.006362,"$493,585",$0
Lelouch,"Oct 20, 2021",$0.006756,$0.008257,$0.00653,$0.007193,"$284,994",$0
Lelouch,"Oct 19, 2021",$0.006705,$0.007549,$0.006354,$0.006788,"$160,197",$0
Lelouch,"Oct 18, 2021",$0.008086,$0.009176,$0.006175,$0.006705,"$217,908",$0
Lelouch,"Oct 17, 2021",$0.009437,$0.01132,$0.007696,$0.008079,"$638,439",$0
Lelouch,"Oct 16, 2021",$0.00792,$0.01125,$0.006971,$0.009437,"$592,095",$0
Lelouch,"Oct 15, 2021",$0.006476,$0.01063,$0.005991,$0.007909,"$1,191,142",$0
Lelouch,"Oct 14, 2021",$0.005872,$0.00833,$0.005751,$0.006484,"$767,639",$0
Lelouch,"Oct 13, 2021",$0.007482,$0.007654,$0.005087,$0.005868,"$466,093",$0
Lelouch,"Oct 12, 2021",$0.006223,$0.008779,$0.005901,$0.007479,"$577,231",$0
