symbol,date,open,high,low,close,volume,marketCap
MARTK,"Oct 22, 2021",$0.004351,$0.004408,$0.003444,$0.003573,"$3,746","$60,564"
MARTK,"Oct 21, 2021",$0.004466,$0.004502,$0.003379,$0.004351,"$6,255","$73,761"
MARTK,"Oct 20, 2021",$0.004437,$0.004524,$0.004435,$0.004466,"$5,600","$75,713"
MARTK,"Oct 19, 2021",$0.004541,$0.004603,$0.003219,$0.004437,"$5,621","$75,223"
MARTK,"Oct 18, 2021",$0.003909,$0.004634,$0.003245,$0.004541,"$7,351","$76,980"
MARTK,"Oct 17, 2021",$0.005169,$0.005281,$0.003909,$0.003909,"$3,705","$66,264"
MARTK,"Oct 16, 2021",$0.003461,$0.005169,$0.003307,$0.005169,"$6,361","$87,634"
MARTK,"Oct 15, 2021",$0.004342,$0.005706,$0.003425,$0.003461,"$4,442","$58,678"
MARTK,"Oct 14, 2021",$0.003871,$0.004343,$0.003842,$0.004343,"$2,133","$73,621"
MARTK,"Oct 13, 2021",$0.003248,$0.003944,$0.003146,$0.003872,"$9,380","$65,633"
MARTK,"Oct 12, 2021",$0.005127,$0.005416,$0.003248,$0.003248,"$5,062","$55,063"
MARTK,"Oct 11, 2021",$0.004754,$0.005153,$0.004485,$0.005125,$106,"$86,875"
MARTK,"Oct 10, 2021",$0.004874,$0.00488,$0.004341,$0.004757,$106,"$80,648"
MARTK,"Oct 09, 2021",$0.003082,$0.004887,$0.003061,$0.004873,$98,"$82,607"
MARTK,"Oct 08, 2021",$0.004819,$0.008516,$0.002323,$0.003082,"$2,823","$52,252"
MARTK,"Oct 07, 2021",$0.004963,$0.004963,$0.004274,$0.004818,$104,"$81,682"
MARTK,"Oct 06, 2021",$0.004636,$0.004983,$0.004093,$0.004966,$90,"$84,194"
MARTK,"Oct 05, 2021",$0.00433,$0.004665,$0.00386,$0.004634,$87,"$78,557"
MARTK,"Oct 04, 2021",$0.003326,$0.004398,$0.002692,$0.004329,$85,"$73,393"
MARTK,"Oct 03, 2021",$0.002618,$0.003789,$0.002502,$0.003326,$307,"$56,390"
MARTK,"Oct 02, 2021",$0.004046,$0.004165,$0.002572,$0.002619,$369,"$44,397"
MARTK,"Oct 01, 2021",$0.003939,$0.004188,$0.003478,$0.004048,$93,"$68,616"
MARTK,"Sep 30, 2021",$0.002533,$0.003948,$0.002469,$0.003938,$74,"$66,757"
MARTK,"Sep 29, 2021",$0.002494,$0.003394,$0.002486,$0.002532,"$2,492","$42,931"
MARTK,"Sep 28, 2021",$0.003511,$0.003513,$0.002493,$0.002494,"$7,587","$42,279"
MARTK,"Sep 27, 2021",$0.003542,$0.003542,$0.003505,$0.003511,"$6,909","$59,528"
MARTK,"Sep 26, 2021",$0.002525,$0.003786,$0.002492,$0.003542,"$8,472","$60,041"
MARTK,"Sep 25, 2021",$0.002707,$0.002723,$0.002504,$0.002525,"$3,265","$42,799"
MARTK,"Sep 24, 2021",$0.002443,$0.002911,$0.002442,$0.002707,"$15,328","$45,899"
MARTK,"Sep 23, 2021",$0.003551,$0.003556,$0.002347,$0.002443,"$5,397","$41,417"
MARTK,"Sep 22, 2021",$0.003539,$0.003566,$0.003351,$0.003551,"$6,967","$60,195"
MARTK,"Sep 21, 2021",$0.003704,$0.003876,$0.003539,$0.003539,"$9,529","$59,998"
MARTK,"Sep 20, 2021",$0.003824,$0.003826,$0.003593,$0.003705,"$18,487","$62,812"
MARTK,"Sep 19, 2021",$0.003969,$0.00423,$0.003203,$0.003824,"$7,630","$64,821"
MARTK,"Sep 18, 2021",$0.003747,$0.004213,$0.003742,$0.003968,"$6,666","$67,268"
MARTK,"Sep 17, 2021",$0.003703,$0.003896,$0.003687,$0.003746,"$7,102","$63,508"
MARTK,"Sep 16, 2021",$0.003882,$0.003882,$0.003622,$0.003702,"$9,304","$62,760"
MARTK,"Sep 15, 2021",$0.01224,$0.01275,$0.003822,$0.003882,"$6,446","$65,806"
MARTK,"Sep 14, 2021",$0.01214,$0.01267,$0.01164,$0.01223,$233,"$207,331"
MARTK,"Sep 13, 2021",$0.01198,$0.01227,$0.01133,$0.01214,$220,"$205,795"
MARTK,"Sep 12, 2021",$0.009243,$0.01252,$0.009182,$0.01199,$257,"$203,185"
MARTK,"Sep 11, 2021",$0.01069,$0.01231,$0.009117,$0.009238,$365,"$156,615"
MARTK,"Sep 10, 2021",$0.01229,$0.01252,$0.01048,$0.01069,$280,"$181,155"
MARTK,"Sep 09, 2021",$0.007324,$0.01235,$0.002681,$0.01229,$227,"$208,298"
MARTK,"Sep 08, 2021",$0.008525,$0.008962,$0.002001,$0.00748,$510,"$126,808"
MARTK,"Sep 07, 2021",$0.008849,$0.01275,$0.002,$0.008527,$461,"$144,556"
MARTK,"Sep 06, 2021",$0.01175,$0.01386,$0.00213,$0.008847,$520,"$149,977"
MARTK,"Sep 05, 2021",$0.01292,$0.01344,$0.01102,$0.01175,$345,"$199,157"
MARTK,"Sep 04, 2021",$0.008115,$0.0135,$0.008063,$0.01292,$176,"$219,011"
MARTK,"Sep 03, 2021",$0.008779,$0.008983,$0.00811,$0.008117,$184,"$137,606"
MARTK,"Sep 02, 2021",$0.005376,$0.008859,$0.005264,$0.008781,$177,"$148,862"
MARTK,"Sep 01, 2021",$0.008317,$0.008611,$0.005327,$0.005377,$485,"$91,151"
MARTK,"Aug 31, 2021",$0.007669,$0.008364,$0.007268,$0.008328,$176,"$141,184"
MARTK,"Aug 30, 2021",$0.00733,$0.008345,$0.007181,$0.007658,$191,"$129,824"
MARTK,"Aug 29, 2021",$0.006349,$0.007802,$0.006272,$0.00733,$196,"$124,256"
MARTK,"Aug 28, 2021",$0.003975,$0.007008,$0.003975,$0.006349,$617,"$107,623"
MARTK,"Aug 27, 2021",$0.005396,$0.009449,$0.002925,$0.003973,"$2,985","$67,360"
MARTK,"Aug 26, 2021",$0.002532,$0.0054,$0.002463,$0.005396,"$19,387","$91,477"
MARTK,"Aug 25, 2021",$0.002562,$0.002583,$0.002428,$0.002532,"$7,897","$42,929"
MARTK,"Aug 24, 2021",$0.003088,$0.003088,$0.002532,$0.002564,"$6,400","$43,471"
MARTK,"Aug 23, 2021",$0.003798,$0.0038,$0.003025,$0.003088,"$19,566","$52,352"
MARTK,"Aug 22, 2021",$0.004453,$0.004505,$0.003394,$0.003798,"$5,612","$64,393"
MARTK,"Aug 21, 2021",$0.004798,$0.005264,$0.003437,$0.004453,"$6,527","$75,494"
MARTK,"Aug 20, 2021",$0.003133,$0.004801,$0.003123,$0.004798,"$14,437","$81,336"
MARTK,"Aug 19, 2021",$0.002885,$0.00316,$0.002876,$0.003133,"$7,898","$53,106"
MARTK,"Aug 18, 2021",$0.002943,$0.002955,$0.002706,$0.002885,"$8,291","$48,916"
MARTK,"Aug 17, 2021",$0.002918,$0.003037,$0.002333,$0.002943,"$9,646","$49,889"
MARTK,"Aug 16, 2021",$0.004345,$0.004416,$0.002579,$0.002919,"$11,832","$49,480"
MARTK,"Aug 15, 2021",$0.002692,$0.004548,$0.002692,$0.004349,"$7,405","$73,721"
MARTK,"Aug 14, 2021",$0.00397,$0.00397,$0.002489,$0.002692,"$29,687","$45,634"
MARTK,"Aug 13, 2021",$0.00485,$0.005887,$0.003968,$0.003972,"$14,182","$67,332"
MARTK,"Aug 12, 2021",$0.00587,$0.005892,$0.004688,$0.00485,"$8,563","$82,225"
MARTK,"Aug 11, 2021",$0.008298,$0.008608,$0.005853,$0.005878,"$5,634","$99,645"
MARTK,"Aug 10, 2021",$0.01179,$0.01179,$0.007038,$0.008293,"$2,685","$140,579"
MARTK,"Aug 09, 2021",$0.007921,$0.02198,$0.007921,$0.01177,"$5,209","$199,533"
MARTK,"Aug 08, 2021",$0.005566,$0.007919,$0.005264,$0.007914,"$5,667","$134,155"
MARTK,"Aug 07, 2021",$0.006372,$0.00654,$0.005376,$0.00558,"$6,216","$94,602"
MARTK,"Aug 06, 2021",$0.006064,$0.006379,$0.004916,$0.006375,"$10,057","$108,080"
MARTK,"Aug 05, 2021",$0.006786,$0.006792,$0.006041,$0.006064,"$11,938","$102,793"
MARTK,"Aug 04, 2021",$0.006439,$0.006832,$0.005744,$0.006786,"$7,755","$115,041"
MARTK,"Aug 03, 2021",$0.006929,$0.006981,$0.005382,$0.006436,"$7,689","$109,103"
MARTK,"Aug 02, 2021",$0.01497,$0.01674,$0.006927,$0.006929,"$8,319","$117,462"
MARTK,"Aug 01, 2021",$0.006997,$0.01549,$0.006981,$0.01497,"$3,383","$253,804"
MARTK,"Jul 31, 2021",$0.006878,$0.008013,$0.005405,$0.007006,"$10,206","$118,769"
MARTK,"Jul 30, 2021",$0.00469,$0.007138,$0.004322,$0.006871,"$9,508","$116,483"
MARTK,"Jul 29, 2021",$0.005231,$0.005437,$0.004458,$0.004689,"$6,202","$79,482"
MARTK,"Jul 28, 2021",$0.005079,$0.01959,$0.004918,$0.005234,"$4,833","$88,724"
MARTK,"Jul 27, 2021",$0.004622,$0.005087,$0.002771,$0.005077,"$6,204","$86,075"
MARTK,"Jul 26, 2021",$0.00292,$0.005052,$0.002239,$0.004622,"$49,173","$78,347"
MARTK,"Jul 25, 2021",$0.002599,$0.003008,$0.002586,$0.00292,"$8,153","$49,497"
