symbol,date,open,high,low,close,volume,marketCap
MARX,"Oct 29, 2021",$0.02991,$0.03069,$0.02973,$0.02973,"$519,886",$0
MARX,"Oct 28, 2021",$0.03049,$0.03058,$0.02963,$0.02991,"$479,261",$0
MARX,"Oct 27, 2021",$0.03045,$0.03061,$0.02978,$0.03049,"$741,315",$0
MARX,"Oct 26, 2021",$0.02994,$0.0313,$0.02976,$0.03045,"$731,091",$0
MARX,"Oct 25, 2021",$0.02933,$0.03237,$0.02932,$0.02994,"$534,184",$0
MARX,"Oct 24, 2021",$0.03116,$0.03125,$0.0293,$0.02933,"$568,461",$0
MARX,"Oct 23, 2021",$0.03118,$0.03128,$0.03022,$0.03116,"$473,901",$0
MARX,"Oct 22, 2021",$0.0308,$0.03213,$0.03062,$0.03118,"$505,799",$0
MARX,"Oct 21, 2021",$0.03229,$0.03258,$0.0305,$0.0308,"$569,990",$0
MARX,"Oct 20, 2021",$0.03249,$0.0325,$0.03102,$0.03228,"$652,634",$0
MARX,"Oct 19, 2021",$0.03233,$0.0338,$0.03154,$0.03249,"$694,893",$0
MARX,"Oct 18, 2021",$0.03359,$0.03431,$0.03206,$0.03233,"$517,841",$0
MARX,"Oct 17, 2021",$0.03415,$0.0342,$0.03358,$0.03359,"$520,076",$0
MARX,"Oct 16, 2021",$0.03427,$0.03461,$0.034,$0.03415,"$440,124",$0
MARX,"Oct 15, 2021",$0.03486,$0.03487,$0.03359,$0.03427,"$1,032,835",$0
MARX,"Oct 14, 2021",$0.0353,$0.0355,$0.03194,$0.03486,"$567,267",$0
MARX,"Oct 13, 2021",$0.03526,$0.0364,$0.03519,$0.0353,"$1,150,969",$0
MARX,"Oct 12, 2021",$0.03942,$0.03951,$0.03525,$0.03525,"$1,064,429",$0
MARX,"Oct 11, 2021",$0.03853,$0.03965,$0.03815,$0.03942,"$1,555,491",$0
MARX,"Oct 10, 2021",$0.03973,$0.0401,$0.03828,$0.03853,"$1,070,501",$0
MARX,"Oct 09, 2021",$0.03895,$0.0404,$0.0383,$0.03974,"$885,033",$0
MARX,"Oct 08, 2021",$0.03931,$0.0397,$0.0385,$0.03895,"$1,197,943",$0
MARX,"Oct 07, 2021",$0.03871,$0.03949,$0.03856,$0.03931,"$681,478",$0
MARX,"Oct 06, 2021",$0.03837,$0.0394,$0.0376,$0.03871,"$1,273,075",$0
MARX,"Oct 05, 2021",$0.03809,$0.03893,$0.0378,$0.03837,"$696,996",$0
MARX,"Oct 04, 2021",$0.03977,$0.0409,$0.03809,$0.03809,"$984,889",$0
MARX,"Oct 03, 2021",$0.04029,$0.0408,$0.03927,$0.03977,"$459,531",$0
MARX,"Oct 02, 2021",$0.04121,$0.04141,$0.03802,$0.0403,"$463,522",$0
MARX,"Oct 01, 2021",$0.04086,$0.04121,$0.03955,$0.0412,"$1,269,786",$0
MARX,"Sep 30, 2021",$0.03976,$0.04101,$0.03859,$0.04086,"$1,212,044",$0
MARX,"Sep 29, 2021",$0.03896,$0.03981,$0.03731,$0.03976,"$877,092",$0
MARX,"Sep 28, 2021",$0.03802,$0.03896,$0.03651,$0.03896,"$1,175,005",$0
MARX,"Sep 27, 2021",$0.03728,$0.03862,$0.03616,$0.03802,"$937,833",$0
MARX,"Sep 26, 2021",$0.03764,$0.03873,$0.03645,$0.03728,"$994,773",$0
MARX,"Sep 25, 2021",$0.03888,$0.03914,$0.03738,$0.03764,"$389,207",$0
MARX,"Sep 24, 2021",$0.03777,$0.03888,$0.03644,$0.03888,"$1,309,619",$0
MARX,"Sep 23, 2021",$0.039,$0.03994,$0.03752,$0.03777,"$1,094,618",$0
MARX,"Sep 22, 2021",$0.03731,$0.03993,$0.0369,$0.039,"$1,131,331",$0
MARX,"Sep 21, 2021",$0.0385,$0.03971,$0.0371,$0.0373,"$1,307,033",$0
MARX,"Sep 20, 2021",$0.03672,$0.03911,$0.03621,$0.0385,"$1,855,434",$0
MARX,"Sep 19, 2021",$0.03618,$0.03783,$0.03618,$0.03671,"$1,416,868",$0
MARX,"Sep 18, 2021",$0.03879,$0.03889,$0.03421,$0.03619,"$1,024,190",$0
MARX,"Sep 17, 2021",$0.03812,$0.03912,$0.03732,$0.03879,"$933,225",$0
MARX,"Sep 16, 2021",$0.04347,$0.04492,$0.03572,$0.03811,"$612,481",$0
MARX,"Sep 15, 2021",$0.04723,$0.04804,$0.04011,$0.04346,"$273,331",$0
MARX,"Sep 14, 2021",$0.04611,$0.04825,$0.04611,$0.04723,"$606,632",$0
MARX,"Sep 13, 2021",$0.04972,$0.04993,$0.04611,$0.04612,"$832,226",$0
