symbol,date,open,high,low,close,volume,marketCap
MASS,"Oct 22, 2021",$0.3847,$0.3908,$0.3377,$0.3389,"$5,740,529","$33,225,809"
MASS,"Oct 21, 2021",$0.3404,$0.3938,$0.3322,$0.386,"$6,307,789","$37,833,319"
MASS,"Oct 20, 2021",$0.3174,$0.3523,$0.3098,$0.3401,"$2,836,402","$33,339,618"
MASS,"Oct 19, 2021",$0.3267,$0.3292,$0.3116,$0.3174,"$1,741,228","$31,113,157"
MASS,"Oct 18, 2021",$0.3319,$0.3413,$0.3212,$0.3262,"$2,237,916","$31,979,213"
MASS,"Oct 17, 2021",$0.3377,$0.3711,$0.3269,$0.332,"$3,711,507","$32,540,977"
MASS,"Oct 16, 2021",$0.3214,$0.3431,$0.3076,$0.3379,"$2,961,656","$33,122,487"
MASS,"Oct 15, 2021",$0.3144,$0.3224,$0.3078,$0.3215,"$1,978,923","$31,511,066"
MASS,"Oct 14, 2021",$0.2975,$0.3268,$0.2975,$0.3142,"$1,841,252","$30,795,326"
MASS,"Oct 13, 2021",$0.3096,$0.3101,$0.2832,$0.2975,"$1,845,932","$29,166,012"
MASS,"Oct 12, 2021",$0.3212,$0.3214,$0.297,$0.3096,"$2,018,047","$30,352,386"
MASS,"Oct 11, 2021",$0.3321,$0.3331,$0.3133,$0.3212,"$2,514,855","$31,483,534"
MASS,"Oct 10, 2021",$0.3628,$0.3636,$0.3278,$0.3321,"$1,873,395","$32,553,633"
MASS,"Oct 09, 2021",$0.3671,$0.3854,$0.3597,$0.3623,"$1,551,538","$35,512,976"
MASS,"Oct 08, 2021",$0.3805,$0.4005,$0.3663,$0.3667,"$2,180,492","$35,943,812"
MASS,"Oct 07, 2021",$0.3336,$0.4413,$0.3185,$0.3812,"$7,486,645","$37,367,923"
MASS,"Oct 06, 2021",$0.3528,$0.3615,$0.3275,$0.3337,"$2,255,903","$32,706,574"
MASS,"Oct 05, 2021",$0.3222,$0.3591,$0.3187,$0.3528,"$2,873,201","$34,585,229"
MASS,"Oct 04, 2021",$0.3428,$0.3432,$0.3188,$0.3219,"$2,647,141","$31,551,518"
MASS,"Oct 03, 2021",$0.3484,$0.3591,$0.3343,$0.3428,"$2,562,785","$33,605,615"
MASS,"Oct 02, 2021",$0.3553,$0.3731,$0.3359,$0.3491,"$2,352,478","$34,217,602"
MASS,"Oct 01, 2021",$0.3176,$0.3663,$0.3107,$0.3554,"$3,387,650","$34,840,684"
MASS,"Sep 30, 2021",$0.2976,$0.3295,$0.2951,$0.3179,"$5,502,943","$31,157,830"
MASS,"Sep 29, 2021",$0.325,$0.3261,$0.2906,$0.2975,"$5,235,699","$29,167,519"
MASS,"Sep 28, 2021",$0.3039,$0.3302,$0.2916,$0.3246,"$6,981,586","$31,823,463"
MASS,"Sep 27, 2021",$0.2611,$0.3202,$0.2541,$0.3046,"$5,176,357","$29,855,467"
MASS,"Sep 26, 2021",$0.3724,$0.3726,$0.2554,$0.2615,"$4,425,825","$25,636,808"
MASS,"Sep 25, 2021",$0.403,$0.4092,$0.363,$0.3717,"$2,477,682","$36,438,831"
MASS,"Sep 24, 2021",$0.4663,$0.4668,$0.3844,$0.403,"$2,685,771","$39,505,209"
MASS,"Sep 23, 2021",$0.4559,$0.4792,$0.4379,$0.4657,"$2,829,265","$45,653,167"
MASS,"Sep 22, 2021",$0.4408,$0.4608,$0.4364,$0.4548,"$1,437,366","$44,581,722"
MASS,"Sep 21, 2021",$0.4546,$0.488,$0.4291,$0.4395,"$2,903,754","$43,086,502"
MASS,"Sep 20, 2021",$0.5109,$0.514,$0.4306,$0.452,"$4,738,729","$44,308,789"
MASS,"Sep 19, 2021",$0.5327,$0.5332,$0.5068,$0.5102,"$1,369,934","$50,008,089"
MASS,"Sep 18, 2021",$0.5344,$0.5487,$0.5234,$0.5317,"$1,554,750","$52,123,530"
MASS,"Sep 17, 2021",$0.5231,$0.5611,$0.5144,$0.5345,"$2,917,319","$52,398,897"
MASS,"Sep 16, 2021",$0.5414,$0.5466,$0.5209,$0.523,"$1,974,400","$51,269,816"
MASS,"Sep 15, 2021",$0.5334,$0.5472,$0.5243,$0.5413,"$2,008,613","$53,063,940"
MASS,"Sep 14, 2021",$0.5246,$0.5491,$0.5224,$0.5338,"$2,213,153","$52,322,893"
MASS,"Sep 13, 2021",$0.5324,$0.5899,$0.5178,$0.5256,"$8,896,396","$51,518,413"
MASS,"Sep 12, 2021",$0.5119,$0.5479,$0.5057,$0.5325,"$4,093,601","$52,195,438"
MASS,"Sep 11, 2021",$0.5659,$0.5659,$0.5081,$0.5116,"$4,888,674","$50,153,177"
MASS,"Sep 10, 2021",$0.4981,$0.5762,$0.4634,$0.5638,"$8,727,432","$55,268,251"
MASS,"Sep 09, 2021",$0.4829,$0.5166,$0.4798,$0.4979,"$4,486,127","$48,804,412"
