,symbol,date,open,high,low,close,volume,marketCap
0,MAT,"Oct 19, 2021",$3.88,$4.37,$2.95,$3.03,"$8,862,890","$17,794,653"
1,MAT,"Oct 18, 2021",$3.80,$3.99,$3.45,$3.88,"$5,717,398","$22,810,195"
2,MAT,"Oct 17, 2021",$3.56,$4.24,$3.51,$3.80,"$6,574,560","$22,343,488"
3,MAT,"Oct 16, 2021",$3.29,$3.79,$2.71,$3.56,"$9,010,448","$20,914,159"
4,MAT,"Oct 15, 2021",$4.62,$4.70,$2.99,$3.29,"$10,934,140","$19,339,608"
5,MAT,"Oct 14, 2021",$2.94,$4.75,$2.94,$4.62,"$7,095,576","$27,153,864"
6,MAT,"Oct 13, 2021",$2.71,$3.20,$2.49,$2.94,"$5,673,513","$17,281,432"
7,MAT,"Oct 12, 2021",$2.22,$3.02,$1.96,$2.71,"$5,516,368","$15,947,422"
8,MAT,"Oct 11, 2021",$1.88,$2.28,$1.63,$2.22,"$3,748,905","$13,037,377"
9,MAT,"Oct 10, 2021",$1.32,$1.92,$1.24,$1.88,"$2,977,927","$11,065,017"
10,MAT,"Oct 09, 2021",$1.21,$1.43,$1.15,$1.32,"$2,834,859","$7,750,813"
11,MAT,"Oct 08, 2021",$1.33,$1.37,$1.17,$1.21,"$2,460,131","$7,105,357"
12,MAT,"Oct 07, 2021",$1.43,$1.51,$1.29,$1.33,"$2,398,373","$7,831,892"
13,MAT,"Oct 06, 2021",$1.27,$1.64,$1.26,$1.43,"$5,029,662","$5,713,071"
14,MAT,"Oct 05, 2021",$1.52,$1.62,$1.23,$1.27,"$13,272,229",$0
15,MAT,"Oct 04, 2021",$1.23,$1.77,$1.22,$1.52,"$9,902,497",$0
