symbol,date,open,high,low,close,volume,marketCap
MAYP,"Oct 22, 2021","$66,983.78","$82,515.29","$66,983.78","$75,922.77","$1,117",$0
MAYP,"Oct 21, 2021","$82,693.25","$84,238.83","$66,623.45","$67,066.74",$510,$0
MAYP,"Oct 20, 2021","$77,048.92","$82,807.68","$65,350.32","$82,478.93",$412,$0
MAYP,"Oct 19, 2021","$61,970.04","$77,173.66","$61,839.02","$77,038.04",$385,$0
MAYP,"Oct 18, 2021","$76,480.44","$77,297.60","$61,554.52","$61,970.53",$0,$0
MAYP,"Oct 17, 2021","$62,137.09","$76,662.49","$61,011.90","$76,505.44",$383,$0
MAYP,"Oct 16, 2021","$76,789.18","$78,751.61","$61,884.56","$62,149.55",$0,$0
MAYP,"Oct 15, 2021","$75,265.96","$77,441.87","$23,191.59","$76,820.92","$1,037",$0
MAYP,"Oct 14, 2021","$71,691.29","$75,926.86","$60,446.87","$75,299.72",$377,$0
MAYP,"Oct 13, 2021","$69,432.36","$71,721.90","$58,731.94","$71,655.09",$537,$0
MAYP,"Oct 12, 2021","$70,481.64","$70,503.98","$58,098.94","$69,455.21",$347,$0
MAYP,"Oct 11, 2021","$57,452.89","$71,361.52","$57,104.20","$70,430.37",$352,$0
MAYP,"Oct 10, 2021","$71,085.25","$71,632.51","$57,281.91","$57,488.72",$0,$0
MAYP,"Oct 09, 2021","$58,086.51","$71,415.72","$57,883.39","$71,091.66",$355,$0
MAYP,"Oct 08, 2021","$71,328.94","$72,919.00","$57,940.29","$58,069.87",$0,$0
MAYP,"Oct 07, 2021","$71,181.57","$72,562.26","$69,180.60","$71,326.52",$357,$0
MAYP,"Oct 06, 2021","$69,948.15","$72,016.32","$58,361.68","$71,260.47",$534,$0
MAYP,"Oct 05, 2021","$67,196.17","$70,404.06","$56,051.99","$69,946.63",$350,$0
MAYP,"Oct 04, 2021","$65,070.06","$67,695.92","$62,972.95","$67,208.19",$504,$0
MAYP,"Oct 03, 2021","$54,887.15","$65,386.65","$10,002.23","$65,042.05",$825,$0
MAYP,"Oct 02, 2021","$65,753.42","$67,528.63","$54,730.45","$54,905.96",$0,$0
MAYP,"Oct 01, 2021","$53,890.69","$66,197.49","$43,936.67","$65,794.10","$1,224",$0
MAYP,"Sep 30, 2021","$53,531.07","$59,235.54","$49,982.68","$53,896.22","$1,329",$0
MAYP,"Sep 29, 2021","$54,061.54","$56,091.20","$52,518.68","$53,495.97","$1,302",$0
MAYP,"Sep 28, 2021","$57,184.34","$57,823.56","$52,782.44","$53,991.82",$731,$0
MAYP,"Sep 27, 2021","$51,236.39","$59,828.75","$50,663.11","$57,159.13",$831,$0
MAYP,"Sep 26, 2021","$50,172.12","$51,818.66","$48,357.42","$51,259.99",$0,$0
MAYP,"Sep 25, 2021","$58,310.90","$59,053.30","$49,890.18","$50,185.90",$0,$0
MAYP,"Sep 24, 2021","$62,731.81","$62,813.72","$54,617.07","$58,314.48","$1,050",$0
MAYP,"Sep 23, 2021","$55,991.63","$63,106.38","$52,181.69","$62,760.75",$753,$0
MAYP,"Sep 22, 2021","$54,984.54","$61,472.75","$54,527.25","$55,963.81","$1,081",$0
MAYP,"Sep 21, 2021","$59,218.70","$61,593.78","$53,884.90","$54,749.29","$1,555",$0
MAYP,"Sep 20, 2021","$66,227.15","$66,498.74","$58,493.29","$58,854.38",$353,$0
MAYP,"Sep 19, 2021","$68,288.10","$68,587.13","$65,361.97","$66,222.72",$596,$0
MAYP,"Sep 18, 2021","$67,596.94","$70,426.66","$55,352.55","$68,262.84",$614,$0
MAYP,"Sep 17, 2021","$71,033.06","$71,391.28","$54,828.75","$67,532.78",$608,$0
MAYP,"Sep 16, 2021","$71,907.97","$73,062.15","$56,061.32","$71,003.66",$639,$0
