symbol,date,open,high,low,close,volume,marketCap
MCO2,"Oct 29, 2021",$11.67,$17.14,$11.13,$13.89,"$4,974,959",$0
MCO2,"Oct 28, 2021",$10.79,$12.01,$9.93,$11.67,"$1,809,294",$0
MCO2,"Oct 27, 2021",$11.27,$11.62,$10.23,$10.79,"$513,360",$0
MCO2,"Oct 26, 2021",$11.33,$11.96,$10.95,$11.27,"$584,334",$0
MCO2,"Oct 25, 2021",$11.33,$12.74,$8.14,$11.33,"$1,921,025",$0
MCO2,"Oct 24, 2021",$11.94,$12.12,$11.12,$11.33,"$35,918",$0
MCO2,"Oct 23, 2021",$11.39,$12.10,$11.39,$11.94,"$253,539",$0
MCO2,"Oct 22, 2021",$12.33,$12.72,$11.33,$11.39,"$429,923",$0
MCO2,"Oct 21, 2021",$9.44,$12.78,$9.40,$12.33,"$694,163",$0
MCO2,"Oct 20, 2021",$9.69,$9.78,$9.30,$9.44,"$232,477",$0
MCO2,"Oct 19, 2021",$10.36,$10.36,$9.39,$9.69,"$234,306",$0
MCO2,"Oct 18, 2021",$10.41,$10.58,$10.05,$10.37,"$41,441",$0
MCO2,"Oct 17, 2021",$10.41,$10.67,$10.21,$10.41,"$24,284",$0
MCO2,"Oct 16, 2021",$10.43,$10.61,$10.23,$10.41,"$96,169",$0
MCO2,"Oct 15, 2021",$10.37,$11.31,$10.29,$10.43,"$185,522",$0
MCO2,"Oct 14, 2021",$10.01,$10.39,$9.99,$10.37,"$93,511",$0
MCO2,"Oct 13, 2021",$10.93,$10.93,$9.42,$10.01,"$396,035",$0
MCO2,"Oct 12, 2021",$11.25,$11.35,$10.53,$10.93,"$142,689",$0
MCO2,"Oct 11, 2021",$11.35,$11.58,$11.21,$11.25,"$32,719",$0
MCO2,"Oct 10, 2021",$11.52,$12.00,$11.34,$11.35,"$32,005",$0
MCO2,"Oct 09, 2021",$12.01,$12.01,$11.10,$11.52,"$142,874",$0
MCO2,"Oct 08, 2021",$13.06,$13.06,$11.50,$12.01,"$721,044",$0
MCO2,"Oct 07, 2021",$12.30,$13.76,$12.07,$13.06,"$575,805",$0
MCO2,"Oct 06, 2021",$12.76,$12.92,$11.80,$12.30,"$344,107",$0
