,symbol,date,open,high,low,close,volume,marketCap
0,MELLO,"Oct 19, 2021",$0.01911,$0.0195,$0.01728,$0.0173,"$139,701",$0
1,MELLO,"Oct 18, 2021",$0.02132,$0.02157,$0.01904,$0.0191,"$126,981",$0
2,MELLO,"Oct 17, 2021",$0.02255,$0.02316,$0.02101,$0.02132,"$139,659",$0
3,MELLO,"Oct 16, 2021",$0.02105,$0.02397,$0.02101,$0.02257,"$170,476",$0
4,MELLO,"Oct 15, 2021",$0.01906,$0.02125,$0.01794,$0.02106,"$393,442",$0
5,MELLO,"Oct 14, 2021",$0.02462,$0.02464,$0.01844,$0.01905,"$411,972",$0
6,MELLO,"Oct 13, 2021",$0.02603,$0.02831,$0.024,$0.02461,"$703,601",$0
7,MELLO,"Oct 12, 2021",$0.02668,$0.02918,$0.01671,$0.02599,"$682,437",$0
8,MELLO,"Oct 11, 2021",$0.0279,$0.02869,$0.02639,$0.02671,"$237,197",$0
9,MELLO,"Oct 10, 2021",$0.03071,$0.03123,$0.02786,$0.02793,"$385,709",$0
10,MELLO,"Oct 09, 2021",$0.03531,$0.03824,$0.02813,$0.0307,"$638,594",$0
11,MELLO,"Oct 08, 2021",$0.04078,$0.04142,$0.03203,$0.03531,"$1,426,514",$0
12,MELLO,"Oct 07, 2021",$0.04852,$0.04879,$0.02535,$0.04078,"$1,545,167",$0
13,MELLO,"Oct 06, 2021",$0.04971,$0.0515,$0.04556,$0.04849,"$928,304",$0
14,MELLO,"Oct 05, 2021",$0.04334,$0.05167,$0.0431,$0.04972,"$1,264,856",$0
15,MELLO,"Oct 04, 2021",$0.04067,$0.05101,$0.03969,$0.04333,"$1,796,863",$0
16,MELLO,"Oct 03, 2021",$0.03726,$0.0407,$0.03393,$0.04068,"$1,231,858",$0
17,MELLO,"Oct 02, 2021",$0.03366,$0.03851,$0.03066,$0.03724,"$644,786",$0
18,MELLO,"Oct 01, 2021",$0.02772,$0.04121,$0.02772,$0.03365,"$567,503",$0
19,MELLO,"Sep 30, 2021",$0.02509,$0.02773,$0.02484,$0.02771,"$193,054",$0
20,MELLO,"Sep 29, 2021",$0.02081,$0.02764,$0.02081,$0.0251,"$172,125",$0
21,MELLO,"Sep 28, 2021",$0.01872,$0.02142,$0.01833,$0.02083,"$82,764",$0
22,MELLO,"Sep 27, 2021",$0.01857,$0.01929,$0.01846,$0.01872,"$55,103",$0
23,MELLO,"Sep 26, 2021",$0.02024,$0.02024,$0.01808,$0.01856,"$52,469",$0
24,MELLO,"Sep 25, 2021",$0.0204,$0.02122,$0.0199,$0.02025,"$88,796",$0
25,MELLO,"Sep 24, 2021",$0.02119,$0.02126,$0.0184,$0.02039,"$114,673",$0
26,MELLO,"Sep 23, 2021",$0.01917,$0.02141,$0.01871,$0.0212,"$153,823",$0
27,MELLO,"Sep 22, 2021",$0.01893,$0.02265,$0.01888,$0.01916,"$132,263",$0
28,MELLO,"Sep 21, 2021",$0.01993,$0.02057,$0.01838,$0.01891,"$168,812",$0
29,MELLO,"Sep 20, 2021",$0.02377,$0.02381,$0.01658,$0.01996,"$183,693",$0
