symbol,date,open,high,low,close,volume,marketCap
META,"Oct 29, 2021",$3.81,$6.05,$3.22,$4.54,"$1,925,112",$0
META,"Oct 28, 2021",$1.72,$3.81,$1.72,$3.81,"$508,178",$0
META,"Oct 27, 2021",$1.80,$1.87,$1.72,$1.72,"$22,928",$0
META,"Oct 26, 2021",$1.84,$1.85,$1.79,$1.80,$0,$0
META,"Oct 25, 2021",$1.83,$1.86,$1.82,$1.84,"$14,380",$0
META,"Oct 24, 2021",$1.83,$1.84,$1.78,$1.83,"$18,826",$0
META,"Oct 23, 2021",$1.73,$1.83,$1.72,$1.83,"$27,761",$0
META,"Oct 22, 2021",$1.82,$1.88,$1.70,$1.73,"$22,766",$0
META,"Oct 21, 2021",$1.81,$1.84,$1.74,$1.82,"$18,253",$0
META,"Oct 20, 2021",$1.82,$1.83,$1.76,$1.81,"$22,062",$0
META,"Oct 19, 2021",$1.90,$1.94,$1.78,$1.82,"$21,460",$0
META,"Oct 18, 2021",$1.94,$1.97,$1.85,$1.90,"$28,652",$0
META,"Oct 17, 2021",$1.85,$1.98,$1.81,$1.94,"$31,315",$0
META,"Oct 16, 2021",$1.98,$1.99,$1.83,$1.85,"$31,567",$0
META,"Oct 15, 2021",$2.01,$2.05,$1.94,$1.98,"$30,139",$0
META,"Oct 14, 2021",$1.99,$2.03,$1.95,$2.01,"$54,670",$0
META,"Oct 13, 2021",$1.93,$2.10,$1.87,$1.99,"$65,805",$0
META,"Oct 12, 2021",$1.81,$1.95,$1.77,$1.93,"$72,599",$0
META,"Oct 11, 2021",$1.82,$1.89,$1.73,$1.81,"$111,200",$0
META,"Oct 10, 2021",$2.13,$2.13,$1.81,$1.82,"$72,860",$0
META,"Oct 09, 2021",$2.12,$2.16,$2.10,$2.13,"$21,431",$0
META,"Oct 08, 2021",$2.27,$2.28,$2.12,$2.12,"$30,022",$0
META,"Oct 07, 2021",$2.29,$2.50,$2.24,$2.27,"$42,909",$0
META,"Oct 06, 2021",$2.43,$2.44,$2.18,$2.29,"$119,278",$0
META,"Oct 05, 2021",$3.23,$3.24,$2.29,$2.43,"$131,898",$0
META,"Oct 04, 2021",$3.29,$3.42,$3.11,$3.23,"$119,714",$0
META,"Oct 03, 2021",$3.64,$3.67,$3.15,$3.29,"$229,113",$0
META,"Oct 02, 2021",$3.76,$3.77,$2.73,$3.64,"$186,615",$0
META,"Oct 01, 2021",$4.09,$4.09,$3.50,$3.76,"$102,894",$0
META,"Sep 30, 2021",$3.94,$4.17,$3.73,$4.09,"$98,009",$0
META,"Sep 29, 2021",$3.70,$4.14,$3.69,$3.94,"$69,203",$0
META,"Sep 28, 2021",$3.99,$4.03,$3.62,$3.70,"$69,976",$0
META,"Sep 27, 2021",$4.03,$4.26,$3.86,$3.99,"$180,203",$0
META,"Sep 26, 2021",$5.14,$5.14,$3.52,$4.03,"$208,715",$0
META,"Sep 25, 2021",$5.80,$5.84,$4.82,$5.15,"$272,449",$0
META,"Sep 24, 2021",$5.58,$8.02,$4.92,$5.80,"$629,980",$0
META,"Sep 23, 2021",$5.20,$7.15,$3.51,$5.58,"$806,281",$0
META,"Sep 22, 2021",$6.65,$7.31,$4.27,$5.20,"$424,052",$0
META,"Sep 21, 2021",$6.07,$7.28,$5.85,$6.64,"$97,972",$0
META,"Sep 20, 2021",$6.43,$6.45,$5.64,$6.08,"$106,394",$0
META,"Sep 19, 2021",$6.61,$6.62,$5.64,$6.45,"$116,306",$0
META,"Sep 18, 2021",$5.90,$6.94,$3.83,$6.61,"$99,671",$0
META,"Sep 17, 2021",$6.30,$6.72,$5.77,$5.90,"$204,946",$0
META,"Sep 16, 2021",$6.66,$7.56,$5.98,$6.30,"$611,802",$0
META,"Sep 15, 2021",$0.1118,$0.1168,$0.1117,$0.1157,"$19,400,371","$144,107,971"
META,"Sep 14, 2021",$0.11,$0.1135,$0.1082,$0.1118,"$6,098,747","$139,266,850"
META,"Sep 13, 2021",$0.1179,$0.1187,$0.1065,$0.11,"$12,706,816","$137,038,494"
META,"Sep 12, 2021",$0.1145,$0.1222,$0.1128,$0.1179,"$29,264,300","$146,819,921"
META,"Sep 11, 2021",$0.1128,$0.1188,$0.112,$0.1145,"$11,489,637","$142,620,249"
META,"Sep 10, 2021",$0.1188,$0.1236,$0.1103,$0.1128,"$19,476,750","$140,499,103"
META,"Sep 09, 2021",$0.1171,$0.1221,$0.1125,$0.1196,"$24,010,355","$148,995,957"
META,"Sep 08, 2021",$0.1196,$0.1229,$0.09941,$0.1148,"$39,236,519","$142,930,683"
META,"Sep 07, 2021",$0.1461,$0.1477,$0.1102,$0.1196,"$46,907,951","$148,981,164"
META,"Sep 06, 2021",$0.1393,$0.1471,$0.1349,$0.1461,"$45,577,768","$181,951,333"
META,"Sep 05, 2021",$0.1436,$0.1584,$0.1307,$0.1393,"$113,045,641","$173,467,526"
META,"Sep 04, 2021",$0.1334,$0.1445,$0.1316,$0.1436,"$59,976,293","$178,881,854"
META,"Sep 03, 2021",$0.1289,$0.1351,$0.1256,$0.1342,"$27,668,957","$167,179,164"
META,"Sep 02, 2021",$0.1291,$0.1313,$0.1269,$0.1289,"$18,939,910","$160,499,213"
META,"Sep 01, 2021",$0.1253,$0.1291,$0.1227,$0.1291,"$17,082,966","$160,740,825"
META,"Aug 31, 2021",$0.1244,$0.1261,$0.1202,$0.1261,"$14,602,050","$157,030,828"
META,"Aug 30, 2021",$0.124,$0.1273,$0.1227,$0.1244,"$17,847,973","$154,939,817"
