symbol,date,open,high,low,close,volume,marketCap
MIS,"Oct 29, 2021",$0.3054,$0.4926,$0.2124,$0.4697,"$197,493",$0
MIS,"Oct 28, 2021",$0.2179,$0.5003,$0.1804,$0.3054,"$127,133",$0
MIS,"Oct 27, 2021",$0.2997,$0.3624,$0.1561,$0.2179,"$158,455",$0
MIS,"Oct 26, 2021",$0.313,$0.3698,$0.2752,$0.2997,"$347,252",$0
MIS,"Oct 25, 2021",$0.3092,$0.3844,$0.2751,$0.3131,"$297,899",$0
MIS,"Oct 24, 2021",$0.3767,$0.39,$0.2753,$0.3092,"$337,565",$0
MIS,"Oct 23, 2021",$0.1791,$0.3902,$0.1567,$0.3767,"$184,318",$0
MIS,"Oct 22, 2021",$0.352,$0.3882,$0.159,$0.1791,"$144,750",$0
MIS,"Oct 21, 2021",$0.2769,$0.3897,$0.2333,$0.352,"$257,191",$0
MIS,"Oct 20, 2021",$0.6177,$0.6184,$0.2027,$0.2769,"$94,182",$0
MIS,"Oct 19, 2021",$0.4643,$0.62,$0.4643,$0.6176,"$31,786",$0
MIS,"Oct 18, 2021",$0.3393,$0.4645,$0.3288,$0.4643,"$44,056",$0
MIS,"Oct 17, 2021",$0.3407,$0.4425,$0.2531,$0.3393,"$272,221",$0
MIS,"Oct 16, 2021",$0.4529,$0.4952,$0.2736,$0.3407,"$369,150",$0
MIS,"Oct 15, 2021",$0.3687,$0.499,$0.2404,$0.4528,"$267,115",$0
MIS,"Oct 14, 2021",$0.3562,$0.55,$0.2078,$0.3687,"$130,475",$0
MIS,"Oct 13, 2021",$0.3051,$0.5487,$0.2042,$0.3562,"$184,172",$0
MIS,"Oct 12, 2021",$0.3014,$0.3346,$0.2006,$0.305,"$201,394",$0
MIS,"Oct 11, 2021",$0.6654,$0.9323,$0.202,$0.3014,"$68,161",$0
MIS,"Oct 10, 2021",$0.3753,$0.6852,$0.3751,$0.6659,$129,$0
MIS,"Oct 09, 2021",$0.3321,$0.486,$0.1808,$0.3754,"$90,678",$0
MIS,"Oct 08, 2021",$0.4518,$0.4951,$0.1749,$0.3321,"$124,382",$0
MIS,"Oct 07, 2021",$0.3331,$0.55,$0.07549,$0.4518,"$102,374",$0
MIS,"Oct 06, 2021",$0.05055,$0.3801,$0.05047,$0.3332,"$67,545",$0
MIS,"Oct 05, 2021",$0.1394,$0.4343,$0.04561,$0.05055,"$112,245",$0
MIS,"Oct 04, 2021",$0.0856,$0.1923,$0.05742,$0.1394,"$54,618",$0
MIS,"Oct 03, 2021",$0.673,$0.6741,$0.0856,$0.08561,"$50,395",$0
MIS,"Oct 02, 2021",$0.5975,$0.6809,$0.5892,$0.6732,"$19,604",$0
MIS,"Oct 01, 2021",$0.5435,$0.6013,$0.5377,$0.5978,"$37,646",$0
