symbol,date,open,high,low,close,volume,marketCap
MOMAT,"Oct 22, 2021",$0.0896,$0.0907,$0.08498,$0.08589,"$42,498",$0
MOMAT,"Oct 21, 2021",$0.082,$0.09061,$0.08009,$0.0896,"$34,925",$0
MOMAT,"Oct 20, 2021",$0.08031,$0.08414,$0.07889,$0.08199,"$28,107",$0
MOMAT,"Oct 19, 2021",$0.0855,$0.08579,$0.04549,$0.08031,"$22,380",$0
MOMAT,"Oct 18, 2021",$0.08812,$0.09099,$0.0746,$0.0855,"$22,170",$0
MOMAT,"Oct 17, 2021",$0.0912,$0.09401,$0.0844,$0.08812,"$23,954",$0
MOMAT,"Oct 16, 2021",$0.09092,$0.09407,$0.0906,$0.09121,"$22,537",$0
MOMAT,"Oct 15, 2021",$0.0828,$0.09412,$0.08158,$0.09092,"$23,823",$0
MOMAT,"Oct 14, 2021",$0.07981,$0.08351,$0.0788,$0.0828,"$20,815",$0
MOMAT,"Oct 13, 2021",$0.07941,$0.08025,$0.07794,$0.07981,"$20,057",$0
MOMAT,"Oct 12, 2021",$0.08636,$0.08964,$0.07643,$0.0794,"$20,638",$0
MOMAT,"Oct 11, 2021",$0.07548,$0.08986,$0.07537,$0.08635,"$22,245",$0
MOMAT,"Oct 10, 2021",$0.0767,$0.07872,$0.07408,$0.07547,"$18,752",$0
MOMAT,"Oct 09, 2021",$0.07391,$0.08232,$0.07021,$0.07671,"$14,018",$0
MOMAT,"Oct 08, 2021",$0.09844,$0.09933,$0.06891,$0.0739,"$15,600",$0
MOMAT,"Oct 07, 2021",$0.1017,$0.1117,$0.09504,$0.09843,"$20,356",$0
MOMAT,"Oct 06, 2021",$0.09264,$0.1115,$0.08757,$0.1017,"$23,210",$0
MOMAT,"Oct 05, 2021",$0.1043,$0.1053,$0.09091,$0.09264,"$17,969",$0
MOMAT,"Oct 04, 2021",$0.1096,$0.11,$0.1018,$0.1043,"$19,927",$0
MOMAT,"Oct 03, 2021",$0.09803,$0.11,$0.09643,$0.1096,"$22,208",$0
MOMAT,"Oct 02, 2021",$0.09322,$0.09991,$0.09312,$0.09804,"$19,498",$0
MOMAT,"Oct 01, 2021",$0.09041,$0.1045,$0.08911,$0.09321,"$19,150",$0
MOMAT,"Sep 30, 2021",$0.1015,$0.1015,$0.08969,$0.09042,"$14,829",$0
MOMAT,"Sep 29, 2021",$0.1065,$0.1105,$0.09829,$0.1015,"$22,727",$0
MOMAT,"Sep 28, 2021",$0.09825,$0.1103,$0.09765,$0.1065,"$18,845",$0
MOMAT,"Sep 27, 2021",$0.117,$0.1258,$0.09715,$0.09825,"$17,508",$0
MOMAT,"Sep 26, 2021",$0.1221,$0.1235,$0.1163,$0.117,"$21,126",$0
MOMAT,"Sep 25, 2021",$0.1209,$0.1222,$0.1202,$0.1221,"$23,146",$0
MOMAT,"Sep 24, 2021",$0.1212,$0.1239,$0.1201,$0.1209,"$22,546",$0
MOMAT,"Sep 23, 2021",$0.121,$0.1246,$0.1203,$0.1212,"$22,146",$0
MOMAT,"Sep 22, 2021",$0.1218,$0.123,$0.1203,$0.121,"$23,195",$0
MOMAT,"Sep 21, 2021",$0.1226,$0.1242,$0.1209,$0.1218,"$23,924",$0
MOMAT,"Sep 20, 2021",$0.1212,$0.1227,$0.1209,$0.1226,"$23,059",$0
MOMAT,"Sep 19, 2021",$0.1183,$0.1227,$0.1181,$0.1211,"$22,561",$0
MOMAT,"Sep 18, 2021",$0.1205,$0.1225,$0.1178,$0.1183,"$21,485",$0
MOMAT,"Sep 17, 2021",$0.1231,$0.1233,$0.1174,$0.1205,"$21,446",$0
