symbol,date,open,high,low,close,volume,marketCap
MTGY,"Oct 22, 2021",$0.0101,$0.0102,$0.008568,$0.008809,"$131,559","$4,067,637"
MTGY,"Oct 21, 2021",$0.01095,$0.01099,$0.009844,$0.0101,"$77,207","$4,665,070"
MTGY,"Oct 20, 2021",$0.0109,$0.01124,$0.01082,$0.01094,"$61,206","$5,053,433"
MTGY,"Oct 19, 2021",$0.01146,$0.01157,$0.01068,$0.0109,"$42,371","$5,033,735"
MTGY,"Oct 18, 2021",$0.0114,$0.01164,$0.01108,$0.01146,"$34,450","$5,290,383"
MTGY,"Oct 17, 2021",$0.01144,$0.01157,$0.01102,$0.01141,"$59,507","$5,266,424"
MTGY,"Oct 16, 2021",$0.01219,$0.01233,$0.01137,$0.01146,"$107,804","$5,289,767"
MTGY,"Oct 15, 2021",$0.01162,$0.01227,$0.01146,$0.01219,"$75,205","$5,628,960"
MTGY,"Oct 14, 2021",$0.01219,$0.01225,$0.01153,$0.01162,"$43,926","$5,365,329"
MTGY,"Oct 13, 2021",$0.01131,$0.01221,$0.01131,$0.01218,"$69,227","$5,625,268"
MTGY,"Oct 12, 2021",$0.01235,$0.01237,$0.01103,$0.0113,"$67,614","$5,217,205"
MTGY,"Oct 11, 2021",$0.01213,$0.01274,$0.0121,$0.01237,"$133,451","$5,709,359"
MTGY,"Oct 10, 2021",$0.01057,$0.0136,$0.01057,$0.01215,"$156,984","$5,609,149"
MTGY,"Oct 09, 2021",$0.01052,$0.01092,$0.01052,$0.01057,"$59,236","$4,880,409"
MTGY,"Oct 08, 2021",$0.0114,$0.01149,$0.01043,$0.01052,"$71,704","$4,856,619"
MTGY,"Oct 07, 2021",$0.01187,$0.01209,$0.01091,$0.0114,"$65,773","$5,263,504"
MTGY,"Oct 06, 2021",$0.01239,$0.01243,$0.01137,$0.01186,"$55,789","$5,477,780"
MTGY,"Oct 05, 2021",$0.01235,$0.0127,$0.01211,$0.01239,"$104,824","$5,722,194"
MTGY,"Oct 04, 2021",$0.01395,$0.01436,$0.012,$0.01234,"$127,367","$5,699,677"
MTGY,"Oct 03, 2021",$0.01354,$0.01474,$0.01325,$0.01395,"$212,816","$6,440,013"
MTGY,"Oct 02, 2021",$0.01075,$0.01408,$0.01054,$0.01354,"$176,785","$6,250,082"
MTGY,"Oct 01, 2021",$0.008946,$0.01084,$0.008908,$0.01075,"$93,849","$4,961,926"
MTGY,"Sep 30, 2021",$0.008343,$0.009155,$0.008343,$0.008943,"$76,011","$4,129,413"
MTGY,"Sep 29, 2021",$0.008322,$0.009458,$0.008198,$0.008347,"$157,069","$3,854,175"
MTGY,"Sep 28, 2021",$0.01008,$0.0102,$0.007716,$0.00833,"$156,124","$3,846,021"
MTGY,"Sep 27, 2021",$0.01135,$0.01187,$0.01005,$0.01008,"$109,146","$4,652,569"
MTGY,"Sep 26, 2021",$0.01183,$0.01201,$0.01085,$0.01134,"$82,838","$5,237,538"
MTGY,"Sep 25, 2021",$0.01269,$0.01286,$0.01162,$0.01183,"$223,930","$5,463,655"
MTGY,"Sep 24, 2021",$0.01493,$0.01514,$0.01212,$0.01269,"$313,795","$5,859,759"
MTGY,"Sep 23, 2021",$0.01223,$0.01551,$0.01183,$0.01493,"$453,978","$6,892,555"
MTGY,"Sep 22, 2021",$0.008646,$0.01229,$0.008538,$0.01223,"$517,403","$5,646,383"
MTGY,"Sep 21, 2021",$0.009614,$0.009776,$0.008648,$0.008648,"$465,670","$3,993,259"
