symbol,date,open,high,low,close,volume,marketCap
MTR,"Oct 29, 2021",$2.59,$3.01,$2.59,$2.87,"$43,118",$0
MTR,"Oct 28, 2021",$2.68,$2.85,$2.55,$2.58,"$41,114",$0
MTR,"Oct 27, 2021",$2.91,$2.93,$2.63,$2.68,"$115,396",$0
MTR,"Oct 26, 2021",$2.78,$2.93,$2.68,$2.91,"$261,301",$0
MTR,"Oct 25, 2021",$2.79,$3.00,$2.63,$2.78,"$252,744",$0
MTR,"Oct 24, 2021",$2.95,$2.96,$2.66,$2.79,"$240,157",$0
MTR,"Oct 23, 2021",$2.90,$4.08,$2.77,$2.94,"$321,520",$0
MTR,"Oct 22, 2021",$2.91,$3.02,$2.77,$2.90,"$245,579",$0
MTR,"Oct 21, 2021",$2.78,$2.95,$2.78,$2.91,"$256,771",$0
MTR,"Oct 20, 2021",$2.86,$2.95,$2.71,$2.78,"$240,844",$0
MTR,"Oct 19, 2021",$2.83,$2.88,$2.66,$2.86,"$251,221",$0
MTR,"Oct 18, 2021",$2.88,$2.92,$2.58,$2.83,"$248,517",$0
MTR,"Oct 17, 2021",$2.84,$3.12,$2.72,$2.88,"$236,475",$0
MTR,"Oct 16, 2021",$3.25,$3.38,$2.63,$2.84,"$252,201",$0
MTR,"Oct 15, 2021",$4.11,$4.14,$3.03,$3.25,"$391,885",$0
MTR,"Oct 14, 2021",$2.58,$6.39,$2.57,$4.11,"$1,038,979",$0
MTR,"Oct 13, 2021",$2.59,$2.61,$2.55,$2.58,"$219,362",$0
MTR,"Oct 12, 2021",$2.65,$2.71,$2.55,$2.59,"$217,516",$0
MTR,"Oct 11, 2021",$2.68,$2.72,$2.56,$2.65,"$210,062",$0
MTR,"Oct 10, 2021",$2.90,$2.94,$2.67,$2.68,"$220,612",$0
MTR,"Oct 09, 2021",$2.75,$3.00,$2.73,$2.90,"$245,178",$0
MTR,"Oct 08, 2021",$2.56,$2.83,$2.56,$2.75,"$243,169",$0
MTR,"Oct 07, 2021",$2.66,$2.66,$2.13,$2.56,"$210,047",$0
MTR,"Oct 06, 2021",$2.60,$2.69,$2.57,$2.66,"$229,340",$0
MTR,"Oct 05, 2021",$2.61,$2.65,$2.53,$2.60,"$218,144",$0
MTR,"Oct 04, 2021",$2.73,$2.83,$2.59,$2.61,"$230,412",$0
MTR,"Oct 03, 2021",$2.55,$2.76,$2.50,$2.73,"$227,053",$0
MTR,"Oct 02, 2021",$2.51,$2.55,$2.45,$2.55,"$212,377",$0
MTR,"Oct 01, 2021",$2.42,$2.53,$2.42,$2.51,"$217,381",$0
MTR,"Sep 30, 2021",$2.44,$2.53,$2.31,$2.42,"$189,642",$0
MTR,"Sep 29, 2021",$2.59,$2.62,$2.43,$2.44,"$200,297",$0
MTR,"Sep 28, 2021",$2.78,$2.88,$2.06,$2.59,"$211,437",$0
MTR,"Sep 27, 2021",$2.71,$2.87,$2.33,$2.78,"$223,200",$0
MTR,"Sep 26, 2021",$2.93,$2.99,$2.59,$2.71,"$236,433",$0
MTR,"Sep 25, 2021",$2.89,$2.97,$2.77,$2.93,"$262,262",$0
MTR,"Sep 24, 2021",$3.21,$3.21,$2.53,$2.89,"$254,155",$0
MTR,"Sep 23, 2021",$3.19,$3.32,$2.71,$3.21,"$345,150",$0
MTR,"Sep 22, 2021",$2.63,$3.89,$2.62,$3.19,"$436,512",$0
MTR,"Sep 21, 2021",$2.86,$2.86,$2.55,$2.63,"$221,708",$0
MTR,"Sep 20, 2021",$3.00,$3.00,$2.78,$2.86,"$226,460",$0
MTR,"Sep 19, 2021",$3.20,$3.24,$3.00,$3.00,"$256,008",$0
MTR,"Sep 18, 2021",$3.11,$3.20,$2.98,$3.20,"$259,030",$0
MTR,"Sep 17, 2021",$3.13,$3.37,$2.93,$3.11,"$263,192",$0
MTR,"Sep 16, 2021",$2.87,$3.17,$2.83,$3.12,"$273,834",$0
MTR,"Sep 15, 2021",$2.54,$2.88,$2.51,$2.87,"$228,606",$0
MTR,"Sep 14, 2021",$2.35,$2.66,$2.30,$2.54,"$202,418",$0
MTR,"Sep 13, 2021",$2.56,$2.58,$2.20,$2.35,"$194,342",$0
MTR,"Sep 12, 2021",$2.49,$2.61,$2.44,$2.56,"$200,231",$0
MTR,"Sep 11, 2021",$2.62,$2.62,$2.24,$2.49,"$199,748",$0
