symbol,date,open,high,low,close,volume,marketCap
NAMI,"Oct 22, 2021",$158.53,$162.02,$153.39,$155.24,$155,$0
NAMI,"Oct 21, 2021",$161.93,$169.03,$158.02,$158.70,$0,$0
NAMI,"Oct 20, 2021",$150.77,$162.21,$148.71,$162.21,$0,$0
NAMI,"Oct 19, 2021",$146.43,$152.10,$145.95,$151.47,$0,$0
NAMI,"Oct 18, 2021",$149.57,$151.82,$144.83,$146.42,$0,$0
NAMI,"Oct 17, 2021",$150.08,$152.51,$143.93,$149.43,$0,$0
NAMI,"Oct 16, 2021",$151.24,$154.20,$148.73,$150.08,$0,$0
NAMI,"Oct 15, 2021",$148.44,$152.21,$145.20,$151.03,$0,$0
NAMI,"Oct 14, 2021",$143.50,$149.62,$143.40,$148.62,"$1,325",$0
NAMI,"Oct 13, 2021",$139.73,$143.65,$137.28,$143.40,$0,$0
NAMI,"Oct 12, 2021",$141.53,$141.65,$136.47,$139.68,$0,$0
NAMI,"Oct 11, 2021",$137.36,$144.50,$136.41,$141.62,$0,$0
NAMI,"Oct 10, 2021",$143.34,$143.57,$137.39,$137.49,$0,$0
NAMI,"Oct 09, 2021",$142.43,$144.55,$141.45,$143.50,$0,$0
NAMI,"Oct 08, 2021",$143.71,$146.21,$141.59,$142.48,$0,$0
NAMI,"Oct 07, 2021",$143.25,$148.50,$139.27,$143.88,$0,$0
NAMI,"Oct 06, 2021",$140.58,$144.62,$134.00,$143.17,$0,$0
NAMI,"Oct 05, 2021",$135.49,$141.59,$134.25,$140.82,$0,$0
NAMI,"Oct 04, 2021",$136.70,$136.96,$132.02,$135.46,$0,$0
NAMI,"Oct 03, 2021",$135.58,$139.51,$134.34,$136.64,$0,$0
NAMI,"Oct 02, 2021",$131.87,$138.06,$130.39,$135.78,$0,$0
NAMI,"Oct 01, 2021",$120.03,$132.66,$119.21,$131.86,$0,$0
NAMI,"Sep 30, 2021",$113.63,$121.45,$113.53,$120.03,$0,$0
NAMI,"Sep 29, 2021",$112.23,$117.62,$111.96,$113.76,$0,$0
NAMI,"Sep 28, 2021",$117.80,$118.89,$112.14,$112.37,$0,$0
NAMI,"Sep 27, 2021",$122.06,$126.50,$117.79,$117.79,$0,$0
NAMI,"Sep 26, 2021",$117.28,$124.15,$110.21,$122.13,$0,$0
NAMI,"Sep 25, 2021",$116.74,$117.92,$113.00,$117.30,$0,$0
NAMI,"Sep 24, 2021",$125.84,$126.15,$111.26,$116.70,$0,$0
NAMI,"Sep 23, 2021",$118.86,$127.78,$118.09,$125.83,"$11,128",$0
NAMI,"Sep 22, 2021",$106.76,$119.32,$106.76,$118.79,$0,$0
NAMI,"Sep 21, 2021",$115.30,$119.78,$105.52,$106.77,$0,$0
NAMI,"Sep 20, 2021",$128.90,$129.11,$114.74,$115.41,$0,$0
NAMI,"Sep 19, 2021",$132.96,$133.99,$128.03,$128.89,$0,$0
NAMI,"Sep 18, 2021",$134.63,$139.70,$132.73,$132.90,$998,$0
NAMI,"Sep 17, 2021",$141.26,$142.15,$133.13,$134.54,$0,$0
NAMI,"Sep 16, 2021",$142.15,$144.66,$138.79,$141.37,$0,$0
NAMI,"Sep 15, 2021",$134.50,$142.27,$134.02,$142.10,$0,$0
NAMI,"Sep 14, 2021",$129.99,$134.90,$129.75,$134.47,$0,$0
NAMI,"Sep 13, 2021",$134.58,$135.62,$124.49,$129.98,$0,$0
NAMI,"Sep 12, 2021",$126.67,$136.43,$125.75,$134.60,$997,$0
NAMI,"Sep 11, 2021",$124.66,$129.67,$124.52,$126.71,$0,$0
NAMI,"Sep 10, 2021",$133.17,$136.08,$123.28,$124.64,$0,$0
NAMI,"Sep 09, 2021",$134.72,$137.90,$132.38,$133.18,$0,$0
NAMI,"Sep 08, 2021",$133.29,$137.68,$125.52,$135.54,$0,$0
NAMI,"Sep 07, 2021",$152.91,$153.50,$127.95,$133.17,$0,$0
NAMI,"Sep 06, 2021",$153.24,$154.41,$150.00,$152.96,$0,$0
NAMI,"Sep 05, 2021",$150.74,$153.91,$149.27,$153.22,$0,$0
NAMI,"Sep 04, 2021",$148.43,$153.88,$148.41,$150.68,"$1,554",$0
NAMI,"Sep 03, 2021",$143.08,$150.91,$140.90,$148.47,$0,$0
NAMI,"Sep 02, 2021",$143.21,$144.31,$141.02,$143.11,$0,$0
NAMI,"Sep 01, 2021",$129.38,$143.14,$128.03,$143.14,$0,$0
NAMI,"Aug 31, 2021",$121.83,$129.76,$120.97,$129.45,$0,$0
NAMI,"Aug 30, 2021",$122.34,$125.67,$118.93,$121.89,$0,$0
NAMI,"Aug 29, 2021",$122.55,$124.32,$119.94,$122.47,$0,$0
NAMI,"Aug 28, 2021",$123.18,$123.53,$121.67,$122.44,$0,$0
NAMI,"Aug 27, 2021",$117.43,$123.66,$115.76,$123.18,$0,$0
NAMI,"Aug 26, 2021",$121.39,$122.20,$115.71,$117.23,$0,$0
NAMI,"Aug 25, 2021",$119.67,$122.32,$117.06,$121.29,$0,$0
NAMI,"Aug 24, 2021",$125.71,$126.54,$118.16,$119.68,$0,$0
NAMI,"Aug 23, 2021",$122.28,$127.03,$122.11,$125.70,$0,$0
NAMI,"Aug 22, 2021",$122.04,$123.44,$118.78,$122.24,$0,$0
NAMI,"Aug 21, 2021",$123.63,$124.74,$121.61,$122.07,$0,$0
NAMI,"Aug 20, 2021",$119.45,$124.39,$119.45,$123.57,$0,$0
NAMI,"Aug 19, 2021",$115.36,$119.52,$111.70,$119.31,$0,$0
NAMI,"Aug 18, 2021",$113.77,$118.41,$111.70,$115.38,$0,$0
NAMI,"Aug 17, 2021",$119.24,$123.79,$113.14,$113.88,$0,$0
NAMI,"Aug 16, 2021",$124.50,$125.30,$119.01,$119.20,$0,$0
NAMI,"Aug 15, 2021",$123.31,$124.60,$117.89,$124.41,$0,$0
NAMI,"Aug 14, 2021",$125.10,$125.72,$121.35,$123.25,$0,$0
NAMI,"Aug 13, 2021",$115.03,$125.20,$114.85,$125.13,$0,$0
NAMI,"Aug 12, 2021",$119.59,$121.82,$113.12,$115.20,$0,$0
NAMI,"Aug 11, 2021",$118.93,$123.15,$118.60,$119.49,$114,$0
NAMI,"Aug 10, 2021",$119.36,$121.59,$115.86,$118.88,$0,$0
NAMI,"Aug 09, 2021",$113.97,$120.02,$110.17,$119.31,$0,$0
NAMI,"Aug 08, 2021",$119.12,$120.02,$112.13,$114.05,$0,$0
NAMI,"Aug 07, 2021",$109.40,$119.21,$108.98,$119.21,$0,$0
NAMI,"Aug 06, 2021",$106.80,$111.01,$103.48,$109.39,$0,$0
NAMI,"Aug 05, 2021",$103.15,$106.99,$97.47,$106.80,$0,$0
NAMI,"Aug 04, 2021",$95.01,$104.32,$93.29,$103.19,$0,$0
