,symbol,date,open,high,low,close,volume,marketCap
0,NASH,"Oct 19, 2021",$0.00001723,$0.00001841,$0.00001723,$0.00001818,"$2,157","$431,160"
1,NASH,"Oct 18, 2021",$0.0000177,$0.0000178,$0.000017,$0.00001723,"$2,338","$408,432"
2,NASH,"Oct 17, 2021",$0.0000178,$0.00001809,$0.00001701,$0.0000177,$435,"$419,784"
3,NASH,"Oct 16, 2021",$0.00001853,$0.00001909,$0.00001779,$0.0000178,$436,"$421,936"
4,NASH,"Oct 15, 2021",$0.00001729,$0.00001851,$0.00001669,$0.00001851,"$3,223","$438,879"
5,NASH,"Oct 14, 2021",$0.0000175,$0.0000177,$0.00001644,$0.00001731,"$3,705","$410,481"
6,NASH,"Oct 13, 2021",$0.00001745,$0.00001801,$0.000016,$0.0000175,$530,"$414,980"
7,NASH,"Oct 12, 2021",$0.00001873,$0.00001875,$0.00001688,$0.00001744,"$3,285","$413,522"
8,NASH,"Oct 11, 2021",$0.00001938,$0.00001938,$0.00001648,$0.00001874,"$6,961","$444,362"
9,NASH,"Oct 10, 2021",$0.00001952,$0.00002213,$0.00001893,$0.00001939,"$8,070","$459,789"
10,NASH,"Oct 09, 2021",$0.00001907,$0.00002075,$0.00001895,$0.00001954,"$3,288","$463,210"
11,NASH,"Oct 08, 2021",$0.00001741,$0.00001928,$0.0000172,$0.00001907,"$11,803","$452,219"
12,NASH,"Oct 07, 2021",$0.00001852,$0.00001953,$0.00001722,$0.00001743,"$8,857","$413,201"
13,NASH,"Oct 06, 2021",$0.00001922,$0.00001941,$0.00001717,$0.00001852,"$2,560","$439,107"
14,NASH,"Oct 05, 2021",$0.00002051,$0.00002054,$0.0000152,$0.00001923,"$1,061","$456,022"
15,NASH,"Oct 04, 2021",$0.000021,$0.00002124,$0.00001969,$0.00002053,"$2,783","$486,748"
16,NASH,"Oct 03, 2021",$0.0000144,$0.0000222,$0.0000141,$0.000021,"$3,330","$497,809"
17,NASH,"Oct 02, 2021",$0.00002001,$0.00002017,$0.0000141,$0.00001441,$159,"$341,570"
18,NASH,"Oct 01, 2021",$0.00001582,$0.00002017,$0.00001568,$0.00002001,"$4,770","$474,487"
19,NASH,"Sep 30, 2021",$0.00001913,$0.0000196,$0.00001439,$0.00001582,"$1,196","$375,133"
20,NASH,"Sep 29, 2021",$0.00001782,$0.00001976,$0.00001782,$0.00001915,"$1,236","$453,962"
21,NASH,"Sep 28, 2021",$0.00001884,$0.00001997,$0.00001776,$0.00001784,"$1,550","$422,886"
22,NASH,"Sep 27, 2021",$0.00001731,$0.00002223,$0.00001716,$0.00001884,"$11,835","$446,785"
23,NASH,"Sep 26, 2021",$0.00001588,$0.00001762,$0.00001539,$0.00001732,"$4,908","$410,644"
24,NASH,"Sep 25, 2021",$0.00001567,$0.0000162,$0.00001542,$0.00001588,"$1,004","$376,495"
25,NASH,"Sep 24, 2021",$0.00001699,$0.00001701,$0.00001456,$0.00001567,"$1,818","$371,428"
26,NASH,"Sep 23, 2021",$0.00001658,$0.00001804,$0.0000163,$0.00001699,"$1,333","$402,808"
27,NASH,"Sep 22, 2021",$0.00001428,$0.00001683,$0.00001428,$0.00001657,$939,"$392,960"
28,NASH,"Sep 21, 2021",$0.0000141,$0.0000165,$0.00001372,$0.00001428,"$2,738","$338,648"
29,NASH,"Sep 20, 2021",$0.00002044,$0.00002047,$0.00001405,$0.00001411,"$8,403","$334,430"
30,NASH,"Sep 19, 2021",$0.00002225,$0.00002229,$0.00002023,$0.00002044,"$1,424","$484,669"
31,NASH,"Sep 18, 2021",$0.00002106,$0.00002481,$0.00002082,$0.00002224,"$7,036","$527,284"
32,NASH,"Sep 17, 2021",$0.00002414,$0.00002416,$0.00002063,$0.00002104,"$1,768","$498,975"
33,NASH,"Sep 16, 2021",$0.00002096,$0.00002555,$0.00001975,$0.00002415,"$3,161","$572,563"
34,NASH,"Sep 15, 2021",$0.00001996,$0.00002095,$0.00001955,$0.00002095,"$1,088","$496,745"
35,NASH,"Sep 14, 2021",$0.00002076,$0.00002252,$0.00001879,$0.00001997,"$3,586","$473,445"
36,NASH,"Sep 13, 2021",$0.00001946,$0.00002117,$0.0000182,$0.00002076,"$4,176","$492,258"
37,NASH,"Sep 12, 2021",$0.00002102,$0.00002986,$0.00001913,$0.00001946,"$2,747","$461,486"
38,NASH,"Sep 11, 2021",$0.0000213,$0.00003504,$0.00001891,$0.00002102,$944,"$498,437"
39,NASH,"Sep 10, 2021",$0.0000214,$0.00002284,$0.00001922,$0.0000213,"$6,433","$504,942"
40,NASH,"Sep 09, 2021",$0.00001836,$0.00003411,$0.00001803,$0.0000214,$531,"$507,471"
41,NASH,"Sep 08, 2021",$0.0000279,$0.00002792,$0.00001797,$0.00001846,"$5,258","$437,702"
42,NASH,"Sep 07, 2021",$0.00002314,$0.00003231,$0.00001817,$0.00002791,"$3,980","$661,724"
43,NASH,"Sep 06, 2021",$0.00002017,$0.00002328,$0.00001852,$0.00002314,"$7,351","$548,681"
44,NASH,"Sep 05, 2021",$0.00002254,$0.00002255,$0.0000189,$0.00002017,"$10,287","$478,207"
45,NASH,"Sep 04, 2021",$0.00002817,$0.00002829,$0.00002142,$0.00002256,"$3,638","$534,788"
46,NASH,"Sep 03, 2021",$0.0000269,$0.00002852,$0.0000235,$0.00002817,"$7,711","$667,918"
47,NASH,"Sep 02, 2021",$0.00002589,$0.00002829,$0.00002516,$0.00002691,"$6,811","$637,981"
48,NASH,"Sep 01, 2021",$0.00002462,$0.00002584,$0.00002324,$0.00002584,"$5,685","$612,676"
49,NASH,"Aug 31, 2021",$0.00002538,$0.00002745,$0.00002441,$0.00002463,"$3,473","$583,888"
50,NASH,"Aug 30, 2021",$0.00002786,$0.00002789,$0.00002371,$0.0000254,"$7,260","$602,124"
51,NASH,"Aug 29, 2021",$0.00003008,$0.00003016,$0.00002326,$0.00002789,"$24,621","$661,199"
52,NASH,"Aug 28, 2021",$0.00003075,$0.00003121,$0.00002996,$0.00003006,"$2,853","$712,653"
53,NASH,"Aug 27, 2021",$0.00003084,$0.00003184,$0.00002973,$0.00003075,"$5,296","$728,976"
54,NASH,"Aug 26, 2021",$0.0000344,$0.00003783,$0.0000225,$0.00003079,"$37,517","$729,979"
55,NASH,"Aug 25, 2021",$0.00003268,$0.00003466,$0.00002991,$0.00003437,"$16,663","$814,831"
56,NASH,"Aug 24, 2021",$0.00005786,$0.00006282,$0.00002922,$0.00003269,"$52,599","$774,992"
57,NASH,"Aug 23, 2021",$0.00002682,$0.00007462,$0.00001791,$0.00005787,"$197,764","$1,372,160"
58,NASH,"Aug 22, 2021",$0.00001941,$0.00003002,$0.0000108,$0.00002682,"$3,593","$635,977"
59,NASH,"Aug 21, 2021",$0.00001611,$0.00002142,$0.0000161,$0.00001941,$911,"$460,253"
60,NASH,"Aug 20, 2021",$0.000012,$0.0000233,$0.0000119,$0.00001611,$908,"$381,934"
61,NASH,"Aug 19, 2021",$0.00001381,$0.00002552,$0.0000116,$0.000012,"$1,974","$284,435"
62,NASH,"Aug 18, 2021",$0.0000109,$0.00001381,$0.0000082,$0.00001381,"$2,906","$327,389"
63,NASH,"Aug 17, 2021",$0.0000102,$0.0000113,$0.0000094,$0.0000109,$381,"$258,493"
64,NASH,"Aug 16, 2021",$0.00001081,$0.00001181,$0.0000092,$0.0000101,$455,"$239,565"
65,NASH,"Aug 15, 2021",$0.00001131,$0.00001171,$0.00001061,$0.00001081,$317,"$256,227"
