symbol,date,open,high,low,close,volume,marketCap
NBTC,"Oct 22, 2021",$46.17,$48.43,$46.09,$46.85,$0,$0
NBTC,"Oct 21, 2021",$48.93,$49.36,$45.85,$46.23,$0,$0
NBTC,"Oct 20, 2021",$47.54,$49.78,$47.18,$48.89,$0,$0
NBTC,"Oct 19, 2021",$54.11,$54.11,$47.03,$47.52,$0,$0
NBTC,"Oct 18, 2021",$52.54,$54.19,$52.36,$54.08,$0,$0
NBTC,"Oct 17, 2021",$49.73,$52.55,$49.15,$52.55,"$14,568",$0
NBTC,"Oct 16, 2021",$58.76,$59.75,$41.64,$49.79,"$17,872",$0
NBTC,"Oct 15, 2021",$55.33,$58.90,$52.68,$58.78,"$19,593",$0
NBTC,"Oct 14, 2021",$67.20,$69.87,$46.17,$55.33,"$18,935",$0
NBTC,"Oct 13, 2021",$68.97,$74.08,$65.19,$67.16,"$14,788",$0
NBTC,"Oct 12, 2021",$88.45,$88.45,$59.04,$68.88,"$13,238",$0
NBTC,"Oct 11, 2021",$86.99,$90.76,$86.76,$88.55,$0,$0
NBTC,"Oct 10, 2021",$94.19,$94.33,$86.83,$87.11,"$15,038",$0
NBTC,"Oct 09, 2021",$95.22,$104.54,$94.05,$94.17,"$17,961",$0
NBTC,"Oct 08, 2021",$87.66,$96.30,$85.81,$95.21,"$14,733",$0
NBTC,"Oct 07, 2021",$95.01,$96.08,$81.11,$87.66,"$31,821",$0
NBTC,"Oct 06, 2021",$96.76,$101.96,$83.16,$94.95,"$36,214",$0
NBTC,"Oct 05, 2021",$102.70,$106.59,$93.53,$96.77,"$52,315",$0
NBTC,"Oct 04, 2021",$128.96,$128.96,$86.43,$102.68,"$55,145",$0
NBTC,"Oct 03, 2021",$172.97,$174.36,$128.92,$129.00,"$44,598",$0
NBTC,"Oct 02, 2021",$164.27,$177.15,$150.27,$172.87,"$95,690",$0
NBTC,"Oct 01, 2021",$164.53,$181.50,$139.98,$164.23,"$209,012",$0
NBTC,"Sep 30, 2021",$280.81,$281.15,$161.97,$164.48,"$282,609",$0
NBTC,"Sep 29, 2021",$406.41,$521.22,$257.17,$280.95,"$591,369",$0
NBTC,"Sep 28, 2021",$309.54,$580.08,$283.41,$406.78,"$1,190,482",$0
NBTC,"Sep 27, 2021",$80.88,$686.73,$80.88,$309.49,"$802,633",$0
