,symbol,date,open,high,low,close,volume,marketCap
0,NCT,"Oct 19, 2021",$0.01176,$0.01189,$0.01118,$0.01136,"$46,323","$17,573,324"
1,NCT,"Oct 18, 2021",$0.01253,$0.01271,$0.01168,$0.01176,"$41,512","$18,192,532"
2,NCT,"Oct 17, 2021",$0.01312,$0.01316,$0.01244,$0.01254,"$34,963","$19,385,195"
3,NCT,"Oct 16, 2021",$0.01307,$0.01434,$0.01258,$0.01312,"$80,155","$20,288,691"
4,NCT,"Oct 15, 2021",$0.01131,$0.01327,$0.0113,$0.01307,"$51,339","$20,208,483"
5,NCT,"Oct 14, 2021",$0.01051,$0.01421,$0.01014,$0.01132,"$92,239","$17,498,374"
6,NCT,"Oct 13, 2021",$0.006902,$0.01119,$0.006902,$0.01051,"$183,909","$16,251,420"
7,NCT,"Oct 12, 2021",$0.007627,$0.008834,$0.006899,$0.006901,"$81,176","$10,672,274"
8,NCT,"Oct 11, 2021",$0.007619,$0.008042,$0.006919,$0.007624,"$76,863","$11,789,791"
9,NCT,"Oct 10, 2021",$0.008448,$0.008459,$0.006966,$0.007625,"$118,171","$11,791,204"
10,NCT,"Oct 09, 2021",$0.008693,$0.008764,$0.008314,$0.00845,"$28,352","$13,068,271"
11,NCT,"Oct 08, 2021",$0.00926,$0.009426,$0.008683,$0.008692,"$25,570","$13,441,277"
12,NCT,"Oct 07, 2021",$0.009975,$0.01033,$0.009243,$0.00926,"$32,057","$14,319,740"
13,NCT,"Oct 06, 2021",$0.01093,$0.01236,$0.00965,$0.009979,"$97,471","$15,432,737"
14,NCT,"Oct 05, 2021",$0.00945,$0.01139,$0.008842,$0.01093,"$372,819","$16,899,488"
15,NCT,"Oct 04, 2021",$0.005284,$0.01857,$0.005229,$0.00945,"$351,625","$14,614,157"
16,NCT,"Oct 03, 2021",$0.005281,$0.005976,$0.005125,$0.005284,"$24,176","$8,171,170"
17,NCT,"Oct 02, 2021",$0.005282,$0.005414,$0.005232,$0.005283,"$4,338","$8,169,964"
18,NCT,"Oct 01, 2021",$0.005051,$0.005352,$0.004972,$0.005283,"$13,667","$8,170,223"
19,NCT,"Sep 30, 2021",$0.005083,$0.005296,$0.005006,$0.00505,"$16,472","$7,810,308"
20,NCT,"Sep 29, 2021",$0.005022,$0.005179,$0.00501,$0.00508,"$4,814","$7,856,565"
21,NCT,"Sep 28, 2021",$0.005139,$0.005145,$0.004991,$0.005019,"$11,105","$7,761,354"
22,NCT,"Sep 27, 2021",$0.00524,$0.005337,$0.005125,$0.005138,"$15,481","$7,946,107"
23,NCT,"Sep 26, 2021",$0.005099,$0.005285,$0.004939,$0.005242,"$13,997","$8,106,636"
24,NCT,"Sep 25, 2021",$0.005054,$0.005201,$0.004953,$0.0051,"$42,490","$7,887,057"
25,NCT,"Sep 24, 2021",$0.005513,$0.005539,$0.005035,$0.005054,"$25,571","$7,816,074"
26,NCT,"Sep 23, 2021",$0.005708,$0.00597,$0.005435,$0.005514,"$45,072","$8,526,904"
27,NCT,"Sep 22, 2021",$0.00495,$0.005782,$0.004939,$0.005705,"$57,568","$8,823,270"
28,NCT,"Sep 21, 2021",$0.004911,$0.005137,$0.00474,$0.004941,"$20,179","$7,641,491"
29,NCT,"Sep 20, 2021",$0.004734,$0.00558,$0.004626,$0.004915,"$30,453","$7,600,179"
30,NCT,"Sep 19, 2021",$0.004714,$0.004896,$0.004466,$0.004814,"$40,069","$7,444,770"
31,NCT,"Sep 18, 2021",$0.005613,$0.005733,$0.00456,$0.004712,"$37,841","$7,286,649"
32,NCT,"Sep 17, 2021",$0.005706,$0.005823,$0.005604,$0.00561,"$11,376","$8,675,208"
33,NCT,"Sep 16, 2021",$0.005857,$0.005959,$0.005635,$0.005706,"$21,411","$8,824,809"
34,NCT,"Sep 15, 2021",$0.005823,$0.005964,$0.005444,$0.005843,"$59,107","$9,035,633"
35,NCT,"Sep 14, 2021",$0.00584,$0.005917,$0.005691,$0.005821,"$16,932","$9,001,700"
36,NCT,"Sep 13, 2021",$0.005738,$0.006128,$0.005518,$0.005837,"$32,181","$9,027,406"
37,NCT,"Sep 12, 2021",$0.00543,$0.006148,$0.005387,$0.005739,"$49,000","$8,875,159"
38,NCT,"Sep 11, 2021",$0.005029,$0.005577,$0.004948,$0.005431,"$27,493","$8,399,417"
39,NCT,"Sep 10, 2021",$0.005404,$0.005625,$0.005019,$0.00503,"$17,766","$7,778,587"
40,NCT,"Sep 09, 2021",$0.005194,$0.005526,$0.005048,$0.005405,"$13,668","$8,358,593"
41,NCT,"Sep 08, 2021",$0.005036,$0.005124,$0.00481,$0.005085,"$12,845","$7,863,985"
42,NCT,"Sep 07, 2021",$0.006305,$0.006333,$0.004724,$0.005037,"$23,842","$7,790,187"
43,NCT,"Sep 06, 2021",$0.005799,$0.006321,$0.005581,$0.006307,"$26,654","$9,753,901"
44,NCT,"Sep 05, 2021",$0.005948,$0.006243,$0.00561,$0.005799,"$26,990","$8,967,675"
45,NCT,"Sep 04, 2021",$0.00605,$0.006243,$0.005871,$0.005948,"$7,915","$9,198,257"
46,NCT,"Sep 03, 2021",$0.00687,$0.007045,$0.005649,$0.006051,"$98,318","$9,357,204"
47,NCT,"Sep 02, 2021",$0.007417,$0.007437,$0.006778,$0.006872,"$9,676","$10,626,778"
48,NCT,"Sep 01, 2021",$0.006433,$0.0075,$0.006339,$0.007419,"$30,064","$11,472,770"
49,NCT,"Aug 31, 2021",$0.008206,$0.008457,$0.0056,$0.006435,"$88,167","$9,950,989"
50,NCT,"Aug 30, 2021",$0.008159,$0.008366,$0.007724,$0.008206,"$5,857","$12,689,884"
51,NCT,"Aug 29, 2021",$0.008046,$0.008916,$0.007894,$0.008164,"$20,024","$12,625,092"
52,NCT,"Aug 28, 2021",$0.008329,$0.008391,$0.00795,$0.008045,"$16,149","$12,441,726"
53,NCT,"Aug 27, 2021",$0.007665,$0.008348,$0.007665,$0.008325,"$23,298","$12,873,642"
54,NCT,"Aug 26, 2021",$0.007318,$0.008403,$0.006877,$0.007658,"$63,854","$11,842,012"
55,NCT,"Aug 25, 2021",$0.004393,$0.007971,$0.004373,$0.007316,"$193,070","$11,313,423"
56,NCT,"Aug 24, 2021",$0.004364,$0.004715,$0.00424,$0.004394,"$10,548","$6,795,165"
57,NCT,"Aug 23, 2021",$0.005012,$0.005303,$0.004176,$0.004364,"$32,682","$6,748,016"
58,NCT,"Aug 22, 2021",$0.004615,$0.00503,$0.00411,$0.005011,"$34,256","$7,749,802"
59,NCT,"Aug 21, 2021",$0.005103,$0.005162,$0.004594,$0.004616,"$10,053","$7,137,941"
60,NCT,"Aug 20, 2021",$0.005876,$0.00597,$0.004968,$0.005103,"$29,465","$7,891,971"
61,NCT,"Aug 19, 2021",$0.005671,$0.006167,$0.005431,$0.005875,"$9,856","$9,085,040"
62,NCT,"Aug 18, 2021",$0.004518,$0.005881,$0.004315,$0.005673,"$45,188","$8,773,658"
63,NCT,"Aug 17, 2021",$0.004306,$0.005061,$0.003498,$0.004521,"$49,578","$6,991,230"
64,NCT,"Aug 16, 2021",$0.005544,$0.005544,$0.004212,$0.004311,"$22,200","$6,666,982"
65,NCT,"Aug 15, 2021",$0.004985,$0.005545,$0.004861,$0.005544,"$7,488","$8,572,841"
66,NCT,"Aug 14, 2021",$0.005105,$0.005207,$0.004969,$0.004983,"$6,903","$7,706,683"
67,NCT,"Aug 13, 2021",$0.004659,$0.005151,$0.004657,$0.005107,"$7,322","$7,897,704"
68,NCT,"Aug 12, 2021",$0.005075,$0.005201,$0.00464,$0.004662,"$12,819","$7,209,541"
69,NCT,"Aug 11, 2021",$0.005321,$0.005557,$0.00507,$0.005079,"$6,280","$7,854,997"
70,NCT,"Aug 10, 2021",$0.005015,$0.005502,$0.004957,$0.005321,"$16,895","$8,228,680"
71,NCT,"Aug 09, 2021",$0.005295,$0.005338,$0.004915,$0.005013,"$15,294","$7,752,258"
72,NCT,"Aug 08, 2021",$0.005721,$0.005746,$0.00529,$0.005293,"$6,050","$8,185,299"
73,NCT,"Aug 07, 2021",$0.005717,$0.005952,$0.005608,$0.005728,"$23,219","$8,858,105"
74,NCT,"Aug 06, 2021",$0.006005,$0.006062,$0.005506,$0.00572,"$12,712","$8,845,253"
75,NCT,"Aug 05, 2021",$0.006301,$0.006335,$0.005682,$0.006005,"$22,817","$9,286,813"
76,NCT,"Aug 04, 2021",$0.005734,$0.006383,$0.005278,$0.006303,"$5,307","$9,746,617"
77,NCT,"Aug 03, 2021",$0.005725,$0.006131,$0.005433,$0.005735,"$18,975","$8,869,490"
78,NCT,"Aug 02, 2021",$0.005999,$0.006505,$0.005703,$0.005722,"$32,813","$8,848,489"
79,NCT,"Aug 01, 2021",$0.005373,$0.006248,$0.005329,$0.006,"$20,598","$9,278,201"
80,NCT,"Jul 31, 2021",$0.004986,$0.005734,$0.004736,$0.005377,"$19,630","$8,315,604"
81,NCT,"Jul 30, 2021",$0.005016,$0.005498,$0.00453,$0.004983,"$15,910","$7,706,757"
82,NCT,"Jul 29, 2021",$0.005084,$0.005298,$0.004746,$0.005016,"$2,625","$7,757,114"
83,NCT,"Jul 28, 2021",$0.005815,$0.006018,$0.004899,$0.005074,"$45,355","$7,846,554"
84,NCT,"Jul 27, 2021",$0.005728,$0.005985,$0.005583,$0.005812,"$5,160","$8,988,476"
85,NCT,"Jul 26, 2021",$0.005432,$0.00593,$0.005351,$0.005732,"$19,291","$8,863,543"
86,NCT,"Jul 25, 2021",$0.004732,$0.005479,$0.004405,$0.005431,"$38,063","$8,398,834"
87,NCT,"Jul 24, 2021",$0.004892,$0.004981,$0.004657,$0.004731,"$13,480","$7,316,133"
88,NCT,"Jul 23, 2021",$0.004766,$0.004956,$0.004669,$0.004891,"$4,727","$7,563,471"
89,NCT,"Jul 22, 2021",$0.004529,$0.005224,$0.004444,$0.004766,"$15,463","$7,370,049"
90,NCT,"Jul 21, 2021",$0.003881,$0.004716,$0.003872,$0.004528,"$16,018","$7,002,480"
91,NCT,"Jul 20, 2021",$0.003782,$0.004012,$0.003605,$0.003881,"$17,270","$6,001,134"
92,NCT,"Jul 19, 2021",$0.00377,$0.003873,$0.003645,$0.003782,"$10,090","$5,848,297"
93,NCT,"Jul 18, 2021",$0.003661,$0.003852,$0.003365,$0.003771,"$10,846","$5,831,182"
94,NCT,"Jul 17, 2021",$0.003871,$0.003884,$0.003641,$0.00366,"$6,678","$5,660,666"
95,NCT,"Jul 16, 2021",$0.004194,$0.00423,$0.003854,$0.003871,"$5,204","$5,986,946"
96,NCT,"Jul 15, 2021",$0.00439,$0.004479,$0.004036,$0.004188,"$37,170","$6,476,951"
97,NCT,"Jul 14, 2021",$0.004322,$0.0047,$0.004048,$0.004389,"$15,540","$6,787,945"
98,NCT,"Jul 13, 2021",$0.004243,$0.004354,$0.004172,$0.004321,"$12,300","$6,682,850"
99,NCT,"Jul 12, 2021",$0.004465,$0.004636,$0.004236,$0.004243,"$15,992","$6,561,689"
100,NCT,"Jul 11, 2021",$0.004599,$0.005701,$0.004217,$0.004465,"$51,128","$6,905,058"
101,NCT,"Jul 10, 2021",$0.004605,$0.005349,$0.004413,$0.004599,"$22,844","$7,111,462"
102,NCT,"Jul 09, 2021",$0.004211,$0.004618,$0.004153,$0.004606,"$17,969","$7,122,970"
103,NCT,"Jul 08, 2021",$0.004558,$0.004798,$0.004153,$0.004211,"$20,429","$6,511,396"
104,NCT,"Jul 07, 2021",$0.004862,$0.005513,$0.004497,$0.004497,"$26,515","$6,954,440"
105,NCT,"Jul 06, 2021",$0.004799,$0.005284,$0.004244,$0.004861,"$13,881","$7,516,703"
106,NCT,"Jul 05, 2021",$0.005456,$0.005881,$0.004371,$0.004802,"$17,898","$7,425,742"
107,NCT,"Jul 04, 2021",$0.004816,$0.006925,$0.004508,$0.005455,"$108,250","$8,436,178"
108,NCT,"Jul 03, 2021",$0.00536,$0.005464,$0.00415,$0.004816,"$42,651","$7,447,455"
109,NCT,"Jul 02, 2021",$0.005728,$0.006146,$0.00477,$0.00536,"$12,950","$8,289,448"
110,NCT,"Jul 01, 2021",$0.005172,$0.005737,$0.005042,$0.005725,"$19,154","$8,853,720"
111,NCT,"Jun 30, 2021",$0.005073,$0.005498,$0.004985,$0.00517,"$32,216","$7,995,839"
112,NCT,"Jun 29, 2021",$0.00482,$0.005407,$0.004794,$0.005081,"$29,413","$7,858,303"
113,NCT,"Jun 28, 2021",$0.004639,$0.004962,$0.004542,$0.004822,"$13,750","$7,456,685"
114,NCT,"Jun 27, 2021",$0.004831,$0.004906,$0.004605,$0.004635,"$15,780","$7,167,650"
115,NCT,"Jun 26, 2021",$0.004448,$0.004879,$0.004355,$0.004824,"$12,612","$7,460,517"
116,NCT,"Jun 25, 2021",$0.004741,$0.004814,$0.004136,$0.004449,"$12,598","$6,880,573"
117,NCT,"Jun 24, 2021",$0.004965,$0.004976,$0.004642,$0.004742,"$18,316","$7,333,900"
118,NCT,"Jun 23, 2021",$0.005061,$0.005143,$0.004779,$0.00497,"$16,676","$7,685,966"
119,NCT,"Jun 22, 2021",$0.005252,$0.005734,$0.004584,$0.005058,"$45,493","$7,821,732"
120,NCT,"Jun 21, 2021",$0.005358,$0.005912,$0.004907,$0.005251,"$42,450","$8,119,902"
121,NCT,"Jun 20, 2021",$0.005789,$0.00581,$0.005186,$0.00536,"$15,080","$8,288,755"
122,NCT,"Jun 19, 2021",$0.005182,$0.006083,$0.005181,$0.005787,"$14,826","$8,949,840"
123,NCT,"Jun 18, 2021",$0.006472,$0.007241,$0.005165,$0.005182,"$37,450","$8,013,877"
124,NCT,"Jun 17, 2021",$0.005742,$0.006785,$0.005329,$0.006471,"$38,273","$10,007,709"
125,NCT,"Jun 16, 2021",$0.005735,$0.006259,$0.00477,$0.005741,"$53,428","$8,877,557"
126,NCT,"Jun 15, 2021",$0.006231,$0.006556,$0.005113,$0.006164,"$48,180","$9,532,755"
127,NCT,"Jun 14, 2021",$0.006906,$0.007375,$0.005928,$0.006969,"$22,456","$10,776,724"
128,NCT,"Jun 13, 2021",$0.007065,$0.007071,$0.006424,$0.006905,"$11,796","$10,677,645"
129,NCT,"Jun 12, 2021",$0.006759,$0.007166,$0.006628,$0.007063,"$4,542","$10,922,507"
130,NCT,"Jun 11, 2021",$0.007061,$0.007097,$0.006669,$0.006755,"$4,570","$10,446,304"
131,NCT,"Jun 10, 2021",$0.007233,$0.007408,$0.006522,$0.007059,"$26,466","$10,917,157"
132,NCT,"Jun 09, 2021",$0.007474,$0.007482,$0.006892,$0.007227,"$17,628","$11,176,466"
133,NCT,"Jun 08, 2021",$0.007377,$0.00762,$0.00701,$0.007476,"$10,967","$11,561,965"
134,NCT,"Jun 07, 2021",$0.007756,$0.007959,$0.007362,$0.007371,"$11,472","$11,399,567"
135,NCT,"Jun 06, 2021",$0.007767,$0.008157,$0.007573,$0.007755,"$11,114","$11,993,415"
136,NCT,"Jun 05, 2021",$0.007764,$0.007982,$0.007537,$0.00778,"$15,232","$12,030,968"
137,NCT,"Jun 04, 2021",$0.00746,$0.007947,$0.007374,$0.007767,"$12,438","$12,011,665"
138,NCT,"Jun 03, 2021",$0.007272,$0.007861,$0.007184,$0.007458,"$26,882","$11,532,749"
139,NCT,"Jun 02, 2021",$0.008045,$0.008175,$0.007211,$0.007275,"$13,514","$11,250,998"
140,NCT,"Jun 01, 2021",$0.008424,$0.008502,$0.007906,$0.008043,"$10,383","$12,438,212"
