symbol,date,open,high,low,close,volume,marketCap
NEBO,"Oct 22, 2021",$11.03,$11.29,$10.18,$10.23,"$17,136",$0
NEBO,"Oct 21, 2021",$11.60,$11.84,$10.77,$11.04,"$19,052",$0
NEBO,"Oct 20, 2021",$10.05,$11.62,$9.91,$11.62,"$35,515",$0
NEBO,"Oct 19, 2021",$9.72,$10.14,$9.69,$10.10,"$4,039",$0
NEBO,"Oct 18, 2021",$10.09,$10.11,$9.58,$9.72,"$5,870",$0
NEBO,"Oct 17, 2021",$9.54,$10.10,$9.15,$10.08,"$14,724",$0
NEBO,"Oct 16, 2021",$9.74,$9.93,$9.42,$9.54,"$5,000",$0
NEBO,"Oct 15, 2021",$10.17,$10.41,$9.65,$9.72,"$15,740",$0
NEBO,"Oct 14, 2021",$9.76,$10.20,$9.76,$10.19,"$4,078",$0
NEBO,"Oct 13, 2021",$9.51,$9.77,$9.34,$9.76,$0,$0
NEBO,"Oct 12, 2021",$8.41,$9.53,$8.22,$9.50,"$32,168",$0
NEBO,"Oct 11, 2021",$9.00,$9.67,$8.35,$8.42,"$40,871",$0
NEBO,"Oct 10, 2021",$9.35,$9.52,$9.01,$9.01,"$7,979",$0
NEBO,"Oct 09, 2021",$9.39,$9.53,$9.33,$9.36,"$2,512",$0
NEBO,"Oct 08, 2021",$9.93,$10.11,$9.37,$9.39,"$13,208",$0
NEBO,"Oct 07, 2021",$10.09,$10.26,$9.72,$9.94,"$7,353",$0
NEBO,"Oct 06, 2021",$10.17,$10.21,$9.06,$10.08,"$26,453",$0
NEBO,"Oct 05, 2021",$8.97,$10.25,$8.89,$10.19,"$21,089",$0
NEBO,"Oct 04, 2021",$9.09,$9.11,$8.78,$8.97,$896,$0
NEBO,"Oct 03, 2021",$9.27,$9.42,$9.04,$9.09,"$6,315",$0
NEBO,"Oct 02, 2021",$9.60,$9.68,$9.09,$9.28,"$14,566",$0
NEBO,"Oct 01, 2021",$8.74,$9.70,$8.68,$9.60,"$1,925",$0
NEBO,"Sep 30, 2021",$7.49,$8.85,$7.48,$8.74,"$20,298",$0
NEBO,"Sep 29, 2021",$7.39,$7.75,$7.38,$7.49,$0,$0
NEBO,"Sep 28, 2021",$8.48,$8.55,$7.39,$7.40,"$16,605",$0
NEBO,"Sep 27, 2021",$8.14,$8.66,$7.82,$8.48,"$19,938",$0
NEBO,"Sep 26, 2021",$8.15,$8.37,$7.66,$8.14,"$8,296",$0
NEBO,"Sep 25, 2021",$8.26,$8.28,$7.93,$8.15,"$3,543",$0
NEBO,"Sep 24, 2021",$8.90,$8.92,$7.87,$8.25,$83,$0
NEBO,"Sep 23, 2021",$7.97,$8.91,$7.92,$8.89,"$19,360",$0
NEBO,"Sep 22, 2021",$7.06,$8.00,$7.06,$7.97,"$2,890",$0
NEBO,"Sep 21, 2021",$7.23,$8.00,$6.95,$7.06,"$14,617",$0
NEBO,"Sep 20, 2021",$8.31,$8.32,$7.17,$7.24,"$9,439",$0
NEBO,"Sep 19, 2021",$8.36,$8.67,$8.20,$8.31,"$17,394",$0
NEBO,"Sep 18, 2021",$8.37,$8.61,$8.29,$8.36,"$3,353",$0
NEBO,"Sep 17, 2021",$8.78,$8.83,$8.27,$8.36,$0,$0
NEBO,"Sep 16, 2021",$8.56,$9.18,$8.44,$8.78,"$26,381",$0
NEBO,"Sep 15, 2021",$9.31,$10.35,$8.47,$8.55,"$117,627",$0
NEBO,"Sep 14, 2021",$9.87,$9.94,$9.04,$9.31,"$21,439",$0
NEBO,"Sep 13, 2021",$8.57,$9.89,$7.96,$9.87,"$42,693",$0
NEBO,"Sep 12, 2021",$8.35,$8.81,$8.29,$8.58,"$3,124",$0
NEBO,"Sep 11, 2021",$8.19,$8.55,$8.18,$8.35,$860,$0
NEBO,"Sep 10, 2021",$8.74,$8.94,$8.10,$8.18,$0,$0
NEBO,"Sep 09, 2021",$8.92,$9.13,$8.70,$8.75,"$2,633",$0
NEBO,"Sep 08, 2021",$8.97,$9.19,$7.86,$8.94,"$27,660",$0
NEBO,"Sep 07, 2021",$10.60,$10.61,$8.57,$8.96,"$10,444",$0
NEBO,"Sep 06, 2021",$9.10,$10.71,$8.96,$10.61,"$46,168",$0
NEBO,"Sep 05, 2021",$8.95,$9.14,$8.86,$9.10,$0,$0
NEBO,"Sep 04, 2021",$8.79,$9.39,$8.75,$8.95,"$25,309",$0
NEBO,"Sep 03, 2021",$8.17,$8.94,$8.04,$8.79,"$13,569",$0
NEBO,"Sep 02, 2021",$8.17,$8.24,$8.05,$8.17,$0,$0
NEBO,"Sep 01, 2021",$7.39,$8.16,$7.31,$8.16,$0,$0
NEBO,"Aug 31, 2021",$6.95,$7.41,$6.91,$7.39,$0,$0
NEBO,"Aug 30, 2021",$6.98,$7.17,$6.79,$6.95,$0,$0
NEBO,"Aug 29, 2021",$6.42,$7.02,$6.28,$6.99,"$18,166",$0
NEBO,"Aug 28, 2021",$6.53,$6.55,$6.18,$6.41,"$13,612",$0
NEBO,"Aug 27, 2021",$6.03,$6.55,$5.95,$6.53,"$5,807",$0
NEBO,"Aug 26, 2021",$6.19,$6.23,$5.95,$6.02,"$1,204",$0
NEBO,"Aug 25, 2021",$6.11,$6.24,$5.97,$6.19,$0,$0
NEBO,"Aug 24, 2021",$6.75,$6.80,$6.03,$6.11,"$9,177",$0
NEBO,"Aug 23, 2021",$6.73,$6.98,$6.70,$6.75,"$5,445",$0
NEBO,"Aug 22, 2021",$7.01,$7.05,$6.54,$6.73,"$8,040",$0
NEBO,"Aug 21, 2021",$6.43,$7.15,$6.36,$7.01,"$51,607",$0
NEBO,"Aug 20, 2021",$6.21,$6.47,$6.21,$6.42,$0,$0
NEBO,"Aug 19, 2021",$6.00,$6.21,$5.81,$6.20,$0,$0
NEBO,"Aug 18, 2021",$6.16,$6.35,$5.88,$6.00,"$7,028",$0
NEBO,"Aug 17, 2021",$6.23,$6.50,$6.10,$6.16,"$17,542",$0
NEBO,"Aug 16, 2021",$6.35,$6.72,$6.22,$6.23,"$14,007",$0
NEBO,"Aug 15, 2021",$6.29,$6.36,$6.02,$6.35,$0,$0
NEBO,"Aug 14, 2021",$6.85,$6.88,$6.20,$6.29,"$12,991",$0
NEBO,"Aug 13, 2021",$6.27,$6.85,$6.26,$6.85,$708,$0
NEBO,"Aug 12, 2021",$6.78,$6.91,$6.17,$6.28,"$6,886",$0
NEBO,"Aug 11, 2021",$6.45,$6.96,$6.43,$6.77,"$9,687",$0
NEBO,"Aug 10, 2021",$6.27,$6.51,$5.86,$6.44,"$19,209",$0
NEBO,"Aug 09, 2021",$5.98,$6.30,$5.78,$6.26,$0,$0
NEBO,"Aug 08, 2021",$6.77,$6.81,$5.89,$5.99,"$13,842",$0
NEBO,"Aug 07, 2021",$6.24,$6.80,$6.21,$6.78,$955,$0
NEBO,"Aug 06, 2021",$6.09,$6.33,$5.90,$6.24,$0,$0
NEBO,"Aug 05, 2021",$5.60,$6.10,$5.50,$6.09,"$9,853",$0
NEBO,"Aug 04, 2021",$4.80,$5.61,$4.71,$5.60,"$26,894",$0
NEBO,"Aug 03, 2021",$4.59,$4.82,$4.33,$4.80,"$12,967",$0
NEBO,"Aug 02, 2021",$4.53,$4.67,$4.44,$4.59,$0,$0
NEBO,"Aug 01, 2021",$4.47,$4.73,$4.44,$4.52,$452,$0
NEBO,"Jul 31, 2021",$4.49,$4.56,$4.39,$4.47,"$4,693",$0
NEBO,"Jul 30, 2021",$4.47,$4.82,$4.25,$4.49,"$4,457",$0
NEBO,"Jul 29, 2021",$4.35,$4.51,$4.28,$4.47,$0,$0
NEBO,"Jul 28, 2021",$4.33,$4.42,$4.27,$4.33,$432,$0
NEBO,"Jul 27, 2021",$4.24,$4.37,$4.09,$4.32,$0,$0
NEBO,"Jul 26, 2021",$4.14,$4.57,$4.12,$4.24,$0,$0
NEBO,"Jul 25, 2021",$4.12,$4.15,$4.00,$4.14,$0,$0
NEBO,"Jul 24, 2021",$4.01,$4.16,$3.99,$4.12,$0,$0
NEBO,"Jul 23, 2021",$3.69,$4.01,$3.64,$4.01,"$5,137",$0
NEBO,"Jul 22, 2021",$3.64,$3.71,$3.58,$3.69,$372,$0
NEBO,"Jul 21, 2021",$3.25,$3.64,$3.13,$3.64,"$7,102",$0
NEBO,"Jul 20, 2021",$3.72,$3.74,$3.17,$3.25,"$11,436",$0
NEBO,"Jul 19, 2021",$3.92,$3.95,$3.70,$3.72,"$1,117",$0
NEBO,"Jul 18, 2021",$3.92,$4.09,$3.90,$3.92,$0,$0
NEBO,"Jul 17, 2021",$3.88,$3.95,$3.82,$3.92,$0,$0
NEBO,"Jul 16, 2021",$4.38,$4.41,$3.81,$3.88,"$27,700",$0
NEBO,"Jul 15, 2021",$4.56,$4.65,$4.33,$4.38,$0,$0
NEBO,"Jul 14, 2021",$4.44,$4.61,$4.29,$4.56,$0,$0
