symbol,date,open,high,low,close,volume,marketCap
NFTFY,"Oct 22, 2021",$0.09268,$0.1031,$0.09264,$0.1029,"$30,421",$0
NFTFY,"Oct 21, 2021",$0.1075,$0.1075,$0.09262,$0.09268,"$18,641",$0
NFTFY,"Oct 20, 2021",$0.1096,$0.1121,$0.106,$0.1075,"$11,201",$0
NFTFY,"Oct 19, 2021",$0.1093,$0.1106,$0.1039,$0.1101,$868,$0
NFTFY,"Oct 18, 2021",$0.1094,$0.1103,$0.1084,$0.1092,$0,$0
NFTFY,"Oct 17, 2021",$0.1042,$0.1098,$0.1042,$0.1094,"$8,112",$0
NFTFY,"Oct 16, 2021",$0.1028,$0.1048,$0.1028,$0.1042,$0,$0
NFTFY,"Oct 15, 2021",$0.1029,$0.1034,$0.1018,$0.1028,"$19,854",$0
NFTFY,"Oct 14, 2021",$0.09686,$0.1084,$0.09686,$0.1029,"$27,575",$0
NFTFY,"Oct 13, 2021",$0.1082,$0.1089,$0.09685,$0.09685,"$24,885",$0
NFTFY,"Oct 12, 2021",$0.1077,$0.1129,$0.1066,$0.1082,"$31,026",$0
NFTFY,"Oct 11, 2021",$0.09264,$0.1094,$0.09254,$0.1077,"$25,256",$0
NFTFY,"Oct 10, 2021",$0.09257,$0.09446,$0.08956,$0.09266,"$7,746",$0
NFTFY,"Oct 09, 2021",$0.08575,$0.09267,$0.08555,$0.09257,"$17,847",$0
NFTFY,"Oct 08, 2021",$0.08158,$0.08577,$0.08155,$0.08576,"$8,811",$0
NFTFY,"Oct 07, 2021",$0.07608,$0.08158,$0.0759,$0.08158,"$8,778",$0
NFTFY,"Oct 06, 2021",$0.08157,$0.08189,$0.07594,$0.07607,"$6,552",$0
NFTFY,"Oct 05, 2021",$0.08345,$0.08353,$0.08113,$0.08156,"$13,374",$0
NFTFY,"Oct 04, 2021",$0.07784,$0.08347,$0.07782,$0.08345,"$12,059",$0
NFTFY,"Oct 03, 2021",$0.07831,$0.07856,$0.07775,$0.07783,"$15,357",$0
NFTFY,"Oct 02, 2021",$0.07475,$0.08172,$0.07342,$0.07831,"$18,412",$0
NFTFY,"Oct 01, 2021",$0.07456,$0.07497,$0.07311,$0.07475,"$53,157",$0
NFTFY,"Sep 30, 2021",$0.09456,$0.1005,$0.07122,$0.07456,"$59,460",$0
NFTFY,"Sep 29, 2021",$0.09688,$0.09868,$0.09317,$0.09466,$551,$0
NFTFY,"Sep 28, 2021",$0.09559,$0.09805,$0.09556,$0.09695,"$1,834",$0
NFTFY,"Sep 27, 2021",$0.09611,$0.1023,$0.09542,$0.09558,"$5,832",$0
NFTFY,"Sep 26, 2021",$0.09626,$0.09705,$0.09463,$0.09611,"$3,398",$0
NFTFY,"Sep 25, 2021",$0.09815,$0.09841,$0.09608,$0.09626,"$4,701",$0
NFTFY,"Sep 24, 2021",$0.09886,$0.1009,$0.09678,$0.09814,"$6,508",$0
NFTFY,"Sep 23, 2021",$0.1003,$0.1003,$0.09832,$0.09886,"$10,833",$0
NFTFY,"Sep 22, 2021",$0.09302,$0.1005,$0.09243,$0.1003,"$18,309",$0
NFTFY,"Sep 21, 2021",$0.09377,$0.09827,$0.09299,$0.09299,"$24,876",$0
NFTFY,"Sep 20, 2021",$0.1004,$0.1004,$0.09374,$0.09376,"$14,946",$0
NFTFY,"Sep 19, 2021",$0.103,$0.1063,$0.1004,$0.1004,"$4,864",$0
NFTFY,"Sep 18, 2021",$0.1059,$0.1067,$0.103,$0.103,"$19,881",$0
NFTFY,"Sep 17, 2021",$0.09964,$0.1062,$0.09807,$0.1058,"$23,192",$0
NFTFY,"Sep 16, 2021",$0.1034,$0.1046,$0.0991,$0.09966,"$21,300",$0
NFTFY,"Sep 15, 2021",$0.1145,$0.1148,$0.1015,$0.1034,"$49,940",$0
NFTFY,"Sep 14, 2021",$0.1242,$0.1242,$0.1128,$0.1145,"$26,269",$0
NFTFY,"Sep 13, 2021",$0.131,$0.1315,$0.1235,$0.1242,"$22,511",$0
NFTFY,"Sep 12, 2021",$0.1406,$0.1406,$0.1301,$0.131,"$28,913",$0
NFTFY,"Sep 11, 2021",$0.1268,$0.1438,$0.1268,$0.1406,"$31,811",$0
NFTFY,"Sep 10, 2021",$0.1193,$0.1286,$0.1189,$0.1268,"$33,216",$0
NFTFY,"Sep 09, 2021",$0.1317,$0.1385,$0.1193,$0.1193,"$26,004",$0
NFTFY,"Sep 08, 2021",$0.1423,$0.1433,$0.1317,$0.1321,"$22,148",$0
NFTFY,"Sep 07, 2021",$0.1451,$0.1493,$0.136,$0.1423,"$28,676",$0
NFTFY,"Sep 06, 2021",$0.1535,$0.1627,$0.1448,$0.1451,"$9,807",$0
NFTFY,"Sep 05, 2021",$0.1543,$0.1576,$0.1522,$0.1535,"$14,703",$0
NFTFY,"Sep 04, 2021",$0.1546,$0.1612,$0.1543,$0.1544,"$38,862",$0
NFTFY,"Sep 03, 2021",$0.1773,$0.1807,$0.1497,$0.1545,"$59,436",$0
NFTFY,"Sep 02, 2021",$0.1735,$0.1808,$0.1658,$0.1773,"$61,473",$0
NFTFY,"Sep 01, 2021",$0.1893,$0.1939,$0.1734,$0.1735,"$39,073",$0
NFTFY,"Aug 31, 2021",$0.1818,$0.1908,$0.1812,$0.1893,"$23,421",$0
NFTFY,"Aug 30, 2021",$0.1932,$0.1933,$0.1819,$0.1819,"$28,701",$0
NFTFY,"Aug 29, 2021",$0.1831,$0.1937,$0.1755,$0.1933,"$37,646",$0
NFTFY,"Aug 28, 2021",$0.1764,$0.1891,$0.1764,$0.1832,"$88,343",$0
NFTFY,"Aug 27, 2021",$0.2267,$0.2275,$0.1642,$0.1763,"$705,417",$0
NFTFY,"Aug 26, 2021",$0.1454,$0.2484,$0.1452,$0.2265,"$721,718",$0
NFTFY,"Aug 25, 2021",$0.1179,$0.1662,$0.1159,$0.1453,"$64,825",$0
NFTFY,"Aug 24, 2021",$0.1281,$0.13,$0.1166,$0.1178,"$14,841",$0
NFTFY,"Aug 23, 2021",$0.1223,$0.1281,$0.1221,$0.1281,"$31,495",$0
NFTFY,"Aug 22, 2021",$0.113,$0.1223,$0.1074,$0.1223,"$29,373",$0
NFTFY,"Aug 21, 2021",$0.1178,$0.1179,$0.1127,$0.113,"$11,271",$0
NFTFY,"Aug 20, 2021",$0.1158,$0.1183,$0.1096,$0.1178,"$23,705",$0
NFTFY,"Aug 19, 2021",$0.1065,$0.1214,$0.1061,$0.1157,"$22,103",$0
NFTFY,"Aug 18, 2021",$0.09479,$0.1066,$0.09323,$0.1065,"$48,763",$0
NFTFY,"Aug 17, 2021",$0.1045,$0.1048,$0.09469,$0.09485,"$50,387",$0
NFTFY,"Aug 16, 2021",$0.09853,$0.1156,$0.098,$0.1045,"$14,427",$0
NFTFY,"Aug 15, 2021",$0.1036,$0.1037,$0.09479,$0.09849,"$11,472",$0
NFTFY,"Aug 14, 2021",$0.1068,$0.1152,$0.09794,$0.1036,"$20,914",$0
NFTFY,"Aug 13, 2021",$0.111,$0.1138,$0.1054,$0.1068,"$8,719",$0
NFTFY,"Aug 12, 2021",$0.1122,$0.1143,$0.1098,$0.1111,"$9,837",$0
NFTFY,"Aug 11, 2021",$0.1152,$0.1192,$0.1121,$0.1121,$555,$0
NFTFY,"Aug 10, 2021",$0.115,$0.1178,$0.1123,$0.1152,$793,$0
NFTFY,"Aug 09, 2021",$0.1178,$0.118,$0.1144,$0.115,"$4,723",$0
NFTFY,"Aug 08, 2021",$0.1312,$0.1321,$0.1139,$0.1178,"$6,371",$0
NFTFY,"Aug 07, 2021",$0.1153,$0.1313,$0.1153,$0.1313,"$6,679",$0
NFTFY,"Aug 06, 2021",$0.1167,$0.1201,$0.1152,$0.1153,"$7,316",$0
NFTFY,"Aug 05, 2021",$0.1205,$0.1243,$0.1139,$0.1167,"$6,453",$0
NFTFY,"Aug 04, 2021",$0.1132,$0.1239,$0.1116,$0.1206,"$5,891",$0
NFTFY,"Aug 03, 2021",$0.1239,$0.1252,$0.1123,$0.1133,"$11,131",$0
NFTFY,"Aug 02, 2021",$0.1155,$0.1246,$0.1143,$0.1239,"$39,045",$0
NFTFY,"Aug 01, 2021",$0.1399,$0.1473,$0.1151,$0.1155,"$56,003",$0
NFTFY,"Jul 31, 2021",$0.1374,$0.1406,$0.1333,$0.14,"$18,583",$0
NFTFY,"Jul 30, 2021",$0.1345,$0.1381,$0.1345,$0.1374,"$12,500",$0
NFTFY,"Jul 29, 2021",$0.1301,$0.1346,$0.1282,$0.1345,"$13,107",$0
NFTFY,"Jul 28, 2021",$0.1307,$0.1358,$0.1293,$0.1295,"$4,525",$0
NFTFY,"Jul 27, 2021",$0.1297,$0.1311,$0.1262,$0.1306,"$29,114",$0
NFTFY,"Jul 26, 2021",$0.1235,$0.1345,$0.1229,$0.1297,"$32,947",$0
NFTFY,"Jul 25, 2021",$0.1274,$0.1276,$0.1156,$0.1235,$122,$0
NFTFY,"Jul 24, 2021",$0.1225,$0.1279,$0.1196,$0.1273,$573,$0
NFTFY,"Jul 23, 2021",$0.1122,$0.1225,$0.1122,$0.1225,"$6,430",$0
NFTFY,"Jul 22, 2021",$0.1209,$0.1238,$0.1122,$0.1122,"$5,003",$0
NFTFY,"Jul 21, 2021",$0.1167,$0.1282,$0.1162,$0.121,"$6,709",$0
NFTFY,"Jul 20, 2021",$0.1167,$0.1174,$0.1139,$0.1166,"$10,484",$0
NFTFY,"Jul 19, 2021",$0.1131,$0.1184,$0.1095,$0.1167,"$6,320",$0
NFTFY,"Jul 18, 2021",$0.1294,$0.1302,$0.1126,$0.1131,"$7,269",$0
NFTFY,"Jul 17, 2021",$0.1318,$0.1318,$0.1293,$0.1294,"$5,805",$0
NFTFY,"Jul 16, 2021",$0.1267,$0.1336,$0.1248,$0.1318,"$15,931",$0
NFTFY,"Jul 15, 2021",$0.147,$0.1476,$0.1264,$0.1267,"$20,676",$0
NFTFY,"Jul 14, 2021",$0.1536,$0.1536,$0.147,$0.1471,"$9,548",$0
NFTFY,"Jul 13, 2021",$0.1648,$0.1648,$0.1536,$0.1536,"$16,075",$0
NFTFY,"Jul 12, 2021",$0.1894,$0.1895,$0.1648,$0.1648,"$12,475",$0
NFTFY,"Jul 11, 2021",$0.1894,$0.1896,$0.1893,$0.1894,$0,$0
NFTFY,"Jul 10, 2021",$0.19,$0.1904,$0.1892,$0.1893,$0,$0
NFTFY,"Jul 09, 2021",$0.1938,$0.1938,$0.188,$0.19,"$11,088",$0
NFTFY,"Jul 08, 2021",$0.2114,$0.2114,$0.1938,$0.1938,"$14,394",$0
NFTFY,"Jul 07, 2021",$0.2049,$0.2142,$0.2048,$0.2114,"$6,325",$0
NFTFY,"Jul 06, 2021",$0.2037,$0.2052,$0.2026,$0.2049,"$8,024",$0
NFTFY,"Jul 05, 2021",$0.2179,$0.2179,$0.2025,$0.2037,"$31,809",$0
NFTFY,"Jul 04, 2021",$0.1864,$0.2239,$0.186,$0.2179,"$28,009",$0
NFTFY,"Jul 03, 2021",$0.1804,$0.1874,$0.1803,$0.1863,"$3,929",$0
NFTFY,"Jul 02, 2021",$0.1812,$0.1812,$0.1795,$0.1804,"$4,274",$0
NFTFY,"Jul 01, 2021",$0.1869,$0.1876,$0.1811,$0.1812,"$10,534",$0
NFTFY,"Jun 30, 2021",$0.1995,$0.1995,$0.1847,$0.1869,"$14,834",$0
NFTFY,"Jun 29, 2021",$0.1955,$0.1998,$0.1954,$0.1995,"$9,852",$0
NFTFY,"Jun 28, 2021",$0.1952,$0.1973,$0.194,$0.1954,"$4,566",$0
NFTFY,"Jun 27, 2021",$0.1959,$0.1972,$0.193,$0.1951,"$9,468",$0
NFTFY,"Jun 26, 2021",$0.2045,$0.2059,$0.1937,$0.1959,"$11,051",$0
NFTFY,"Jun 25, 2021",$0.2138,$0.2146,$0.2045,$0.2045,"$17,238",$0
NFTFY,"Jun 24, 2021",$0.2097,$0.2173,$0.2092,$0.2138,"$18,569",$0
NFTFY,"Jun 23, 2021",$0.2067,$0.2158,$0.205,$0.2103,"$23,670",$0
NFTFY,"Jun 22, 2021",$0.2195,$0.2225,$0.2042,$0.2067,"$27,467",$0
NFTFY,"Jun 21, 2021",$0.2451,$0.2469,$0.2194,$0.2195,"$19,963",$0
NFTFY,"Jun 20, 2021",$0.2438,$0.2451,$0.2337,$0.2451,"$11,949",$0
NFTFY,"Jun 19, 2021",$0.2532,$0.2548,$0.2437,$0.2438,"$10,309",$0
NFTFY,"Jun 18, 2021",$0.2659,$0.2659,$0.2532,$0.2532,"$10,578",$0
NFTFY,"Jun 17, 2021",$0.2746,$0.2769,$0.2657,$0.2659,"$8,984",$0
NFTFY,"Jun 16, 2021",$0.2848,$0.2848,$0.2678,$0.2745,"$24,012",$0
NFTFY,"Jun 15, 2021",$0.3213,$0.3235,$0.2847,$0.32,"$23,517",$0
NFTFY,"Jun 14, 2021",$0.3144,$0.3357,$0.3116,$0.3213,"$66,174",$0
NFTFY,"Jun 13, 2021",$0.3167,$0.3188,$0.2515,$0.3144,"$120,367",$0
NFTFY,"Jun 12, 2021",$0.4384,$0.4386,$0.3167,$0.3167,"$72,626",$0
NFTFY,"Jun 11, 2021",$0.4643,$0.4673,$0.4384,$0.4385,"$37,360",$0
NFTFY,"Jun 10, 2021",$0.5065,$0.5114,$0.4613,$0.4643,"$34,385",$0
NFTFY,"Jun 09, 2021",$0.4972,$0.5065,$0.4892,$0.5065,"$46,719",$0
NFTFY,"Jun 08, 2021",$0.4971,$0.5178,$0.4825,$0.4972,"$47,416",$0
NFTFY,"Jun 07, 2021",$0.4963,$0.5225,$0.4961,$0.4971,"$58,469",$0
NFTFY,"Jun 06, 2021",$0.5004,$0.517,$0.4813,$0.4964,"$88,105",$0
NFTFY,"Jun 05, 2021",$0.4729,$0.5228,$0.472,$0.5002,"$70,470",$0
NFTFY,"Jun 04, 2021",$0.5229,$0.523,$0.4718,$0.4729,"$46,592",$0
NFTFY,"Jun 03, 2021",$0.5293,$0.5387,$0.508,$0.523,"$60,507",$0
NFTFY,"Jun 02, 2021",$0.5438,$0.556,$0.5202,$0.5294,"$70,511",$0
NFTFY,"Jun 01, 2021",$0.5482,$0.5609,$0.5424,$0.5438,"$52,702",$0
NFTFY,"May 31, 2021",$0.521,$0.5482,$0.5125,$0.5482,"$37,713",$0
NFTFY,"May 30, 2021",$0.5014,$0.5286,$0.4955,$0.5209,"$38,227",$0
