,symbol,date,open,high,low,close,volume,marketCap
0,NFTPAD,"Oct 20, 2021",$0.1256,$0.1355,$0.1242,$0.1312,"$212,644",$0
1,NFTPAD,"Oct 19, 2021",$0.1372,$0.1376,$0.1225,$0.1256,"$299,653",$0
2,NFTPAD,"Oct 18, 2021",$0.1255,$0.1412,$0.1143,$0.1372,"$327,521",$0
3,NFTPAD,"Oct 17, 2021",$0.1157,$0.1265,$0.1053,$0.1255,"$169,543",$0
4,NFTPAD,"Oct 16, 2021",$0.1165,$0.1181,$0.1119,$0.1159,"$91,355",$0
5,NFTPAD,"Oct 15, 2021",$0.1104,$0.1171,$0.1068,$0.1166,"$121,540",$0
6,NFTPAD,"Oct 14, 2021",$0.1161,$0.1182,$0.1045,$0.1104,"$141,055",$0
7,NFTPAD,"Oct 13, 2021",$0.1279,$0.1338,$0.1155,$0.1161,"$302,328",$0
8,NFTPAD,"Oct 12, 2021",$0.1345,$0.1418,$0.1256,$0.1278,"$448,608",$0
9,NFTPAD,"Oct 11, 2021",$0.1239,$0.1389,$0.1239,$0.1346,"$284,280",$0
10,NFTPAD,"Oct 10, 2021",$0.1382,$0.1384,$0.1237,$0.1241,"$229,266",$0
11,NFTPAD,"Oct 09, 2021",$0.1261,$0.1405,$0.1209,$0.1382,"$337,127",$0
12,NFTPAD,"Oct 08, 2021",$0.1074,$0.1286,$0.104,$0.1261,"$315,549",$0
13,NFTPAD,"Oct 07, 2021",$0.1084,$0.1165,$0.1007,$0.1074,"$260,285",$0
14,NFTPAD,"Oct 06, 2021",$0.1146,$0.1162,$0.1064,$0.1083,"$433,262",$0
15,NFTPAD,"Oct 05, 2021",$0.1331,$0.1331,$0.1057,$0.1146,"$371,917",$0
16,NFTPAD,"Oct 04, 2021",$0.1337,$0.1337,$0.1244,$0.133,"$76,173",$0
17,NFTPAD,"Oct 03, 2021",$0.1295,$0.1367,$0.1281,$0.1337,"$57,847",$0
18,NFTPAD,"Oct 02, 2021",$0.1293,$0.1338,$0.1258,$0.1294,"$70,911",$0
19,NFTPAD,"Oct 01, 2021",$0.1208,$0.1306,$0.1199,$0.1293,"$313,801",$0
20,NFTPAD,"Sep 30, 2021",$0.1373,$0.1462,$0.1174,$0.1208,"$525,269",$0
21,NFTPAD,"Sep 29, 2021",$0.1434,$0.1491,$0.1321,$0.1374,"$669,297",$0
22,NFTPAD,"Sep 28, 2021",$0.1409,$0.1513,$0.1255,$0.1435,"$731,867",$0
23,NFTPAD,"Sep 27, 2021",$0.12,$0.1476,$0.1152,$0.1409,"$602,312",$0
24,NFTPAD,"Sep 26, 2021",$0.1159,$0.1262,$0.1021,$0.12,"$513,012",$0
25,NFTPAD,"Sep 25, 2021",$0.1279,$0.1354,$0.1078,$0.1159,"$555,483",$0
26,NFTPAD,"Sep 24, 2021",$0.1364,$0.1369,$0.1138,$0.1278,"$358,181",$0
27,NFTPAD,"Sep 23, 2021",$0.1392,$0.1401,$0.1294,$0.1365,"$151,918",$0
28,NFTPAD,"Sep 22, 2021",$0.139,$0.1505,$0.1382,$0.1391,"$190,647",$0
29,NFTPAD,"Sep 21, 2021",$0.1595,$0.165,$0.1386,$0.139,"$314,144",$0
30,NFTPAD,"Sep 20, 2021",$0.1877,$0.188,$0.1578,$0.1597,"$548,143",$0
