symbol,date,open,high,low,close,volume,marketCap
NIF,"Oct 22, 2021",$21.11,$21.43,$20.71,$21.41,"$894,829","$25,224,027"
NIF,"Oct 21, 2021",$21.05,$21.21,$20.88,$21.11,"$477,051","$24,869,896"
NIF,"Oct 20, 2021",$20.74,$21.19,$20.22,$21.05,"$603,074","$24,794,597"
NIF,"Oct 19, 2021",$19.80,$20.74,$19.71,$20.74,"$583,312","$24,433,651"
NIF,"Oct 18, 2021",$19.32,$19.91,$19.00,$19.80,"$590,307","$23,326,669"
NIF,"Oct 17, 2021",$19.08,$19.50,$19.08,$19.32,"$566,044","$22,767,323"
NIF,"Oct 16, 2021",$19.97,$20.00,$18.35,$19.08,"$499,835","$22,480,640"
NIF,"Oct 15, 2021",$19.92,$19.99,$19.37,$19.97,"$539,305","$23,523,473"
NIF,"Oct 14, 2021",$19.90,$20.01,$19.72,$19.92,"$548,149","$23,465,953"
NIF,"Oct 13, 2021",$19.74,$19.91,$19.01,$19.90,"$606,853","$23,450,003"
NIF,"Oct 12, 2021",$19.77,$19.83,$19.67,$19.73,"$654,613","$23,250,108"
NIF,"Oct 11, 2021",$19.92,$20.00,$19.72,$19.77,"$359,608","$23,293,850"
NIF,"Oct 10, 2021",$19.57,$19.96,$19.47,$19.92,"$522,708","$23,465,494"
NIF,"Oct 09, 2021",$19.88,$19.91,$19.56,$19.57,"$347,891","$23,060,644"
NIF,"Oct 08, 2021",$19.91,$19.91,$19.41,$19.88,"$465,853","$23,417,128"
NIF,"Oct 07, 2021",$19.25,$19.84,$18.79,$19.81,"$320,052","$23,339,594"
NIF,"Oct 06, 2021",$19.83,$20.03,$18.89,$19.23,"$197,708","$22,651,449"
NIF,"Oct 05, 2021",$20.29,$20.34,$19.01,$19.83,"$502,429","$23,362,505"
NIF,"Oct 04, 2021",$20.32,$20.52,$20.19,$20.29,"$558,527","$23,904,486"
NIF,"Oct 03, 2021",$19.97,$20.45,$19.49,$20.32,"$509,848","$23,943,468"
NIF,"Oct 02, 2021",$20.34,$20.40,$19.70,$19.98,"$511,674","$23,533,593"
NIF,"Oct 01, 2021",$20.39,$20.41,$19.65,$20.34,"$576,482","$23,963,328"
NIF,"Sep 30, 2021",$20.15,$20.45,$19.54,$20.39,"$370,444","$24,027,970"
NIF,"Sep 29, 2021",$20.87,$20.87,$20.05,$20.15,"$349,482","$23,737,606"
NIF,"Sep 28, 2021",$21.21,$21.21,$20.18,$20.74,"$543,092","$24,437,176"
NIF,"Sep 27, 2021",$21.11,$21.44,$19.84,$21.21,"$393,827","$24,989,235"
NIF,"Sep 26, 2021",$20.70,$21.13,$20.26,$21.12,"$531,594","$24,876,885"
NIF,"Sep 25, 2021",$21.11,$21.28,$20.63,$20.70,"$495,365","$24,391,350"
NIF,"Sep 24, 2021",$21.50,$21.74,$20.81,$21.11,"$411,712","$24,876,212"
NIF,"Sep 23, 2021",$21.96,$22.01,$20.01,$21.51,"$196,938","$25,336,019"
NIF,"Sep 22, 2021",$21.21,$21.98,$21.01,$21.95,"$31,114","$25,865,614"
NIF,"Sep 21, 2021",$21.15,$22.00,$20.26,$21.21,"$23,737","$24,985,633"
NIF,"Sep 20, 2021",$21.91,$22.52,$21.11,$21.16,"$23,575","$24,930,075"
NIF,"Sep 19, 2021",$22.58,$22.61,$21.52,$21.91,"$14,964","$25,808,069"
