,symbol,date,open,high,low,close,volume,marketCap
0,NIOX,"Oct 19, 2021",$0.1027,$0.1412,$0.1024,$0.1289,"$803,061","$12,172,348"
1,NIOX,"Oct 18, 2021",$0.101,$0.1042,$0.09961,$0.1027,"$246,602","$9,697,959"
2,NIOX,"Oct 17, 2021",$0.1044,$0.105,$0.09921,$0.1009,"$155,074","$9,532,886"
3,NIOX,"Oct 16, 2021",$0.09062,$0.1045,$0.09038,$0.1044,"$307,443","$9,858,162"
4,NIOX,"Oct 15, 2021",$0.08475,$0.09076,$0.08397,$0.0906,"$175,422","$8,555,886"
5,NIOX,"Oct 14, 2021",$0.08374,$0.08723,$0.08328,$0.08477,"$142,310","$8,006,018"
6,NIOX,"Oct 13, 2021",$0.08778,$0.08868,$0.0821,$0.08372,"$194,130","$7,906,931"
7,NIOX,"Oct 12, 2021",$0.08888,$0.08951,$0.08534,$0.08777,"$126,869","$8,288,854"
8,NIOX,"Oct 11, 2021",$0.09919,$0.09959,$0.08255,$0.0889,"$515,661","$8,395,640"
9,NIOX,"Oct 10, 2021",$0.1031,$0.1034,$0.09435,$0.09919,"$200,621","$9,367,092"
10,NIOX,"Oct 09, 2021",$0.1033,$0.1036,$0.09278,$0.1031,"$153,600","$9,741,098"
11,NIOX,"Oct 08, 2021",$0.1053,$0.1056,$0.1032,$0.1033,"$148,352","$9,756,790"
12,NIOX,"Oct 07, 2021",$0.1081,$0.1081,$0.1038,$0.1053,"$167,751","$9,947,862"
13,NIOX,"Oct 06, 2021",$0.1052,$0.1119,$0.1017,$0.1081,"$176,185","$10,211,650"
14,NIOX,"Oct 05, 2021",$0.1122,$0.1122,$0.0977,$0.1053,"$206,430","$9,941,163"
15,NIOX,"Oct 04, 2021",$0.1129,$0.113,$0.1055,$0.1122,"$167,063","$10,593,366"
16,NIOX,"Oct 03, 2021",$0.123,$0.1231,$0.1078,$0.1129,"$475,196","$10,660,238"
17,NIOX,"Oct 02, 2021",$0.1262,$0.1264,$0.1163,$0.1231,"$197,819","$11,624,099"
18,NIOX,"Oct 01, 2021",$0.1141,$0.1266,$0.1074,$0.1262,"$234,292","$11,917,879"
19,NIOX,"Sep 30, 2021",$0.1003,$0.1177,$0.1003,$0.1141,"$254,409","$10,773,206"
20,NIOX,"Sep 29, 2021",$0.09624,$0.1042,$0.09624,$0.1004,"$234,677","$9,479,816"
21,NIOX,"Sep 28, 2021",$0.09619,$0.1013,$0.09303,$0.09631,"$280,288","$9,095,426"
22,NIOX,"Sep 27, 2021",$0.1032,$0.1051,$0.09619,$0.09619,"$203,389","$9,083,982"
23,NIOX,"Sep 26, 2021",$0.104,$0.104,$0.09322,$0.1032,"$215,375","$9,744,312"
24,NIOX,"Sep 25, 2021",$0.1116,$0.1118,$0.1026,$0.1039,"$171,056","$9,817,037"
25,NIOX,"Sep 24, 2021",$0.112,$0.1142,$0.1018,$0.1115,"$241,731","$10,533,583"
26,NIOX,"Sep 23, 2021",$0.1088,$0.116,$0.1006,$0.112,"$516,102","$10,580,650"
27,NIOX,"Sep 22, 2021",$0.09993,$0.1131,$0.095,$0.1088,"$280,444","$10,272,752"
28,NIOX,"Sep 21, 2021",$0.1114,$0.1143,$0.09584,$0.09994,"$367,397","$9,438,492"
29,NIOX,"Sep 20, 2021",$0.127,$0.127,$0.1011,$0.1115,"$446,106","$10,526,852"
30,NIOX,"Sep 19, 2021",$0.1312,$0.1316,$0.1232,$0.127,"$472,211","$11,989,506"
31,NIOX,"Sep 18, 2021",$0.1283,$0.1343,$0.1281,$0.1312,"$393,087","$12,387,165"
32,NIOX,"Sep 17, 2021",$0.1345,$0.1368,$0.1278,$0.1283,"$217,277","$12,115,697"
33,NIOX,"Sep 16, 2021",$0.1332,$0.1458,$0.1299,$0.1345,"$431,610","$12,706,376"
34,NIOX,"Sep 15, 2021",$0.133,$0.1375,$0.1305,$0.1332,"$284,678","$12,575,275"
35,NIOX,"Sep 14, 2021",$0.1229,$0.1392,$0.1229,$0.133,"$512,066","$12,560,498"
36,NIOX,"Sep 13, 2021",$0.12,$0.127,$0.1145,$0.1229,"$252,774","$11,609,257"
37,NIOX,"Sep 12, 2021",$0.1149,$0.123,$0.1137,$0.12,"$286,488","$11,329,728"
38,NIOX,"Sep 11, 2021",$0.1073,$0.1166,$0.1071,$0.115,"$281,216","$10,858,460"
39,NIOX,"Sep 10, 2021",$0.1089,$0.1094,$0.09816,$0.1073,"$406,451","$10,131,349"
40,NIOX,"Sep 09, 2021",$0.1148,$0.1184,$0.1063,$0.1089,"$165,427","$10,280,670"
41,NIOX,"Sep 08, 2021",$0.1122,$0.1181,$0.1095,$0.1142,"$245,480","$10,787,069"
42,NIOX,"Sep 07, 2021",$0.1406,$0.1406,$0.11,$0.1122,"$353,603","$10,596,065"
43,NIOX,"Sep 06, 2021",$0.1395,$0.1442,$0.1393,$0.1406,"$236,443","$13,278,821"
44,NIOX,"Sep 05, 2021",$0.147,$0.1514,$0.1389,$0.1395,"$308,142","$13,178,156"
