symbol,date,open,high,low,close,volume,marketCap
NOIZ,"Oct 22, 2021",$0.04312,$0.04557,$0.0431,$0.04381,$0,$0
NOIZ,"Oct 21, 2021",$0.04581,$0.04618,$0.04277,$0.04316,$4,$0
NOIZ,"Oct 20, 2021",$0.04464,$0.0462,$0.0441,$0.04577,$0,$0
NOIZ,"Oct 19, 2021",$0.04436,$0.04547,$0.04407,$0.04466,$0,$0
NOIZ,"Oct 18, 2021",$0.04303,$0.04458,$0.04276,$0.04435,$0,$0
NOIZ,"Oct 17, 2021",$0.04258,$0.04319,$0.04164,$0.04302,$0,$0
NOIZ,"Oct 16, 2021",$0.04332,$0.0442,$0.04238,$0.04261,$9,$0
NOIZ,"Oct 15, 2021",$0.0432,$0.0436,$0.04153,$0.04331,$48,$0
NOIZ,"Oct 14, 2021",$0.04314,$0.04423,$0.03319,$0.04322,$8,$0
NOIZ,"Oct 13, 2021",$0.03553,$0.04323,$0.03478,$0.04314,$4,$0
NOIZ,"Oct 12, 2021",$0.0331,$0.03553,$0.03143,$0.03553,$0,$0
NOIZ,"Oct 11, 2021",$0.03243,$0.03391,$0.03212,$0.0331,$0,$0
NOIZ,"Oct 10, 2021",$0.03457,$0.03829,$0.03225,$0.03244,$7,$0
NOIZ,"Oct 09, 2021",$0.03437,$0.03493,$0.03418,$0.03454,$0,$0
NOIZ,"Oct 08, 2021",$0.03598,$0.0362,$0.03417,$0.03434,$0,$0
NOIZ,"Oct 07, 2021",$0.0357,$0.03689,$0.03479,$0.036,$0,$0
NOIZ,"Oct 06, 2021",$0.0363,$0.0363,$0.03408,$0.03573,$0,$0
NOIZ,"Oct 05, 2021",$0.03491,$0.0364,$0.03478,$0.03628,$0,$0
NOIZ,"Oct 04, 2021",$0.0353,$0.03532,$0.03378,$0.03493,$4,$0
NOIZ,"Oct 03, 2021",$0.0351,$0.03584,$0.0346,$0.03529,$0,$0
NOIZ,"Oct 02, 2021",$0.042,$0.04335,$0.03488,$0.03514,$4,$0
NOIZ,"Oct 01, 2021",$0.03855,$0.04217,$0.03806,$0.04202,$0,$0
NOIZ,"Sep 30, 2021",$0.03665,$0.03867,$0.03652,$0.03852,$0,$0
NOIZ,"Sep 29, 2021",$0.03317,$0.03735,$0.03301,$0.03664,$0,$0
NOIZ,"Sep 28, 2021",$0.04118,$0.04188,$0.0275,$0.0331,$25,$0
NOIZ,"Sep 27, 2021",$0.04223,$0.04381,$0.04119,$0.0412,$0,$0
NOIZ,"Sep 26, 2021",$0.04293,$0.04325,$0.03929,$0.04223,$0,$0
NOIZ,"Sep 25, 2021",$0.04357,$0.04422,$0.04221,$0.04297,$0,$0
NOIZ,"Sep 24, 2021",$0.04721,$0.04739,$0.04114,$0.04362,$2,$0
NOIZ,"Sep 23, 2021",$0.04667,$0.04733,$0.04547,$0.04718,$32,$0
NOIZ,"Sep 22, 2021",$0.04238,$0.04674,$0.04215,$0.04667,$9,$0
NOIZ,"Sep 21, 2021",$0.0444,$0.06308,$0.0417,$0.04223,$16,$0
NOIZ,"Sep 20, 2021",$0.05011,$0.05025,$0.04383,$0.04447,$0,$0
NOIZ,"Sep 19, 2021",$0.05039,$0.05142,$0.04952,$0.05015,$0,$0
NOIZ,"Sep 18, 2021",$0.07218,$0.07429,$0.05,$0.05037,$343,$0
NOIZ,"Sep 17, 2021",$0.07538,$0.07558,$0.07133,$0.07211,$0,$0
NOIZ,"Sep 16, 2021",$0.0529,$0.07678,$0.05181,$0.07535,$1,$0
NOIZ,"Sep 15, 2021",$0.05077,$0.05349,$0.05031,$0.05285,$5,$0
NOIZ,"Sep 14, 2021",$0.04891,$0.05078,$0.04858,$0.05078,$15,$0
NOIZ,"Sep 13, 2021",$0.05091,$0.05123,$0.04709,$0.04894,$5,$0
NOIZ,"Sep 12, 2021",$0.0495,$0.07726,$0.04859,$0.05098,$9,$0
NOIZ,"Sep 11, 2021",$0.07441,$0.07575,$0.049,$0.04947,$124,$0
NOIZ,"Sep 10, 2021",$0.05142,$0.07948,$0.04831,$0.07429,$188,$0
NOIZ,"Sep 09, 2021",$0.04951,$0.05316,$0.04936,$0.05142,$3,$0
NOIZ,"Sep 08, 2021",$0.05094,$0.05191,$0.04688,$0.05061,$0,$0
NOIZ,"Sep 07, 2021",$0.07216,$0.07342,$0.04542,$0.05099,$20,$0
NOIZ,"Sep 06, 2021",$0.07342,$0.07403,$0.07112,$0.07216,$80,$0
NOIZ,"Sep 05, 2021",$0.07247,$0.0958,$0.07122,$0.07332,$86,$0
NOIZ,"Sep 04, 2021",$0.07109,$0.07421,$0.07069,$0.07246,$0,$0
NOIZ,"Sep 03, 2021",$0.09543,$0.09705,$0.07036,$0.07111,$300,$0
NOIZ,"Sep 02, 2021",$0.07145,$0.09758,$0.07104,$0.0955,$135,$0
NOIZ,"Sep 01, 2021",$0.06738,$0.09571,$0.06613,$0.0714,$95,$0
NOIZ,"Aug 31, 2021",$0.09108,$0.09342,$0.06642,$0.06743,$20,$0
NOIZ,"Aug 30, 2021",$0.06868,$0.09474,$0.06557,$0.09086,$29,$0
NOIZ,"Aug 29, 2021",$0.06953,$0.07088,$0.06824,$0.06868,$0,$0
NOIZ,"Aug 28, 2021",$0.09817,$0.0988,$0.06875,$0.06956,$119,$0
NOIZ,"Aug 27, 2021",$0.09546,$0.09843,$0.06791,$0.09816,$149,$0
NOIZ,"Aug 26, 2021",$0.05575,$0.09714,$0.05274,$0.09551,$134,$0
NOIZ,"Aug 25, 2021",$0.09429,$0.1006,$0.05189,$0.05572,$566,$0
NOIZ,"Aug 24, 2021",$0.09995,$0.1008,$0.04929,$0.09445,$251,$0
NOIZ,"Aug 23, 2021",$0.02938,$0.1017,$0.02929,$0.09997,$853,$0
NOIZ,"Aug 22, 2021",$0.03188,$0.03253,$0.02873,$0.02941,$12,$0
NOIZ,"Aug 21, 2021",$0.04539,$0.04542,$0.0316,$0.0319,$2,$0
