symbol,date,open,high,low,close,volume,marketCap
NTX,"Oct 29, 2021",$0.001768,$0.001882,$0.0009005,$0.001702,"$21,237",$0
NTX,"Oct 28, 2021",$0.00157,$0.001899,$0.001561,$0.001768,"$20,160",$0
NTX,"Oct 27, 2021",$0.001738,$0.002,$0.001468,$0.00157,"$25,406",$0
NTX,"Oct 26, 2021",$0.001444,$0.001801,$0.00144,$0.001738,"$18,794",$0
NTX,"Oct 25, 2021",$0.001414,$0.001601,$0.001413,$0.001444,"$19,874",$0
NTX,"Oct 24, 2021",$0.001341,$0.0016,$0.0009735,$0.001414,"$19,340",$0
NTX,"Oct 23, 2021",$0.001426,$0.001427,$0.001332,$0.001341,"$10,118",$0
NTX,"Oct 22, 2021",$0.00139,$0.001426,$0.001335,$0.001426,"$16,137",$0
NTX,"Oct 21, 2021",$0.001292,$0.0014,$0.001285,$0.00139,"$8,447",$0
NTX,"Oct 20, 2021",$0.00116,$0.001317,$0.001151,$0.001292,"$21,183",$0
NTX,"Oct 19, 2021",$0.001151,$0.0018,$0.00115,$0.00116,"$14,217",$0
NTX,"Oct 18, 2021",$0.001105,$0.001399,$0.001104,$0.001151,$441,$0
NTX,"Oct 17, 2021",$0.001096,$0.001381,$0.001096,$0.001105,$4,$0
NTX,"Oct 16, 2021",$0.001249,$0.0014,$0.001095,$0.001096,$836,$0
NTX,"Oct 15, 2021",$0.001399,$0.001399,$0.001249,$0.001249,$38,$0
NTX,"Oct 14, 2021",$0.0014,$0.0014,$0.0013,$0.001399,$678,$0
NTX,"Oct 13, 2021",$0.001201,$0.0014,$0.0011,$0.0014,"$1,592",$0
NTX,"Oct 12, 2021",$0.001301,$0.001301,$0.001101,$0.001201,$48,$0
NTX,"Oct 11, 2021",$0.001301,$0.001301,$0.001006,$0.001301,"$13,382",$0
NTX,"Oct 10, 2021",$0.0013,$0.001301,$0.001299,$0.001301,$89,$0
NTX,"Oct 09, 2021",$0.001295,$0.0013,$0.0009522,$0.0013,"$21,649",$0
NTX,"Oct 08, 2021",$0.001274,$0.001295,$0.0012,$0.001295,"$37,954",$0
NTX,"Oct 07, 2021",$0.001295,$0.001296,$0.001155,$0.001274,"$38,442",$0
NTX,"Oct 06, 2021",$0.001301,$0.001301,$0.001157,$0.001296,"$30,629",$0
NTX,"Oct 05, 2021",$0.001155,$0.001301,$0.001154,$0.001301,"$30,369",$0
NTX,"Oct 04, 2021",$0.001158,$0.0014,$0.001154,$0.001155,"$31,421",$0
NTX,"Oct 03, 2021",$0.001202,$0.0014,$0.001155,$0.001158,"$4,367",$0
NTX,"Oct 02, 2021",$0.0013,$0.0014,$0.001201,$0.001203,$398,$0
NTX,"Oct 01, 2021",$0.001201,$0.001301,$0.001201,$0.0013,"$37,184",$0
NTX,"Sep 30, 2021",$0.0013,$0.00138,$0.0012,$0.001201,"$34,476",$0
NTX,"Sep 29, 2021",$0.0013,$0.0014,$0.001151,$0.0013,"$38,962",$0
NTX,"Sep 28, 2021",$0.001152,$0.0013,$0.001151,$0.0013,"$36,162",$0
NTX,"Sep 27, 2021",$0.001301,$0.001302,$0.001121,$0.001152,"$40,025",$0
NTX,"Sep 26, 2021",$0.001294,$0.001302,$0.001121,$0.001301,"$13,843",$0
NTX,"Sep 25, 2021",$0.001336,$0.001337,$0.001121,$0.001295,"$5,455",$0
NTX,"Sep 24, 2021",$0.001016,$0.001351,$0.001015,$0.001336,"$38,712",$0
NTX,"Sep 23, 2021",$0.0009822,$0.001401,$0.000982,$0.001016,"$112,535",$0
