,symbol,date,open,high,low,close,volume,marketCap
0,OCTO,"Oct 19, 2021",$6.69,$6.77,$6.21,$6.68,"$94,992","$5,329,796"
1,OCTO,"Oct 18, 2021",$7.04,$7.07,$6.67,$6.69,"$27,545","$5,338,673"
2,OCTO,"Oct 17, 2021",$7.08,$7.10,$6.96,$7.03,"$13,171","$5,612,947"
3,OCTO,"Oct 16, 2021",$6.94,$7.24,$6.80,$7.08,"$23,876","$5,650,185"
4,OCTO,"Oct 15, 2021",$6.76,$7.67,$6.64,$6.94,"$53,027","$5,538,596"
5,OCTO,"Oct 14, 2021",$6.85,$6.89,$6.58,$6.77,"$26,546","$5,398,419"
6,OCTO,"Oct 13, 2021",$6.65,$6.85,$6.65,$6.85,"$13,367","$5,466,305"
7,OCTO,"Oct 12, 2021",$6.73,$6.81,$6.62,$6.65,"$15,577","$5,302,933"
8,OCTO,"Oct 11, 2021",$6.76,$6.94,$6.71,$6.73,"$18,621","$5,372,576"
9,OCTO,"Oct 10, 2021",$6.78,$7.01,$6.74,$6.76,"$19,426","$5,396,241"
10,OCTO,"Oct 09, 2021",$6.91,$7.01,$6.75,$6.78,"$27,616","$5,413,810"
11,OCTO,"Oct 08, 2021",$6.95,$7.20,$6.91,$6.91,"$17,588","$5,515,426"
12,OCTO,"Oct 07, 2021",$6.98,$7.27,$6.84,$6.98,"$21,699","$5,572,194"
13,OCTO,"Oct 06, 2021",$6.80,$7.05,$6.60,$6.99,"$33,312","$5,579,210"
14,OCTO,"Oct 05, 2021",$6.81,$7.30,$6.55,$6.80,"$120,616","$5,422,895"
15,OCTO,"Oct 04, 2021",$7.45,$7.49,$6.51,$6.81,"$106,132","$5,431,861"
16,OCTO,"Oct 03, 2021",$7.56,$7.56,$7.38,$7.45,"$7,322","$5,948,553"
17,OCTO,"Oct 02, 2021",$7.32,$7.59,$7.11,$7.56,"$34,697","$6,031,768"
18,OCTO,"Oct 01, 2021",$7.32,$7.86,$7.19,$7.32,"$39,122","$5,839,010"
19,OCTO,"Sep 30, 2021",$7.19,$7.56,$7.10,$7.32,"$24,062","$5,837,179"
20,OCTO,"Sep 29, 2021",$7.12,$7.33,$7.12,$7.19,"$7,785","$5,732,643"
21,OCTO,"Sep 28, 2021",$7.15,$7.25,$7.11,$7.12,"$11,179","$5,681,137"
22,OCTO,"Sep 27, 2021",$7.43,$7.47,$6.91,$7.15,"$14,037","$5,706,341"
23,OCTO,"Sep 26, 2021",$7.42,$7.84,$7.21,$7.43,"$23,683","$5,928,869"
24,OCTO,"Sep 25, 2021",$7.22,$7.56,$7.02,$7.42,"$19,880","$5,921,506"
25,OCTO,"Sep 24, 2021",$7.62,$7.62,$7.13,$7.21,"$30,142","$5,754,692"
26,OCTO,"Sep 23, 2021",$7.11,$7.65,$7.08,$7.62,"$32,197","$6,073,926"
27,OCTO,"Sep 22, 2021",$7.13,$7.38,$6.97,$7.11,"$77,359","$5,672,492"
28,OCTO,"Sep 21, 2021",$8.01,$8.01,$6.89,$7.16,"$127,429","$5,707,196"
29,OCTO,"Sep 20, 2021",$8.76,$8.76,$8.00,$8.01,"$28,330","$6,387,692"
30,OCTO,"Sep 19, 2021",$8.70,$8.89,$8.66,$8.76,"$10,929","$6,989,692"
31,OCTO,"Sep 18, 2021",$8.60,$9.06,$8.59,$8.70,"$20,602","$6,940,023"
32,OCTO,"Sep 17, 2021",$8.78,$8.90,$8.53,$8.60,"$11,992","$6,858,837"
33,OCTO,"Sep 16, 2021",$8.90,$9.10,$8.57,$8.78,"$25,587","$7,003,441"
34,OCTO,"Sep 15, 2021",$8.54,$9.28,$8.41,$8.88,"$79,983","$7,081,295"
35,OCTO,"Sep 14, 2021",$8.82,$8.83,$8.29,$8.54,"$21,950","$6,808,381"
36,OCTO,"Sep 13, 2021",$9.03,$9.07,$8.67,$8.82,"$14,464","$7,037,942"
37,OCTO,"Sep 12, 2021",$9.20,$9.25,$8.89,$9.03,"$28,555","$7,199,345"
38,OCTO,"Sep 11, 2021",$9.05,$9.59,$9.05,$9.20,"$26,040","$7,337,569"
39,OCTO,"Sep 10, 2021",$9.30,$9.63,$8.75,$9.05,"$30,507","$7,216,307"
40,OCTO,"Sep 09, 2021",$9.33,$9.46,$8.74,$9.30,"$46,856","$7,421,768"
41,OCTO,"Sep 08, 2021",$9.38,$9.62,$8.26,$9.31,"$27,058","$7,422,909"
42,OCTO,"Sep 07, 2021",$10.39,$10.46,$9.29,$9.37,"$42,674","$7,477,443"
43,OCTO,"Sep 06, 2021",$10.55,$10.74,$10.38,$10.39,"$60,640","$8,284,919"
44,OCTO,"Sep 05, 2021",$10.29,$10.60,$10.29,$10.55,"$50,769","$8,413,140"
45,OCTO,"Sep 04, 2021",$10.61,$10.83,$10.20,$10.29,"$110,743","$8,211,123"
46,OCTO,"Sep 03, 2021",$10.57,$10.68,$10.39,$10.62,"$41,956","$8,466,776"
47,OCTO,"Sep 02, 2021",$10.78,$11.06,$10.39,$10.57,"$43,102","$8,427,432"
48,OCTO,"Sep 01, 2021",$10.76,$10.97,$10.58,$10.77,"$48,328","$8,586,430"
49,OCTO,"Aug 31, 2021",$10.12,$11.08,$10.07,$10.76,"$76,627","$8,585,382"
50,OCTO,"Aug 30, 2021",$10.68,$10.68,$9.70,$10.12,"$166,249","$8,072,917"
51,OCTO,"Aug 29, 2021",$10.77,$11.06,$10.31,$10.68,"$67,258","$8,515,476"
52,OCTO,"Aug 28, 2021",$10.42,$11.05,$9.89,$10.77,"$48,240","$8,586,646"
53,OCTO,"Aug 27, 2021",$11.01,$11.02,$10.34,$10.42,"$119,961","$8,314,537"
54,OCTO,"Aug 26, 2021",$11.08,$11.14,$10.58,$11.01,"$122,324","$8,778,437"
55,OCTO,"Aug 25, 2021",$11.74,$11.81,$10.84,$11.07,"$159,057","$8,833,612"
56,OCTO,"Aug 24, 2021",$12.06,$12.22,$11.60,$11.74,"$164,376","$9,360,754"
57,OCTO,"Aug 23, 2021",$12.22,$12.46,$12.06,$12.07,"$286,505","$9,628,810"
58,OCTO,"Aug 22, 2021",$12.41,$12.63,$12.10,$12.22,"$143,869","$9,747,767"
59,OCTO,"Aug 21, 2021",$12.19,$12.57,$11.85,$12.41,"$181,125","$9,901,947"
60,OCTO,"Aug 20, 2021",$13.03,$13.23,$10.11,$12.19,"$569,100","$9,724,676"
61,OCTO,"Aug 19, 2021",$12.04,$13.09,$11.80,$13.02,"$161,520","$10,387,871"
62,OCTO,"Aug 18, 2021",$12.78,$12.82,$11.99,$12.00,"$105,344","$9,572,301"
63,OCTO,"Aug 17, 2021",$13.28,$13.42,$12.78,$12.78,"$122,275","$10,193,405"
64,OCTO,"Aug 16, 2021",$13.33,$14.11,$13.26,$13.28,"$209,616","$10,595,520"
65,OCTO,"Aug 15, 2021",$12.24,$13.33,$12.02,$13.33,"$158,965","$10,628,987"
66,OCTO,"Aug 14, 2021",$12.39,$12.98,$12.18,$12.25,"$125,437","$9,767,611"
67,OCTO,"Aug 13, 2021",$12.28,$12.97,$12.13,$12.39,"$137,094","$9,884,901"
68,OCTO,"Aug 12, 2021",$12.37,$13.06,$12.10,$12.28,"$111,132","$9,794,688"
69,OCTO,"Aug 11, 2021",$12.48,$12.82,$12.33,$12.37,"$217,266","$9,862,694"
70,OCTO,"Aug 10, 2021",$11.43,$12.68,$11.42,$12.48,"$178,169","$9,951,018"
71,OCTO,"Aug 09, 2021",$12.75,$12.90,$11.42,$11.43,"$229,349","$9,113,837"
72,OCTO,"Aug 08, 2021",$12.43,$12.76,$12.34,$12.74,"$268,562","$10,165,441"
73,OCTO,"Aug 07, 2021",$12.59,$13.67,$12.29,$12.43,"$269,622","$9,912,234"
74,OCTO,"Aug 06, 2021",$12.61,$12.78,$12.29,$12.59,"$269,210","$10,038,173"
75,OCTO,"Aug 05, 2021",$12.52,$12.73,$11.95,$12.73,"$330,300","$10,150,293"
76,OCTO,"Aug 04, 2021",$11.25,$12.62,$11.19,$12.52,"$409,280","$9,988,740"
77,OCTO,"Aug 03, 2021",$11.63,$11.68,$10.94,$11.25,"$271,077","$8,974,232"
78,OCTO,"Aug 02, 2021",$11.62,$11.86,$10.75,$11.63,"$467,809","$9,278,926"
79,OCTO,"Aug 01, 2021",$9.65,$12.55,$9.62,$11.62,"$814,151","$9,267,916"
80,OCTO,"Jul 31, 2021",$8.00,$9.77,$8.00,$9.64,"$370,503","$7,692,499"
81,OCTO,"Jul 30, 2021",$8.05,$8.09,$7.95,$8.00,"$226,815","$6,379,252"
82,OCTO,"Jul 29, 2021",$8.02,$8.06,$7.95,$8.05,"$252,128","$6,420,924"
83,OCTO,"Jul 28, 2021",$8.00,$8.83,$7.95,$8.02,"$187,100","$6,393,557"
84,OCTO,"Jul 27, 2021",$8.05,$8.13,$7.87,$8.00,"$95,082","$6,381,733"
85,OCTO,"Jul 26, 2021",$8.17,$8.58,$7.90,$8.05,"$152,274","$6,418,471"
86,OCTO,"Jul 25, 2021",$7.90,$8.55,$7.78,$8.17,"$197,615","$6,514,748"
87,OCTO,"Jul 24, 2021",$7.19,$8.11,$7.02,$7.90,"$150,418","$6,299,502"
88,OCTO,"Jul 23, 2021",$6.85,$7.23,$6.79,$7.19,"$83,305","$5,735,115"
89,OCTO,"Jul 22, 2021",$6.77,$6.96,$6.62,$6.85,"$72,204","$5,466,233"
90,OCTO,"Jul 21, 2021",$6.31,$6.78,$6.28,$6.76,"$145,582","$5,388,146"
91,OCTO,"Jul 20, 2021",$6.98,$7.05,$5.99,$6.31,"$136,820","$5,031,872"
92,OCTO,"Jul 19, 2021",$7.54,$7.56,$6.66,$6.98,"$151,478","$5,563,634"
93,OCTO,"Jul 18, 2021",$7.89,$8.07,$7.51,$7.54,"$134,985","$6,016,351"
94,OCTO,"Jul 17, 2021",$8.32,$8.34,$7.73,$7.89,"$121,778","$6,296,267"
95,OCTO,"Jul 16, 2021",$7.81,$8.36,$7.75,$8.32,"$112,619","$6,639,341"
96,OCTO,"Jul 15, 2021",$8.26,$8.64,$7.76,$7.80,"$145,253","$6,221,590"
97,OCTO,"Jul 14, 2021",$8.26,$8.68,$7.97,$8.26,"$115,449","$6,586,972"
98,OCTO,"Jul 13, 2021",$8.51,$8.61,$8.16,$8.25,"$101,952","$6,582,303"
99,OCTO,"Jul 12, 2021",$9.32,$9.39,$6.79,$8.51,"$126,850","$6,787,303"
100,OCTO,"Jul 11, 2021",$9.26,$9.38,$9.24,$9.32,"$96,282","$7,433,976"
101,OCTO,"Jul 10, 2021",$9.27,$9.28,$9.16,$9.26,"$97,292","$7,384,771"
102,OCTO,"Jul 09, 2021",$9.73,$9.76,$9.12,$9.27,"$94,241","$7,394,380"
103,OCTO,"Jul 08, 2021",$10.16,$10.23,$9.71,$9.73,"$121,258","$7,758,281"
104,OCTO,"Jul 07, 2021",$10.39,$10.54,$9.41,$10.16,"$295,388","$8,101,589"
105,OCTO,"Jul 06, 2021",$11.06,$11.19,$10.15,$10.38,"$314,126","$8,281,320"
106,OCTO,"Jul 05, 2021",$11.76,$12.21,$10.88,$11.06,"$599,228","$8,824,990"
107,OCTO,"Jul 04, 2021",$8.53,$12.05,$8.53,$11.76,"$934,993","$9,382,214"
108,OCTO,"Jul 03, 2021",$7.68,$8.67,$7.62,$8.53,"$273,017","$6,805,761"
109,OCTO,"Jul 02, 2021",$7.40,$7.91,$7.27,$7.68,"$248,393","$6,128,736"
110,OCTO,"Jul 01, 2021",$9.05,$9.06,$7.40,$7.40,"$230,456","$5,905,177"
111,OCTO,"Jun 30, 2021",$8.06,$9.09,$8.01,$9.05,"$267,682","$7,218,803"
112,OCTO,"Jun 29, 2021",$8.54,$8.71,$8.05,$8.06,"$263,810","$6,425,108"
113,OCTO,"Jun 28, 2021",$7.70,$8.58,$7.66,$8.53,"$227,056","$6,807,677"
114,OCTO,"Jun 27, 2021",$7.44,$8.12,$7.41,$7.70,"$228,070","$6,144,042"
115,OCTO,"Jun 26, 2021",$8.83,$8.90,$6.72,$7.44,"$287,599","$5,935,423"
116,OCTO,"Jun 25, 2021",$8.19,$9.10,$8.16,$8.83,"$264,047","$7,040,172"
117,OCTO,"Jun 24, 2021",$8.15,$8.23,$8.09,$8.19,"$228,177","$6,533,232"
118,OCTO,"Jun 23, 2021",$8.11,$8.20,$7.38,$8.18,"$240,794","$6,521,349"
119,OCTO,"Jun 22, 2021",$8.87,$8.97,$8.01,$8.11,"$299,030","$6,467,077"
120,OCTO,"Jun 21, 2021",$10.01,$10.01,$8.39,$8.87,"$284,809","$7,074,265"
121,OCTO,"Jun 20, 2021",$10.19,$10.20,$9.75,$10.01,"$270,222","$7,986,189"
122,OCTO,"Jun 19, 2021",$10.86,$10.99,$9.66,$10.19,"$252,066","$8,130,089"
123,OCTO,"Jun 18, 2021",$11.12,$11.13,$10.76,$10.94,"$329,935","$8,725,302"
124,OCTO,"Jun 17, 2021",$11.15,$11.64,$11.09,$11.11,"$252,852","$8,864,896"
125,OCTO,"Jun 16, 2021",$11.88,$12.31,$11.14,$11.15,"$319,219","$8,889,725"
126,OCTO,"Jun 15, 2021",$12.81,$12.94,$11.62,$12.90,"$437,408","$10,286,785"
127,OCTO,"Jun 14, 2021",$12.22,$13.59,$11.85,$12.52,"$365,485","$9,988,889"
128,OCTO,"Jun 13, 2021",$13.31,$13.38,$12.09,$12.22,"$355,584","$9,745,472"
129,OCTO,"Jun 12, 2021",$12.97,$13.58,$12.14,$13.31,"$418,641","$10,615,314"
130,OCTO,"Jun 11, 2021",$13.45,$13.54,$12.96,$12.97,"$337,296","$10,342,792"
131,OCTO,"Jun 10, 2021",$14.44,$14.93,$12.86,$13.46,"$524,563","$10,735,049"
132,OCTO,"Jun 09, 2021",$13.03,$15.04,$12.81,$14.45,"$458,871","$11,525,911"
133,OCTO,"Jun 08, 2021",$14.67,$14.70,$12.52,$13.03,"$434,036","$10,391,663"
134,OCTO,"Jun 07, 2021",$15.99,$16.46,$14.60,$14.68,"$462,798","$11,705,184"
135,OCTO,"Jun 06, 2021",$14.49,$16.14,$14.45,$15.99,"$497,612","$12,754,290"
136,OCTO,"Jun 05, 2021",$16.18,$16.27,$14.11,$14.50,"$461,099","$11,561,783"
137,OCTO,"Jun 04, 2021",$16.49,$16.51,$14.16,$16.14,"$659,266","$12,872,559"
138,OCTO,"Jun 03, 2021",$17.12,$17.41,$15.73,$16.49,"$533,053","$13,156,508"
139,OCTO,"Jun 02, 2021",$16.97,$17.20,$16.06,$17.12,"$396,973","$13,652,473"
140,OCTO,"Jun 01, 2021",$16.94,$17.29,$16.60,$16.97,"$492,132","$13,532,693"
141,OCTO,"May 31, 2021",$15.22,$16.94,$14.88,$16.91,"$471,985","$13,484,330"
142,OCTO,"May 30, 2021",$14.91,$16.47,$14.76,$15.22,"$549,483","$12,141,191"
143,OCTO,"May 29, 2021",$16.37,$17.54,$14.82,$14.90,"$484,912","$11,885,929"
144,OCTO,"May 28, 2021",$18.66,$18.80,$16.29,$16.37,"$583,681","$13,056,152"
145,OCTO,"May 27, 2021",$19.88,$19.95,$18.14,$18.66,"$652,789","$14,885,897"
146,OCTO,"May 26, 2021",$16.17,$20.75,$16.17,$19.91,"$1,079,114","$15,880,293"
147,OCTO,"May 25, 2021",$14.06,$16.28,$13.54,$16.15,"$587,839","$12,878,755"
148,OCTO,"May 24, 2021",$13.55,$14.62,$12.34,$14.06,"$695,585","$11,210,763"
149,OCTO,"May 23, 2021",$16.33,$16.39,$12.28,$13.49,"$515,976","$10,760,463"
150,OCTO,"May 22, 2021",$19.07,$19.47,$16.32,$16.32,"$536,481","$13,016,975"
151,OCTO,"May 21, 2021",$21.08,$21.92,$19.05,$19.07,"$718,901","$15,208,886"
152,OCTO,"May 20, 2021",$21.45,$21.81,$19.46,$21.14,"$706,756","$16,859,347"
153,OCTO,"May 19, 2021",$27.43,$27.44,$20.26,$21.44,"$985,548","$17,102,202"
154,OCTO,"May 18, 2021",$29.38,$30.81,$27.29,$27.37,"$896,126","$21,834,658"
155,OCTO,"May 17, 2021",$33.05,$33.09,$26.67,$29.37,"$1,316,609","$23,425,342"
156,OCTO,"May 16, 2021",$34.68,$37.05,$31.26,$33.05,"$659,485","$26,358,354"
157,OCTO,"May 15, 2021",$38.22,$39.22,$30.86,$34.69,"$1,517,413","$27,669,761"
158,OCTO,"May 14, 2021",$38.79,$40.94,$35.12,$38.24,"$1,822,159","$30,495,231"
159,OCTO,"May 13, 2021",$43.78,$44.25,$38.54,$38.75,"$1,213,932","$30,904,738"
160,OCTO,"May 12, 2021",$47.41,$50.61,$43.82,$43.82,"$3,386,653","$34,948,245"
161,OCTO,"May 11, 2021",$51.04,$51.94,$27.99,$47.39,"$4,902,898","$37,794,956"
162,OCTO,"May 10, 2021",$57.94,$60.71,$49.18,$51.05,"$1,481,319","$40,710,913"
163,OCTO,"May 09, 2021",$62.19,$63.12,$55.16,$57.92,"$1,544,487","$46,188,573"
