symbol,date,open,high,low,close,volume,marketCap
OMG,"Oct 29, 2021",$13.22,$13.67,$12.94,$13.53,"$646,933,827","$1,897,723,347"
OMG,"Oct 28, 2021",$12.72,$13.36,$12.56,$13.19,"$820,913,018","$1,850,485,305"
OMG,"Oct 27, 2021",$14.09,$14.26,$11.96,$12.71,"$1,045,140,728","$1,782,984,342"
OMG,"Oct 26, 2021",$14.46,$14.74,$14.04,$14.11,"$580,497,224","$1,978,414,171"
OMG,"Oct 25, 2021",$14.35,$15.14,$14.15,$14.46,"$814,313,496","$2,028,616,094"
OMG,"Oct 24, 2021",$14.25,$14.79,$13.90,$14.35,"$596,689,772","$2,013,031,802"
OMG,"Oct 23, 2021",$14.18,$14.53,$13.99,$14.24,"$488,388,048","$1,997,416,341"
OMG,"Oct 22, 2021",$14.80,$16.19,$13.98,$14.19,"$1,397,246,083","$1,989,881,716"
OMG,"Oct 21, 2021",$14.67,$15.99,$14.45,$14.79,"$1,074,595,982","$2,074,516,689"
OMG,"Oct 20, 2021",$14.22,$14.71,$13.84,$14.65,"$518,354,453","$2,054,356,776"
OMG,"Oct 19, 2021",$13.99,$14.24,$13.76,$14.24,"$421,590,259","$1,996,671,708"
OMG,"Oct 18, 2021",$13.80,$14.48,$13.68,$14.00,"$593,114,028","$1,963,265,426"
OMG,"Oct 17, 2021",$14.13,$14.25,$13.39,$13.80,"$373,791,259","$1,934,937,332"
OMG,"Oct 16, 2021",$13.91,$14.57,$13.87,$14.11,"$505,570,485","$1,979,015,057"
OMG,"Oct 15, 2021",$14.47,$14.67,$13.73,$13.91,"$991,148,192","$1,950,289,648"
OMG,"Oct 14, 2021",$15.00,$15.23,$14.29,$14.46,"$663,062,783","$2,027,814,180"
OMG,"Oct 13, 2021",$14.67,$15.91,$14.55,$14.99,"$1,407,081,205","$2,102,152,540"
OMG,"Oct 12, 2021",$13.59,$15.43,$13.36,$14.66,"$1,805,996,584","$2,056,347,882"
OMG,"Oct 11, 2021",$12.90,$14.86,$12.74,$13.59,"$1,487,830,399","$1,905,729,999"
OMG,"Oct 10, 2021",$14.09,$14.46,$12.90,$12.90,"$907,659,286","$1,809,004,403"
OMG,"Oct 09, 2021",$13.99,$14.42,$13.75,$14.10,"$760,983,713","$1,978,109,672"
OMG,"Oct 08, 2021",$14.93,$15.53,$13.93,$14.00,"$1,158,897,298","$1,963,418,924"
OMG,"Oct 07, 2021",$14.41,$15.00,$13.82,$14.92,"$1,340,034,740","$2,092,866,666"
OMG,"Oct 06, 2021",$15.56,$15.56,$13.81,$14.40,"$1,614,400,670","$2,019,975,645"
OMG,"Oct 05, 2021",$16.57,$17.15,$15.29,$15.54,"$1,488,456,592","$2,179,626,037"
OMG,"Oct 04, 2021",$16.54,$18.12,$15.57,$16.58,"$2,983,769,934","$2,325,908,159"
OMG,"Oct 03, 2021",$15.50,$17.95,$15.02,$16.49,"$3,543,601,969","$2,312,171,546"
OMG,"Oct 02, 2021",$12.81,$16.46,$12.59,$15.54,"$3,477,651,612","$2,179,418,499"
OMG,"Oct 01, 2021",$12.47,$13.43,$12.10,$12.83,"$2,264,097,686","$1,799,414,402"
OMG,"Sep 30, 2021",$10.36,$12.47,$10.28,$12.47,"$2,400,483,471","$1,749,164,403"
OMG,"Sep 29, 2021",$8.94,$10.58,$8.73,$10.30,"$1,516,459,110","$1,445,088,433"
OMG,"Sep 28, 2021",$9.33,$9.85,$8.77,$8.89,"$1,125,549,275","$1,246,949,387"
OMG,"Sep 27, 2021",$9.11,$9.59,$8.81,$9.32,"$857,891,621","$1,306,570,009"
OMG,"Sep 26, 2021",$8.94,$9.38,$8.02,$9.07,"$856,906,471","$1,272,204,031"
OMG,"Sep 25, 2021",$9.17,$9.28,$8.55,$8.93,"$678,114,549","$1,252,967,668"
OMG,"Sep 24, 2021",$9.88,$9.91,$8.47,$9.17,"$1,346,627,782","$1,286,034,395"
