symbol,date,open,high,low,close,volume,marketCap
ORAO,"Oct 22, 2021",$0.0231,$0.02407,$0.02242,$0.02309,"$194,417","$909,575"
ORAO,"Oct 21, 2021",$0.02363,$0.02366,$0.02204,$0.02322,"$131,943","$914,908"
ORAO,"Oct 20, 2021",$0.02189,$0.02364,$0.02008,$0.02364,"$79,713","$931,177"
ORAO,"Oct 19, 2021",$0.02101,$0.0219,$0.02011,$0.0219,"$33,497","$862,712"
ORAO,"Oct 18, 2021",$0.02016,$0.02204,$0.02008,$0.02102,"$42,982","$827,965"
ORAO,"Oct 17, 2021",$0.01963,$0.0217,$0.01947,$0.02016,"$59,360","$794,133"
ORAO,"Oct 16, 2021",$0.02369,$0.02375,$0.01901,$0.01963,"$84,443","$773,377"
ORAO,"Oct 15, 2021",$0.02117,$0.02369,$0.02092,$0.02369,"$43,020","$933,297"
ORAO,"Oct 14, 2021",$0.02019,$0.02322,$0.02019,$0.02117,"$47,781","$833,960"
ORAO,"Oct 13, 2021",$0.02028,$0.02201,$0.0184,$0.02019,"$104,460","$795,420"
ORAO,"Oct 12, 2021",$0.02122,$0.02181,$0.01897,$0.02028,"$84,052","$798,893"
ORAO,"Oct 11, 2021",$0.02394,$0.02401,$0.01995,$0.02123,"$87,927","$836,282"
ORAO,"Oct 10, 2021",$0.02511,$0.0262,$0.02234,$0.02394,"$78,636","$943,344"
ORAO,"Oct 09, 2021",$0.0261,$0.02691,$0.02511,$0.02511,"$20,114","$989,435"
ORAO,"Oct 08, 2021",$0.02642,$0.0265,$0.02425,$0.0261,"$42,693","$1,028,346"
ORAO,"Oct 07, 2021",$0.02562,$0.02819,$0.02524,$0.02643,"$60,476","$1,041,208"
ORAO,"Oct 06, 2021",$0.02893,$0.02957,$0.02561,$0.02561,"$65,614","$1,009,146"
ORAO,"Oct 05, 2021",$0.02542,$0.02981,$0.02501,$0.02896,"$96,813","$1,140,895"
ORAO,"Oct 04, 2021",$0.02472,$0.02671,$0.02402,$0.02542,"$69,901","$1,001,357"
ORAO,"Oct 03, 2021",$0.02421,$0.02484,$0.02383,$0.02472,"$46,040","$973,814"
ORAO,"Oct 02, 2021",$0.02403,$0.02497,$0.02281,$0.02422,"$59,111","$954,397"
ORAO,"Oct 01, 2021",$0.02525,$0.02648,$0.02329,$0.02403,"$86,213","$946,556"
ORAO,"Sep 30, 2021",$0.02537,$0.02718,$0.02468,$0.02525,"$143,234","$994,958"
ORAO,"Sep 29, 2021",$0.02354,$0.02742,$0.0231,$0.02537,"$157,240","$999,486"
ORAO,"Sep 28, 2021",$0.02767,$0.02767,$0.02354,$0.02355,"$92,348","$927,773"
ORAO,"Sep 27, 2021",$0.02719,$0.02904,$0.02644,$0.02767,"$69,733","$1,090,162"
ORAO,"Sep 26, 2021",$0.02867,$0.02897,$0.0257,$0.0272,"$79,724","$1,071,482"
ORAO,"Sep 25, 2021",$0.03143,$0.03145,$0.02802,$0.02867,"$50,934","$1,129,593"
ORAO,"Sep 24, 2021",$0.03086,$0.03874,$0.02839,$0.03143,"$82,817","$1,238,176"
ORAO,"Sep 23, 2021",$0.02606,$0.03392,$0.02603,$0.03086,"$86,170","$1,215,810"
ORAO,"Sep 22, 2021",$0.02392,$0.02732,$0.02392,$0.02606,"$33,197","$1,026,726"
ORAO,"Sep 21, 2021",$0.02657,$0.0302,$0.0233,$0.02392,"$60,390","$942,529"
ORAO,"Sep 20, 2021",$0.03029,$0.03031,$0.02657,$0.02658,"$54,720","$1,047,032"
ORAO,"Sep 19, 2021",$0.03167,$0.03463,$0.03022,$0.03029,"$59,427","$1,193,191"
ORAO,"Sep 18, 2021",$0.03124,$0.03537,$0.03029,$0.03167,"$104,036","$1,247,580"
