,symbol,date,open,high,low,close,volume,marketCap
0,ORION,"Oct 19, 2021",$1.73,$1.74,$1.55,$1.64,"$1,230,494",$0
1,ORION,"Oct 18, 2021",$1.84,$1.84,$1.65,$1.72,"$1,698,264",$0
2,ORION,"Oct 17, 2021",$2.17,$2.20,$1.84,$1.84,"$2,075,745",$0
3,ORION,"Oct 16, 2021",$2.25,$2.32,$2.15,$2.17,"$2,978,344",$0
4,ORION,"Oct 15, 2021",$1.93,$2.32,$1.92,$2.25,"$5,455,928",$0
5,ORION,"Oct 14, 2021",$1.57,$1.94,$1.47,$1.92,"$3,588,449",$0
6,ORION,"Oct 13, 2021",$1.25,$1.57,$1.25,$1.57,"$3,090,598",$0
7,ORION,"Oct 12, 2021",$1.21,$1.43,$1.06,$1.25,"$4,077,926",$0
8,ORION,"Oct 11, 2021",$0.9079,$1.21,$0.8501,$1.21,"$2,092,284",$0
9,ORION,"Oct 10, 2021",$0.9626,$1.00,$0.8882,$0.908,"$1,135,718",$0
10,ORION,"Oct 09, 2021",$1.04,$1.06,$0.9453,$0.9628,"$1,621,911",$0
11,ORION,"Oct 08, 2021",$1.02,$1.06,$0.976,$1.04,"$883,086",$0
12,ORION,"Oct 07, 2021",$1.06,$1.12,$0.9629,$1.02,"$1,230,745",$0
13,ORION,"Oct 06, 2021",$1.05,$1.12,$0.9369,$1.06,"$1,851,380",$0
14,ORION,"Oct 05, 2021",$1.13,$1.19,$1.03,$1.05,"$1,778,464",$0
15,ORION,"Oct 04, 2021",$1.17,$1.18,$1.04,$1.13,"$1,628,661",$0
16,ORION,"Oct 03, 2021",$1.17,$1.22,$1.14,$1.17,"$1,957,406",$0
17,ORION,"Oct 02, 2021",$1.10,$1.23,$1.03,$1.17,"$3,778,697",$0
18,ORION,"Oct 01, 2021",$1.27,$1.27,$0.9659,$1.10,"$12,411,993",$0
19,ORION,"Sep 30, 2021",$0.719,$1.46,$0.719,$1.27,"$32,295,162",$0
