symbol,date,open,high,low,close,volume,marketCap
OSMO,"Oct 29, 2021",$5.49,$6.32,$5.48,$5.77,$0,$0
OSMO,"Oct 28, 2021",$5.33,$5.80,$5.22,$5.48,$0,$0
OSMO,"Oct 27, 2021",$5.82,$6.16,$5.15,$5.34,$0,$0
OSMO,"Oct 26, 2021",$4.78,$5.99,$4.75,$5.81,$0,$0
OSMO,"Oct 25, 2021",$4.46,$4.80,$4.39,$4.78,$0,$0
OSMO,"Oct 24, 2021",$4.64,$4.90,$4.38,$4.46,$0,$0
OSMO,"Oct 23, 2021",$4.38,$6.16,$4.37,$4.65,$0,$0
OSMO,"Oct 22, 2021",$4.42,$4.65,$4.37,$4.38,$0,$0
OSMO,"Oct 21, 2021",$4.59,$4.67,$4.42,$4.42,$0,$0
OSMO,"Oct 20, 2021",$4.44,$4.61,$4.28,$4.61,$0,$0
OSMO,"Oct 19, 2021",$4.08,$4.46,$4.06,$4.44,$0,$0
OSMO,"Oct 18, 2021",$4.18,$4.22,$4.02,$4.08,$0,$0
OSMO,"Oct 17, 2021",$4.41,$4.50,$4.12,$4.18,$0,$0
OSMO,"Oct 16, 2021",$4.37,$4.67,$4.34,$4.41,$0,$0
OSMO,"Oct 15, 2021",$4.56,$4.56,$4.33,$4.37,$0,$0
OSMO,"Oct 14, 2021",$4.53,$4.69,$4.46,$4.56,$0,$0
OSMO,"Oct 13, 2021",$4.55,$4.66,$4.29,$4.53,$0,$0
OSMO,"Oct 12, 2021",$4.48,$4.67,$4.25,$4.55,$0,$0
OSMO,"Oct 11, 2021",$4.68,$4.84,$4.45,$4.48,$0,$0
OSMO,"Oct 10, 2021",$4.99,$4.99,$4.66,$4.68,$0,$0
OSMO,"Oct 09, 2021",$5.12,$5.16,$4.92,$4.99,$0,$0
OSMO,"Oct 08, 2021",$5.18,$5.31,$5.03,$5.12,$0,$0
OSMO,"Oct 07, 2021",$4.97,$5.27,$4.85,$5.18,$0,$0
OSMO,"Oct 06, 2021",$5.11,$5.14,$4.76,$4.97,$0,$0
OSMO,"Oct 05, 2021",$5.12,$5.26,$4.96,$5.11,$0,$0
