,symbol,date,open,high,low,close,volume,marketCap
0,OVI,"Oct 19, 2021",$1.52,$1.53,$1.51,$1.51,"$7,906",$0
1,OVI,"Oct 18, 2021",$1.52,$1.53,$1.51,$1.52,"$7,951",$0
2,OVI,"Oct 17, 2021",$1.51,$1.53,$1.51,$1.52,"$7,956",$0
3,OVI,"Oct 16, 2021",$1.52,$1.53,$1.51,$1.51,"$7,990",$0
4,OVI,"Oct 15, 2021",$1.52,$1.53,$1.51,$1.52,"$7,912",$0
5,OVI,"Oct 14, 2021",$1.52,$1.53,$1.51,$1.52,"$7,984",$0
6,OVI,"Oct 13, 2021",$1.52,$1.53,$1.51,$1.52,"$7,915",$0
7,OVI,"Oct 12, 2021",$1.52,$1.53,$1.51,$1.52,"$7,981",$0
8,OVI,"Oct 11, 2021",$1.52,$1.53,$1.51,$1.52,"$7,929",$0
9,OVI,"Oct 10, 2021",$1.52,$1.53,$1.51,$1.52,"$7,958",$0
10,OVI,"Oct 09, 2021",$1.52,$1.53,$1.51,$1.52,"$7,970",$0
11,OVI,"Oct 08, 2021",$1.51,$1.53,$1.51,$1.52,"$7,955",$0
12,OVI,"Oct 07, 2021",$1.52,$1.53,$1.51,$1.51,"$7,700",$0
13,OVI,"Oct 06, 2021",$1.52,$1.53,$1.51,$1.52,"$7,995",$0
14,OVI,"Oct 05, 2021",$1.52,$1.53,$1.51,$1.52,"$37,368",$0
15,OVI,"Oct 04, 2021",$1.52,$1.52,$1.52,$1.52,$0,$0
16,OVI,"Oct 03, 2021",$1.52,$1.52,$1.52,$1.52,$41,$0
17,OVI,"Oct 02, 2021",$1.52,$1.53,$1.51,$1.52,"$7,947",$0
18,OVI,"Oct 01, 2021",$1.51,$1.53,$1.51,$1.52,"$7,971",$0
19,OVI,"Sep 30, 2021",$1.52,$1.53,$1.51,$1.51,"$8,006",$0
20,OVI,"Sep 29, 2021",$1.51,$1.53,$1.51,$1.52,"$7,290",$0
21,OVI,"Sep 28, 2021",$1.52,$1.53,$1.51,$1.51,"$7,975",$0
22,OVI,"Sep 27, 2021",$1.52,$1.53,$1.51,$1.52,"$28,172",$0
23,OVI,"Sep 26, 2021",$1.52,$1.53,$1.51,$1.52,"$7,992",$0
24,OVI,"Sep 25, 2021",$1.52,$1.53,$1.51,$1.52,"$7,963",$0
25,OVI,"Sep 24, 2021",$1.52,$1.53,$1.51,$1.52,"$7,925",$0
26,OVI,"Sep 23, 2021",$1.52,$1.53,$1.51,$1.52,"$8,013",$0
27,OVI,"Sep 22, 2021",$1.52,$1.53,$1.51,$1.52,"$7,965",$0
28,OVI,"Sep 21, 2021",$1.51,$1.53,$1.51,$1.52,"$7,953",$0
29,OVI,"Sep 20, 2021",$1.52,$1.53,$1.51,$1.51,"$7,969",$0
30,OVI,"Sep 19, 2021",$1.52,$1.53,$1.51,$1.52,"$7,959",$0
31,OVI,"Sep 18, 2021",$1.51,$1.53,$1.51,$1.52,"$7,988",$0
32,OVI,"Sep 17, 2021",$1.50,$1.53,$1.50,$1.51,"$13,757",$0
33,OVI,"Sep 16, 2021",$1.51,$1.51,$1.50,$1.50,"$7,864",$0
34,OVI,"Sep 15, 2021",$1.51,$1.51,$1.50,$1.51,"$7,893",$0
35,OVI,"Sep 14, 2021",$1.50,$1.51,$1.50,$1.51,"$7,896",$0
36,OVI,"Sep 13, 2021",$1.52,$1.53,$1.50,$1.50,"$31,569",$0
37,OVI,"Sep 12, 2021",$1.52,$1.53,$1.51,$1.52,"$8,033",$0
38,OVI,"Sep 11, 2021",$1.50,$1.53,$1.50,$1.52,"$7,847",$0
39,OVI,"Sep 10, 2021",$1.51,$1.52,$1.50,$1.50,"$7,928",$0
40,OVI,"Sep 09, 2021",$1.51,$1.52,$1.50,$1.51,"$7,892",$0
41,OVI,"Sep 08, 2021",$1.52,$1.53,$1.50,$1.50,"$67,236",$0
42,OVI,"Sep 07, 2021",$1.52,$1.53,$1.51,$1.52,"$37,736",$0
43,OVI,"Sep 06, 2021",$1.51,$1.52,$1.51,$1.52,"$7,890",$0
44,OVI,"Sep 05, 2021",$1.50,$1.52,$1.49,$1.51,"$37,830",$0
45,OVI,"Sep 04, 2021",$1.50,$1.52,$1.49,$1.50,"$7,871",$0
46,OVI,"Sep 03, 2021",$1.50,$1.52,$1.49,$1.50,"$7,897",$0
47,OVI,"Sep 02, 2021",$1.50,$1.51,$1.50,$1.50,"$37,634",$0
48,OVI,"Sep 01, 2021",$1.50,$1.52,$1.50,$1.50,"$7,915",$0
49,OVI,"Aug 31, 2021",$1.51,$1.52,$1.50,$1.50,"$7,886",$0
50,OVI,"Aug 30, 2021",$1.51,$1.52,$1.50,$1.51,"$7,948",$0
51,OVI,"Aug 29, 2021",$1.51,$1.52,$1.50,$1.51,"$37,951",$0
52,OVI,"Aug 28, 2021",$1.51,$1.52,$1.50,$1.51,"$7,848",$0
53,OVI,"Aug 27, 2021",$1.52,$1.52,$1.50,$1.51,"$37,901",$0
54,OVI,"Aug 26, 2021",$1.51,$1.53,$1.50,$1.52,"$7,784",$0
55,OVI,"Aug 25, 2021",$1.51,$1.53,$1.50,$1.51,"$7,920",$0
56,OVI,"Aug 24, 2021",$1.49,$1.53,$1.49,$1.51,"$7,900",$0
57,OVI,"Aug 23, 2021",$1.52,$1.53,$1.49,$1.49,"$7,898",$0
58,OVI,"Aug 22, 2021",$1.52,$1.53,$1.51,$1.52,"$8,020",$0
59,OVI,"Aug 21, 2021",$1.49,$1.53,$1.49,$1.52,"$10,476",$0
60,OVI,"Aug 20, 2021",$1.49,$1.51,$1.49,$1.49,"$7,900",$0
61,OVI,"Aug 19, 2021",$1.50,$1.51,$1.49,$1.49,"$7,827",$0
62,OVI,"Aug 18, 2021",$1.52,$1.53,$1.49,$1.50,"$51,898",$0
63,OVI,"Aug 17, 2021",$1.50,$1.53,$1.49,$1.52,"$37,881",$0
64,OVI,"Aug 16, 2021",$0.2641,$1.51,$0.1744,$1.50,"$6,886",$0
65,OVI,"Aug 15, 2021",$1.50,$1.51,$0.1093,$0.2641,"$66,092",$0
66,OVI,"Aug 14, 2021",$1.50,$1.51,$0.2492,$1.50,"$7,505",$0
67,OVI,"Aug 13, 2021",$1.49,$1.51,$1.49,$1.50,"$5,630",$0
68,OVI,"Aug 12, 2021",$1.50,$1.51,$1.49,$1.49,"$6,280",$0
