symbol,date,open,high,low,close,volume,marketCap
OWC,"Oct 22, 2021",$0.5424,$0.5498,$0.2439,$0.2921,"$9,087","$1,223,477"
OWC,"Oct 21, 2021",$0.5881,$0.5935,$0.2521,$0.5425,"$24,994","$2,272,405"
OWC,"Oct 20, 2021",$0.6997,$0.6998,$0.3312,$0.5882,"$9,694","$2,463,875"
OWC,"Oct 19, 2021",$0.5775,$0.7016,$0.3738,$0.6996,"$24,068","$2,930,525"
OWC,"Oct 18, 2021",$0.6669,$0.6788,$0.5411,$0.5775,"$13,781","$2,418,932"
OWC,"Oct 17, 2021",$0.5677,$0.6679,$0.5405,$0.6671,"$12,050","$2,794,464"
OWC,"Oct 16, 2021",$0.6542,$0.6726,$0.3602,$0.5676,"$16,580","$2,377,685"
OWC,"Oct 15, 2021",$0.6188,$0.6668,$0.5042,$0.6545,"$11,829","$2,741,701"
OWC,"Oct 14, 2021",$0.6216,$0.6333,$0.6167,$0.6189,"$10,815","$2,592,621"
OWC,"Oct 13, 2021",$0.6007,$0.6264,$0.584,$0.6218,"$16,500","$2,604,525"
OWC,"Oct 12, 2021",$0.609,$0.6095,$0.5756,$0.6009,"$10,768","$2,517,147"
OWC,"Oct 11, 2021",$0.5917,$0.6255,$0.5896,$0.6088,"$11,336","$2,550,148"
OWC,"Oct 10, 2021",$0.5967,$0.6091,$0.4686,$0.5922,"$20,928","$2,480,473"
OWC,"Oct 09, 2021",$0.583,$0.5989,$0.5783,$0.5966,"$11,046","$2,498,945"
OWC,"Oct 08, 2021",$0.5834,$0.6078,$0.5791,$0.5828,"$10,330","$2,441,373"
OWC,"Oct 07, 2021",$0.6019,$0.6022,$0.5794,$0.5833,"$9,777","$2,443,561"
OWC,"Oct 06, 2021",$0.5615,$0.6042,$0.5486,$0.6023,"$14,634","$2,522,904"
OWC,"Oct 05, 2021",$0.5319,$0.563,$0.5293,$0.5612,"$9,618","$2,350,787"
OWC,"Oct 04, 2021",$0.5243,$0.5366,$0.5095,$0.5319,"$20,825","$2,228,149"
OWC,"Oct 03, 2021",$0.5184,$0.5338,$0.5115,$0.5243,"$12,585","$2,196,092"
OWC,"Oct 02, 2021",$0.5208,$0.5255,$0.5135,$0.5187,"$13,006","$2,172,597"
OWC,"Oct 01, 2021",$0.2243,$0.5245,$0.1902,$0.521,"$15,766","$2,182,592"
OWC,"Sep 30, 2021",$0.4497,$0.4764,$0.2241,$0.2242,"$8,723","$939,149"
OWC,"Sep 29, 2021",$0.4456,$0.4611,$0.4429,$0.4493,"$7,235","$1,882,166"
OWC,"Sep 28, 2021",$0.4591,$0.4657,$0.4445,$0.445,"$12,306","$1,864,091"
OWC,"Sep 27, 2021",$0.4697,$0.4819,$0.4582,$0.4591,"$15,897","$1,923,134"
OWC,"Sep 26, 2021",$0.4639,$0.4774,$0.4438,$0.47,"$20,542","$1,968,657"
OWC,"Sep 25, 2021",$0.4652,$0.4674,$0.4535,$0.4639,"$8,105","$1,943,104"
OWC,"Sep 24, 2021",$0.4874,$0.4901,$0.4449,$0.4653,"$8,305","$1,948,945"
OWC,"Sep 23, 2021",$0.4716,$0.4886,$0.4665,$0.4874,"$18,395","$2,041,643"
OWC,"Sep 22, 2021",$0.4412,$0.4762,$0.4405,$0.4717,"$8,370","$1,975,804"
OWC,"Sep 21, 2021",$0.4632,$0.4724,$0.431,$0.4397,"$7,529","$1,841,959"
OWC,"Sep 20, 2021",$0.5145,$0.5145,$0.4601,$0.4635,"$9,969","$1,941,661"
OWC,"Sep 19, 2021",$0.5251,$0.5261,$0.5097,$0.5146,"$15,797","$2,155,748"
OWC,"Sep 18, 2021",$0.5136,$0.5311,$0.5114,$0.5247,"$20,821","$2,198,108"
OWC,"Sep 17, 2021",$0.5203,$0.5243,$0.5086,$0.5132,"$8,980","$2,149,728"
OWC,"Sep 16, 2021",$0.5229,$0.5273,$0.5113,$0.5203,"$19,656","$2,179,349"
OWC,"Sep 15, 2021",$0.5103,$0.5277,$0.5064,$0.5231,"$9,106","$2,191,213"
OWC,"Sep 14, 2021",$0.4885,$0.5113,$0.4866,$0.5101,"$16,601","$2,136,914"
OWC,"Sep 13, 2021",$0.5002,$0.506,$0.4737,$0.4885,"$8,434","$2,046,351"
OWC,"Sep 12, 2021",$0.4908,$0.5044,$0.4864,$0.5006,"$8,703","$2,096,842"
OWC,"Sep 11, 2021",$0.4872,$0.5,$0.4867,$0.4906,"$8,264","$2,055,104"
OWC,"Sep 10, 2021",$0.4968,$0.507,$0.4809,$0.487,"$8,476","$2,040,168"
OWC,"Sep 09, 2021",$0.4829,$0.5047,$0.1526,$0.4967,"$8,904","$2,080,613"
OWC,"Sep 08, 2021",$0.492,$0.4972,$0.1154,$0.4866,"$16,078","$2,038,194"
OWC,"Sep 07, 2021",$0.5424,$0.5461,$0.4481,$0.4921,"$9,330","$2,061,536"
OWC,"Sep 06, 2021",$0.558,$0.5645,$0.5335,$0.5421,"$10,684","$2,270,761"
OWC,"Sep 05, 2021",$0.5347,$0.558,$0.5298,$0.558,"$9,964","$2,337,311"
OWC,"Sep 04, 2021",$0.543,$0.5491,$0.5323,$0.5347,"$9,851","$2,239,968"
OWC,"Sep 03, 2021",$0.5305,$0.5538,$0.5206,$0.5431,"$9,353","$2,275,046"
OWC,"Sep 02, 2021",$0.5258,$0.5412,$0.149,$0.5306,"$9,440","$2,222,822"
OWC,"Sep 01, 2021",$0.5126,$0.5322,$0.5049,$0.526,"$9,408","$2,203,245"
OWC,"Aug 31, 2021",$0.4941,$0.5231,$0.4905,$0.5116,"$8,255","$2,143,083"
OWC,"Aug 30, 2021",$0.5297,$0.5304,$0.4934,$0.4934,"$1,843","$2,066,872"
OWC,"Aug 29, 2021",$0.5237,$0.5363,$0.5147,$0.5297,"$9,276","$2,218,796"
OWC,"Aug 28, 2021",$0.5297,$0.5333,$0.1326,$0.5246,"$9,470","$2,197,587"
OWC,"Aug 27, 2021",$0.5017,$0.5318,$0.1241,$0.5292,"$9,316","$2,216,935"
OWC,"Aug 26, 2021",$0.5217,$0.5277,$0.495,$0.5017,"$8,787","$2,101,540"
OWC,"Aug 25, 2021",$0.4955,$0.5275,$0.4955,$0.5217,"$9,430","$2,185,255"
OWC,"Aug 24, 2021",$0.2893,$0.5033,$0.2725,$0.4965,"$7,320","$2,079,615"
OWC,"Aug 23, 2021",$0.2919,$0.4836,$0.1395,$0.2893,"$10,595","$1,211,704"
OWC,"Aug 22, 2021",$0.2878,$0.2942,$0.2856,$0.292,"$14,608","$1,223,138"
OWC,"Aug 21, 2021",$0.2923,$0.2943,$0.2839,$0.288,"$12,673","$1,206,324"
OWC,"Aug 20, 2021",$0.2657,$0.2935,$0.2645,$0.2923,"$13,619","$1,224,598"
OWC,"Aug 19, 2021",$0.2614,$0.2671,$0.2542,$0.2657,"$16,133","$1,112,872"
OWC,"Aug 18, 2021",$0.2611,$0.2701,$0.2591,$0.2615,"$15,400","$1,095,546"
OWC,"Aug 17, 2021",$0.2701,$0.2777,$0.26,$0.2611,"$16,247","$1,093,638"
OWC,"Aug 16, 2021",$0.2731,$0.2813,$0.2643,$0.2703,"$4,792","$1,132,432"
OWC,"Aug 15, 2021",$0.2788,$0.4465,$0.27,$0.2733,"$14,055","$1,144,846"
OWC,"Aug 14, 2021",$0.5193,$0.5193,$0.234,$0.2788,"$15,686","$1,167,999"
OWC,"Aug 13, 2021",$0.4843,$0.5197,$0.4822,$0.5191,"$9,305","$2,174,579"
OWC,"Aug 12, 2021",$0.4959,$0.5032,$0.1646,$0.4842,"$10,681","$2,028,212"
OWC,"Aug 11, 2021",$0.4963,$0.5088,$0.4939,$0.4961,"$13,657","$2,078,182"
OWC,"Aug 10, 2021",$0.4165,$0.4964,$0.4116,$0.4961,"$15,900","$2,077,922"
