,symbol,date,open,high,low,close,volume,marketCap
0,PAID,"Oct 19, 2021",$0.4983,$0.5849,$0.474,$0.5483,"$813,418","$45,548,234"
1,PAID,"Oct 18, 2021",$0.5096,$0.5496,$0.4604,$0.4983,"$789,748","$41,391,565"
2,PAID,"Oct 17, 2021",$0.4964,$0.5126,$0.4597,$0.5092,"$540,960","$42,300,746"
3,PAID,"Oct 16, 2021",$0.5123,$0.5185,$0.4552,$0.4964,"$1,100,071","$41,239,241"
4,PAID,"Oct 15, 2021",$0.4774,$0.5252,$0.4266,$0.5117,"$1,044,659","$42,510,074"
5,PAID,"Oct 14, 2021",$0.5188,$0.5407,$0.4503,$0.4779,"$683,351","$39,700,492"
6,PAID,"Oct 13, 2021",$0.5338,$0.5671,$0.4777,$0.5185,"$1,610,694","$43,075,512"
7,PAID,"Oct 12, 2021",$0.4456,$0.5337,$0.4334,$0.5337,"$908,466","$44,333,941"
8,PAID,"Oct 11, 2021",$0.4567,$0.4947,$0.418,$0.4458,"$631,748","$37,035,920"
9,PAID,"Oct 10, 2021",$0.4753,$0.5047,$0.4528,$0.4571,"$369,728","$37,972,415"
10,PAID,"Oct 09, 2021",$0.4499,$0.5052,$0.445,$0.4758,"$198,736","$39,525,322"
11,PAID,"Oct 08, 2021",$0.4906,$0.5148,$0.4309,$0.45,"$759,056","$37,380,862"
12,PAID,"Oct 07, 2021",$0.5292,$0.5497,$0.4853,$0.4911,"$347,947","$40,796,154"
13,PAID,"Oct 06, 2021",$0.5766,$0.5804,$0.5086,$0.5289,"$512,726","$43,938,984"
14,PAID,"Oct 05, 2021",$0.5021,$0.5821,$0.4755,$0.5775,"$768,724","$47,971,701"
15,PAID,"Oct 04, 2021",$0.5346,$0.5346,$0.4609,$0.502,"$595,777","$41,700,563"
16,PAID,"Oct 03, 2021",$0.5571,$0.5643,$0.527,$0.5344,"$219,806","$44,389,642"
17,PAID,"Oct 02, 2021",$0.6047,$0.6355,$0.4982,$0.5578,"$791,681","$46,340,610"
18,PAID,"Oct 01, 2021",$0.5397,$0.6443,$0.536,$0.6046,"$413,982","$50,228,117"
