symbol,date,open,high,low,close,volume,marketCap
PASC,"Oct 22, 2021",$0.02537,$0.02692,$0.02402,$0.0252,"$24,428","$895,758"
PASC,"Oct 21, 2021",$0.02617,$0.02832,$0.02471,$0.02537,"$25,793","$901,620"
PASC,"Oct 20, 2021",$0.02607,$0.02713,$0.02521,$0.02618,"$25,590","$929,927"
PASC,"Oct 19, 2021",$0.02444,$0.02615,$0.02432,$0.02607,"$26,283","$925,906"
PASC,"Oct 18, 2021",$0.02677,$0.02716,$0.02415,$0.02444,"$23,121","$867,808"
PASC,"Oct 17, 2021",$0.02753,$0.02895,$0.02524,$0.02678,"$23,926","$950,744"
PASC,"Oct 16, 2021",$0.02957,$0.03114,$0.02752,$0.02752,"$23,083","$976,956"
PASC,"Oct 15, 2021",$0.027,$0.03047,$0.0263,$0.02958,"$24,354","$1,049,837"
PASC,"Oct 14, 2021",$0.02977,$0.0303,$0.02425,$0.027,"$23,269","$958,061"
PASC,"Oct 13, 2021",$0.02905,$0.02992,$0.02821,$0.02978,"$23,781","$1,056,368"
PASC,"Oct 12, 2021",$0.02973,$0.03045,$0.02829,$0.02906,"$22,355","$1,030,632"
PASC,"Oct 11, 2021",$0.02886,$0.03041,$0.0282,$0.02972,"$23,692","$1,053,857"
PASC,"Oct 10, 2021",$0.02904,$0.02969,$0.02821,$0.02888,"$22,658","$1,023,848"
PASC,"Oct 09, 2021",$0.0285,$0.02924,$0.02738,$0.02904,"$22,207","$1,029,166"
PASC,"Oct 08, 2021",$0.02843,$0.02952,$0.0284,$0.02849,"$21,016","$1,009,524"
PASC,"Oct 07, 2021",$0.02928,$0.02928,$0.027,$0.02843,"$20,890","$1,007,248"
PASC,"Oct 06, 2021",$0.02728,$0.02939,$0.02581,$0.0293,"$21,909","$1,037,773"
PASC,"Oct 05, 2021",$0.02529,$0.02786,$0.0247,$0.02727,"$20,480","$965,613"
PASC,"Oct 04, 2021",$0.02653,$0.03018,$0.02508,$0.02529,"$18,313","$895,485"
PASC,"Oct 03, 2021",$0.02974,$0.03182,$0.0257,$0.02653,"$17,949","$939,124"
PASC,"Oct 02, 2021",$0.0301,$0.03016,$0.02832,$0.02976,"$19,154","$1,053,100"
PASC,"Oct 01, 2021",$0.0273,$0.0303,$0.02612,$0.03012,"$19,525","$1,065,743"
PASC,"Sep 30, 2021",$0.02599,$0.02751,$0.02592,$0.02729,"$17,549","$965,318"
PASC,"Sep 29, 2021",$0.02611,$0.02699,$0.02529,$0.02597,"$16,605","$918,627"
PASC,"Sep 28, 2021",$0.02675,$0.02716,$0.02537,$0.02607,"$16,694","$921,836"
PASC,"Sep 27, 2021",$0.02735,$0.0285,$0.02624,$0.02675,"$21,676","$945,669"
PASC,"Sep 26, 2021",$0.02707,$0.0278,$0.02587,$0.02736,"$23,734","$967,208"
PASC,"Sep 25, 2021",$0.02632,$0.02718,$0.02512,$0.02707,"$23,874","$956,602"
PASC,"Sep 24, 2021",$0.02893,$0.02905,$0.02292,$0.02632,"$24,247","$929,887"
PASC,"Sep 23, 2021",$0.02804,$0.02894,$0.02776,$0.02893,"$24,888","$1,021,998"
PASC,"Sep 22, 2021",$0.02652,$0.02833,$0.02618,$0.02805,"$24,073","$990,778"
PASC,"Sep 21, 2021",$0.02847,$0.02847,$0.02598,$0.02653,"$22,796","$936,700"
PASC,"Sep 20, 2021",$0.03172,$0.03176,$0.02777,$0.02839,"$23,870","$1,002,057"
PASC,"Sep 19, 2021",$0.03328,$0.03337,$0.0306,$0.03173,"$25,601","$1,119,800"
PASC,"Sep 18, 2021",$0.03311,$0.03623,$0.03175,$0.03326,"$26,210","$1,173,740"
PASC,"Sep 17, 2021",$0.03345,$0.0373,$0.03139,$0.03308,"$25,602","$1,167,120"
PASC,"Sep 16, 2021",$0.0338,$0.03623,$0.03155,$0.03344,"$26,609","$1,179,599"
PASC,"Sep 15, 2021",$0.03784,$0.04167,$0.03173,$0.0338,"$23,780","$1,191,833"
PASC,"Sep 14, 2021",$0.03545,$0.04169,$0.03428,$0.03783,"$26,912","$1,333,660"
PASC,"Sep 13, 2021",$0.05208,$0.0523,$0.03364,$0.03546,"$27,029","$1,249,798"
PASC,"Sep 12, 2021",$0.05271,$0.05367,$0.05037,$0.05213,"$27,590","$1,836,930"
PASC,"Sep 11, 2021",$0.05076,$0.05406,$0.05057,$0.05269,"$28,485","$1,856,287"
PASC,"Sep 10, 2021",$0.04942,$0.05255,$0.04934,$0.05074,"$26,851","$1,787,414"
PASC,"Sep 09, 2021",$0.04971,$0.05089,$0.03715,$0.0494,"$28,226","$1,739,896"
PASC,"Sep 08, 2021",$0.0517,$0.05197,$0.03607,$0.04948,"$30,584","$1,742,366"
PASC,"Sep 07, 2021",$0.05793,$0.05896,$0.03828,$0.05171,"$28,902","$1,820,475"
PASC,"Sep 06, 2021",$0.05595,$0.05809,$0.04026,$0.05795,"$32,594","$2,039,579"
PASC,"Sep 05, 2021",$0.05544,$0.05619,$0.05396,$0.05594,"$31,305","$1,968,498"
PASC,"Sep 04, 2021",$0.05201,$0.05643,$0.05173,$0.05544,"$31,586","$1,950,389"
PASC,"Sep 03, 2021",$0.05043,$0.05285,$0.04921,$0.05203,"$32,176","$1,830,008"
PASC,"Sep 02, 2021",$0.0501,$0.0524,$0.04982,$0.05044,"$30,842","$1,773,810"
PASC,"Sep 01, 2021",$0.0503,$0.05101,$0.04894,$0.05012,"$29,160","$1,762,111"
PASC,"Aug 31, 2021",$0.05192,$0.05195,$0.04896,$0.05021,"$29,350","$1,765,050"
