symbol,date,open,high,low,close,volume,marketCap
PCI,"Oct 22, 2021",$0.7116,$0.7382,$0.6941,$0.7249,"$4,596,037",$0
PCI,"Oct 21, 2021",$0.7237,$0.7331,$0.6782,$0.7131,"$6,857,794",$0
PCI,"Oct 20, 2021",$0.6763,$0.7694,$0.6664,$0.7257,"$30,701,058",$0
PCI,"Oct 19, 2021",$0.6471,$0.6905,$0.6434,$0.6759,"$3,693,157",$0
PCI,"Oct 18, 2021",$0.6536,$0.6668,$0.6356,$0.6471,"$2,300,095",$0
PCI,"Oct 17, 2021",$0.6479,$0.6563,$0.6377,$0.6537,"$1,124,090",$0
PCI,"Oct 16, 2021",$0.6436,$0.6644,$0.637,$0.6479,"$1,955,818",$0
PCI,"Oct 15, 2021",$0.6611,$0.6725,$0.6341,$0.6439,"$4,002,575",$0
PCI,"Oct 14, 2021",$0.6597,$0.6703,$0.6522,$0.6613,"$1,871,857",$0
PCI,"Oct 13, 2021",$0.6395,$0.6716,$0.6371,$0.6635,"$2,609,751",$0
PCI,"Oct 12, 2021",$0.664,$0.6653,$0.6272,$0.6383,"$3,190,027",$0
PCI,"Oct 11, 2021",$0.6728,$0.6746,$0.6484,$0.6639,"$2,637,444",$0
PCI,"Oct 10, 2021",$0.6586,$0.7073,$0.6476,$0.6788,"$5,924,839",$0
PCI,"Oct 09, 2021",$0.6557,$0.6707,$0.6457,$0.6599,"$2,477,377",$0
PCI,"Oct 08, 2021",$0.6519,$0.6667,$0.635,$0.6555,"$3,658,772",$0
PCI,"Oct 07, 2021",$0.6598,$0.6741,$0.6444,$0.6519,"$3,131,203",$0
PCI,"Oct 06, 2021",$0.669,$0.6735,$0.6301,$0.6601,"$4,169,414",$0
PCI,"Oct 05, 2021",$0.6492,$0.6886,$0.6345,$0.6687,"$7,630,657",$0
PCI,"Oct 04, 2021",$0.6507,$0.6619,$0.6223,$0.6498,"$2,363,803",$0
PCI,"Oct 03, 2021",$0.6571,$0.6653,$0.6388,$0.6506,"$2,030,103",$0
PCI,"Oct 02, 2021",$0.6596,$0.6691,$0.6493,$0.6573,"$2,411,233",$0
PCI,"Oct 01, 2021",$0.6248,$0.6712,$0.618,$0.6611,"$4,932,453",$0
PCI,"Sep 30, 2021",$0.59,$0.6341,$0.5887,$0.6245,"$4,896,507",$0
PCI,"Sep 29, 2021",$0.5716,$0.6122,$0.568,$0.5851,"$2,451,759",$0
PCI,"Sep 28, 2021",$0.6085,$0.6192,$0.5703,$0.5719,"$2,054,163",$0
PCI,"Sep 27, 2021",$0.6288,$0.6486,$0.6076,$0.6103,"$2,318,405",$0
PCI,"Sep 26, 2021",$0.6186,$0.6365,$0.5804,$0.6258,"$1,679,829",$0
PCI,"Sep 25, 2021",$0.6194,$0.6271,$0.5979,$0.6186,"$1,049,918",$0
PCI,"Sep 24, 2021",$0.6712,$0.6714,$0.5735,$0.6194,"$4,429,602",$0
PCI,"Sep 23, 2021",$0.6301,$0.6734,$0.6182,$0.6709,"$8,335,649",$0
PCI,"Sep 22, 2021",$0.5674,$0.6335,$0.5599,$0.6255,"$2,973,277",$0
