,symbol,date,open,high,low,close,volume,marketCap
0,PFR,"Oct 19, 2021",$0.003711,$0.003845,$0.003699,$0.003838,$0,"$151,029"
1,PFR,"Oct 18, 2021",$0.003809,$0.003849,$0.00365,$0.003711,$0,"$146,030"
2,PFR,"Oct 17, 2021",$0.003792,$0.003876,$0.003624,$0.00381,$0,"$149,909"
3,PFR,"Oct 16, 2021",$0.003824,$0.003923,$0.003768,$0.003794,$0,"$149,293"
4,PFR,"Oct 15, 2021",$0.003748,$0.003857,$0.003698,$0.003826,$0,"$150,528"
5,PFR,"Oct 14, 2021",$0.0006491,$0.003781,$0.0006462,$0.00375,$99,"$147,547"
6,PFR,"Oct 13, 2021",$0.0006287,$0.0006494,$0.0006152,$0.0006488,$0,"$25,528"
7,PFR,"Oct 12, 2021",$0.0006382,$0.0006384,$0.0006133,$0.0006289,$0,"$24,745"
8,PFR,"Oct 11, 2021",$0.0006167,$0.000652,$0.0006094,$0.0006377,$0,"$25,092"
9,PFR,"Oct 10, 2021",$0.0006436,$0.0006486,$0.0006147,$0.0006173,$0,"$24,290"
10,PFR,"Oct 09, 2021",$0.0006415,$0.0006531,$0.000638,$0.0006437,$0,"$25,328"
11,PFR,"Oct 08, 2021",$0.0006458,$0.0006602,$0.0006386,$0.0006412,$0,"$25,229"
12,PFR,"Oct 07, 2021",$0.0006445,$0.000657,$0.0006264,$0.0006458,$0,"$25,411"
13,PFR,"Oct 06, 2021",$0.0006333,$0.0006521,$0.0006038,$0.0006452,$0,"$25,388"
14,PFR,"Oct 05, 2021",$0.0006084,$0.0006375,$0.0006058,$0.0006333,$0,"$24,920"
15,PFR,"Oct 04, 2021",$0.0006153,$0.0006183,$0.000591,$0.0006085,$0,"$23,944"
16,PFR,"Oct 03, 2021",$0.0006105,$0.0006272,$0.0006027,$0.000615,$0,"$24,199"
17,PFR,"Oct 02, 2021",$0.002315,$0.002394,$0.0006071,$0.0006108,$0,"$24,033"
18,PFR,"Oct 01, 2021",$0.002101,$0.002331,$0.002085,$0.002317,$0,"$91,156"
19,PFR,"Sep 30, 2021",$0.001997,$0.002133,$0.001988,$0.002102,$0,"$82,692"
20,PFR,"Sep 29, 2021",$0.001965,$0.002063,$0.001951,$0.001995,$0,"$78,495"
21,PFR,"Sep 28, 2021",$0.002054,$0.00208,$0.001955,$0.001962,$0,"$77,186"
22,PFR,"Sep 27, 2021",$0.002144,$0.002215,$0.002053,$0.002053,$0,"$80,776"
23,PFR,"Sep 26, 2021",$0.002048,$0.00218,$0.001921,$0.002145,$0,"$84,404"
24,PFR,"Sep 25, 2021",$0.002052,$0.002078,$0.001973,$0.002049,$0,"$80,637"
25,PFR,"Sep 24, 2021",$0.002209,$0.002212,$0.001923,$0.002052,$0,"$80,753"
26,PFR,"Sep 23, 2021",$0.002155,$0.002221,$0.002127,$0.00221,$0,"$86,954"
27,PFR,"Sep 22, 2021",$0.001935,$0.002162,$0.001919,$0.002153,$0,"$84,709"
28,PFR,"Sep 21, 2021",$0.002071,$0.002171,$0.001873,$0.001927,$0,"$75,816"
29,PFR,"Sep 20, 2021",$0.002331,$0.00234,$0.002059,$0.002074,$0,"$81,617"
30,PFR,"Sep 19, 2021",$0.002402,$0.002414,$0.0023,$0.002331,$0,"$91,727"
31,PFR,"Sep 18, 2021",$0.002379,$0.002479,$0.00236,$0.002401,$0,"$94,455"
32,PFR,"Sep 17, 2021",$0.0025,$0.002513,$0.00235,$0.002377,$0,"$93,518"
33,PFR,"Sep 16, 2021",$0.002603,$0.002645,$0.002443,$0.002499,$0,"$98,324"
34,PFR,"Sep 15, 2021",$0.002469,$0.002592,$0.002423,$0.002591,$0,"$101,966"
35,PFR,"Sep 14, 2021",$0.0005585,$0.002469,$0.0005565,$0.002466,$1,"$97,039"
