symbol,date,open,high,low,close,volume,marketCap
POC,"Oct 29, 2021",$0.9451,$0.9454,$0.5367,$0.9422,"$57,178",$0
POC,"Oct 28, 2021",$0.9602,$0.9604,$0.7515,$0.945,$25,$0
POC,"Oct 27, 2021",$0.5308,$0.9622,$0.5308,$0.9602,$64,$0
POC,"Oct 26, 2021",$0.5304,$0.5311,$0.5304,$0.5308,$0,$0
POC,"Oct 25, 2021",$1.06,$1.06,$0.5181,$0.5304,$247,$0
POC,"Oct 24, 2021",$0.5216,$1.06,$0.5214,$1.06,$11,$0
POC,"Oct 23, 2021",$0.4006,$1.06,$0.4005,$0.5216,$0,$0
POC,"Oct 22, 2021",$0.3627,$1.06,$0.3625,$0.4005,"$3,992",$0
POC,"Oct 21, 2021",$0.3627,$0.3629,$0.3625,$0.3627,$0,$0
POC,"Oct 20, 2021",$0.0409,$0.3629,$0.0409,$0.3627,$0,$0
POC,"Oct 19, 2021",$0.0409,$0.04092,$0.04088,$0.0409,$0,$0
POC,"Oct 18, 2021",$0.04091,$0.04092,$0.04087,$0.0409,$0,$0
POC,"Oct 17, 2021",$0.8353,$0.8359,$0.0409,$0.04091,$0,$0
POC,"Oct 16, 2021",$0.8346,$0.8354,$0.8345,$0.8354,$0,$0
POC,"Oct 15, 2021",$0.838,$0.8381,$0.8344,$0.8346,$1,$0
POC,"Oct 14, 2021",$0.8381,$0.8382,$0.8377,$0.838,$0,$0
POC,"Oct 13, 2021",$0.4263,$0.8382,$0.4261,$0.8381,$43,$0
POC,"Oct 12, 2021",$0.4266,$0.4267,$0.4263,$0.4263,$0,$0
POC,"Oct 11, 2021",$0.4267,$0.4268,$0.4262,$0.4266,$0,$0
POC,"Oct 10, 2021",$0.4265,$0.4269,$0.4263,$0.4267,$13,$0
POC,"Oct 09, 2021",$0.4683,$1.10,$0.4265,$0.4266,"$7,811",$0
POC,"Oct 08, 2021",$0.4914,$0.4947,$0.4547,$0.4682,$820,$0
POC,"Oct 07, 2021",$0.4929,$0.4949,$0.4738,$0.4914,$858,$0
POC,"Oct 06, 2021",$0.4908,$0.4949,$0.4897,$0.4929,$878,$0
POC,"Oct 05, 2021",$0.4906,$0.4948,$0.4896,$0.4908,$884,$0
POC,"Oct 04, 2021",$0.4995,$0.5293,$0.4898,$0.4906,$852,$0
POC,"Oct 03, 2021",$0.4978,$0.5297,$0.4899,$0.4995,$870,$0
POC,"Oct 02, 2021",$0.5232,$0.5295,$0.4901,$0.4979,$868,$0
POC,"Oct 01, 2021",$0.5238,$0.5295,$0.49,$0.5232,$918,$0
POC,"Sep 30, 2021",$0.4912,$0.5294,$0.4898,$0.5238,$927,$0
POC,"Sep 29, 2021",$0.5204,$0.5295,$0.4899,$0.4913,$880,$0
POC,"Sep 28, 2021",$0.502,$0.5295,$0.4901,$0.5204,$904,$0
POC,"Sep 27, 2021",$0.5086,$0.5299,$0.4901,$0.502,$887,$0
POC,"Sep 26, 2021",$0.5253,$0.5298,$0.4902,$0.5086,$630,$0
POC,"Sep 25, 2021",$0.5045,$0.5272,$0.4904,$0.5253,$932,$0
POC,"Sep 24, 2021",$0.5184,$0.5293,$0.4903,$0.5045,$904,$0
POC,"Sep 23, 2021",$0.4943,$0.53,$0.4903,$0.5184,$914,$0
POC,"Sep 22, 2021",$0.4914,$0.5498,$0.4902,$0.4943,$813,$0
POC,"Sep 21, 2021",$0.5288,$0.5793,$0.4901,$0.4914,$870,$0
POC,"Sep 20, 2021",$0.52,$0.5896,$0.5156,$0.5288,$954,$0
POC,"Sep 19, 2021",$0.5757,$0.6276,$0.5152,$0.52,$920,$0
POC,"Sep 18, 2021",$0.5301,$0.6687,$0.5157,$0.5757,"$1,035",$0
POC,"Sep 17, 2021",$0.5391,$0.7695,$0.5158,$0.5301,$908,$0
POC,"Sep 16, 2021",$0.5351,$0.7974,$0.4901,$0.5391,"$1,042",$0
POC,"Sep 15, 2021",$0.5648,$0.6251,$0.5056,$0.5351,$933,$0
POC,"Sep 14, 2021",$0.7224,$0.7443,$0.5053,$0.5648,"$1,039",$0
POC,"Sep 13, 2021",$0.7415,$0.7452,$0.6881,$0.7225,"$1,297",$0
POC,"Sep 12, 2021",$0.978,$1.06,$0.7401,$0.7414,"$1,305",$0
POC,"Sep 11, 2021",$1.02,$1.12,$0.9594,$0.978,"$1,744",$0
POC,"Sep 10, 2021",$1.03,$1.13,$0.9594,$1.02,"$1,757",$0
POC,"Sep 09, 2021",$1.05,$1.15,$0.9594,$1.03,"$1,765",$0
POC,"Sep 08, 2021",$0.964,$1.15,$0.9598,$1.12,"$1,964",$0
POC,"Sep 07, 2021",$1.07,$1.15,$0.9613,$0.9641,"$1,626",$0
POC,"Sep 06, 2021",$1.15,$1.35,$0.9611,$1.07,"$1,854",$0
POC,"Sep 05, 2021",$1.01,$1.40,$0.9565,$1.15,"$2,039",$0
POC,"Sep 04, 2021",$1.38,$1.39,$0.9062,$1.01,"$1,735",$0
