,symbol,date,open,high,low,close,volume,marketCap
0,POLIS,"Oct 19, 2021",$0.2605,$0.3042,$0.2457,$0.2662,$939,"$2,617,323"
1,POLIS,"Oct 18, 2021",$0.2541,$0.2888,$0.2471,$0.2605,$883,"$2,561,339"
2,POLIS,"Oct 17, 2021",$0.2619,$0.2726,$0.2452,$0.2542,"$1,984","$2,499,231"
3,POLIS,"Oct 16, 2021",$0.2629,$0.2806,$0.255,$0.2618,$865,"$2,574,380"
4,POLIS,"Oct 15, 2021",$0.2571,$0.2679,$0.2409,$0.263,$250,"$2,586,141"
5,POLIS,"Oct 14, 2021",$0.2537,$0.2603,$0.2527,$0.2572,$1,"$2,528,784"
6,POLIS,"Oct 13, 2021",$0.2366,$0.2564,$0.2362,$0.2538,"$1,731","$2,495,137"
7,POLIS,"Oct 12, 2021",$0.2314,$0.2397,$0.2263,$0.2367,$530,"$2,327,433"
8,POLIS,"Oct 11, 2021",$0.2405,$0.2456,$0.2191,$0.2313,$491,"$2,273,982"
9,POLIS,"Oct 10, 2021",$0.2506,$0.2521,$0.2392,$0.2407,$280,"$2,366,247"
10,POLIS,"Oct 09, 2021",$0.2622,$0.267,$0.2477,$0.2506,$842,"$2,463,778"
11,POLIS,"Oct 08, 2021",$0.2448,$0.3397,$0.2446,$0.2621,"$4,072","$2,577,204"
12,POLIS,"Oct 07, 2021",$0.2657,$0.2657,$0.2444,$0.2448,$538,"$2,406,911"
13,POLIS,"Oct 06, 2021",$0.2704,$0.2874,$0.2508,$0.2659,$631,"$2,614,432"
14,POLIS,"Oct 05, 2021",$0.2755,$0.3047,$0.2623,$0.2703,$374,"$2,657,268"
15,POLIS,"Oct 04, 2021",$0.2777,$0.2781,$0.2577,$0.2755,$355,"$2,708,766"
16,POLIS,"Oct 03, 2021",$0.4689,$0.4707,$0.2744,$0.2776,$580,"$2,729,798"
17,POLIS,"Oct 02, 2021",$0.2685,$0.4758,$0.2538,$0.4691,$453,"$4,611,760"
18,POLIS,"Oct 01, 2021",$0.2356,$0.2786,$0.2205,$0.2686,"$1,739","$2,641,247"
19,POLIS,"Sep 30, 2021",$0.2069,$0.4256,$0.202,$0.2355,"$4,699","$2,315,874"
20,POLIS,"Sep 29, 2021",$0.2002,$0.2074,$0.1898,$0.2068,"$1,143","$2,033,183"
21,POLIS,"Sep 28, 2021",$0.1903,$0.2049,$0.1879,$0.2,$888,"$1,966,016"
22,POLIS,"Sep 27, 2021",$0.2059,$0.2113,$0.1902,$0.1903,"$2,640","$1,871,009"
23,POLIS,"Sep 26, 2021",$0.2016,$0.2094,$0.1883,$0.206,"$4,618","$2,025,705"
24,POLIS,"Sep 25, 2021",$0.2045,$0.2216,$0.1945,$0.2016,"$5,262","$1,982,340"
25,POLIS,"Sep 24, 2021",$0.2048,$0.2077,$0.1959,$0.2045,$0,"$2,010,274"
26,POLIS,"Sep 23, 2021",$0.2009,$0.2212,$0.1982,$0.2048,"$1,044","$2,013,431"
27,POLIS,"Sep 22, 2021",$0.1891,$0.2113,$0.1884,$0.201,$229,"$1,976,032"
28,POLIS,"Sep 21, 2021",$0.1898,$0.2989,$0.179,$0.1884,$814,"$1,852,564"
29,POLIS,"Sep 20, 2021",$0.2151,$0.2154,$0.1888,$0.19,$198,"$1,868,046"
30,POLIS,"Sep 19, 2021",$0.2129,$0.2172,$0.2103,$0.2152,$227,"$2,115,631"
31,POLIS,"Sep 18, 2021",$0.2128,$0.2196,$0.2115,$0.2128,"$4,003","$2,091,947"
32,POLIS,"Sep 17, 2021",$0.215,$0.2198,$0.2085,$0.2126,"$1,329","$2,090,028"
33,POLIS,"Sep 16, 2021",$0.2059,$0.2154,$0.2026,$0.215,$70,"$2,113,794"
34,POLIS,"Sep 15, 2021",$0.2011,$0.2083,$0.1998,$0.2059,$366,"$2,023,933"
35,POLIS,"Sep 14, 2021",$0.1796,$0.2012,$0.1787,$0.201,"$2,310","$1,976,676"
36,POLIS,"Sep 13, 2021",$0.1921,$0.1957,$0.1768,$0.1796,$157,"$1,765,946"
37,POLIS,"Sep 12, 2021",$0.1898,$0.2071,$0.1876,$0.1922,"$1,392","$1,890,044"
38,POLIS,"Sep 11, 2021",$0.1838,$0.1969,$0.1828,$0.1897,$210,"$1,865,404"
39,POLIS,"Sep 10, 2021",$0.198,$0.9001,$0.1809,$0.1838,$163,"$1,807,156"
40,POLIS,"Sep 09, 2021",$0.206,$0.2157,$0.19,$0.198,$444,"$1,946,559"
41,POLIS,"Sep 08, 2021",$0.2018,$0.2175,$0.1902,$0.2075,$901,"$2,039,920"
42,POLIS,"Sep 07, 2021",$0.2371,$0.2434,$0.1924,$0.2018,$200,"$1,984,530"
43,POLIS,"Sep 06, 2021",$0.2508,$0.257,$0.237,$0.2372,$325,"$2,332,197"
44,POLIS,"Sep 05, 2021",$0.2512,$0.2549,$0.2435,$0.2508,$7,"$2,465,392"
45,POLIS,"Sep 04, 2021",$0.2438,$0.253,$0.2394,$0.2511,$425,"$2,469,267"
46,POLIS,"Sep 03, 2021",$0.2252,$0.3503,$0.2141,$0.2439,"$4,198","$2,398,026"
47,POLIS,"Sep 02, 2021",$0.2599,$0.2964,$0.2101,$0.2253,"$4,614","$2,215,201"
48,POLIS,"Sep 01, 2021",$0.3001,$0.3051,$0.2353,$0.2599,"$1,274","$2,555,788"
49,POLIS,"Aug 31, 2021",$0.3151,$0.3169,$0.2968,$0.3,$171,"$2,949,586"
50,POLIS,"Aug 30, 2021",$0.3359,$0.3366,$0.2928,$0.2928,$966,"$2,878,324"
51,POLIS,"Aug 29, 2021",$0.3018,$0.3741,$0.3004,$0.3359,"$4,699","$3,302,342"
52,POLIS,"Aug 28, 2021",$0.2984,$0.3432,$0.2455,$0.3018,"$2,258","$2,967,195"
53,POLIS,"Aug 27, 2021",$0.2761,$0.3312,$0.2603,$0.2981,"$6,081","$2,930,889"
54,POLIS,"Aug 26, 2021",$0.2918,$0.3239,$0.2652,$0.2761,"$7,183","$2,714,237"
55,POLIS,"Aug 25, 2021",$0.2318,$0.3218,$0.2275,$0.2918,"$12,285","$2,869,111"
56,POLIS,"Aug 24, 2021",$0.2432,$0.2531,$0.2194,$0.2321,"$1,904","$2,281,859"
57,POLIS,"Aug 23, 2021",$0.1955,$0.2441,$0.1947,$0.2431,$546,"$2,390,163"
58,POLIS,"Aug 22, 2021",$0.2184,$0.2317,$0.1547,$0.1955,"$1,244","$1,922,131"
59,POLIS,"Aug 21, 2021",$0.2331,$0.2331,$0.2185,$0.2185,"$2,200","$2,147,940"
60,POLIS,"Aug 20, 2021",$0.2196,$0.2436,$0.2163,$0.2331,"$2,271","$2,292,219"
61,POLIS,"Aug 19, 2021",$0.1755,$0.2295,$0.1705,$0.2195,$950,"$2,158,398"
62,POLIS,"Aug 18, 2021",$0.1717,$0.1824,$0.1704,$0.1757,$0,"$1,727,097"
63,POLIS,"Aug 17, 2021",$0.1829,$0.1833,$0.171,$0.1717,$62,"$1,688,074"
64,POLIS,"Aug 16, 2021",$0.1722,$0.1972,$0.1677,$0.1831,$298,"$1,800,047"
65,POLIS,"Aug 15, 2021",$0.1856,$0.1915,$0.163,$0.1724,$502,"$1,694,559"
66,POLIS,"Aug 14, 2021",$0.1913,$0.1924,$0.183,$0.1855,$0,"$1,823,851"
67,POLIS,"Aug 13, 2021",$0.1793,$0.1921,$0.1787,$0.1914,$30,"$1,881,995"
68,POLIS,"Aug 12, 2021",$0.1956,$0.1979,$0.1682,$0.1793,$229,"$1,762,851"
69,POLIS,"Aug 11, 2021",$0.1609,$0.2729,$0.1452,$0.1959,"$5,802","$1,925,822"
70,POLIS,"Aug 10, 2021",$0.1145,$0.2129,$0.1104,$0.1608,"$3,386","$1,581,110"
71,POLIS,"Aug 09, 2021",$0.09776,$0.1463,$0.09315,$0.1143,$554,"$1,124,040"
72,POLIS,"Aug 08, 2021",$0.1015,$0.1059,$0.09706,$0.09766,$181,"$960,195"
73,POLIS,"Aug 07, 2021",$0.08766,$0.1046,$0.08613,$0.1018,$292,"$1,000,709"
74,POLIS,"Aug 06, 2021",$0.08174,$0.08778,$0.07992,$0.08778,$3,"$863,049"
