symbol,date,open,high,low,close,volume,marketCap
POLK,"Oct 29, 2021",$0.8685,$0.9292,$0.8431,$0.8736,"$1,501,465","$40,584,388"
POLK,"Oct 28, 2021",$0.7541,$0.9212,$0.6973,$0.8685,"$3,081,263","$40,345,555"
POLK,"Oct 27, 2021",$0.8467,$0.8583,$0.7539,$0.754,"$1,455,778","$33,599,579"
POLK,"Oct 26, 2021",$0.9147,$0.9595,$0.8176,$0.8465,"$1,626,960","$37,721,885"
POLK,"Oct 25, 2021",$0.8027,$0.9682,$0.764,$0.9147,"$2,771,247","$40,761,160"
POLK,"Oct 24, 2021",$0.88,$0.8922,$0.7806,$0.8043,"$1,570,574","$35,842,669"
POLK,"Oct 23, 2021",$0.9421,$0.9479,$0.8189,$0.8778,"$2,112,210","$39,115,128"
POLK,"Oct 22, 2021",$0.738,$0.961,$0.7336,$0.941,"$4,288,514","$41,931,563"
POLK,"Oct 21, 2021",$0.8142,$0.9342,$0.7183,$0.7359,"$6,376,321","$32,792,398"
POLK,"Oct 20, 2021",$0.5373,$0.9512,$0.53,$0.8158,"$6,986,143","$36,353,950"
POLK,"Oct 19, 2021",$0.5591,$0.5689,$0.5275,$0.5398,"$646,904","$24,054,910"
POLK,"Oct 18, 2021",$0.5873,$0.6285,$0.5493,$0.5575,"$640,723","$24,841,406"
POLK,"Oct 17, 2021",$0.6309,$0.6324,$0.5704,$0.5873,"$849,586","$26,173,113"
POLK,"Oct 16, 2021",$0.5494,$0.669,$0.5471,$0.6318,"$2,173,983","$28,153,823"
POLK,"Oct 15, 2021",$0.5172,$0.5878,$0.5059,$0.548,"$1,388,520","$24,417,715"
POLK,"Oct 14, 2021",$0.4761,$0.5491,$0.4761,$0.5172,"$1,110,607","$22,268,420"
POLK,"Oct 13, 2021",$0.4332,$0.4932,$0.4154,$0.4782,"$873,783","$20,589,731"
POLK,"Oct 12, 2021",$0.4513,$0.4515,$0.417,$0.4331,"$431,191","$18,647,350"
POLK,"Oct 11, 2021",$0.4781,$0.4922,$0.4432,$0.4526,"$429,754","$19,486,066"
POLK,"Oct 10, 2021",$0.5194,$0.5194,$0.4184,$0.4789,"$1,748,539","$20,619,899"
POLK,"Oct 09, 2021",$0.4053,$0.539,$0.401,$0.5198,"$1,262,074","$22,377,991"
POLK,"Oct 08, 2021",$0.3982,$0.4194,$0.3895,$0.4053,"$409,027","$17,447,550"
POLK,"Oct 07, 2021",$0.4145,$0.4171,$0.3871,$0.3985,"$370,878","$17,157,996"
POLK,"Oct 06, 2021",$0.4215,$0.4222,$0.3982,$0.4136,"$377,274","$17,808,612"
POLK,"Oct 05, 2021",$0.4183,$0.4427,$0.4158,$0.4216,"$397,776","$18,150,931"
POLK,"Oct 04, 2021",$0.4352,$0.4437,$0.4093,$0.4183,"$445,765","$18,010,304"
POLK,"Oct 03, 2021",$0.4413,$0.4483,$0.4247,$0.4339,"$279,182","$18,679,907"
POLK,"Oct 02, 2021",$0.4191,$0.4542,$0.4054,$0.4428,"$418,932","$19,063,083"
POLK,"Oct 01, 2021",$0.4035,$0.4472,$0.3879,$0.4191,"$650,327","$18,041,800"
POLK,"Sep 30, 2021",$0.3825,$0.4183,$0.3772,$0.4035,"$514,789","$17,371,354"
POLK,"Sep 29, 2021",$0.3527,$0.4399,$0.3509,$0.3807,"$1,835,273","$16,392,180"
POLK,"Sep 28, 2021",$0.3964,$0.4032,$0.3512,$0.3527,"$590,909","$15,185,273"
