symbol,date,open,high,low,close,volume,marketCap
PPDEX,"Oct 29, 2021",$2.45,$2.55,$2.43,$2.48,$664,$0
PPDEX,"Oct 28, 2021",$2.27,$2.45,$2.22,$2.45,$503,$0
PPDEX,"Oct 27, 2021",$2.39,$2.49,$2.24,$2.27,$0,$0
PPDEX,"Oct 26, 2021",$2.57,$2.65,$2.38,$2.39,"$1,922",$0
PPDEX,"Oct 25, 2021",$2.52,$2.59,$2.49,$2.57,$826,$0
PPDEX,"Oct 24, 2021",$2.71,$2.78,$2.40,$2.53,"$4,265",$0
PPDEX,"Oct 23, 2021",$2.58,$2.75,$2.57,$2.71,$0,$0
PPDEX,"Oct 22, 2021",$2.68,$2.80,$2.57,$2.58,"$2,761",$0
PPDEX,"Oct 21, 2021",$2.74,$2.86,$2.67,$2.68,$0,$0
PPDEX,"Oct 20, 2021",$2.76,$2.79,$2.63,$2.74,"$3,477",$0
PPDEX,"Oct 19, 2021",$2.77,$2.84,$2.68,$2.78,"$1,406",$0
PPDEX,"Oct 18, 2021",$2.92,$3.39,$2.76,$2.77,"$12,430",$0
PPDEX,"Oct 17, 2021",$3.14,$3.18,$2.81,$2.92,"$3,010",$0
PPDEX,"Oct 16, 2021",$3.35,$3.41,$3.11,$3.14,"$2,663",$0
PPDEX,"Oct 15, 2021",$3.78,$3.83,$3.32,$3.35,"$6,462",$0
PPDEX,"Oct 14, 2021",$3.10,$3.82,$3.09,$3.78,"$12,757",$0
PPDEX,"Oct 13, 2021",$3.00,$3.10,$2.95,$3.09,$276,$0
PPDEX,"Oct 12, 2021",$3.37,$3.38,$2.93,$3.00,"$7,224",$0
PPDEX,"Oct 11, 2021",$2.93,$3.38,$2.91,$3.38,"$12,807",$0
PPDEX,"Oct 10, 2021",$3.27,$3.27,$2.93,$2.94,"$2,764",$0
PPDEX,"Oct 09, 2021",$3.37,$3.37,$3.06,$3.27,"$13,718",$0
PPDEX,"Oct 08, 2021",$3.75,$3.81,$3.36,$3.37,"$6,220",$0
PPDEX,"Oct 07, 2021",$3.49,$3.88,$3.39,$3.76,"$3,483",$0
PPDEX,"Oct 06, 2021",$3.15,$3.52,$3.09,$3.49,"$4,089",$0
PPDEX,"Oct 05, 2021",$2.55,$3.17,$2.53,$3.15,"$17,548",$0
PPDEX,"Oct 04, 2021",$2.43,$2.61,$2.41,$2.55,"$4,530",$0
PPDEX,"Oct 03, 2021",$2.41,$2.48,$2.38,$2.42,$0,$0
PPDEX,"Oct 02, 2021",$2.46,$2.49,$2.39,$2.41,"$1,843",$0
PPDEX,"Oct 01, 2021",$1.88,$2.47,$1.88,$2.46,"$6,991",$0
PPDEX,"Sep 30, 2021",$1.90,$2.03,$1.86,$1.88,"$2,144",$0
PPDEX,"Sep 29, 2021",$2.09,$2.13,$1.87,$1.90,"$3,292",$0
PPDEX,"Sep 28, 2021",$2.13,$2.15,$1.96,$2.09,"$3,710",$0
