,symbol,date,open,high,low,close,volume,marketCap
0,PQT,"Oct 20, 2021",$0.0000313,$0.00003132,$0.00002513,$0.00002711,$219,$0
1,PQT,"Oct 19, 2021",$0.00002751,$0.00003132,$0.00002349,$0.0000313,$255,$0
2,PQT,"Oct 18, 2021",$0.00003107,$0.00003131,$0.00002299,$0.00002751,$223,$0
3,PQT,"Oct 17, 2021",$0.00002196,$0.00003107,$0.00002195,$0.00003107,$226,$0
4,PQT,"Oct 16, 2021",$0.00002381,$0.00002386,$0.00002196,$0.00002196,$234,$0
5,PQT,"Oct 15, 2021",$0.000024,$0.000024,$0.0000225,$0.00002381,$192,$0
6,PQT,"Oct 14, 2021",$0.00002473,$0.00002494,$0.000024,$0.000024,$289,$0
7,PQT,"Oct 13, 2021",$0.00002494,$0.00002511,$0.00002472,$0.00002473,$218,$0
8,PQT,"Oct 12, 2021",$0.00002729,$0.00002729,$0.000024,$0.00002494,$205,$0
9,PQT,"Oct 11, 2021",$0.0000298,$0.00003003,$0.00002505,$0.00002729,$202,$0
10,PQT,"Oct 10, 2021",$0.00003381,$0.00003381,$0.00002903,$0.0000298,$221,$0
11,PQT,"Oct 09, 2021",$0.00003598,$0.00007702,$0.00002901,$0.00003382,"$1,099",$0
12,PQT,"Oct 08, 2021",$0.00002864,$0.00003599,$0.00002847,$0.00003598,$834,$0
13,PQT,"Oct 07, 2021",$0.00003316,$0.00003502,$0.00002189,$0.00002864,$732,$0
14,PQT,"Oct 06, 2021",$0.00002205,$0.0000349,$0.00002188,$0.00003316,$592,$0
15,PQT,"Oct 05, 2021",$0.00002383,$0.000026,$0.00002001,$0.00002205,$591,$0
16,PQT,"Oct 04, 2021",$0.00002116,$0.00002695,$0.00002116,$0.00002383,$581,$0
17,PQT,"Oct 03, 2021",$0.00002322,$0.00002695,$0.000021,$0.00002117,$568,$0
18,PQT,"Oct 02, 2021",$0.00002244,$0.00002695,$0.00002197,$0.00002322,$545,$0
19,PQT,"Oct 01, 2021",$0.00002268,$0.00002873,$0.00002,$0.00002244,$613,$0
20,PQT,"Sep 30, 2021",$0.00002571,$0.00002571,$0.00002146,$0.00002268,$547,$0
21,PQT,"Sep 29, 2021",$0.00002679,$0.0000268,$0.0000215,$0.00002571,$625,$0
22,PQT,"Sep 28, 2021",$0.0000224,$0.00002949,$0.0000216,$0.00002679,"$4,712",$0
23,PQT,"Sep 27, 2021",$0.00002,$0.00002274,$0.00001719,$0.0000224,"$3,113",$0
24,PQT,"Sep 26, 2021",$0.00002552,$0.00002552,$0.00001922,$0.00002001,"$5,771",$0
25,PQT,"Sep 25, 2021",$0.00002941,$0.00002942,$0.00002506,$0.00002552,"$7,200",$0
26,PQT,"Sep 24, 2021",$0.00002922,$0.00003375,$0.00002886,$0.00002941,"$3,134",$0
27,PQT,"Sep 23, 2021",$0.00003436,$0.00003437,$0.00002606,$0.00002923,"$4,364",$0
28,PQT,"Sep 22, 2021",$0.000029,$0.00003895,$0.00002465,$0.00003436,"$3,317",$0
29,PQT,"Sep 21, 2021",$0.0000292,$0.0000292,$0.00002466,$0.000029,$767,$0
30,PQT,"Sep 20, 2021",$0.00002921,$0.00002922,$0.00002465,$0.0000292,$635,$0
31,PQT,"Sep 19, 2021",$0.00002668,$0.00002925,$0.00002664,$0.00002921,"$4,885",$0
32,PQT,"Sep 18, 2021",$0.00003016,$0.00003018,$0.00002633,$0.00002668,"$4,965",$0
33,PQT,"Sep 17, 2021",$0.00003099,$0.000031,$0.00003016,$0.00003016,"$5,237",$0
34,PQT,"Sep 16, 2021",$0.00003014,$0.00003194,$0.00003014,$0.00003099,"$6,042",$0
35,PQT,"Sep 15, 2021",$0.00003524,$0.00003524,$0.00003002,$0.00003014,"$5,693",$0
36,PQT,"Sep 14, 2021",$0.00003033,$0.00003598,$0.00002897,$0.00003524,"$6,152",$0
37,PQT,"Sep 13, 2021",$0.00002931,$0.00003056,$0.00002508,$0.00003033,"$4,506",$0
38,PQT,"Sep 12, 2021",$0.00003027,$0.00003771,$0.00002458,$0.00002931,"$4,293",$0
39,PQT,"Sep 11, 2021",$0.00002569,$0.00005062,$0.00002559,$0.00003027,"$3,559",$0
40,PQT,"Sep 10, 2021",$0.00002164,$0.00002851,$0.0000163,$0.00002569,"$4,897",$0
41,PQT,"Sep 09, 2021",$0.00002731,$0.00002743,$0.00002164,$0.00002164,"$4,981",$0
42,PQT,"Sep 08, 2021",$0.00002737,$0.000028,$0.0000273,$0.00002731,"$5,452",$0
43,PQT,"Sep 07, 2021",$0.00002906,$0.00002906,$0.00002729,$0.00002738,"$2,539",$0
44,PQT,"Sep 06, 2021",$0.0000316,$0.00003161,$0.00002899,$0.00002906,"$5,387",$0
45,PQT,"Sep 05, 2021",$0.00003098,$0.00003297,$0.00002907,$0.0000316,"$5,836",$0
46,PQT,"Sep 04, 2021",$0.00003976,$0.00003978,$0.00003012,$0.00003099,"$5,234",$0
47,PQT,"Sep 03, 2021",$0.00003977,$0.00003978,$0.00003968,$0.00003976,"$5,555",$0
48,PQT,"Sep 02, 2021",$0.00005055,$0.00006035,$0.00003109,$0.00003978,"$2,672",$0
49,PQT,"Sep 01, 2021",$0.000024,$0.00007884,$0.00002352,$0.00005055,"$7,497",$0
50,PQT,"Aug 31, 2021",$0.0000234,$0.00002759,$0.00002335,$0.00002401,"$5,487",$0
51,PQT,"Aug 30, 2021",$0.00002297,$0.00002341,$0.00002279,$0.0000234,"$6,077",$0
52,PQT,"Aug 29, 2021",$0.00002303,$0.00002306,$0.00002279,$0.00002297,"$6,277",$0
53,PQT,"Aug 28, 2021",$0.00002228,$0.00002608,$0.00002227,$0.00002303,"$5,139",$0
54,PQT,"Aug 27, 2021",$0.00002522,$0.00002523,$0.00001991,$0.00002228,"$4,671",$0
55,PQT,"Aug 26, 2021",$0.00002699,$0.00002699,$0.00002522,$0.00002522,"$5,599",$0
56,PQT,"Aug 25, 2021",$0.00003008,$0.00003022,$0.00002698,$0.00002699,"$7,511",$0
57,PQT,"Aug 24, 2021",$0.00003507,$0.00003507,$0.00002942,$0.00003008,"$5,865",$0
58,PQT,"Aug 23, 2021",$0.0000376,$0.00004053,$0.00002579,$0.00003507,"$5,457",$0
59,PQT,"Aug 22, 2021",$0.00004053,$0.00004056,$0.00003758,$0.0000376,"$4,157",$0
60,PQT,"Aug 21, 2021",$0.00004068,$0.00004068,$0.00003731,$0.00004052,"$5,145",$0
61,PQT,"Aug 20, 2021",$0.00005005,$0.00005006,$0.00004019,$0.00004067,"$4,427",$0
62,PQT,"Aug 19, 2021",$0.00005041,$0.00005041,$0.00005004,$0.00005006,"$4,690",$0
63,PQT,"Aug 18, 2021",$0.00004006,$0.00005084,$0.00004005,$0.00005041,"$5,345",$0
64,PQT,"Aug 17, 2021",$0.00004006,$0.00004049,$0.00004004,$0.00004006,"$3,906",$0
65,PQT,"Aug 16, 2021",$0.00004109,$0.00004114,$0.00004001,$0.00004005,"$5,757",$0
66,PQT,"Aug 15, 2021",$0.00004205,$0.00004214,$0.00004106,$0.00004109,"$4,872",$0
67,PQT,"Aug 14, 2021",$0.00004235,$0.00004235,$0.00004203,$0.00004206,"$4,470",$0
68,PQT,"Aug 13, 2021",$0.00004219,$0.00004268,$0.00004219,$0.00004235,"$29,159",$0
69,PQT,"Aug 12, 2021",$0.00004406,$0.00004408,$0.00004219,$0.00004219,"$24,027",$0
70,PQT,"Aug 11, 2021",$0.00004502,$0.00004503,$0.000044,$0.00004406,"$19,991",$0
71,PQT,"Aug 10, 2021",$0.00004541,$0.00004545,$0.000045,$0.00004502,"$13,907",$0
72,PQT,"Aug 09, 2021",$0.00004405,$0.00004541,$0.00004401,$0.00004541,"$9,154",$0
73,PQT,"Aug 08, 2021",$0.00004467,$0.00004467,$0.00004403,$0.00004405,"$6,755",$0
74,PQT,"Aug 07, 2021",$0.00004405,$0.0000486,$0.00004401,$0.00004467,"$5,407",$0
75,PQT,"Aug 06, 2021",$0.00004424,$0.00004425,$0.000044,$0.00004405,"$3,260",$0
76,PQT,"Aug 05, 2021",$0.00004413,$0.00004427,$0.00004407,$0.00004424,"$4,819",$0
77,PQT,"Aug 04, 2021",$0.00004508,$0.00004511,$0.0000441,$0.00004413,"$5,150",$0
78,PQT,"Aug 03, 2021",$0.00004603,$0.00004685,$0.000045,$0.00004508,"$6,994",$0
79,PQT,"Aug 02, 2021",$0.00004897,$0.00004897,$0.00004602,$0.00004604,"$6,931",$0
80,PQT,"Aug 01, 2021",$0.00004603,$0.00004995,$0.000046,$0.00004897,"$5,530",$0
81,PQT,"Jul 31, 2021",$0.00004603,$0.00004606,$0.00004601,$0.00004604,"$5,783",$0
82,PQT,"Jul 30, 2021",$0.00004603,$0.00004609,$0.00004601,$0.00004604,"$4,302",$0
83,PQT,"Jul 29, 2021",$0.00004603,$0.00004607,$0.00004601,$0.00004604,"$6,720",$0
84,PQT,"Jul 28, 2021",$0.00004616,$0.00004645,$0.000046,$0.00004602,"$6,240",$0
85,PQT,"Jul 27, 2021",$0.00004709,$0.00004709,$0.00004615,$0.00004616,"$5,804",$0
86,PQT,"Jul 26, 2021",$0.00004999,$0.00004999,$0.00004705,$0.00004709,"$2,754",$0
87,PQT,"Jul 25, 2021",$0.0000512,$0.00005121,$0.00004997,$0.00004999,$852,$0
88,PQT,"Jul 24, 2021",$0.00005123,$0.00005125,$0.00005014,$0.0000512,$855,$0
89,PQT,"Jul 23, 2021",$0.0000513,$0.00005132,$0.0000498,$0.00005124,$580,$0
90,PQT,"Jul 22, 2021",$0.00004985,$0.00005138,$0.00004981,$0.0000513,$910,$0
91,PQT,"Jul 21, 2021",$0.00005153,$0.00005153,$0.00004981,$0.00004985,$846,$0
92,PQT,"Jul 20, 2021",$0.00005174,$0.00005176,$0.00004981,$0.00005152,$850,$0
93,PQT,"Jul 19, 2021",$0.00005187,$0.00005189,$0.00004879,$0.00005174,$903,$0
94,PQT,"Jul 18, 2021",$0.00005173,$0.00005191,$0.00004981,$0.00005187,$898,$0
95,PQT,"Jul 17, 2021",$0.00005183,$0.00005184,$0.00004981,$0.00005173,$859,$0
96,PQT,"Jul 16, 2021",$0.00004989,$0.00005192,$0.00004981,$0.00005183,$794,$0
97,PQT,"Jul 15, 2021",$0.00005189,$0.00005193,$0.00004983,$0.00004989,$59,$0
98,PQT,"Jul 14, 2021",$0.0000519,$0.00005196,$0.00004981,$0.00005188,$858,$0
99,PQT,"Jul 13, 2021",$0.00005197,$0.00005202,$0.00004981,$0.00005191,$785,$0
100,PQT,"Jul 12, 2021",$0.00005204,$0.00005206,$0.00004706,$0.00005198,$877,$0
101,PQT,"Jul 11, 2021",$0.00005203,$0.00005209,$0.00004923,$0.00005204,$883,$0
102,PQT,"Jul 10, 2021",$0.00005177,$0.00005207,$0.00004917,$0.00005203,$900,$0
103,PQT,"Jul 09, 2021",$0.00005033,$0.0000518,$0.00004599,$0.00005177,"$1,320",$0
104,PQT,"Jul 08, 2021",$0.00005097,$0.00005181,$0.00005032,$0.00005034,$777,$0
105,PQT,"Jul 07, 2021",$0.00005157,$0.00005182,$0.00005092,$0.00005096,$15,$0
106,PQT,"Jul 06, 2021",$0.00005163,$0.00005173,$0.00005156,$0.00005157,"$8,756",$0
107,PQT,"Jul 05, 2021",$0.00005183,$0.00005193,$0.00005161,$0.00005164,"$15,319",$0
108,PQT,"Jul 04, 2021",$0.00005149,$0.00005194,$0.00005104,$0.00005183,"$20,358",$0
109,PQT,"Jul 03, 2021",$0.00005097,$0.00005189,$0.00005097,$0.00005149,"$19,909",$0
110,PQT,"Jul 02, 2021",$0.0000517,$0.00005172,$0.00004601,$0.00005097,"$12,853",$0
111,PQT,"Jul 01, 2021",$0.00004601,$0.00005171,$0.000046,$0.0000517,$479,$0
112,PQT,"Jun 30, 2021",$0.00004701,$0.00005098,$0.00004599,$0.00004601,$50,$0
