symbol,date,open,high,low,close,volume,marketCap
PRARE,"Oct 22, 2021",$0.06974,$0.07074,$0.06619,$0.06685,"$117,828","$760,965"
PRARE,"Oct 21, 2021",$0.07063,$0.07152,$0.06824,$0.06975,"$95,004","$793,963"
PRARE,"Oct 20, 2021",$0.06804,$0.07178,$0.06569,$0.07063,"$94,837","$803,996"
PRARE,"Oct 19, 2021",$0.06998,$0.07257,$0.06672,$0.06806,"$106,656","$774,754"
PRARE,"Oct 18, 2021",$0.06708,$0.07452,$0.06693,$0.06998,"$101,289","$796,591"
PRARE,"Oct 17, 2021",$0.07112,$0.07144,$0.06554,$0.06706,"$154,587","$763,330"
PRARE,"Oct 16, 2021",$0.06929,$0.07276,$0.06652,$0.07112,"$121,748","$809,557"
PRARE,"Oct 15, 2021",$0.0769,$0.0769,$0.06469,$0.06929,"$146,149","$788,721"
PRARE,"Oct 14, 2021",$0.0774,$0.0796,$0.06558,$0.07691,"$227,031","$875,504"
PRARE,"Oct 13, 2021",$0.07239,$0.08215,$0.06108,$0.0774,"$333,531","$881,085"
PRARE,"Oct 12, 2021",$0.07967,$0.08872,$0.06564,$0.07238,"$285,608","$823,942"
PRARE,"Oct 11, 2021",$0.05747,$0.09825,$0.05623,$0.07967,"$1,145,200","$906,914"
PRARE,"Oct 10, 2021",$0.05907,$0.06017,$0.05341,$0.05746,"$88,283","$654,093"
PRARE,"Oct 09, 2021",$0.06054,$0.06226,$0.05623,$0.05908,"$71,812","$672,483"
PRARE,"Oct 08, 2021",$0.06564,$0.06783,$0.05855,$0.06054,"$126,122","$689,171"
PRARE,"Oct 07, 2021",$0.05814,$0.06798,$0.05627,$0.06564,"$122,563","$747,195"
PRARE,"Oct 06, 2021",$0.06306,$0.07404,$0.05486,$0.05814,"$154,892","$661,859"
PRARE,"Oct 05, 2021",$0.06617,$0.0673,$0.05517,$0.06307,"$112,091","$717,923"
PRARE,"Oct 04, 2021",$0.05697,$0.07028,$0.05633,$0.06568,"$131,113","$747,625"
PRARE,"Oct 03, 2021",$0.0586,$0.06886,$0.05404,$0.05697,"$103,348","$648,548"
PRARE,"Oct 02, 2021",$0.06066,$0.06066,$0.0539,$0.05861,"$80,457","$667,204"
PRARE,"Oct 01, 2021",$0.05415,$0.06152,$0.04828,$0.06066,"$76,498","$690,502"
PRARE,"Sep 30, 2021",$0.05199,$0.06022,$0.05146,$0.05415,"$71,804","$616,433"
PRARE,"Sep 29, 2021",$0.0485,$0.06271,$0.04378,$0.05201,"$100,820","$592,018"
PRARE,"Sep 28, 2021",$0.05214,$0.05251,$0.0444,$0.04851,"$58,292","$552,158"
PRARE,"Sep 27, 2021",$0.05266,$0.05461,$0.04775,$0.05214,"$70,674","$593,572"
PRARE,"Sep 26, 2021",$0.05835,$0.05899,$0.04347,$0.05267,"$112,289","$599,503"
PRARE,"Sep 25, 2021",$0.05539,$0.06446,$0.05372,$0.05835,"$66,961","$664,184"
PRARE,"Sep 24, 2021",$0.06381,$0.06388,$0.04983,$0.05539,"$78,843","$630,481"
PRARE,"Sep 23, 2021",$0.06206,$0.06549,$0.06173,$0.06381,"$65,942","$726,408"
PRARE,"Sep 22, 2021",$0.05634,$0.06278,$0.05634,$0.06206,"$60,980","$706,388"
PRARE,"Sep 21, 2021",$0.06051,$0.06467,$0.05568,$0.05634,"$122,597","$641,312"
PRARE,"Sep 20, 2021",$0.06605,$0.06855,$0.06019,$0.06053,"$69,092","$688,998"
PRARE,"Sep 19, 2021",$0.07318,$0.07675,$0.06408,$0.06605,"$90,394","$751,909"
PRARE,"Sep 18, 2021",$0.06842,$0.07788,$0.06727,$0.07317,"$73,855","$832,887"
PRARE,"Sep 17, 2021",$0.07088,$0.07356,$0.06617,$0.06842,"$28,454","$778,818"
PRARE,"Sep 16, 2021",$0.06825,$0.07945,$0.06729,$0.07088,"$79,883","$806,886"
